Symbol,Date,Close,High,Low,Open,Volume,Name
ABC,1998-05-29,6.5953,6.7316,6.4891,6.4915,3516338,ABC
ABC,1998-06-01,6.474,6.6409,6.4439,6.6128,260530,ABC
ABC,1998-06-02,6.4284,6.459,6.4061,6.4575,1199595,ABC
ABC,1998-06-03,6.3755,6.4284,6.3605,6.4284,614225,ABC
ABC,1998-06-04,6.3071,6.3983,6.2999,6.3983,235796,ABC
ABC,1998-06-05,6.3299,6.3678,6.262,6.2974,451806,ABC
ABC,1998-06-08,6.4284,6.4284,6.3299,6.3314,256408,ABC
ABC,1998-06-09,6.5119,6.5497,6.5046,6.5497,543321,ABC
ABC,1998-06-10,6.5575,6.6104,6.5046,6.5255,537550,ABC
ABC,1998-06-11,6.6104,6.6332,6.5497,6.5594,699145,ABC
ABC,1998-06-12,6.982,6.982,6.6104,6.6128,2319217,ABC
ABC,1998-06-15,6.8001,6.967,6.8001,6.9136,958027,ABC
ABC,1998-06-16,7.0955,7.1338,6.8306,6.8311,2074351,ABC
ABC,1998-06-17,7.3987,7.4444,7.0955,7.0979,2846049,ABC
ABC,1998-06-18,7.6035,7.619,7.3536,7.3696,1418078,ABC
ABC,1998-06-19,7.3987,7.6869,7.3687,7.6025,962149,ABC
ABC,1998-06-22,7.2775,7.4143,7.2396,7.3987,1087468,ABC
ABC,1998-06-23,7.1411,7.3308,7.1411,7.292,766751,ABC
ABC,1998-06-24,7.2474,7.2775,7.0504,7.1707,1798155,ABC
ABC,1998-06-25,7.4672,7.49,7.2702,7.2702,2055388,ABC
ABC,1998-06-26,7.5584,7.6112,7.3837,7.4279,1192174,ABC
ABC,1998-06-29,7.619,7.7175,7.5506,7.5506,2515439,ABC
ABC,1998-06-30,7.9674,8.339,7.6413,7.651,5938614,ABC
ABC,1998-07-01,8.665,8.7179,7.9446,8.0343,4647503,ABC
ABC,1998-07-02,8.6117,8.7485,8.3996,8.4321,4720056,ABC
ABC,1998-07-03,8.6117,8.7485,8.3996,8.4321,0,ABC
ABC,1998-07-06,8.8392,9.3093,8.551,8.5534,4460350,ABC
ABC,1998-07-07,8.9683,9.4762,8.9454,9.2812,5842151,ABC
ABC,1998-07-08,8.7329,8.9683,8.551,8.9683,2255733,ABC
ABC,1998-07-09,8.013,8.6117,7.6413,8.6117,5650051,ABC
ABC,1998-07-10,8.2327,8.5209,8.0052,8.0052,2970543,ABC
ABC,1998-07-13,8.4074,8.6723,8.3691,8.4904,2259031,ABC
ABC,1998-07-14,8.1721,8.3691,8.142,8.3691,2171638,ABC
ABC,1998-07-15,8.7329,8.7786,8.4603,8.4904,2815544,ABC
ABC,1998-07-16,9.0968,9.188,8.7635,8.7635,2832858,ABC
ABC,1998-07-17,8.6801,9.0968,8.5588,9.0968,1550816,ABC
ABC,1998-07-20,8.468,8.6801,8.2478,8.6796,1240818,ABC
ABC,1998-07-21,8.2099,8.4831,8.2099,8.4661,713161,ABC
ABC,1998-07-22,8.665,8.8848,8.2027,8.209,2739693,ABC
ABC,1998-07-23,8.1571,8.3996,7.9751,8.1896,4598035,ABC
ABC,1998-07-24,8.1871,8.4831,7.9751,8.34,2963123,ABC
ABC,1998-07-27,9.3093,9.7945,8.7329,9.0677,10241491,ABC
ABC,1998-07-28,9.0895,9.582,9.0895,9.3394,2270573,ABC
ABC,1998-07-29,8.8242,9.2108,8.7936,9.1259,2447009,ABC
ABC,1998-07-30,9.0139,9.0968,8.7635,8.7635,2625917,ABC
ABC,1998-07-31,9.2336,9.4,9.0061,9.0435,2508843,ABC
ABC,1998-08-03,6.7923,6.9441,6.4134,6.6128,19212484,ABC
ABC,1998-08-04,6.1708,6.7394,6.1708,6.7341,6730924,ABC
ABC,1998-08-05,6.0723,6.3071,6.0573,6.278,3523759,ABC
ABC,1998-08-06,6.148,6.1786,6.0422,6.0742,1604406,ABC
ABC,1998-08-07,6.3149,6.3833,6.1786,6.1786,2067755,ABC
ABC,1998-08-10,6.1558,6.2999,6.1407,6.2974,700794,ABC
ABC,1998-08-11,5.9132,5.9282,5.6556,5.9282,3606205,ABC
ABC,1998-08-12,5.822,5.9738,5.7463,5.919,1075101,ABC
ABC,1998-08-13,5.822,5.8676,5.7613,5.8511,3189026,ABC
ABC,1998-08-14,5.9816,6.0194,5.8375,5.8375,1532678,ABC
ABC,1998-08-17,6.2693,6.3227,5.9738,5.9738,1033053,ABC
ABC,1998-08-18,6.3227,6.4968,6.1407,6.2683,2553365,ABC
ABC,1998-08-19,6.3755,6.4512,6.3377,6.3377,1263078,ABC
ABC,1998-08-20,6.4284,6.5046,6.3983,6.4042,2678683,ABC
ABC,1998-08-21,6.3527,6.4284,6.2542,6.4284,2911182,ABC
ABC,1998-08-24,6.3755,6.5497,6.3455,6.4915,3653199,ABC
ABC,1998-08-25,6.4284,6.5652,6.3906,6.3906,2114750,ABC
ABC,1998-08-26,6.4211,6.4211,6.277,6.4187,1819592,ABC
ABC,1998-08-27,6.2164,6.3906,6.2164,6.3896,2201318,ABC
ABC,1998-08-28,6.0039,6.2465,5.9433,6.2149,1455178,ABC
ABC,1998-08-31,5.7084,6.0345,5.7007,6.0209,2460200,ABC
ABC,1998-09-01,5.5949,5.8069,5.5643,5.7007,1876480,ABC
ABC,1998-09-02,5.5493,5.9132,5.5493,5.6279,2432168,ABC
ABC,1998-09-03,5.5115,5.5794,5.394,5.4581,952255,ABC
ABC,1998-09-04,5.8525,5.8676,5.7007,5.7249,1990256,ABC
ABC,1998-09-07,5.8525,5.8676,5.7007,5.7249,0,ABC
ABC,1998-09-08,5.8826,6.0194,5.8826,5.9433,2140308,ABC
ABC,1998-09-09,6.1558,6.1786,5.8676,5.885,1130340,ABC
ABC,1998-09-10,6.3071,6.3983,6.0951,6.1422,2272222,ABC
ABC,1998-09-11,6.4818,6.5196,6.3377,6.3377,1407360,ABC
ABC,1998-09-14,6.671,6.6938,6.5497,6.5497,1000899,ABC
ABC,1998-09-15,6.7622,6.8835,6.671,6.671,1474141,ABC
ABC,1998-09-16,6.7622,6.7773,6.7316,6.7486,565582,ABC
ABC,1998-09-17,6.7316,6.7622,6.6938,6.7486,414705,ABC
ABC,1998-09-18,6.7923,6.8529,6.7472,6.7923,795607,ABC
ABC,1998-09-21,7.0654,7.0654,6.7472,6.7486,1061085,ABC
ABC,1998-09-22,7.1639,7.2018,7.0654,7.0654,846724,ABC
ABC,1998-09-23,7.4444,7.4594,7.179,7.195,1545870,ABC
ABC,1998-09-24,7.4444,7.7476,7.3687,7.4909,3209638,ABC
ABC,1998-09-25,7.2168,7.3381,7.111,7.326,1324913,ABC
ABC,1998-09-28,6.785,7.3687,6.7316,7.2483,1013266,ABC
ABC,1998-09-29,6.9213,6.9441,6.7472,6.7826,815394,ABC
ABC,1998-09-30,6.6031,6.8913,6.5046,6.8893,1150127,ABC
ABC,1998-10-01,6.6788,6.7093,6.5725,6.6031,488907,ABC
ABC,1998-10-02,6.6259,6.6938,6.5652,6.6613,665342,ABC
ABC,1998-10-05,6.5119,6.656,6.2999,6.656,538374,ABC
ABC,1998-10-06,6.3455,6.5953,6.2848,6.5109,455104,ABC
ABC,1998-10-07,5.9661,6.3906,5.9433,6.3459,906085,ABC
ABC,1998-10-08,6.0039,6.0039,5.5643,5.8899,1492279,ABC
ABC,1998-10-09,6.4061,6.4061,5.8676,6.0937,1042122,ABC
ABC,1998-10-12,6.6031,6.6104,6.4362,6.4381,516114,ABC
ABC,1998-10-13,6.7016,6.7166,6.5652,6.5885,554864,ABC
ABC,1998-10-14,6.7544,6.8529,6.7394,6.8529,1033053,ABC
ABC,1998-10-15,6.8379,7.0048,6.7016,6.7244,618348,ABC
ABC,1998-10-16,7.0805,7.179,6.9136,6.9136,1290286,ABC
ABC,1998-10-19,7.0198,7.1945,7.0126,7.1271,482311,ABC
ABC,1998-10-20,6.967,7.2018,6.967,7.0106,469120,ABC
ABC,1998-10-21,6.8685,6.9364,6.8229,6.9364,272897,ABC
ABC,1998-10-22,6.9519,7.0048,6.8529,6.8699,370184,ABC
ABC,1998-10-23,6.9063,6.9742,6.8835,6.9742,204467,ABC
