Symbol,Date,Close,High,Low,Open,Volume,Name
ADM,1998-05-29,15.58,16.043,15.529,16.0363,1697939,ADM
ADM,1998-06-01,16.043,16.197,15.477,15.5283,2273725,ADM
ADM,1998-06-02,15.889,16.249,15.837,15.9909,1974589,ADM
ADM,1998-06-03,15.786,16.043,15.63,15.9365,2481697,ADM
ADM,1998-06-04,15.323,15.683,15.22,15.6281,2191434,ADM
ADM,1998-06-05,17.2768,17.431,15.4771,15.5285,6176229,ADM
ADM,1998-06-08,16.454,17.38,16.404,16.4444,3993909,ADM
ADM,1998-06-09,16.404,16.712,16.352,16.4444,2422138,ADM
ADM,1998-06-10,16.404,16.506,16.094,16.094,2438911,ADM
ADM,1998-06-11,16.66,16.66,16.197,16.2903,1599484,ADM
ADM,1998-06-12,16.506,16.609,16.145,16.6077,1290744,ADM
ADM,1998-06-15,15.99,16.404,15.99,16.1905,1352736,ADM
ADM,1998-06-16,16.145,16.197,15.786,16.0816,1620997,ADM
ADM,1998-06-17,17.02,17.02,16.145,16.1451,2088725,ADM
ADM,1998-06-18,16.814,17.173,16.454,16.8617,1390417,ADM
ADM,1998-06-19,16.814,16.917,16.506,16.8073,1612125,ADM
ADM,1998-06-22,16.404,16.712,16.3,16.6077,1032692,ADM
ADM,1998-06-23,16.557,16.557,16.352,16.4444,1286611,ADM
ADM,1998-06-24,16.763,16.969,16.454,16.454,1536278,ADM
ADM,1998-06-25,16.454,16.814,16.197,16.6531,2396370,ADM
ADM,1998-06-26,16.249,16.506,16.043,16.4989,907861,ADM
ADM,1998-06-29,15.99,16.404,15.683,16.2903,1372061,ADM
ADM,1998-06-30,15.939,16.145,15.683,15.9909,1644944,ADM
ADM,1998-07-01,16.197,16.197,15.734,15.8821,1454596,ADM
ADM,1998-07-02,15.99,16.094,15.786,16.0363,893031,ADM
ADM,1998-07-03,15.99,16.094,15.786,16.0363,0,ADM
ADM,1998-07-06,16.249,16.352,15.709,15.7823,1847812,ADM
ADM,1998-07-07,15.63,16.197,14.552,16.1451,1303630,ADM
ADM,1998-07-08,15.529,15.734,15.323,15.6281,2808182,ADM
ADM,1998-07-09,14.963,15.426,14.963,15.4195,2098449,ADM
ADM,1998-07-10,14.963,15.426,14.911,14.9569,1625253,ADM
ADM,1998-07-13,14.655,15.014,14.603,14.9569,1052749,ADM
ADM,1998-07-14,14.8086,15.0657,14.5001,15.0657,1066606,ADM
ADM,1998-07-15,14.655,14.911,14.552,14.7574,1741575,ADM
ADM,1998-07-16,14.552,14.861,14.089,14.6485,1883791,ADM
ADM,1998-07-17,14.501,14.81,14.397,14.7574,2125676,ADM
ADM,1998-07-20,14.347,14.706,14.295,14.5941,1344957,ADM
ADM,1998-07-21,14.244,14.501,14.192,14.4399,1261573,ADM
ADM,1998-07-22,14.347,14.397,14.192,14.192,701225,ADM
ADM,1998-07-23,14.089,14.397,13.986,14.2313,1328669,ADM
ADM,1998-07-24,14.192,14.192,13.986,14.0862,1543449,ADM
ADM,1998-07-27,13.627,14.141,13.524,14.0317,2003883,ADM
ADM,1998-07-28,13.78,13.883,13.471,13.5692,2430282,ADM
ADM,1998-07-29,14.089,14.192,13.934,13.9773,2720422,ADM
ADM,1998-07-30,14.449,14.501,14.037,14.037,1642390,ADM
ADM,1998-07-31,14.089,14.501,14.037,14.3946,1088485,ADM
ADM,1998-08-03,13.986,14.192,13.832,14.0317,1961825,ADM
ADM,1998-08-04,13.574,13.986,13.524,13.9773,2824105,ADM
ADM,1998-08-05,13.729,13.883,13.524,13.5692,1745709,ADM
ADM,1998-08-06,13.627,13.883,13.471,13.7234,1301197,ADM
ADM,1998-08-07,13.677,13.832,13.524,13.5692,1365013,ADM
ADM,1998-08-10,14.655,14.757,13.78,13.78,2177091,ADM
ADM,1998-08-11,14.603,14.706,14.141,14.3946,1444993,ADM
ADM,1998-08-12,14.603,14.911,14.192,14.5488,1261452,ADM
ADM,1998-08-13,14.347,14.552,14.141,14.4399,849029,ADM
ADM,1998-08-14,13.986,14.397,13.78,14.3401,691621,ADM
ADM,1998-08-17,13.832,14.192,13.832,13.9773,584900,ADM
ADM,1998-08-18,14.141,14.295,13.883,13.9773,763580,ADM
ADM,1998-08-19,14.037,14.347,13.986,14.2948,917705,ADM
ADM,1998-08-20,14.361,14.415,14.037,14.037,1101478,ADM
ADM,1998-08-21,14.253,14.308,14.037,14.2476,1261695,ADM
ADM,1998-08-24,14.091,14.361,14.037,14.2476,915332,ADM
ADM,1998-08-25,13.984,14.253,13.876,14.0857,1923160,ADM
ADM,1998-08-26,13.66,13.984,13.66,13.9238,1505838,ADM
ADM,1998-08-27,13.12,13.821,13.12,13.6,2069833,ADM
ADM,1998-08-28,13.497,13.821,13.173,13.381,1991462,ADM
ADM,1998-08-31,12.958,13.606,12.85,13.381,1808904,ADM
ADM,1998-09-01,13.5515,13.8214,12.9576,12.9576,1308116,ADM
ADM,1998-09-02,13.444,13.821,13.444,13.5524,1467636,ADM
ADM,1998-09-03,13.12,13.821,12.85,13.219,1445294,ADM
ADM,1998-09-04,12.958,13.12,12.796,13.1143,1310662,ADM
ADM,1998-09-07,12.958,13.12,12.796,13.1143,0,ADM
ADM,1998-09-08,12.958,13.173,12.796,12.9524,1837496,ADM
ADM,1998-09-09,13.5515,13.6594,12.8496,12.9576,1095923,ADM
ADM,1998-09-10,13.93,14.091,13.173,13.2762,2000259,ADM
ADM,1998-09-11,14.037,14.145,13.66,13.7143,1545429,ADM
ADM,1998-09-14,14.469,14.739,14.037,14.037,1452470,ADM
ADM,1998-09-15,14.524,14.631,14.361,14.4667,452862,ADM
ADM,1998-09-16,14.037,14.577,13.93,14.4095,1219094,ADM
ADM,1998-09-17,13.444,13.768,13.173,13.4952,1717915,ADM
ADM,1998-09-18,13.768,13.768,13.336,13.381,2291055,ADM
ADM,1998-09-21,13.876,14.037,13.066,13.4952,901557,ADM
ADM,1998-09-22,13.93,14.037,13.821,13.8667,680219,ADM
ADM,1998-09-23,14.415,14.577,13.984,14.0286,964301,ADM
ADM,1998-09-24,14.631,15.064,14.361,14.3619,2328213,ADM
ADM,1998-09-25,14.524,14.739,13.821,14.6762,1408133,ADM
ADM,1998-09-28,15.01,15.064,14.685,14.685,923205,ADM
ADM,1998-09-29,15.117,15.495,14.956,15.0095,1403618,ADM
ADM,1998-09-30,14.469,14.848,14.145,14.8476,923090,ADM
ADM,1998-10-01,13.93,14.415,13.876,14.2,909082,ADM
ADM,1998-10-02,14.8472,14.9012,13.8754,14.0374,1278133,ADM
ADM,1998-10-05,14.739,15.01,14.2,14.8476,1063857,ADM
ADM,1998-10-06,14.631,14.902,14.469,14.8476,725020,ADM
ADM,1998-10-07,14.469,14.631,14.2,14.6286,987337,ADM
ADM,1998-10-08,14.308,14.415,13.821,13.821,1224881,ADM
ADM,1998-10-09,14.253,14.577,14.145,14.3619,1187837,ADM
ADM,1998-10-12,14.1993,14.5233,14.1453,14.2533,667139,ADM
ADM,1998-10-13,14.2,14.469,14.145,14.3619,916490,ADM
ADM,1998-10-14,14.145,14.469,14.091,14.2952,875278,ADM
ADM,1998-10-15,14.415,14.469,13.821,14.0857,1375605,ADM
ADM,1998-10-16,14.524,14.685,14.145,14.5714,3148508,ADM
ADM,1998-10-19,14.145,14.577,13.876,14.5143,1577379,ADM
ADM,1998-10-20,14.253,14.577,13.984,14.4667,1973054,ADM
ADM,1998-10-21,14.037,14.469,13.876,14.4667,1713863,ADM
ADM,1998-10-22,14.145,14.361,14.145,14.145,1201614,ADM
ADM,1998-10-23,14.956,14.956,14.253,14.5143,1928950,ADM
ADM,1998-10-26,14.361,14.848,14.308,14.7905,1152645,ADM
ADM,1998-10-27,14.361,14.415,14.253,14.3619,1401536,ADM
ADM,1998-10-28,14.739,14.902,14.253,14.4667,1116297,ADM
ADM,1998-10-29,14.469,15.064,14.308,14.8952,918689,ADM
ADM,1998-10-30,14.415,14.631,14.308,14.4667,1217126,ADM
