Symbol,Date,Close,High,Low,Open,Volume,Name
ADSK,1998-05-29,10.625,10.813,10.313,10.78,3293200,ADSK
ADSK,1998-06-01,10.375,10.75,10.344,10.56,2356000,ADSK
ADSK,1998-06-02,10.61,10.844,10.454,10.47,2238400,ADSK
ADSK,1998-06-03,10.469,10.688,10.313,10.6,3166800,ADSK
ADSK,1998-06-04,10.532,10.563,10.375,10.39,1747600,ADSK
ADSK,1998-06-05,10.469,10.719,10.407,10.6,2500000,ADSK
ADSK,1998-06-08,10.657,10.969,10.563,10.6,2930000,ADSK
ADSK,1998-06-09,10.907,11.016,10.75,10.94,3407200,ADSK
ADSK,1998-06-10,10.782,10.922,10.485,10.69,2886800,ADSK
ADSK,1998-06-11,10.625,10.938,10.625,10.75,4604800,ADSK
ADSK,1998-06-12,10.407,10.688,10.407,10.63,2672400,ADSK
ADSK,1998-06-15,10.375,10.688,10.219,10.25,3353200,ADSK
ADSK,1998-06-16,10.5,10.532,10.25,10.47,1833600,ADSK
ADSK,1998-06-17,10.672,10.907,10.532,10.532,3706800,ADSK
ADSK,1998-06-18,10.438,10.875,10.297,10.72,4510000,ADSK
ADSK,1998-06-19,10.329,10.75,10.0,10.5,6494400,ADSK
ADSK,1998-06-22,10.188,10.407,10.016,10.38,5595200,ADSK
ADSK,1998-06-23,10.407,10.516,10.11,10.11,4073600,ADSK
ADSK,1998-06-24,9.875,10.157,9.297,10.1,15080800,ADSK
ADSK,1998-06-25,9.797,10.032,9.782,9.91,5197600,ADSK
ADSK,1998-06-26,9.594,9.75,9.438,9.72,4417600,ADSK
ADSK,1998-06-29,9.594,9.907,9.594,9.66,3565600,ADSK
ADSK,1998-06-30,9.657,9.75,9.563,9.63,2644800,ADSK
ADSK,1998-07-01,9.454,9.719,9.407,9.69,5170800,ADSK
ADSK,1998-07-02,8.594,9.407,8.469,9.38,8285600,ADSK
ADSK,1998-07-03,8.594,9.407,8.469,9.38,0,ADSK
ADSK,1998-07-06,8.86,8.938,8.5,8.75,3199600,ADSK
ADSK,1998-07-07,8.782,9.188,8.688,9.0,2979200,ADSK
ADSK,1998-07-08,8.907,9.0,8.782,8.86,2029599,ADSK
ADSK,1998-07-09,8.844,8.969,8.75,8.94,2595200,ADSK
ADSK,1998-07-10,8.766,8.938,8.688,8.81,3061600,ADSK
ADSK,1998-07-13,8.438,8.719,8.219,8.69,3536800,ADSK
ADSK,1998-07-14,9.188,9.219,8.438,8.47,4122400,ADSK
ADSK,1998-07-15,9.289,9.438,8.907,9.25,4590000,ADSK
ADSK,1998-07-16,8.1719,9.0625,8.1406,9.0625,8418000,ADSK
ADSK,1998-07-17,7.782,8.219,7.75,8.19,7733600,ADSK
ADSK,1998-07-20,8.0,8.25,7.61,7.8,9453200,ADSK
ADSK,1998-07-21,8.063,8.266,7.954,8.1,5323200,ADSK
ADSK,1998-07-22,7.875,8.016,7.844,8.0,6087200,ADSK
ADSK,1998-07-23,7.922,8.094,7.844,7.94,2790400,ADSK
ADSK,1998-07-24,7.875,8.0,7.782,7.94,2426000,ADSK
ADSK,1998-07-27,7.844,8.0,7.782,7.84,2214400,ADSK
ADSK,1998-07-28,8.329,8.657,7.813,7.91,4153200,ADSK
ADSK,1998-07-29,8.344,8.563,8.125,8.5,2216000,ADSK
ADSK,1998-07-30,8.141,8.344,7.766,8.22,8003200,ADSK
ADSK,1998-07-31,8.188,8.422,8.125,8.23,2913600,ADSK
ADSK,1998-08-03,8.391,8.438,8.188,8.25,3650000,ADSK
