Symbol,Date,Close,High,Low,Open,Volume,Name
AGN,1998-05-29,43.75,44.438,43.438,44.438,417200,AGN
AGN,1998-06-01,44.625,45.563,44.0,44.44,414200,AGN
AGN,1998-06-02,43.75,44.625,43.125,44.625,194400,AGN
AGN,1998-06-03,43.563,45.0,43.188,43.63,318600,AGN
AGN,1998-06-04,43.875,44.313,43.438,44.0,167700,AGN
AGN,1998-06-05,45.188,45.25,44.063,44.25,240300,AGN
AGN,1998-06-08,46.063,46.625,45.0,45.0,429700,AGN
AGN,1998-06-09,45.375,45.938,45.25,45.81,189700,AGN
AGN,1998-06-10,45.0,45.813,45.0,45.31,422100,AGN
AGN,1998-06-11,45.063,45.625,44.563,45.31,285500,AGN
AGN,1998-06-12,46.0,46.25,44.75,45.25,436600,AGN
AGN,1998-06-15,45.938,46.75,45.563,46.0,417800,AGN
AGN,1998-06-16,48.188,48.188,46.438,46.5,515599,AGN
AGN,1998-06-17,47.938,49.5,47.875,48.44,897200,AGN
AGN,1998-06-18,46.875,47.875,46.875,47.56,299500,AGN
AGN,1998-06-19,46.813,47.375,46.5,46.5,193500,AGN
AGN,1998-06-22,48.0,48.0,46.563,47.25,360500,AGN
AGN,1998-06-23,46.75,48.375,46.688,48.25,386700,AGN
AGN,1998-06-24,47.688,48.0,46.813,47.0,402700,AGN
AGN,1998-06-25,48.063,48.5,47.688,47.81,318500,AGN
AGN,1998-06-26,47.5,48.438,46.938,48.25,369300,AGN
AGN,1998-06-29,47.375,48.125,47.313,47.63,177100,AGN
AGN,1998-06-30,46.688,47.375,46.688,47.25,95800,AGN
AGN,1998-07-01,46.188,47.125,46.0,47.125,316400,AGN
AGN,1998-07-02,46.875,46.875,45.813,46.19,159200,AGN
AGN,1998-07-03,46.875,46.875,45.813,46.19,0,AGN
AGN,1998-07-06,47.188,47.25,46.938,47.13,173500,AGN
AGN,1998-07-07,47.75,48.188,47.0,47.0,132400,AGN
AGN,1998-07-08,47.875,48.375,47.625,47.69,193900,AGN
AGN,1998-07-09,48.0,48.25,47.563,47.81,463400,AGN
AGN,1998-07-10,48.813,49.0,48.0,48.13,426500,AGN
AGN,1998-07-13,48.75,49.063,48.125,49.06,182500,AGN
AGN,1998-07-14,48.625,50.25,48.563,49.0,294900,AGN
AGN,1998-07-15,48.313,49.0,47.938,48.69,148100,AGN
AGN,1998-07-16,49.188,49.375,48.125,48.5,254600,AGN
AGN,1998-07-17,49.125,49.875,48.875,49.44,305800,AGN
AGN,1998-07-20,47.563,48.5,46.875,48.25,337700,AGN
AGN,1998-07-21,46.0,47.438,45.0,47.0,376200,AGN
AGN,1998-07-22,45.938,46.375,44.5,45.25,289300,AGN
AGN,1998-07-23,44.625,46.563,44.563,46.0,218000,AGN
AGN,1998-07-24,43.813,45.188,43.375,44.63,314100,AGN
AGN,1998-07-27,43.0,43.5,41.125,43.31,378200,AGN
AGN,1998-07-28,44.313,45.0,43.0,43.13,290700,AGN
AGN,1998-07-29,44.813,45.25,44.313,44.5,107000,AGN
AGN,1998-07-30,46.438,46.438,44.625,45.0,118600,AGN
AGN,1998-07-31,45.125,47.875,44.625,47.875,268300,AGN
AGN,1998-08-03,43.313,45.125,43.125,45.125,415900,AGN
