Symbol,Date,Close,High,Low,Open,Volume,Name
AJG,1998-05-29,10.782,10.922,10.61,10.61,80800,AJG
AJG,1998-06-01,11.016,11.079,10.813,10.813,106800,AJG
AJG,1998-06-02,11.016,11.063,10.969,11.0,90400,AJG
AJG,1998-06-03,11.094,11.235,11.094,11.235,191200,AJG
AJG,1998-06-04,11.219,11.235,11.094,11.1,62400,AJG
AJG,1998-06-05,11.094,11.219,11.094,11.219,30400,AJG
AJG,1998-06-08,11.125,11.235,11.125,11.16,84800,AJG
AJG,1998-06-09,10.969,11.157,10.875,11.157,73200,AJG
AJG,1998-06-10,10.766,11.0,10.766,10.91,95200,AJG
AJG,1998-06-11,10.5,10.766,10.5,10.766,69200,AJG
AJG,1998-06-12,10.704,10.719,10.516,10.53,85200,AJG
AJG,1998-06-15,10.688,10.688,10.547,10.688,125599,AJG
AJG,1998-06-16,10.672,10.688,10.625,10.67,123200,AJG
AJG,1998-06-17,10.844,10.922,10.657,10.66,60400,AJG
AJG,1998-06-18,10.813,10.875,10.782,10.875,48000,AJG
AJG,1998-06-19,10.579,10.719,10.563,10.719,75200,AJG
AJG,1998-06-22,10.86,10.86,10.61,10.61,44800,AJG
AJG,1998-06-23,11.204,11.219,10.875,10.88,134800,AJG
AJG,1998-06-24,11.375,11.422,11.235,11.25,98400,AJG
AJG,1998-06-25,11.407,11.485,11.344,11.35,58400,AJG
AJG,1998-06-26,11.407,11.422,11.235,11.36,112400,AJG
AJG,1998-06-29,11.125,11.422,11.063,11.42,68000,AJG
AJG,1998-06-30,11.188,11.282,11.157,11.16,167200,AJG
AJG,1998-07-01,11.125,11.188,10.969,10.97,81200,AJG
AJG,1998-07-02,11.094,11.188,11.063,11.188,31600,AJG
AJG,1998-07-03,11.094,11.188,11.063,11.188,0,AJG
AJG,1998-07-06,11.016,11.094,11.0,11.06,62400,AJG
AJG,1998-07-07,10.891,10.969,10.813,10.969,111600,AJG
AJG,1998-07-08,11.016,11.016,10.844,10.88,72000,AJG
AJG,1998-07-09,11.125,11.125,10.969,10.97,4800,AJG
AJG,1998-07-10,11.079,11.125,10.969,11.125,40000,AJG
AJG,1998-07-13,11.0781,11.25,11.0312,11.0312,83200,AJG
AJG,1998-07-14,11.344,11.375,11.282,11.31,51200,AJG
AJG,1998-07-15,11.313,11.313,11.266,11.31,58400,AJG
AJG,1998-07-16,11.344,11.36,11.282,11.282,59200,AJG
AJG,1998-07-17,11.3281,11.375,11.3281,11.3438,86400,AJG
AJG,1998-07-20,11.204,11.446,11.157,11.28,116800,AJG
AJG,1998-07-21,11.094,11.125,11.0,11.11,308800,AJG
AJG,1998-07-22,10.969,11.125,10.969,11.1,33600,AJG
AJG,1998-07-23,10.688,10.907,10.672,10.907,35200,AJG
AJG,1998-07-24,10.5,10.625,10.5,10.625,31200,AJG
AJG,1998-07-27,10.469,10.563,10.375,10.56,46000,AJG
AJG,1998-07-28,10.047,10.469,9.985,10.469,151200,AJG
AJG,1998-07-29,10.079,10.188,10.063,10.1,127200,AJG
AJG,1998-07-30,10.079,10.25,10.0,10.14,134400,AJG
AJG,1998-07-31,9.797,10.079,9.75,10.079,149600,AJG
AJG,1998-08-03,9.797,10.063,9.782,9.8,83200,AJG
AJG,1998-08-04,9.469,9.829,9.469,9.78,115600,AJG
AJG,1998-08-05,9.735,9.735,9.5,9.5,104800,AJG
AJG,1998-08-06,9.969,9.985,9.719,9.72,134400,AJG
