Symbol,Date,Close,High,Low,Open,Volume,Name
AKAM,1999-10-29,145.188,166.0,110.0,145.188,11468800,AKAM
AKAM,1999-11-01,174.3125,179.0,143.0,148.0,5103700,AKAM
AKAM,1999-11-02,195.0,199.0,175.0,176.0,3979300,AKAM
AKAM,1999-11-03,190.875,204.0,185.125,197.0,1545000,AKAM
AKAM,1999-11-04,175.0,191.9375,171.0,190.875,1596900,AKAM
AKAM,1999-11-05,173.0,183.0,166.4375,182.0,769200,AKAM
AKAM,1999-11-08,187.563,190.5,172.875,173.0,872200,AKAM
AKAM,1999-11-09,189.75,197.0,178.0,189.19,539900,AKAM
AKAM,1999-11-10,190.0,195.5,181.5,190.38,439500,AKAM
AKAM,1999-11-11,182.188,194.25,178.5,190.0,368200,AKAM
AKAM,1999-11-12,177.313,185.5,174.063,185.13,298900,AKAM
AKAM,1999-11-15,171.75,181.0,169.0,180.0,374100,AKAM
AKAM,1999-11-16,184.0,184.0,163.625,176.75,584700,AKAM
AKAM,1999-11-17,180.625,190.0,178.3125,183.0,422500,AKAM
AKAM,1999-11-18,187.375,190.5,180.0,190.5,318200,AKAM
AKAM,1999-11-19,185.25,192.625,183.25,187.875,426400,AKAM
AKAM,1999-11-22,184.875,188.688,176.0,187.38,252000,AKAM
AKAM,1999-11-23,210.0,219.875,186.0,188.0,1596200,AKAM
AKAM,1999-11-24,201.0,215.9375,200.25,211.5,517200,AKAM
AKAM,1999-11-25,201.0,215.9375,200.25,211.5,0,AKAM
AKAM,1999-11-26,206.5,210.5,203.5,207.5,182100,AKAM
AKAM,1999-11-29,224.0,236.5,210.75,210.75,750500,AKAM
AKAM,1999-11-30,237.0,249.5,220.5,229.0,1418800,AKAM
AKAM,1999-12-01,217.625,239.0,207.25,238.13,790500,AKAM
AKAM,1999-12-02,215.25,225.75,214.5,214.56,282000,AKAM
AKAM,1999-12-03,207.0,229.0,206.25,207.0,435200,AKAM
AKAM,1999-12-06,216.75,219.0,201.125,208.19,292700,AKAM
AKAM,1999-12-07,226.0,229.375,217.0,220.0,515399,AKAM
AKAM,1999-12-08,241.5,241.688,223.25,226.0,515800,AKAM
AKAM,1999-12-09,251.0,258.0,224.625,241.9375,422500,AKAM
AKAM,1999-12-10,253.375,258.75,238.0,256.0,309700,AKAM
AKAM,1999-12-13,228.5,246.5,227.0,244.0,386100,AKAM
AKAM,1999-12-14,218.0,240.0,217.0,240.0,316500,AKAM
AKAM,1999-12-15,230.375,232.0,201.0,215.0,352800,AKAM
AKAM,1999-12-16,271.0,271.5,236.0,236.56,936400,AKAM
AKAM,1999-12-17,281.75,298.0,268.0,285.0,685200,AKAM
AKAM,1999-12-20,286.25,302.0,282.938,285.44,367100,AKAM
AKAM,1999-12-21,301.875,309.0,290.25,292.5,454700,AKAM
AKAM,1999-12-22,291.0,309.125,287.6875,302.125,333600,AKAM
AKAM,1999-12-23,281.5,293.9375,274.25,293.0,376700,AKAM
AKAM,1999-12-24,281.5,293.9375,274.25,293.0,0,AKAM
AKAM,1999-12-27,285.875,285.875,275.0,282.56,177600,AKAM
AKAM,1999-12-28,271.5,290.0,265.0,284.69,175400,AKAM
AKAM,1999-12-29,303.563,304.0,277.5,277.88,381800,AKAM
AKAM,1999-12-30,328.0,342.375,314.75,328.0,386200,AKAM
AKAM,1999-12-31,327.625,344.875,320.0,334.0,237400,AKAM
AKAM,2000-01-03,321.25,345.5,311.0,344.19,285600,AKAM
AKAM,2000-01-04,300.0,321.5,300.0,320.0,215900,AKAM
AKAM,2000-01-05,279.75,299.625,262.0,299.625,1183200,AKAM
AKAM,2000-01-06,230.0,278.125,230.0,278.125,794200,AKAM
AKAM,2000-01-07,248.375,254.5,238.0,238.13,729100,AKAM
AKAM,2000-01-10,280.0,286.25,249.5625,255.0,1137600,AKAM
AKAM,2000-01-11,278.625,297.0,267.25,285.5,451700,AKAM
AKAM,2000-01-12,256.25,289.25,250.0,281.0,1011200,AKAM
AKAM,2000-01-13,259.25,260.5,218.375,260.0625,1022100,AKAM
AKAM,2000-01-14,230.0,254.625,229.0,240.0,641500,AKAM
AKAM,2000-01-17,230.0,254.625,229.0,240.0,0,AKAM
AKAM,2000-01-18,211.5,229.063,207.5,229.06,822200,AKAM
AKAM,2000-01-19,224.75,233.0,212.0,212.0,1367500,AKAM
AKAM,2000-01-20,234.0,235.75,220.0,229.5,916300,AKAM
AKAM,2000-01-21,268.875,275.0,230.0,239.0,1230900,AKAM
AKAM,2000-01-24,261.0,284.25,258.625,268.9375,832400,AKAM
AKAM,2000-01-25,279.313,282.0,254.625,264.0,369800,AKAM
AKAM,2000-01-26,277.5,288.0,274.063,278.0,596600,AKAM
AKAM,2000-01-27,282.0,290.0,264.0,283.25,524600,AKAM
AKAM,2000-01-28,270.0,285.0625,255.0,280.5625,407900,AKAM
AKAM,2000-01-31,248.75,270.125,235.0625,270.125,663800,AKAM
AKAM,2000-02-01,239.125,256.0,235.375,249.125,320200,AKAM
AKAM,2000-02-02,233.625,245.0,231.25,239.13,314400,AKAM
AKAM,2000-02-03,245.375,252.0,239.875,240.0,479800,AKAM
AKAM,2000-02-04,235.0,254.0,230.406,247.63,330200,AKAM
AKAM,2000-02-07,228.625,233.0,216.0,230.0,1577600,AKAM
AKAM,2000-02-08,244.0,246.0,232.0625,232.875,661500,AKAM
AKAM,2000-02-09,234.875,244.0,233.0,241.25,672500,AKAM
AKAM,2000-02-10,236.625,237.25,227.0,235.625,403000,AKAM
AKAM,2000-02-11,233.063,241.0,226.125,229.06,393000,AKAM
AKAM,2000-02-14,230.375,238.75,226.813,233.56,359000,AKAM
AKAM,2000-02-15,222.5,233.0,217.0,231.75,380600,AKAM
AKAM,2000-02-16,246.125,252.0,228.188,229.75,1087700,AKAM
AKAM,2000-02-17,252.0,253.0,235.5,246.25,702300,AKAM
AKAM,2000-02-18,241.625,253.0,239.25,252.0,499000,AKAM
AKAM,2000-02-21,241.625,253.0,239.25,252.0,0,AKAM
AKAM,2000-02-22,242.125,244.0,238.375,238.63,374400,AKAM
AKAM,2000-02-23,255.9375,260.5,233.5,245.0,490100,AKAM
AKAM,2000-02-24,264.5,275.375,253.0,253.0,739500,AKAM
AKAM,2000-02-25,267.063,275.0,261.0,274.25,493500,AKAM
AKAM,2000-02-28,254.0,265.375,248.3125,265.0,453500,AKAM
AKAM,2000-02-29,261.25,262.75,250.0,259.28,252100,AKAM
AKAM,2000-03-01,278.625,285.875,259.313,259.38,688000,AKAM
AKAM,2000-03-02,268.0,290.6875,253.0,279.875,530400,AKAM
AKAM,2000-03-03,268.375,286.625,265.875,272.0,585100,AKAM
AKAM,2000-03-06,254.0,278.813,252.75,270.5,363400,AKAM
AKAM,2000-03-07,262.438,268.188,255.0,260.0,585900,AKAM
AKAM,2000-03-08,265.0,269.063,249.0,264.19,400700,AKAM
AKAM,2000-03-09,280.8125,288.0,265.1563,267.875,465000,AKAM
AKAM,2000-03-10,296.0,305.938,288.0,288.06,669300,AKAM
AKAM,2000-03-13,274.0313,302.5,273.9375,289.0,400500,AKAM
AKAM,2000-03-14,271.0,293.0,269.1875,283.5,238400,AKAM
AKAM,2000-03-15,240.25,270.188,230.188,269.56,898600,AKAM
AKAM,2000-03-16,232.0,245.5,215.0,245.0,804400,AKAM
AKAM,2000-03-17,222.5,237.5,218.5,229.0,550800,AKAM
AKAM,2000-03-20,213.25,227.875,209.625,218.75,1239900,AKAM
AKAM,2000-03-21,197.5,208.875,189.0,208.875,1344400,AKAM
AKAM,2000-03-22,208.5,225.0,201.313,202.25,821000,AKAM
AKAM,2000-03-23,204.0,215.0,199.0,208.5625,630800,AKAM
AKAM,2000-03-24,208.625,211.125,202.5,202.5,307100,AKAM
AKAM,2000-03-27,208.0,219.5,206.125,212.0625,325900,AKAM
AKAM,2000-03-28,199.875,207.375,199.0,207.25,493000,AKAM
AKAM,2000-03-29,170.0,199.438,168.0,199.438,1700100,AKAM
AKAM,2000-03-30,161.75,172.0625,159.5,171.5,1395700,AKAM
AKAM,2000-03-31,160.8125,172.125,155.0,166.5,841200,AKAM
AKAM,2000-04-03,120.9844,165.0,118.0,160.8125,1812400,AKAM
AKAM,2000-04-04,117.0,127.75,105.75,121.875,2058700,AKAM
AKAM,2000-04-05,110.0,130.125,107.0,113.0625,1404500,AKAM
AKAM,2000-04-06,138.0,138.0,115.0,115.0,2276900,AKAM
AKAM,2000-04-07,144.0,149.75,138.0,138.0625,1294100,AKAM
AKAM,2000-04-10,133.313,151.625,127.313,149.94,1420900,AKAM
AKAM,2000-04-11,111.0,123.0,105.0,123.0,3136500,AKAM
AKAM,2000-04-12,92.75,111.563,92.75,110.88,2596200,AKAM
AKAM,2000-04-13,90.0,98.5,87.875,97.0,1587800,AKAM
AKAM,2000-04-14,65.5,86.0,64.0,86.0,2179500,AKAM
AKAM,2000-04-17,71.0,76.625,56.625,65.0,2003400,AKAM
AKAM,2000-04-18,92.9844,95.0,67.875,69.25,1895100,AKAM
AKAM,2000-04-19,88.938,102.125,85.0,95.0,1563800,AKAM
AKAM,2000-04-20,86.625,93.5625,81.25,89.5625,922800,AKAM
AKAM,2000-04-21,86.625,93.5625,81.25,89.5625,0,AKAM
AKAM,2000-04-24,80.8594,85.0625,73.7031,83.0,926700,AKAM
AKAM,2000-04-25,72.5,82.0,70.0,80.0,2598900,AKAM
AKAM,2000-04-26,73.5,79.8125,66.125,73.75,1799300,AKAM
AKAM,2000-04-27,83.0,83.75,66.1875,70.0625,1497100,AKAM
AKAM,2000-04-28,98.875,108.0,87.5,88.19,2800800,AKAM
AKAM,2000-05-01,103.875,113.375,100.125,103.0,2009500,AKAM
AKAM,2000-05-02,104.9375,111.75,101.125,103.3438,1589300,AKAM
AKAM,2000-05-03,92.75,102.0,87.3281,101.625,2049599,AKAM
AKAM,2000-05-04,97.0625,100.875,93.0,93.0,1351300,AKAM
AKAM,2000-05-05,97.0625,103.0,94.0,96.875,846400,AKAM
AKAM,2000-05-08,86.625,96.875,86.375,96.75,867700,AKAM
AKAM,2000-05-09,85.0,91.375,82.75,89.0,1300800,AKAM
AKAM,2000-05-10,76.9844,87.0625,73.6875,83.0,1332500,AKAM
AKAM,2000-05-11,76.0,83.0,72.0,80.0,1475000,AKAM
AKAM,2000-05-12,71.0,78.5,69.875,74.0,1596500,AKAM
AKAM,2000-05-15,75.0,75.0,67.75,71.25,1559000,AKAM
AKAM,2000-05-16,76.0,81.0,72.0,75.5625,1652500,AKAM
AKAM,2000-05-17,78.5,82.0,74.0625,74.75,1398200,AKAM
AKAM,2000-05-18,75.5625,80.1875,74.4375,77.0312,806100,AKAM
AKAM,2000-05-19,71.938,74.938,70.0,74.0,852300,AKAM
AKAM,2000-05-22,69.375,74.0,62.0,73.25,1275000,AKAM
AKAM,2000-05-23,65.5625,71.0,65.5,68.0,1325200,AKAM
AKAM,2000-05-24,67.2656,69.0625,60.9375,67.25,1518300,AKAM
AKAM,2000-05-25,61.875,71.5625,61.25,68.25,861600,AKAM
AKAM,2000-05-26,59.625,64.0,58.875,62.6875,655500,AKAM
