Symbol,Date,Close,High,Low,Open,Volume,Name
AMT,1998-05-29,22.5,22.5,20.5,22.5,121900,AMT
AMT,1998-06-01,22.125,22.5,22.0,22.125,258500,AMT
AMT,1998-06-02,22.438,22.5,22.125,22.438,123400,AMT
AMT,1998-06-03,20.75,22.5,20.75,20.75,180600,AMT
AMT,1998-06-04,20.75,21.0,20.0,20.75,263200,AMT
AMT,1998-06-05,22.875,23.0,21.0,22.875,290100,AMT
AMT,1998-06-08,23.0,23.625,22.5,23.25,2718000,AMT
AMT,1998-06-09,22.375,23.0,22.0,23.0,604900,AMT
AMT,1998-06-10,22.875,23.125,22.5,22.5,149300,AMT
AMT,1998-06-11,23.0,23.063,22.563,22.88,697400,AMT
AMT,1998-06-12,22.563,23.0,22.375,23.0,782000,AMT
AMT,1998-06-15,21.875,22.938,21.875,22.938,165900,AMT
AMT,1998-06-16,21.75,22.0,21.75,21.94,95000,AMT
AMT,1998-06-17,21.938,21.938,21.5,21.938,57400,AMT
AMT,1998-06-18,21.5,21.938,21.375,21.938,588700,AMT
AMT,1998-06-19,21.188,21.375,21.063,21.13,698100,AMT
AMT,1998-06-22,21.125,21.375,20.625,21.0,159500,AMT
AMT,1998-06-23,22.5,22.75,21.625,21.88,234000,AMT
AMT,1998-06-24,23.0,23.063,22.5,22.5,275900,AMT
AMT,1998-06-25,23.0,23.625,22.688,23.0,223500,AMT
AMT,1998-06-26,23.375,23.625,23.125,23.25,115800,AMT
AMT,1998-06-29,22.875,23.188,21.625,23.13,188900,AMT
AMT,1998-06-30,24.938,24.938,22.688,22.94,566300,AMT
AMT,1998-07-01,24.688,25.625,24.375,25.0,449600,AMT
AMT,1998-07-02,24.0,24.688,24.0,24.0,5140500,AMT
AMT,1998-07-03,24.0,24.688,24.0,24.0,0,AMT
AMT,1998-07-06,25.25,25.313,24.188,24.25,991100,AMT
AMT,1998-07-07,25.875,27.0,25.625,26.06,1096000,AMT
AMT,1998-07-08,26.5,27.25,26.125,26.13,431200,AMT
AMT,1998-07-09,25.938,27.125,25.625,26.5,659300,AMT
AMT,1998-07-10,26.25,26.625,25.75,26.13,334700,AMT
AMT,1998-07-13,27.25,27.313,26.688,26.94,429600,AMT
AMT,1998-07-14,26.125,27.375,26.0,27.0,509200,AMT
AMT,1998-07-15,26.938,27.0,26.25,26.63,225800,AMT
AMT,1998-07-16,26.938,27.375,26.5,27.375,233300,AMT
AMT,1998-07-17,27.0,27.438,26.375,26.88,479300,AMT
AMT,1998-07-20,27.063,27.438,26.563,26.75,244800,AMT
AMT,1998-07-21,27.438,28.125,27.25,27.56,575300,AMT
AMT,1998-07-22,27.75,28.125,27.5,27.81,630200,AMT
AMT,1998-07-23,28.0,28.5,27.75,28.0,496100,AMT
AMT,1998-07-24,27.875,28.625,27.25,27.88,245300,AMT
AMT,1998-07-27,26.563,27.625,26.375,27.625,280600,AMT
AMT,1998-07-28,26.25,27.25,26.0,26.63,421600,AMT
AMT,1998-07-29,26.25,26.75,26.25,26.38,268000,AMT
AMT,1998-07-30,25.875,26.375,25.75,26.0,208200,AMT
AMT,1998-07-31,24.0,26.125,24.0,26.0,335600,AMT
AMT,1998-08-03,24.938,24.938,24.0,24.0,214700,AMT
AMT,1998-08-04,23.0,24.625,22.5,24.5,654300,AMT
AMT,1998-08-05,22.5,23.625,22.375,23.25,446700,AMT
AMT,1998-08-06,22.875,23.5,22.5,22.5,582600,AMT
AMT,1998-08-07,23.0,24.75,23.0,23.38,197300,AMT
AMT,1998-08-10,23.25,23.5,22.875,23.0,286500,AMT
AMT,1998-08-11,22.75,22.75,22.0,22.38,231200,AMT
AMT,1998-08-12,24.063,24.375,23.313,23.5,555700,AMT
AMT,1998-08-13,24.125,24.938,23.75,23.88,171600,AMT
AMT,1998-08-14,23.563,24.438,23.5,24.25,62600,AMT
AMT,1998-08-17,23.188,24.0,23.188,23.69,107100,AMT
AMT,1998-08-18,22.313,23.375,22.25,23.375,111600,AMT
AMT,1998-08-19,20.75,22.5,20.375,22.31,213100,AMT
AMT,1998-08-20,20.125,20.75,19.75,20.75,834700,AMT
AMT,1998-08-21,20.25,20.25,19.5,20.0,462900,AMT
AMT,1998-08-24,20.0,20.375,19.938,20.19,124100,AMT
AMT,1998-08-25,20.0,20.375,19.875,20.19,314800,AMT
AMT,1998-08-26,19.5,20.0,19.063,20.0,438900,AMT
AMT,1998-08-27,18.063,18.625,17.25,18.625,525400,AMT
AMT,1998-08-28,17.0,18.75,16.75,18.25,453600,AMT
AMT,1998-08-31,15.5,17.1875,14.375,17.0,284500,AMT
AMT,1998-09-01,17.0,17.0,15.5,16.0,363300,AMT
AMT,1998-09-02,19.25,19.625,17.0,17.0,813400,AMT
AMT,1998-09-03,18.875,19.25,18.5,18.5,444100,AMT
AMT,1998-09-04,18.625,18.688,18.063,18.5,78000,AMT
AMT,1998-09-07,18.625,18.688,18.063,18.5,0,AMT
AMT,1998-09-08,20.125,20.125,19.875,20.125,769500,AMT
AMT,1998-09-09,20.875,21.063,19.75,19.75,394600,AMT
AMT,1998-09-10,21.0,21.0,19.938,20.63,483700,AMT
AMT,1998-09-11,22.125,22.375,20.625,20.75,281400,AMT
AMT,1998-09-14,22.625,23.75,22.5625,23.0,210100,AMT
AMT,1998-09-15,22.938,22.938,22.375,22.75,816000,AMT
AMT,1998-09-16,23.25,23.375,22.375,23.19,1176700,AMT
AMT,1998-09-17,22.313,22.875,22.0,22.875,221200,AMT
AMT,1998-09-18,22.188,22.5,21.375,22.5,104200,AMT
AMT,1998-09-21,22.125,22.125,21.125,21.13,137800,AMT
AMT,1998-09-22,22.125,22.375,22.0,22.19,250199,AMT
AMT,1998-09-23,22.688,22.813,22.125,22.19,274000,AMT
AMT,1998-09-24,23.0,23.0,22.563,22.563,131300,AMT
AMT,1998-09-25,22.875,23.0,22.625,22.88,115200,AMT
AMT,1998-09-28,22.875,23.25,22.75,22.88,81300,AMT
AMT,1998-09-29,22.75,23.0625,22.5,22.75,176300,AMT
