Symbol,Date,Close,High,Low,Open,Volume,Name
ANTM,2001-10-30,20.45,20.45,20.175,20.25,45387000,ANTM
ANTM,2001-10-31,20.94,21.25,20.505,20.55,11104400,ANTM
ANTM,2001-11-01,21.085,21.3,20.9,21.125,3901800,ANTM
ANTM,2001-11-02,21.45,21.55,21.01,21.025,4075000,ANTM
ANTM,2001-11-05,21.445,21.75,21.375,21.75,2763800,ANTM
ANTM,2001-11-06,22.025,22.15,21.075,21.475,3248200,ANTM
ANTM,2001-11-07,21.625,21.875,21.245,21.875,2675200,ANTM
ANTM,2001-11-08,21.35,21.55,21.0,21.5,3404000,ANTM
ANTM,2001-11-09,21.0,21.25,20.5,21.25,3291600,ANTM
ANTM,2001-11-12,21.425,21.425,20.85,21.0,973600,ANTM
ANTM,2001-11-13,21.375,21.7,21.26,21.7,1721800,ANTM
ANTM,2001-11-14,22.975,23.0,21.775,22.0,4213000,ANTM
ANTM,2001-11-15,23.375,23.375,22.725,22.85,2310400,ANTM
ANTM,2001-11-16,23.4,23.6,23.15,23.45,2176200,ANTM
ANTM,2001-11-19,23.75,23.785,23.2,23.375,2007200,ANTM
ANTM,2001-11-20,24.4,24.625,23.625,23.65,2783000,ANTM
ANTM,2001-11-21,24.505,24.85,24.205,24.35,2684000,ANTM
ANTM,2001-11-22,24.505,24.85,24.205,24.35,0,ANTM
ANTM,2001-11-23,24.59,24.675,24.475,24.475,287800,ANTM
ANTM,2001-11-26,24.275,25.125,24.15,24.85,1915400,ANTM
ANTM,2001-11-27,24.3,24.925,24.135,24.4,1146000,ANTM
ANTM,2001-11-28,24.475,24.6,23.755,24.275,625200,ANTM
ANTM,2001-11-29,25.005,25.05,24.54,24.75,1136800,ANTM
ANTM,2001-11-30,25.425,25.5,24.9,25.05,2909200,ANTM
ANTM,2001-12-03,25.65,25.65,25.05,25.4,1266800,ANTM
ANTM,2001-12-04,25.75,25.75,25.35,25.675,794000,ANTM
ANTM,2001-12-05,24.43,25.95,24.35,25.9,1356200,ANTM
ANTM,2001-12-06,24.245,24.5,23.675,24.45,902600,ANTM
ANTM,2001-12-07,24.3,24.35,23.8,24.25,649600,ANTM
ANTM,2001-12-10,24.125,24.435,24.075,24.3,308000,ANTM
ANTM,2001-12-11,24.1,24.345,23.855,24.125,892800,ANTM
ANTM,2001-12-12,23.93,24.125,23.925,24.125,474800,ANTM
ANTM,2001-12-13,24.05,24.05,23.45,23.805,960600,ANTM
ANTM,2001-12-14,24.0,24.05,23.675,24.0,813600,ANTM
ANTM,2001-12-17,24.625,24.65,23.96,24.05,422200,ANTM
ANTM,2001-12-18,24.65,24.8,24.61,24.75,809200,ANTM
ANTM,2001-12-19,24.0,24.675,23.875,24.65,1473200,ANTM
ANTM,2001-12-20,23.45,24.0,23.4,23.88,1312000,ANTM
