Symbol,Date,Close,High,Low,Open,Volume,Name
APC,1998-05-29,16.5,16.547,16.3595,16.375,595200,APC
APC,1998-06-01,16.25,16.469,16.2345,16.469,640800,APC
APC,1998-06-02,16.25,16.3595,16.2035,16.25,444800,APC
APC,1998-06-03,16.2035,16.422,16.1875,16.315,962400,APC
APC,1998-06-04,16.625,16.625,16.2345,16.25,1087200,APC
APC,1998-06-05,16.891,16.891,16.4375,16.625,869600,APC
APC,1998-06-08,16.5625,16.875,16.4535,16.875,1228000,APC
APC,1998-06-09,16.3125,16.5625,16.297,16.5625,1216400,APC
APC,1998-06-10,16.1565,16.3125,16.1565,16.3,1132400,APC
APC,1998-06-11,15.516,16.219,15.5,16.155,2130400,APC
APC,1998-06-12,15.625,15.625,15.344,15.47,865600,APC
APC,1998-06-15,15.1565,15.6565,15.1565,15.625,1009600,APC
APC,1998-06-16,15.4375,15.5625,15.219,15.22,922000,APC
APC,1998-06-17,16.219,16.6095,15.5,15.5,1726000,APC
APC,1998-06-18,15.9535,16.344,15.9375,16.25,1710400,APC
APC,1998-06-19,15.8125,16.0785,15.797,15.91,772800,APC
APC,1998-06-22,16.4845,16.6565,15.8125,15.815,592400,APC
APC,1998-06-23,16.6565,16.797,16.5315,16.675,1870400,APC
APC,1998-06-24,16.75,16.75,16.547,16.72,2336400,APC
APC,1998-06-25,16.672,16.75,16.594,16.75,1251200,APC
APC,1998-06-26,16.75,16.75,16.6875,16.69,1314800,APC
APC,1998-06-29,16.7345,16.7815,16.719,16.75,1388400,APC
APC,1998-06-30,16.797,16.9065,16.6565,16.765,1442000,APC
APC,1998-07-01,17.3595,17.4375,16.8125,16.83,1104800,APC
APC,1998-07-02,17.4065,17.5625,17.1875,17.44,393600,APC
APC,1998-07-03,17.4065,17.5625,17.1875,17.44,0,APC
APC,1998-07-06,17.25,17.6565,17.0,17.53,380600,APC
APC,1998-07-07,16.719,17.344,16.6875,17.344,312400,APC
APC,1998-07-08,17.0315,17.125,16.5625,16.625,325800,APC
APC,1998-07-09,16.4065,17.0,16.4065,16.94,622000,APC
APC,1998-07-10,16.375,16.594,16.1875,16.47,467000,APC
APC,1998-07-13,16.375,16.375,15.9375,16.25,252000,APC
APC,1998-07-14,16.2815,16.594,16.0,16.03,773000,APC
APC,1998-07-15,16.7815,16.7815,16.2815,16.315,888800,APC
APC,1998-07-16,16.8125,16.969,16.625,16.905,648400,APC
