Symbol,Date,Close,High,Low,Open,Volume,Name
APD,1998-05-29,40.2159,40.6209,40.2159,40.3084,488045,APD
APD,1998-06-01,40.4766,40.9093,40.1586,40.1605,455379,APD
APD,1998-06-02,40.5053,41.0831,40.4184,40.4748,323200,APD
APD,1998-06-03,40.5053,40.7651,40.0144,40.4471,378581,APD
APD,1998-06-04,40.4184,40.534,40.1004,40.534,372307,APD
APD,1998-06-05,40.2159,40.4766,40.1873,40.3084,565708,APD
APD,1998-06-08,40.5922,40.6495,40.1586,40.1605,584529,APD
APD,1998-06-09,40.3315,40.5922,40.043,40.5395,436342,APD
APD,1998-06-10,40.3897,40.6495,40.3028,40.3084,545806,APD
APD,1998-06-11,40.0717,40.6209,39.8692,40.3638,820331,APD
APD,1998-06-12,39.3783,40.1873,39.1759,39.9848,594913,APD
APD,1998-06-15,38.8005,39.2914,38.7719,39.2914,544508,APD
APD,1998-06-16,39.8692,40.1586,38.7136,38.7182,370144,APD
APD,1998-06-17,40.2159,40.852,39.8692,39.8739,929146,APD
APD,1998-06-18,40.043,40.3315,39.9848,39.9848,497888,APD
APD,1998-06-19,36.9228,40.2742,36.749,40.2714,2768403,APD
APD,1998-06-22,36.8646,37.3851,36.1139,36.8692,1228334,APD
APD,1998-06-23,37.3269,37.5007,36.749,36.9247,577715,APD
APD,1998-06-24,37.5007,37.5007,36.8646,37.3315,585611,APD
APD,1998-06-25,36.5762,37.5007,36.0557,37.4424,1012975,APD
APD,1998-06-26,36.4023,36.8073,35.9401,36.8045,801186,APD
APD,1998-06-29,35.9401,36.5179,35.6517,35.7136,752619,APD
APD,1998-06-30,36.9802,37.0384,35.8828,36.0002,712814,APD
APD,1998-07-01,35.8245,36.8646,35.5934,36.8045,478310,APD
APD,1998-07-02,35.2467,35.8828,34.6689,35.8245,856134,APD
APD,1998-07-03,35.2467,35.8828,34.6689,35.8245,0,APD
APD,1998-07-06,36.5762,36.6917,35.2467,35.2513,597509,APD
APD,1998-07-07,36.6335,37.0957,36.6335,36.6936,595887,APD
APD,1998-07-08,36.4606,36.6335,36.0557,36.6335,423578,APD
APD,1998-07-09,35.5934,36.8646,35.5361,36.5179,866734,APD
APD,1998-07-10,35.0156,35.8245,34.8427,35.7136,984419,APD
APD,1998-07-13,34.6689,35.1889,34.6689,35.0156,783771,APD
APD,1998-07-14,35.3623,35.8245,35.0738,35.0757,287613,APD
APD,1998-07-15,35.1894,35.4205,35.0738,35.1312,626498,APD
APD,1998-07-16,35.1312,35.5361,34.9,35.4178,765707,APD
APD,1998-07-17,35.3623,35.3623,35.0156,35.1866,607893,APD
APD,1998-07-20,35.0738,35.7672,34.7845,34.7891,533691,APD
APD,1998-07-21,34.7845,35.8245,34.7845,35.5934,1020438,APD
APD,1998-07-22,35.1894,35.3623,34.9,35.0202,883933,APD
APD,1998-07-23,34.4378,35.3623,34.4378,35.3623,1292693,APD
APD,1998-07-24,35.0156,35.1894,34.0338,34.9,526444,APD
APD,1998-07-27,35.1312,35.3623,34.5533,34.9,993505,APD
APD,1998-07-28,34.38,35.1312,33.5133,35.1312,829850,APD
APD,1998-07-29,34.3805,34.7845,34.1493,34.6689,710759,APD
APD,1998-07-30,33.7444,34.7271,33.7444,34.6134,847156,APD
APD,1998-07-31,32.3576,33.7444,32.0692,33.7444,1035149,APD
APD,1998-08-03,32.3003,33.1093,32.1265,32.5888,917140,APD
APD,1998-08-04,30.798,32.3576,30.6242,32.3576,727633,APD
APD,1998-08-05,30.9709,31.1447,30.2775,30.8599,979119,APD
APD,1998-08-06,30.5086,30.6824,30.2202,30.2775,1078416,APD
APD,1998-08-07,31.202,31.6069,30.8553,31.4331,1144721,APD
APD,1998-08-10,31.6643,31.6643,31.0291,31.2575,731959,APD
APD,1998-08-11,31.6643,31.7798,30.5669,31.0911,869222,APD
APD,1998-08-12,32.3003,32.3576,31.7798,32.0156,605405,APD
APD,1998-08-13,31.5487,32.5314,31.4331,32.4131,655270,APD
APD,1998-08-14,31.3176,31.8954,31.202,31.4331,632230,APD
APD,1998-08-17,31.6643,31.7225,31.0291,31.2575,641316,APD
APD,1998-08-18,32.3003,32.4732,31.3176,31.5533,657325,APD
APD,1998-08-19,32.4732,32.5888,32.3003,32.3022,475498,APD
APD,1998-08-20,32.7626,32.8781,32.3576,32.4778,548834,APD
APD,1998-08-21,32.7043,32.8199,31.6643,32.6442,954133,APD
APD,1998-08-24,32.1265,33.2248,31.8381,33.2248,592425,APD
APD,1998-08-25,31.3758,32.3576,31.202,32.2467,1262298,APD
APD,1998-08-26,30.798,32.647,30.5086,32.6442,1106214,APD
APD,1998-08-27,29.4686,30.798,29.2957,30.7952,797833,APD
APD,1998-08-28,29.5268,30.5086,29.1219,29.7043,635800,APD
APD,1998-08-31,28.2556,30.2775,28.1974,29.7598,494968,APD
APD,1998-09-01,29.4112,30.2202,28.4285,28.6042,638288,APD
APD,1998-09-02,29.2374,29.7579,28.6596,29.4732,557055,APD
APD,1998-09-03,29.6997,29.7579,28.8334,29.2421,498429,APD
APD,1998-09-04,29.1219,30.0464,28.7179,29.9354,578147,APD
APD,1998-09-07,29.1219,30.0464,28.7179,29.9354,0,APD
APD,1998-09-08,30.0464,30.0464,29.1219,29.1219,588748,APD
APD,1998-09-09,29.8153,30.8553,29.6424,30.5641,449321,APD
APD,1998-09-10,28.6596,29.5841,28.5441,29.5841,446185,APD
APD,1998-09-11,29.1219,29.1219,28.3129,28.6596,508380,APD
APD,1998-09-14,29.5268,29.8153,29.4112,29.5841,754566,APD
APD,1998-09-15,30.4513,30.5086,28.949,29.2975,424335,APD
APD,1998-09-16,30.798,30.9136,29.9308,30.6843,293021,APD
APD,1998-09-17,30.3931,31.7798,29.8153,31.7197,507839,APD
APD,1998-09-18,30.2202,30.6242,29.9308,30.3977,377499,APD
APD,1998-09-21,29.6424,30.1046,29.2374,29.5841,529473,APD
APD,1998-09-22,28.8908,29.9308,28.6596,29.7043,551647,APD
APD,1998-09-23,28.5441,29.0646,28.2556,29.0646,1119302,APD
APD,1998-09-24,28.5441,28.949,27.9662,27.9662,995452,APD
APD,1998-09-25,28.7179,28.7752,27.9662,28.5487,522334,APD
APD,1998-09-28,28.4867,29.4112,28.2556,29.4085,663490,APD
APD,1998-09-29,28.5441,28.7752,28.2556,28.6596,363546,APD
APD,1998-09-30,27.504,28.6023,27.504,28.3176,359544,APD
APD,1998-10-01,27.6196,27.6778,26.8106,27.2729,664356,APD
APD,1998-10-02,27.8507,27.9089,26.8689,27.6242,283070,APD
APD,1998-10-05,27.8507,28.0818,27.504,27.8553,360733,APD
APD,1998-10-06,29.0646,29.2374,27.7351,28.0864,508380,APD
APD,1998-10-07,29.353,30.0464,29.0063,29.0664,1176739,APD
APD,1998-10-08,27.7351,29.2957,27.6778,28.8908,659272,APD
APD,1998-10-09,28.6596,29.0646,27.6196,27.7351,1006161,APD
APD,1998-10-12,29.9891,30.1619,28.8908,28.8908,296807,APD
APD,1998-10-13,30.6242,31.0291,29.8153,29.9909,590370,APD
APD,1998-10-14,32.3003,33.051,30.6242,30.6843,987556,APD
APD,1998-10-15,33.051,33.051,32.2421,32.3022,1069870,APD
APD,1998-10-16,34.3805,34.4378,33.5133,33.9755,430933,APD
APD,1998-10-19,34.2067,34.3222,33.6871,34.3222,540614,APD
APD,1998-10-20,34.2067,34.9,33.9755,34.2067,513464,APD
APD,1998-10-21,33.1093,34.1493,32.9355,34.1493,303297,APD
APD,1998-10-22,34.7845,34.8427,33.2821,33.3376,451377,APD
APD,1998-10-23,33.6288,34.6116,32.7043,34.558,625416,APD
APD,1998-10-26,34.4378,34.7271,33.5133,33.5133,869871,APD
APD,1998-10-27,33.7444,34.3805,33.051,34.2067,600862,APD
APD,1998-10-28,33.456,34.0911,32.8199,33.7444,303838,APD
APD,1998-10-29,34.496,34.496,32.647,33.6335,579770,APD
APD,1998-10-30,34.9,35.1312,34.1493,34.4378,689018,APD
APD,1998-11-02,35.709,36.6917,35.4778,35.5934,762138,APD
APD,1998-11-03,36.9802,38.1358,34.7845,34.7891,979335,APD
APD,1998-11-04,36.9228,37.0957,36.2295,36.9802,574361,APD
APD,1998-11-05,37.7891,37.9047,36.4606,36.8692,368197,APD
APD,1998-11-06,37.5007,37.6735,36.9802,36.9802,411247,APD
APD,1998-11-09,37.154,37.4424,36.6335,37.4424,636557,APD
APD,1998-11-10,36.345,37.0384,36.345,36.5734,347321,APD
APD,1998-11-11,35.1894,36.345,34.9583,36.3423,741154,APD
APD,1998-11-12,36.345,37.0384,36.345,37.0384,347321,APD
APD,1998-11-13,36.9802,36.9802,34.2067,35.1312,562139,APD
APD,1998-11-16,37.4424,37.558,36.8068,36.9224,465330,APD
APD,1998-11-17,37.8473,38.1358,37.2113,37.5626,575227,APD
APD,1998-11-18,36.9802,37.7318,36.9228,37.729,516493,APD
APD,1998-11-19,36.5179,37.3851,36.0557,37.3315,308057,APD
APD,1998-11-20,36.345,36.6917,35.709,36.6917,347213,APD
APD,1998-11-23,37.7891,37.7891,35.8245,36.3423,442291,APD
APD,1998-11-24,36.8073,37.9047,36.4606,37.3315,636233,APD
APD,1998-11-25,36.8073,37.9047,36.4606,37.3315,0,APD
APD,1998-11-26,36.8073,37.9047,36.4606,37.3315,0,APD
APD,1998-11-27,36.6917,37.154,36.5179,37.154,93888,APD
APD,1998-11-30,35.2467,36.2868,34.2067,36.2313,605513,APD
APD,1998-12-01,35.1312,35.5934,34.8427,35.5934,628336,APD
APD,1998-12-02,34.2067,35.1312,33.9182,35.1312,410382,APD
APD,1998-12-03,33.6871,34.496,33.456,34.3268,432772,APD
APD,1998-12-04,34.0911,34.0911,33.3404,33.6889,280799,APD
APD,1998-12-07,34.3805,34.3805,33.86,34.1512,279176,APD
APD,1998-12-08,33.2248,34.5533,32.7043,34.4932,417196,APD
APD,1998-12-09,33.9755,34.1493,33.1093,33.4023,458624,APD
APD,1998-12-10,33.7444,34.3222,33.7444,33.8022,388857,APD
APD,1998-12-11,33.5133,33.7444,33.1093,33.5687,590046,APD
APD,1998-12-14,33.9755,34.3222,33.2248,33.5133,492047,APD
APD,1998-12-15,33.1666,34.0911,32.9355,33.8646,629959,APD
APD,1998-12-16,32.8199,33.8026,32.4732,33.1712,591344,APD
APD,1998-12-17,34.496,34.6689,32.3003,32.709,708704,APD
APD,1998-12-18,33.7444,34.4378,33.7444,34.2067,551430,APD
APD,1998-12-21,35.709,35.709,33.7444,33.7444,343751,APD
APD,1998-12-22,35.2467,35.5934,33.9755,35.5934,630067,APD
APD,1998-12-23,35.305,35.3623,34.5533,35.2513,394589,APD
APD,1998-12-24,35.6517,35.709,35.3623,35.3623,103406,APD
APD,1998-12-25,35.6517,35.709,35.3623,35.3623,0,APD
APD,1998-12-28,36.1712,36.6917,35.2467,35.4178,335855,APD
APD,1998-12-29,35.9401,35.9983,35.4205,35.4825,260788,APD
APD,1998-12-30,35.5361,35.8828,35.1312,35.7136,226499,APD
