Symbol,Date,Close,High,Low,Open,Volume,Name
AZO,1998-05-29,33.25,33.563,33.25,33.31,293700,AZO
AZO,1998-06-01,33.313,34.25,33.313,34.13,639100,AZO
AZO,1998-06-02,33.438,33.625,33.125,33.5,766100,AZO
AZO,1998-06-03,33.438,33.688,33.25,33.38,288100,AZO
AZO,1998-06-04,33.438,33.688,33.25,33.56,1523200,AZO
AZO,1998-06-05,33.5,33.563,33.25,33.56,954400,AZO
AZO,1998-06-08,32.063,33.5,31.75,33.44,1675000,AZO
AZO,1998-06-09,31.625,32.063,31.563,32.06,807800,AZO
AZO,1998-06-10,31.375,31.938,31.0,31.63,1974500,AZO
AZO,1998-06-11,31.688,31.813,31.25,31.44,630600,AZO
AZO,1998-06-12,31.938,32.125,31.313,31.69,994400,AZO
AZO,1998-06-15,31.625,31.688,31.25,31.44,568000,AZO
AZO,1998-06-16,31.938,32.0,31.75,31.94,604500,AZO
AZO,1998-06-17,31.688,32.25,31.563,31.94,698300,AZO
AZO,1998-06-18,32.438,32.813,31.875,32.0,378600,AZO
AZO,1998-06-19,32.375,33.063,32.375,32.63,568200,AZO
AZO,1998-06-22,33.625,33.938,33.188,33.19,600200,AZO
AZO,1998-06-23,34.688,34.688,34.0,34.0,813200,AZO
AZO,1998-06-24,34.938,35.063,34.688,34.75,634700,AZO
AZO,1998-06-25,34.5,35.25,34.313,35.0,530300,AZO
AZO,1998-06-26,32.5,33.938,32.0,33.38,1086500,AZO
AZO,1998-06-29,32.438,32.563,32.188,32.5,346100,AZO
AZO,1998-06-30,31.938,32.438,31.938,32.438,339300,AZO
AZO,1998-07-01,32.313,33.125,31.75,32.31,458800,AZO
AZO,1998-07-02,33.563,33.875,33.188,33.38,431100,AZO
AZO,1998-07-03,33.563,33.875,33.188,33.38,0,AZO
AZO,1998-07-06,35.063,35.125,33.5,33.56,2126700,AZO
AZO,1998-07-07,34.938,35.438,34.563,35.19,1528200,AZO
AZO,1998-07-08,35.375,35.375,34.625,35.13,472400,AZO
AZO,1998-07-09,36.688,37.0,35.063,35.25,1450800,AZO
AZO,1998-07-10,36.438,37.438,36.0,37.438,721300,AZO
AZO,1998-07-13,36.4375,36.625,35.375,36.625,416700,AZO
AZO,1998-07-14,35.938,36.125,35.813,35.94,562600,AZO
AZO,1998-07-15,36.063,36.188,35.875,35.94,597000,AZO
AZO,1998-07-16,36.188,36.25,35.75,36.19,522800,AZO
AZO,1998-07-17,37.375,37.563,36.313,36.38,616400,AZO
AZO,1998-07-20,36.0,37.375,36.0,37.375,1960200,AZO
AZO,1998-07-21,35.875,36.125,35.5,36.0,722300,AZO
AZO,1998-07-22,37.188,37.375,35.375,35.88,647300,AZO
