Symbol,Date,Close,High,Low,Open,Volume,Name
BEN,1998-05-29,16.2917,16.3333,16.2083,16.23,1112700,BEN
BEN,1998-06-01,16.375,16.521,16.125,16.2933,1680300,BEN
BEN,1998-06-02,16.271,16.4167,16.2083,16.3133,912000,BEN
BEN,1998-06-03,16.2293,16.6877,16.2083,16.3533,1029600,BEN
BEN,1998-06-04,16.25,16.6667,15.9167,16.1667,1338300,BEN
BEN,1998-06-05,16.75,16.771,16.25,16.3333,1111800,BEN
BEN,1998-06-08,16.75,16.9583,16.4377,16.9167,1480500,BEN
BEN,1998-06-09,16.771,16.9793,16.625,16.75,1099200,BEN
BEN,1998-06-10,16.6877,16.7917,16.625,16.75,823800,BEN
BEN,1998-06-11,16.4377,16.6667,16.3127,16.6667,1031400,BEN
BEN,1998-06-12,16.375,16.396,15.9167,16.3533,961200,BEN
BEN,1998-06-15,16.1667,16.4583,16.146,16.21,818400,BEN
BEN,1998-06-16,16.271,16.2917,16.021,16.1667,981600,BEN
BEN,1998-06-17,16.9167,17.3333,16.5833,16.5833,1217700,BEN
BEN,1998-06-18,16.771,17.1667,16.75,17.0,577800,BEN
BEN,1998-06-19,17.0,17.3127,16.7083,17.0,1685700,BEN
BEN,1998-06-22,16.5417,17.146,16.2917,16.46,1407000,BEN
BEN,1998-06-23,16.8543,16.8543,16.396,16.5433,966900,BEN
BEN,1998-06-24,17.9167,17.9167,16.7083,16.77,1310400,BEN
BEN,1998-06-25,17.521,17.9793,17.4167,17.96,671100,BEN
BEN,1998-06-26,17.4583,17.5,17.0833,17.2933,965700,BEN
BEN,1998-06-29,17.7917,17.8333,17.5,17.52,674100,BEN
BEN,1998-06-30,18.0,18.0,17.4793,17.8767,827700,BEN
BEN,1998-07-01,17.8333,18.0,17.25,17.96,1276200,BEN
BEN,1998-07-02,17.8543,17.896,17.3543,17.75,699000,BEN
BEN,1998-07-03,17.8543,17.896,17.3543,17.75,0,BEN
BEN,1998-07-06,18.0627,18.0833,17.75,17.8533,614400,BEN
BEN,1998-07-07,17.5627,18.2917,17.4583,18.1667,1110900,BEN
BEN,1998-07-08,17.8333,17.9377,17.25,17.5,1158300,BEN
BEN,1998-07-09,17.2917,17.7917,17.2917,17.7917,826200,BEN
BEN,1998-07-10,17.3333,17.5833,16.9583,17.25,1185600,BEN
BEN,1998-07-13,17.3333,17.3333,16.875,17.25,1222800,BEN
BEN,1998-07-14,16.5833,16.7708,16.4583,16.5833,1491600,BEN
BEN,1998-07-15,16.125,16.7293,16.0833,16.5833,2311800,BEN
BEN,1998-07-16,16.3127,16.396,15.8333,16.0433,2222400,BEN
BEN,1998-07-17,16.7083,17.0833,16.4793,17.0833,2235000,BEN
BEN,1998-07-20,16.6043,16.6667,16.2083,16.6667,1514100,BEN
BEN,1998-07-21,16.271,16.6043,16.0627,16.6033,1505400,BEN
BEN,1998-07-22,16.1667,16.2917,16.021,16.1267,1124100,BEN
BEN,1998-07-23,15.1667,16.0833,15.0833,16.02,2400000,BEN
BEN,1998-07-24,14.875,15.1043,14.4583,15.0833,2513700,BEN
BEN,1998-07-27,15.1043,15.1043,14.3333,14.3767,1162200,BEN
BEN,1998-07-28,14.8127,15.146,14.25,15.0633,1607100,BEN
BEN,1998-07-29,14.3543,14.9167,14.3333,14.8133,1590600,BEN
BEN,1998-07-30,14.7083,14.75,14.3333,14.4167,1999200,BEN
BEN,1998-07-31,14.521,14.7917,14.3543,14.7917,2028000,BEN
BEN,1998-08-03,14.25,14.4583,14.1667,14.4367,1666800,BEN
BEN,1998-08-04,13.9167,14.375,13.5,14.3533,1702200,BEN
BEN,1998-08-05,13.8333,14.2083,13.4377,13.9167,2154600,BEN
BEN,1998-08-06,14.1667,14.1667,13.7083,13.8533,765600,BEN
BEN,1998-08-07,13.8333,14.5,13.6667,14.25,1763400,BEN
BEN,1998-08-10,13.7917,14.125,13.7293,13.8133,1578600,BEN
BEN,1998-08-11,13.75,13.75,13.3333,13.75,1557000,BEN
BEN,1998-08-12,13.4583,13.8127,13.4583,13.73,1779000,BEN
BEN,1998-08-13,13.3127,13.646,13.2917,13.5,2272200,BEN
BEN,1998-08-14,13.2293,13.5833,13.1877,13.3767,1335300,BEN
BEN,1998-08-17,13.646,13.7293,13.125,13.3967,1355400,BEN
BEN,1998-08-18,14.125,14.146,13.646,13.6467,1941000,BEN
BEN,1998-08-19,13.3543,14.0627,13.3543,14.0433,2347500,BEN
BEN,1998-08-20,13.6667,13.7917,13.375,13.3767,2283900,BEN
BEN,1998-08-21,13.375,13.6043,13.1043,13.6033,2086199,BEN
BEN,1998-08-24,13.3333,13.5833,13.021,13.4167,1330200,BEN
