Symbol,Date,Close,High,Low,Open,Volume,Name
BLK,1999-10-01,14.125,14.25,14.0,14.0,3162400,BLK
BLK,1999-10-04,14.063,14.125,14.0,14.0,533400,BLK
BLK,1999-10-05,14.188,14.188,14.0,14.06,270600,BLK
BLK,1999-10-06,14.875,14.875,14.125,14.13,205400,BLK
BLK,1999-10-07,14.125,14.875,14.063,14.875,214200,BLK
BLK,1999-10-08,14.063,14.188,14.063,14.188,65600,BLK
BLK,1999-10-11,14.063,14.125,14.0,14.06,77500,BLK
BLK,1999-10-12,14.125,14.125,14.0,14.06,49200,BLK
BLK,1999-10-13,14.063,14.375,14.0,14.13,49900,BLK
BLK,1999-10-14,13.625,14.063,13.25,14.0,430900,BLK
BLK,1999-10-15,13.063,13.188,12.688,13.13,158200,BLK
BLK,1999-10-18,12.813,13.0,12.5,13.0,83800,BLK
BLK,1999-10-19,13.25,13.25,12.75,12.75,58200,BLK
BLK,1999-10-20,13.125,13.5,13.125,13.38,62600,BLK
BLK,1999-10-21,13.438,13.438,13.0,13.13,98200,BLK
BLK,1999-10-22,13.5,13.563,13.313,13.38,191200,BLK
BLK,1999-10-25,13.938,13.938,13.438,13.44,153100,BLK
BLK,1999-10-26,14.0,14.125,13.813,13.813,65600,BLK
BLK,1999-10-27,14.063,14.188,14.0,14.0,100900,BLK
BLK,1999-10-28,14.125,14.5,14.125,14.19,255300,BLK
BLK,1999-10-29,15.25,15.25,14.125,14.13,123200,BLK
BLK,1999-11-01,14.75,15.0,14.625,15.0,41800,BLK
BLK,1999-11-02,14.75,14.875,14.313,14.75,66600,BLK
BLK,1999-11-03,14.75,14.875,14.688,14.69,18500,BLK
BLK,1999-11-04,14.938,15.125,14.5,14.88,72100,BLK
BLK,1999-11-05,15.75,15.875,14.875,15.0,122900,BLK
BLK,1999-11-08,16.625,17.375,15.813,15.88,240000,BLK
BLK,1999-11-09,16.125,16.75,16.125,16.75,42400,BLK
BLK,1999-11-10,16.063,16.125,15.813,16.0,59900,BLK
BLK,1999-11-11,16.125,16.25,16.063,16.063,20000,BLK
BLK,1999-11-12,18.0,18.5,16.25,16.25,248500,BLK
BLK,1999-11-15,17.688,18.188,17.5,18.188,99200,BLK
BLK,1999-11-16,17.438,17.688,17.375,17.688,95300,BLK
BLK,1999-11-17,17.5,18.25,17.25,17.69,107900,BLK
BLK,1999-11-18,17.25,17.5,17.25,17.5,67500,BLK
BLK,1999-11-19,17.625,17.75,17.188,17.25,31200,BLK
BLK,1999-11-22,17.813,17.875,17.563,17.563,36500,BLK
BLK,1999-11-23,19.125,19.375,17.813,17.813,65500,BLK
BLK,1999-11-24,18.563,19.0,18.375,19.0,53800,BLK
BLK,1999-11-25,18.563,19.0,18.375,19.0,0,BLK
BLK,1999-11-26,18.438,18.5,18.375,18.5,2600,BLK
BLK,1999-11-29,18.125,18.375,17.875,18.375,20200,BLK
BLK,1999-11-30,18.375,18.5,18.188,18.19,36800,BLK
BLK,1999-12-01,18.563,18.625,18.25,18.38,43800,BLK
BLK,1999-12-02,19.0,19.0,18.563,18.563,33200,BLK
BLK,1999-12-03,19.188,19.375,19.063,19.13,62000,BLK
BLK,1999-12-06,18.375,19.188,18.25,19.188,38200,BLK
BLK,1999-12-07,18.625,19.0,18.438,18.5,112500,BLK
BLK,1999-12-08,18.188,18.5,18.0,18.5,27700,BLK
BLK,1999-12-09,18.25,18.375,18.125,18.25,15500,BLK
BLK,1999-12-10,17.625,18.125,17.625,18.125,22400,BLK
BLK,1999-12-13,17.438,18.0,17.438,17.75,44500,BLK
BLK,1999-12-14,17.125,17.25,17.063,17.25,19400,BLK
BLK,1999-12-15,17.125,17.125,16.875,17.125,11100,BLK
BLK,1999-12-16,16.813,17.25,16.813,17.06,90700,BLK
BLK,1999-12-17,17.125,17.25,16.688,16.69,37300,BLK
BLK,1999-12-20,16.938,17.0,16.813,17.0,31300,BLK
BLK,1999-12-21,17.0,17.063,16.875,16.94,11800,BLK
BLK,1999-12-22,17.188,17.375,17.125,17.13,6300,BLK
BLK,1999-12-23,17.125,17.25,17.0,17.19,3000,BLK
BLK,1999-12-24,17.125,17.25,17.0,17.19,0,BLK
BLK,1999-12-27,17.125,17.125,17.063,17.063,2400,BLK
BLK,1999-12-28,17.375,17.625,17.063,17.063,65600,BLK
BLK,1999-12-29,17.25,17.438,17.125,17.438,9600,BLK
BLK,1999-12-30,17.313,17.375,17.125,17.13,5100,BLK
BLK,1999-12-31,17.188,17.375,17.188,17.25,13000,BLK
BLK,2000-01-03,16.625,17.5,16.625,17.44,64600,BLK
BLK,2000-01-04,15.875,16.625,15.625,16.625,81900,BLK
BLK,2000-01-05,15.75,15.75,15.0,15.75,38100,BLK
BLK,2000-01-06,16.0,16.25,15.75,15.75,41200,BLK
BLK,2000-01-07,15.875,16.25,15.75,15.88,34700,BLK
BLK,2000-01-10,16.0,16.5,16.0,16.5,94200,BLK
BLK,2000-01-11,16.438,16.875,16.0,16.13,39700,BLK
BLK,2000-01-12,17.125,17.125,16.5,16.5,25100,BLK
BLK,2000-01-13,16.938,17.5,16.875,17.25,62000,BLK
BLK,2000-01-14,17.5,17.75,16.875,17.0,183100,BLK
BLK,2000-01-17,17.5,17.75,16.875,17.0,0,BLK
BLK,2000-01-18,18.0,18.25,17.75,17.75,77300,BLK
BLK,2000-01-19,18.25,18.375,17.938,18.0,34500,BLK
BLK,2000-01-20,17.5,18.25,17.375,18.25,42200,BLK
BLK,2000-01-21,17.375,17.5,17.25,17.44,16000,BLK
BLK,2000-01-24,17.125,17.5,17.0,17.5,10700,BLK
BLK,2000-01-25,17.25,17.5,17.063,17.13,19200,BLK
BLK,2000-01-26,17.438,17.5,17.25,17.25,16600,BLK
BLK,2000-01-27,17.5,18.0,17.438,17.44,33600,BLK
BLK,2000-01-28,17.375,17.625,17.313,17.625,3900,BLK
BLK,2000-01-31,17.5,17.5,17.125,17.13,53900,BLK
BLK,2000-02-01,17.75,17.75,17.375,17.38,15400,BLK
BLK,2000-02-02,17.938,18.125,17.875,18.0,92700,BLK
BLK,2000-02-03,18.0,18.125,17.938,18.06,35200,BLK
