Symbol,Date,Close,High,Low,Open,Volume,Name
BRK.B,1998-05-29,46.96,46.96,46.42,46.96,216000,BRK.B
BRK.B,1998-06-01,47.16,47.3,46.8,47.16,142000,BRK.B
BRK.B,1998-06-02,49.12,49.12,47.06,49.12,588000,BRK.B
BRK.B,1998-06-03,50.2,50.68,48.64,50.2,650000,BRK.B
BRK.B,1998-06-04,50.96,50.96,50.0,50.96,565350,BRK.B
BRK.B,1998-06-05,51.2,51.3,50.54,51.2,297000,BRK.B
BRK.B,1998-06-08,52.2,52.32,50.88,52.2,501950,BRK.B
BRK.B,1998-06-09,51.92,52.26,51.4,51.92,1029750,BRK.B
BRK.B,1998-06-10,51.34,51.9,50.9,51.34,466600,BRK.B
BRK.B,1998-06-11,51.2,51.72,50.86,51.2,255050,BRK.B
BRK.B,1998-06-12,51.08,51.5,50.2,51.08,265150,BRK.B
BRK.B,1998-06-15,50.1,51.08,50.02,50.1,394850,BRK.B
BRK.B,1998-06-16,51.24,51.26,50.02,51.24,303950,BRK.B
BRK.B,1998-06-17,52.32,53.66,51.92,52.32,580400,BRK.B
BRK.B,1998-06-18,52.76,53.1,52.2,52.76,317950,BRK.B
BRK.B,1998-06-19,54.1,54.28,52.72,54.1,413000,BRK.B
BRK.B,1998-06-22,51.9,55.9,51.9,51.9,2299700,BRK.B
BRK.B,1998-06-23,52.42,52.76,52.28,52.42,830750,BRK.B
BRK.B,1998-06-24,52.26,52.6,52.14,52.26,474200,BRK.B
BRK.B,1998-06-25,52.04,52.46,52.0,52.04,444650,BRK.B
BRK.B,1998-06-26,52.12,52.32,52.08,52.12,230050,BRK.B
BRK.B,1998-06-29,52.28,52.42,52.2,52.28,328250,BRK.B
BRK.B,1998-06-30,52.26,52.32,52.12,52.26,190450,BRK.B
BRK.B,1998-07-01,52.06,52.32,52.0,52.06,281750,BRK.B
BRK.B,1998-07-02,51.76,52.26,51.62,51.76,300650,BRK.B
BRK.B,1998-07-03,51.76,52.26,51.62,51.76,0,BRK.B
BRK.B,1998-07-06,52.32,52.44,51.82,52.32,550100,BRK.B
BRK.B,1998-07-07,51.96,52.4,51.84,51.96,282600,BRK.B
BRK.B,1998-07-08,51.98,52.02,51.7,51.98,263050,BRK.B
BRK.B,1998-07-09,51.74,52.06,51.64,51.74,268650,BRK.B
BRK.B,1998-07-10,51.58,51.9,51.44,51.58,323150,BRK.B
BRK.B,1998-07-13,51.36,51.66,51.14,51.36,344550,BRK.B
BRK.B,1998-07-14,51.4,51.84,51.24,51.4,507300,BRK.B
BRK.B,1998-07-15,50.98,51.46,50.9,50.98,377750,BRK.B
BRK.B,1998-07-16,50.7,51.02,50.0,50.7,634750,BRK.B
BRK.B,1998-07-17,50.48,50.7,50.28,50.48,493600,BRK.B
BRK.B,1998-07-20,50.9,50.9,50.22,50.9,395250,BRK.B
BRK.B,1998-07-21,50.16,51.46,50.1,50.16,366000,BRK.B
BRK.B,1998-07-22,49.02,50.16,48.76,49.02,691500,BRK.B
BRK.B,1998-07-23,48.06,49.0,47.54,48.06,626250,BRK.B
BRK.B,1998-07-24,48.26,48.4,47.86,48.26,446500,BRK.B
BRK.B,1998-07-27,47.28,47.84,46.82,47.28,542850,BRK.B
BRK.B,1998-07-28,46.18,47.32,46.06,46.18,450700,BRK.B
BRK.B,1998-07-29,45.96,46.72,45.92,45.96,468000,BRK.B
BRK.B,1998-07-30,46.4,46.4,45.44,46.4,490700,BRK.B
BRK.B,1998-07-31,46.84,47.18,46.3,46.52,565550,BRK.B
BRK.B,1998-08-03,47.3,47.4,46.88,47.0,251050,BRK.B
BRK.B,1998-08-04,46.24,47.44,46.06,47.38,416200,BRK.B
BRK.B,1998-08-05,46.08,46.22,45.68,46.2,550100,BRK.B
BRK.B,1998-08-06,45.52,46.02,45.32,46.0,302700,BRK.B
BRK.B,1998-08-07,46.8,46.8,45.32,45.52,359350,BRK.B
BRK.B,1998-08-10,46.9,46.98,46.48,46.84,309150,BRK.B
BRK.B,1998-08-11,46.16,46.74,45.64,46.74,355850,BRK.B
BRK.B,1998-08-12,45.98,46.36,45.56,46.16,308400,BRK.B
BRK.B,1998-08-13,46.5,46.66,46.12,46.12,242500,BRK.B
BRK.B,1998-08-14,46.54,46.86,46.34,46.8,196800,BRK.B
BRK.B,1998-08-17,46.46,46.52,46.14,46.32,201550,BRK.B
BRK.B,1998-08-18,48.06,48.12,46.52,46.58,334500,BRK.B
BRK.B,1998-08-19,48.2,48.7,48.18,48.24,409650,BRK.B
BRK.B,1998-08-20,47.54,48.28,47.42,48.26,432500,BRK.B
BRK.B,1998-08-21,46.32,47.54,45.86,47.54,510150,BRK.B
BRK.B,1998-08-24,46.26,46.4,46.02,46.32,203050,BRK.B
BRK.B,1998-08-25,46.66,47.22,46.4,46.4,437350,BRK.B
BRK.B,1998-08-26,46.48,47.04,45.82,46.4,362050,BRK.B
BRK.B,1998-08-27,45.06,46.28,44.9,46.28,466950,BRK.B
BRK.B,1998-08-28,42.56,45.0,42.46,44.96,1009900,BRK.B
BRK.B,1998-08-31,40.16,42.58,40.1,42.4,1726350,BRK.B
BRK.B,1998-09-01,40.68,41.2,38.88,40.04,1506500,BRK.B
BRK.B,1998-09-02,42.6,43.62,41.3,41.36,1424150,BRK.B
BRK.B,1998-09-03,40.5,42.0,40.2,42.0,828150,BRK.B
BRK.B,1998-09-04,39.8,41.28,39.02,41.0,824750,BRK.B
BRK.B,1998-09-07,39.8,41.28,39.02,41.0,0,BRK.B
BRK.B,1998-09-08,40.62,43.24,40.2,43.24,1151450,BRK.B
BRK.B,1998-09-09,40.06,40.62,39.74,40.56,744950,BRK.B
BRK.B,1998-09-10,38.54,38.82,38.14,38.2,558250,BRK.B
BRK.B,1998-09-11,38.4,38.44,37.86,38.12,733750,BRK.B
BRK.B,1998-09-14,40.1,40.32,39.08,39.08,804150,BRK.B
BRK.B,1998-09-15,39.58,40.3,39.5,40.24,567050,BRK.B
BRK.B,1998-09-16,40.36,40.4,39.12,39.6,520200,BRK.B
BRK.B,1998-09-17,39.64,40.04,39.5,40.0,443800,BRK.B
BRK.B,1998-09-18,39.4,39.84,39.34,39.62,334100,BRK.B
BRK.B,1998-09-21,39.32,39.42,38.78,38.8,406550,BRK.B
BRK.B,1998-09-22,39.4,39.88,39.26,39.66,369400,BRK.B
BRK.B,1998-09-23,40.64,40.7,39.44,39.66,486550,BRK.B
BRK.B,1998-09-24,40.58,41.48,40.56,40.72,678700,BRK.B
BRK.B,1998-09-25,40.0,40.28,39.8,40.28,528350,BRK.B
BRK.B,1998-09-28,40.74,40.8,40.38,40.52,333500,BRK.B
BRK.B,1998-09-29,40.76,40.86,40.06,40.8,603050,BRK.B
BRK.B,1998-09-30,39.86,40.62,39.72,40.52,230450,BRK.B
BRK.B,1998-10-01,38.74,39.52,38.66,39.2,457050,BRK.B
BRK.B,1998-10-02,39.3,39.84,38.32,38.74,585650,BRK.B
BRK.B,1998-10-05,39.66,39.8,38.66,39.22,431050,BRK.B
BRK.B,1998-10-06,40.38,40.54,40.08,40.4,712800,BRK.B
BRK.B,1998-10-07,39.9,40.54,39.42,40.54,565800,BRK.B
BRK.B,1998-10-08,39.1,39.38,38.64,39.2,708650,BRK.B
BRK.B,1998-10-09,40.86,40.86,39.0,39.2,755400,BRK.B
BRK.B,1998-10-12,41.38,41.98,41.34,41.6,581350,BRK.B
BRK.B,1998-10-13,41.72,41.96,41.1,41.26,272700,BRK.B
BRK.B,1998-10-14,43.44,43.52,41.66,41.8,565350,BRK.B
BRK.B,1998-10-15,45.2,45.32,43.3,43.72,823800,BRK.B
BRK.B,1998-10-16,44.4,45.64,44.1,45.5,767000,BRK.B
BRK.B,1998-10-19,44.18,44.7,44.0,44.2,342550,BRK.B
BRK.B,1998-10-20,43.52,44.36,43.4,44.28,544850,BRK.B
BRK.B,1998-10-21,42.72,43.46,42.38,43.4,423350,BRK.B
BRK.B,1998-10-22,42.28,42.72,42.04,42.72,367900,BRK.B
BRK.B,1998-10-23,41.96,42.26,41.68,42.2,225450,BRK.B
BRK.B,1998-10-26,41.64,42.0,41.44,42.0,255350,BRK.B
BRK.B,1998-10-27,41.5,42.0,41.4,41.8,634150,BRK.B
BRK.B,1998-10-28,41.18,41.5,41.12,41.5,372550,BRK.B
BRK.B,1998-10-29,42.16,42.18,41.04,41.32,435500,BRK.B
BRK.B,1998-10-30,42.96,42.96,42.4,42.52,492800,BRK.B
BRK.B,1998-11-02,43.14,43.38,43.0,43.26,524900,BRK.B
BRK.B,1998-11-03,44.72,45.0,43.14,43.14,619400,BRK.B
BRK.B,1998-11-04,45.7,47.84,45.7,46.32,762000,BRK.B
