Symbol,Date,Close,High,Low,Open,Volume,Name
BSX,1998-05-29,15.907,16.188,15.875,15.94,9308400,BSX
BSX,1998-06-01,15.266,16.047,15.125,15.94,2322400,BSX
BSX,1998-06-02,15.75,15.813,15.422,15.5,2867600,BSX
BSX,1998-06-03,15.985,16.219,15.75,15.75,2948400,BSX
BSX,1998-06-04,16.125,16.204,15.891,15.94,1251600,BSX
BSX,1998-06-05,16.313,16.688,16.016,16.13,3638400,BSX
BSX,1998-06-08,16.61,16.891,16.375,16.5,2673600,BSX
BSX,1998-06-09,16.094,16.688,16.063,16.67,2446800,BSX
BSX,1998-06-10,16.079,16.344,16.0,16.11,2527200,BSX
BSX,1998-06-11,15.75,16.063,15.641,16.02,2171600,BSX
BSX,1998-06-12,15.532,15.938,15.454,15.7,1194000,BSX
BSX,1998-06-15,15.25,15.532,15.188,15.53,1675200,BSX
BSX,1998-06-16,15.688,16.25,15.11,15.25,8441600,BSX
BSX,1998-06-17,16.282,16.282,15.563,15.63,6428000,BSX
BSX,1998-06-18,17.157,17.235,16.25,16.28,4692400,BSX
BSX,1998-06-19,16.938,17.157,16.891,17.157,2396800,BSX
BSX,1998-06-22,17.032,17.063,16.875,16.88,1973600,BSX
BSX,1998-06-23,16.954,17.219,16.766,17.16,2368400,BSX
BSX,1998-06-24,17.5,17.75,16.782,16.81,3546400,BSX
BSX,1998-06-25,17.5,17.813,17.375,17.47,2903200,BSX
BSX,1998-06-26,17.5,17.704,17.469,17.5,1260000,BSX
BSX,1998-06-29,17.985,18.25,17.344,17.38,2877200,BSX
BSX,1998-06-30,17.907,18.188,17.813,17.97,1955600,BSX
BSX,1998-07-01,18.11,18.375,18.016,18.16,2125200,BSX
BSX,1998-07-02,18.5,18.5,18.0,18.13,2396800,BSX
BSX,1998-07-03,18.5,18.5,18.0,18.13,0,BSX
BSX,1998-07-06,19.5,19.594,18.625,18.72,4299200,BSX
BSX,1998-07-07,19.079,19.438,18.969,19.438,3326000,BSX
BSX,1998-07-08,19.157,19.391,19.079,19.28,2609600,BSX
BSX,1998-07-09,18.672,19.063,18.25,19.0,5788800,BSX
BSX,1998-07-10,18.594,18.782,18.391,18.5,4258400,BSX
BSX,1998-07-13,18.438,18.594,18.375,18.59,1824400,BSX
BSX,1998-07-14,18.485,18.75,18.407,18.47,2406800,BSX
BSX,1998-07-15,18.532,18.61,18.375,18.5,3207600,BSX
BSX,1998-07-16,18.797,19.282,18.563,18.563,3498400,BSX
BSX,1998-07-17,18.75,18.75,18.688,18.75,1159600,BSX
BSX,1998-07-20,19.047,19.125,18.75,18.75,1441600,BSX
BSX,1998-07-21,18.766,19.313,18.719,19.24,2696400,BSX
BSX,1998-07-22,19.313,19.407,18.766,18.83,2285600,BSX
BSX,1998-07-23,18.625,19.313,18.625,19.31,1537600,BSX
BSX,1998-07-24,18.157,18.625,17.907,18.625,3050400,BSX
BSX,1998-07-27,18.516,18.594,18.063,18.22,1084800,BSX
BSX,1998-07-28,17.61,18.391,17.469,18.38,2205200,BSX
BSX,1998-07-29,19.032,19.063,18.344,18.53,5584000,BSX
BSX,1998-07-30,19.282,19.407,18.829,19.28,2822000,BSX
BSX,1998-07-31,19.157,19.547,18.985,19.28,2938800,BSX
BSX,1998-08-03,19.11,19.188,18.782,18.97,1588000,BSX
BSX,1998-08-04,18.782,19.36,18.657,19.31,2748800,BSX
BSX,1998-08-05,18.579,18.938,18.344,18.8,2149600,BSX
BSX,1998-08-06,17.969,18.657,17.875,18.44,2278800,BSX
BSX,1998-08-07,18.688,18.813,17.86,17.97,3448400,BSX
BSX,1998-08-10,18.782,18.985,18.454,18.63,3080800,BSX
BSX,1998-08-11,18.079,18.422,17.797,18.38,2254000,BSX
BSX,1998-08-12,18.594,18.844,18.172,18.63,4782800,BSX
BSX,1998-08-13,19.219,19.625,18.594,18.594,4890800,BSX
BSX,1998-08-14,19.5,19.563,18.875,19.16,2954000,BSX
BSX,1998-08-17,19.516,19.625,19.032,19.44,2905600,BSX
BSX,1998-08-18,19.954,20.0,19.375,19.53,5722400,BSX
BSX,1998-08-19,20.282,20.375,19.86,20.06,3325200,BSX
BSX,1998-08-20,20.063,20.266,19.938,20.266,1951600,BSX
BSX,1998-08-21,20.204,20.282,19.157,19.75,4416400,BSX
BSX,1998-08-24,19.922,20.422,19.875,20.19,3330800,BSX
BSX,1998-08-25,19.797,20.157,19.719,19.99,2989600,BSX
BSX,1998-08-26,19.532,19.86,19.516,19.63,1473600,BSX
BSX,1998-08-27,18.907,19.407,18.75,19.28,4244800,BSX
BSX,1998-08-28,18.235,18.922,18.063,18.91,3299600,BSX
BSX,1998-08-31,17.313,17.907,17.047,17.56,5354800,BSX
BSX,1998-09-01,18.047,18.235,17.0,17.31,3527200,BSX
BSX,1998-09-02,18.0,18.0,17.438,17.99,3653600,BSX
BSX,1998-09-03,17.719,18.032,17.563,17.78,2710000,BSX
BSX,1998-09-04,17.391,17.75,16.75,17.75,5006800,BSX
BSX,1998-09-07,17.391,17.75,16.75,17.75,0,BSX
BSX,1998-09-08,17.829,17.907,17.282,17.63,3796400,BSX
BSX,1998-09-09,17.438,18.0,17.438,17.83,2813200,BSX
BSX,1998-09-10,17.063,17.313,16.938,17.31,3358400,BSX
BSX,1998-09-11,16.641,17.079,16.485,17.0,3689600,BSX
BSX,1998-09-14,17.094,17.313,16.641,16.641,3228400,BSX
BSX,1998-09-15,16.219,16.938,15.532,16.91,6036400,BSX
BSX,1998-09-16,16.75,16.782,16.375,16.53,5182000,BSX
BSX,1998-09-17,16.188,16.563,16.032,16.31,2728000,BSX
BSX,1998-09-18,15.922,16.313,15.907,16.22,3429200,BSX
BSX,1998-09-21,14.547,15.282,14.438,15.25,7890800,BSX
BSX,1998-09-22,15.094,15.344,14.938,15.0,9026000,BSX
BSX,1998-09-23,14.938,15.094,14.516,15.06,4120400,BSX
BSX,1998-09-24,13.875,14.375,13.672,13.75,10710000,BSX
BSX,1998-09-25,13.657,13.938,13.469,13.53,6524400,BSX
BSX,1998-09-28,13.25,13.594,13.032,13.38,5216400,BSX
BSX,1998-09-29,12.875,13.235,12.688,13.22,6672400,BSX
BSX,1998-09-30,12.844,13.532,12.563,12.81,5264800,BSX
BSX,1998-10-01,12.047,12.875,11.969,12.63,6487600,BSX
BSX,1998-10-02,12.875,13.063,12.157,12.44,8810400,BSX
BSX,1998-10-05,12.5,13.11,12.375,12.89,4494000,BSX
BSX,1998-10-06,13.157,13.454,11.969,12.31,8029199,BSX
BSX,1998-10-07,13.5,13.813,13.0,13.22,4988800,BSX
BSX,1998-10-08,13.047,13.282,12.829,13.28,3260000,BSX
BSX,1998-10-09,12.5,12.719,12.282,12.719,6693200,BSX
BSX,1998-10-12,11.735,12.594,11.532,12.5,7234000,BSX
BSX,1998-10-13,12.235,12.297,11.516,11.63,5532800,BSX
BSX,1998-10-14,12.25,12.563,12.188,12.3,2811200,BSX
BSX,1998-10-15,12.094,12.438,11.891,12.0,4360800,BSX
BSX,1998-10-16,12.375,12.5,12.157,12.35,3472400,BSX
BSX,1998-10-19,12.813,13.375,12.5,12.5,3756800,BSX
BSX,1998-10-20,13.516,13.579,13.063,13.1,3169600,BSX
BSX,1998-10-21,14.172,14.219,13.375,13.52,3140000,BSX
BSX,1998-10-22,14.329,14.75,14.157,14.17,6250800,BSX
BSX,1998-10-23,13.625,14.0,13.344,14.0,7745200,BSX
BSX,1998-10-26,14.204,14.235,13.547,13.61,3711200,BSX
BSX,1998-10-27,14.188,14.657,14.188,14.5,2296400,BSX
BSX,1998-10-28,13.75,14.204,13.735,14.2,2306000,BSX
BSX,1998-10-29,13.5,13.782,13.407,13.75,3095600,BSX
BSX,1998-10-30,13.625,13.907,13.516,13.81,3168800,BSX
BSX,1998-11-02,13.063,14.125,13.063,13.69,9591600,BSX
BSX,1998-11-03,11.594,11.813,11.25,11.25,6618400,BSX
BSX,1998-11-04,10.875,11.0,10.063,10.063,51279200,BSX
BSX,1998-11-05,11.094,11.188,10.719,10.86,15573600,BSX
BSX,1998-11-06,10.938,11.188,10.922,11.13,11767200,BSX
BSX,1998-11-09,10.594,11.063,10.36,11.06,10873600,BSX
BSX,1998-11-10,10.594,10.797,10.438,10.66,7298400,BSX
BSX,1998-11-11,10.922,11.0,10.688,10.75,6609600,BSX
BSX,1998-11-12,10.594,10.797,10.438,10.797,7298400,BSX
BSX,1998-11-13,12.0,12.188,10.954,11.17,19364800,BSX
BSX,1998-11-16,12.25,12.375,12.094,12.375,7103600,BSX
BSX,1998-11-17,12.063,12.36,11.75,12.25,5514400,BSX
BSX,1998-11-18,12.204,12.313,12.094,12.25,3129200,BSX
BSX,1998-11-19,12.672,12.704,12.188,12.27,4380800,BSX
BSX,1998-11-20,12.86,12.907,12.438,12.67,4738000,BSX
BSX,1998-11-23,13.36,13.625,12.969,13.0,5099200,BSX
BSX,1998-11-24,12.86,13.344,12.657,13.344,4421600,BSX
BSX,1998-11-25,12.86,13.344,12.657,13.344,0,BSX
BSX,1998-11-26,12.86,13.344,12.657,13.344,0,BSX
BSX,1998-11-27,12.844,12.844,12.469,12.56,2236800,BSX
BSX,1998-11-30,12.375,13.125,12.188,12.85,6137600,BSX
BSX,1998-12-01,13.532,13.75,12.563,12.63,5523000,BSX
BSX,1998-12-02,14.063,14.344,13.625,14.25,5105000,BSX
BSX,1998-12-03,13.188,13.938,13.094,13.63,3762200,BSX
BSX,1998-12-04,13.594,13.813,13.375,13.44,2573800,BSX
BSX,1998-12-07,13.438,13.907,13.344,13.72,1877200,BSX
BSX,1998-12-08,12.75,13.5,12.532,13.38,4399400,BSX
BSX,1998-12-09,13.532,13.688,12.75,12.75,3680200,BSX
BSX,1998-12-10,13.219,13.844,13.157,13.72,2985400,BSX
BSX,1998-12-11,13.282,13.5,13.032,13.25,1981400,BSX
BSX,1998-12-14,12.782,13.188,12.563,13.0,1903200,BSX
BSX,1998-12-15,12.75,12.782,12.532,12.78,1570600,BSX
BSX,1998-12-16,13.063,13.219,12.563,12.69,3215800,BSX
BSX,1998-12-17,12.844,13.407,12.813,13.32,3660600,BSX
BSX,1998-12-18,11.563,12.563,10.875,12.5,20966400,BSX
BSX,1998-12-21,11.438,12.188,11.063,11.25,9726400,BSX
BSX,1998-12-22,12.563,12.875,12.125,12.875,9350400,BSX
BSX,1998-12-23,12.438,12.75,12.188,12.69,3862400,BSX
BSX,1998-12-24,12.938,13.063,12.5,12.5,4223400,BSX
BSX,1998-12-25,12.938,13.063,12.5,12.5,0,BSX
BSX,1998-12-28,13.282,13.813,12.875,13.25,2692200,BSX
BSX,1998-12-29,13.219,13.563,13.063,13.28,1689800,BSX
BSX,1998-12-30,13.344,13.625,13.188,13.41,2407200,BSX
BSX,1998-12-31,13.407,13.532,12.969,13.16,1570800,BSX
BSX,1999-01-01,13.407,13.532,12.969,13.16,0,BSX
BSX,1999-01-04,13.219,13.782,12.563,13.72,2592600,BSX
BSX,1999-01-05,13.063,13.125,12.657,13.125,2183600,BSX
BSX,1999-01-06,13.657,13.657,12.625,13.07,3344400,BSX
BSX,1999-01-07,13.594,13.75,13.063,13.07,3772400,BSX
BSX,1999-01-08,13.032,13.688,12.813,13.688,6510800,BSX
BSX,1999-01-11,12.844,13.032,12.719,13.03,2956800,BSX
BSX,1999-01-12,12.563,12.75,12.532,12.75,4035000,BSX
BSX,1999-01-13,12.375,12.594,12.063,12.07,2946000,BSX
BSX,1999-01-14,12.032,12.5,12.0,12.38,1856600,BSX
BSX,1999-01-15,12.25,14.282,11.969,12.16,2970600,BSX
BSX,1999-01-18,12.25,14.282,11.969,12.16,0,BSX
BSX,1999-01-19,11.875,12.219,11.782,12.13,3395600,BSX
BSX,1999-01-20,12.313,12.813,11.688,11.78,4881600,BSX
BSX,1999-01-21,12.063,12.594,11.938,12.25,2696600,BSX
BSX,1999-01-22,11.657,12.188,11.5,11.75,3342600,BSX
BSX,1999-01-25,11.813,12.125,11.688,11.85,2092800,BSX
BSX,1999-01-26,11.907,12.063,11.594,11.82,2880200,BSX
BSX,1999-01-27,11.875,12.125,11.5,12.125,6757600,BSX
BSX,1999-01-28,12.125,12.157,11.688,11.97,2695600,BSX
BSX,1999-01-29,12.188,12.25,11.875,12.07,4244800,BSX
BSX,1999-02-01,12.063,12.375,11.875,12.13,2700600,BSX
BSX,1999-02-02,11.907,12.094,11.75,11.97,2065799,BSX
BSX,1999-02-03,12.75,13.094,11.844,12.0,5917600,BSX
BSX,1999-02-04,12.75,12.969,12.188,12.78,2684600,BSX
BSX,1999-02-05,12.594,12.875,12.25,12.75,2275000,BSX
BSX,1999-02-08,13.0,13.188,12.532,12.66,2078599,BSX
BSX,1999-02-09,12.813,13.219,12.813,13.1,2381400,BSX
BSX,1999-02-10,12.688,12.875,12.532,12.78,1523800,BSX
BSX,1999-02-11,13.0,13.188,12.657,12.69,1857000,BSX
BSX,1999-02-12,13.407,13.594,13.125,13.13,3039800,BSX
BSX,1999-02-15,13.407,13.594,13.125,13.13,0,BSX
BSX,1999-02-16,13.625,13.688,13.407,13.57,2558600,BSX
BSX,1999-02-17,13.532,14.0,13.438,13.82,3008000,BSX
BSX,1999-02-18,14.0,14.094,13.657,13.75,2711000,BSX
BSX,1999-02-19,13.719,14.032,13.438,13.75,4932000,BSX
BSX,1999-02-22,14.25,14.5,13.75,14.0,4282800,BSX
BSX,1999-02-23,13.813,14.625,13.782,14.5,2836800,BSX
BSX,1999-02-24,13.282,14.0,13.188,13.44,4749400,BSX
BSX,1999-02-25,13.094,13.25,12.532,13.25,4106600,BSX
BSX,1999-02-26,13.25,13.375,12.688,13.32,2622600,BSX
BSX,1999-03-01,13.938,14.0,13.375,13.75,3063600,BSX
BSX,1999-03-02,14.813,15.625,13.875,13.88,8595200,BSX
BSX,1999-03-03,14.969,15.407,14.782,14.782,4860000,BSX
BSX,1999-03-04,15.032,15.094,14.563,14.63,3026400,BSX
BSX,1999-03-05,15.375,15.594,15.157,15.19,4423800,BSX
BSX,1999-03-08,15.063,15.157,14.563,15.0,1890600,BSX
BSX,1999-03-09,15.188,15.407,14.875,14.94,1345400,BSX
BSX,1999-03-10,14.907,15.125,14.75,15.125,1353200,BSX
BSX,1999-03-11,16.063,16.75,14.969,15.0,5753600,BSX
BSX,1999-03-12,16.375,16.688,16.063,16.32,2360000,BSX
BSX,1999-03-15,16.938,16.938,16.094,16.47,4034600,BSX
BSX,1999-03-16,17.157,17.375,16.125,17.07,5047400,BSX
BSX,1999-03-17,17.0,17.125,16.344,17.09,1633600,BSX
BSX,1999-03-18,19.25,19.625,18.5,19.5,21155600,BSX
BSX,1999-03-19,20.75,21.625,19.75,19.94,19135400,BSX
BSX,1999-03-22,19.813,20.344,19.688,20.32,4212200,BSX
BSX,1999-03-23,19.282,19.907,19.188,19.78,4394400,BSX
BSX,1999-03-24,19.125,19.5,19.063,19.38,2462000,BSX
BSX,1999-03-25,19.188,19.469,19.032,19.16,2944200,BSX
BSX,1999-03-26,18.875,19.344,18.813,19.07,2451800,BSX
BSX,1999-03-29,19.625,19.813,18.938,19.0,1908400,BSX
BSX,1999-03-30,19.657,19.813,19.532,19.63,2259000,BSX
BSX,1999-03-31,20.313,20.813,19.875,20.25,5598000,BSX
BSX,1999-04-01,19.875,20.5,19.782,20.19,3088200,BSX
BSX,1999-04-02,19.875,20.5,19.782,20.19,0,BSX
BSX,1999-04-05,20.032,20.313,19.813,20.0,1646600,BSX
BSX,1999-04-06,20.5,20.688,20.063,20.07,3336800,BSX
BSX,1999-04-07,20.0,20.75,19.782,20.75,1959000,BSX
BSX,1999-04-08,19.938,20.375,19.719,20.13,1513800,BSX
BSX,1999-04-09,19.938,20.0,19.5,19.5,2108800,BSX
BSX,1999-04-12,20.313,20.375,19.25,19.25,2875000,BSX
BSX,1999-04-13,20.563,20.719,19.75,20.22,2289400,BSX
