Symbol,Date,Close,High,Low,Open,Volume,Name
CB,1998-05-29,35.625,36.375,35.5,36.19,257900,CB
CB,1998-06-01,35.75,35.938,35.438,35.44,112600,CB
CB,1998-06-02,35.875,36.625,35.688,35.75,230600,CB
CB,1998-06-03,36.0,36.5,35.875,35.88,158100,CB
CB,1998-06-04,36.188,36.563,36.0,36.06,164200,CB
CB,1998-06-05,36.625,37.0,36.125,36.19,491600,CB
CB,1998-06-08,36.75,37.188,36.75,36.75,871800,CB
CB,1998-06-09,36.438,36.938,35.813,36.75,308100,CB
CB,1998-06-10,35.063,36.188,35.063,35.5,230000,CB
CB,1998-06-11,34.438,35.25,34.313,35.19,138900,CB
CB,1998-06-12,35.0,35.063,34.0,34.5,434000,CB
CB,1998-06-15,35.188,35.5,34.813,34.88,113400,CB
CB,1998-06-16,36.063,36.625,35.438,35.44,399100,CB
CB,1998-06-17,38.0,38.313,36.063,36.063,700300,CB
CB,1998-06-18,38.375,38.563,37.313,38.0,279100,CB
CB,1998-06-19,37.438,38.375,37.438,38.25,528900,CB
CB,1998-06-22,38.188,38.563,38.0,38.06,299700,CB
CB,1998-06-23,38.563,38.875,38.375,38.44,341700,CB
CB,1998-06-24,40.313,40.75,38.688,38.75,773500,CB
CB,1998-06-25,39.0,40.438,38.875,40.13,134600,CB
CB,1998-06-26,38.5,38.75,38.25,38.63,263000,CB
CB,1998-06-29,38.75,39.0,38.375,38.63,225700,CB
CB,1998-06-30,39.0,39.125,38.313,38.75,258600,CB
CB,1998-07-01,39.25,39.438,39.0,39.25,559400,CB
CB,1998-07-02,39.5,39.563,39.0,39.0,153000,CB
CB,1998-07-03,39.5,39.563,39.0,39.0,0,CB
CB,1998-07-06,41.438,41.438,39.5,39.5,145500,CB
CB,1998-07-07,41.125,43.0,40.375,41.5,446400,CB
CB,1998-07-08,41.0,41.438,40.625,41.0,415500,CB
CB,1998-07-09,41.0,41.125,40.688,41.0,422500,CB
CB,1998-07-10,41.0,41.125,40.25,41.0,311500,CB
CB,1998-07-13,41.0,42.0,40.625,41.25,397700,CB
CB,1998-07-14,42.0,42.125,41.0,41.0,294800,CB
CB,1998-07-15,42.125,42.625,42.0,42.06,172200,CB
CB,1998-07-16,41.125,41.938,41.0,41.5,134600,CB
CB,1998-07-17,41.375,41.875,41.125,41.19,100400,CB
CB,1998-07-20,41.625,41.938,41.375,41.63,119900,CB
CB,1998-07-21,41.438,41.563,41.063,41.5,116100,CB
CB,1998-07-22,40.5,41.438,40.313,41.31,90700,CB
CB,1998-07-23,39.625,40.5,39.563,40.44,55900,CB
CB,1998-07-24,38.375,40.0,38.375,39.88,219500,CB
CB,1998-07-27,37.75,38.25,37.5,38.13,1275300,CB
CB,1998-07-28,37.063,38.0,36.938,37.63,378200,CB
CB,1998-07-29,37.125,37.875,36.875,37.06,400100,CB
CB,1998-07-30,37.625,37.75,37.0,37.13,231900,CB
CB,1998-07-31,36.688,37.813,36.625,37.56,375600,CB
CB,1998-08-03,37.625,38.063,36.625,36.75,222200,CB
CB,1998-08-04,36.063,38.0,36.063,37.63,715500,CB
CB,1998-08-05,35.25,36.188,34.313,36.06,212500,CB
CB,1998-08-06,35.063,35.25,34.75,35.0,308500,CB
CB,1998-08-07,35.438,35.813,35.063,35.13,341700,CB
CB,1998-08-10,35.5,35.5,35.0,35.13,153300,CB
CB,1998-08-11,35.063,35.25,34.75,34.75,125200,CB
CB,1998-08-12,35.0,35.313,34.625,35.19,71700,CB
CB,1998-08-13,34.875,35.25,34.688,34.88,104000,CB
CB,1998-08-14,34.188,35.188,34.188,35.0,530000,CB
CB,1998-08-17,34.875,35.063,33.75,34.25,327000,CB
CB,1998-08-18,35.438,35.5,34.875,35.0,536000,CB
CB,1998-08-19,35.188,36.0,35.0,35.56,372200,CB
CB,1998-08-20,35.063,35.438,34.688,35.438,212600,CB
CB,1998-08-21,33.938,35.0,33.688,35.0,315300,CB
CB,1998-08-24,33.688,34.0,33.5,33.94,116200,CB
CB,1998-08-25,33.75,34.25,33.5,33.56,297900,CB
CB,1998-08-26,32.938,33.563,32.25,33.56,513000,CB
CB,1998-08-27,30.625,32.813,29.375,32.81,718200,CB
CB,1998-08-28,31.563,31.563,29.688,30.88,410000,CB
CB,1998-08-31,29.0,31.813,29.0,31.75,427300,CB
CB,1998-09-01,29.313,29.563,28.375,28.38,838300,CB
CB,1998-09-02,30.813,31.25,29.063,29.063,344300,CB
CB,1998-09-03,30.0,31.438,30.0,30.81,318200,CB
CB,1998-09-04,27.875,30.0,26.875,29.88,612100,CB
CB,1998-09-07,27.875,30.0,26.875,29.88,0,CB
