Symbol,Date,Close,High,Low,Open,Volume,Name
CBS,1998-05-29,20.288,20.334,20.173,20.2877,1514093,CBS
CBS,1998-06-01,20.196,20.472,20.15,20.3394,1120183,CBS
CBS,1998-06-02,20.15,20.449,20.15,20.3836,1164374,CBS
CBS,1998-06-03,20.058,20.219,20.058,20.1549,774532,CBS
CBS,1998-06-04,20.749,20.749,20.08,20.1033,2129761,CBS
CBS,1998-06-05,21.003,21.025,20.611,20.7525,2454538,CBS
CBS,1998-06-08,20.841,21.625,20.841,21.3943,2124610,CBS
CBS,1998-06-09,20.98,21.256,20.772,20.7968,1947581,CBS
CBS,1998-06-10,20.657,20.91,20.657,20.8927,1612231,CBS
CBS,1998-06-11,20.657,20.772,20.611,20.6566,1182265,CBS
CBS,1998-06-12,20.472,20.703,20.38,20.6566,1000087,CBS
CBS,1998-06-15,20.288,20.795,20.242,20.4279,1372577,CBS
CBS,1998-06-16,20.541,20.564,20.288,20.3615,3774252,CBS
CBS,1998-06-17,20.611,20.68,20.588,20.5902,1064880,CBS
CBS,1998-06-18,20.288,20.634,20.288,20.6123,2019964,CBS
CBS,1998-06-19,20.634,20.634,20.334,20.3836,1719857,CBS
CBS,1998-06-22,20.496,20.841,20.496,20.841,1592440,CBS
CBS,1998-06-23,20.242,20.611,20.242,20.611,1856492,CBS
CBS,1998-06-24,20.841,20.933,20.242,20.2435,2325766,CBS
CBS,1998-06-25,21.81,21.855,20.887,20.9369,2858205,CBS
CBS,1998-06-26,22.316,22.409,21.81,21.8148,2133557,CBS
CBS,1998-06-29,22.363,22.593,22.248,22.4124,1318901,CBS
CBS,1998-06-30,21.487,22.34,21.487,22.3386,2539935,CBS
CBS,1998-07-01,22.132,22.156,21.579,21.579,2352063,CBS
CBS,1998-07-02,22.132,22.271,22.063,22.1321,1083044,CBS
CBS,1998-07-03,22.132,22.271,22.063,22.1321,0,CBS
CBS,1998-07-06,22.409,22.455,22.248,22.2944,2063070,CBS
CBS,1998-07-07,22.64,22.778,22.386,22.4124,1491861,CBS
CBS,1998-07-08,22.893,22.916,22.662,22.6632,1769740,CBS
CBS,1998-07-09,22.916,23.054,22.778,22.9657,1584035,CBS
CBS,1998-07-10,23.354,23.4,22.916,22.9214,1898240,CBS
CBS,1998-07-13,23.585,23.585,23.146,23.3124,1081417,CBS
CBS,1998-07-14,23.539,24.023,23.47,23.5854,1634461,CBS
CBS,1998-07-15,22.916,23.585,22.87,23.5633,1556114,CBS
CBS,1998-07-16,23.054,23.101,22.685,22.9214,1172778,CBS
CBS,1998-07-17,23.285,23.377,23.008,23.0321,1528732,CBS
CBS,1998-07-20,24.046,24.046,23.239,23.239,1575902,CBS
CBS,1998-07-21,24.253,24.437,24.115,24.3895,2023489,CBS
CBS,1998-07-22,24.945,24.991,24.115,24.301,2101025,CBS
CBS,1998-07-23,24.207,25.222,24.069,25.1273,3422093,CBS
CBS,1998-07-24,24.53,24.991,24.207,24.207,3407996,CBS
CBS,1998-07-27,25.175,25.175,24.507,24.5076,2177473,CBS
CBS,1998-07-28,25.037,25.152,24.484,25.083,1843208,CBS
CBS,1998-07-29,25.521,25.683,24.853,24.9428,3016258,CBS
CBS,1998-07-30,25.821,25.821,25.475,25.475,3458964,CBS
CBS,1998-07-31,25.267,25.729,24.899,25.729,3049332,CBS
CBS,1998-08-03,24.806,25.175,24.622,24.8986,4040745,CBS
CBS,1998-08-04,24.069,25.014,24.023,24.81,3522400,CBS
CBS,1998-08-05,24.023,24.023,22.455,23.9764,2434747,CBS
CBS,1998-08-06,23.654,23.654,22.847,23.128,2499270,CBS
CBS,1998-08-07,23.423,23.654,23.078,23.6518,2439086,CBS
CBS,1998-08-10,23.4,23.423,23.17,23.3346,1967101,CBS
CBS,1998-08-11,22.063,23.239,21.994,23.2387,2241454,CBS
CBS,1998-08-12,22.501,22.593,22.271,22.2722,1871673,CBS
CBS,1998-08-13,22.847,22.87,22.316,22.5009,1272814,CBS
CBS,1998-08-14,22.363,22.916,22.132,22.8698,1962492,CBS
CBS,1998-08-17,22.593,22.685,22.224,22.3681,862909,CBS
CBS,1998-08-18,22.847,23.054,22.685,22.6854,801642,CBS
CBS,1998-08-19,22.778,23.17,22.778,23.0542,904931,CBS
CBS,1998-08-20,22.547,22.847,22.547,22.8255,1069217,CBS
CBS,1998-08-21,21.925,22.409,21.464,22.409,2674401,CBS
CBS,1998-08-24,21.833,22.132,21.833,22.0878,1337063,CBS
CBS,1998-08-25,21.233,22.04,21.118,21.9476,2851429,CBS
CBS,1998-08-26,20.657,21.072,20.564,21.0255,3193286,CBS
CBS,1998-08-27,20.035,20.564,20.035,20.4722,1673770,CBS
CBS,1998-08-28,19.965,20.357,19.965,19.9705,2144941,CBS
CBS,1998-08-31,18.305,20.657,18.259,20.4722,3082676,CBS
CBS,1998-09-01,21.625,22.224,19.181,19.55,5578695,CBS
CBS,1998-09-02,21.602,22.662,21.025,22.1321,5310577,CBS
CBS,1998-09-03,21.256,21.948,21.118,21.4681,2930860,CBS
CBS,1998-09-04,21.072,21.81,20.657,21.1656,2602017,CBS
CBS,1998-09-07,21.072,21.81,20.657,21.1656,0,CBS
CBS,1998-09-08,22.478,22.525,21.487,21.4902,3163465,CBS
CBS,1998-09-09,22.04,22.501,21.879,22.4124,1509484,CBS
CBS,1998-09-10,22.017,22.04,20.887,21.7632,2491678,CBS
CBS,1998-09-11,22.201,22.501,21.81,21.9476,2198621,CBS
CBS,1998-09-14,22.547,22.824,22.201,22.2058,3117378,CBS
CBS,1998-09-15,23.054,23.054,22.363,22.5526,2020778,CBS
CBS,1998-09-16,23.331,23.331,22.916,23.2387,1110967,CBS
CBS,1998-09-17,23.608,23.7,22.87,22.9657,3256180,CBS
CBS,1998-09-18,24.023,24.138,23.423,23.4747,2673586,CBS
CBS,1998-09-21,24.345,24.392,23.146,23.792,2478665,CBS
CBS,1998-09-22,24.138,24.853,24.069,24.5297,1730158,CBS
CBS,1998-09-23,24.345,24.437,24.023,24.301,1806609,CBS
CBS,1998-09-24,23.838,24.369,23.492,24.3674,7851867,CBS
CBS,1998-09-25,23.7,24.092,23.331,23.6518,2025386,CBS
CBS,1998-09-28,23.47,23.792,23.377,23.7034,1204495,CBS
CBS,1998-09-29,20.933,21.74,19.55,20.4722,20351746,CBS
CBS,1998-09-30,21.394,22.017,20.887,21.0255,8351506,CBS
CBS,1998-10-01,21.118,21.118,20.472,20.7525,6944226,CBS
CBS,1998-10-02,20.865,21.855,20.749,21.1214,4082223,CBS
CBS,1998-10-05,20.541,20.91,19.942,20.91,2079065,CBS
CBS,1998-10-06,20.818,21.302,20.38,20.7525,2006139,CBS
CBS,1998-10-07,20.795,21.164,20.472,20.7525,2042194,CBS
CBS,1998-10-08,19.412,20.426,18.679,20.426,4992848,CBS
CBS,1998-10-09,21.118,21.21,19.642,19.7861,2609608,CBS
CBS,1998-10-12,20.933,21.648,20.933,21.0255,2343115,CBS
CBS,1998-10-13,21.302,21.302,20.795,21.0033,1796037,CBS
CBS,1998-10-14,22.132,22.64,21.394,21.446,2375105,CBS
CBS,1998-10-15,22.386,22.593,21.948,22.1099,2511741,CBS
CBS,1998-10-16,22.501,22.847,22.404,22.5747,2000718,CBS
CBS,1998-10-19,22.132,22.478,22.086,22.478,1806609,CBS
CBS,1998-10-20,22.778,23.078,22.132,22.1321,2455081,CBS
CBS,1998-10-21,22.986,23.354,22.778,22.8034,2335797,CBS
CBS,1998-10-22,23.631,23.954,22.87,22.9436,1523582,CBS
CBS,1998-10-23,23.146,23.792,23.031,23.4969,1612231,CBS
CBS,1998-10-26,23.078,23.4,23.008,23.1501,1183351,CBS
CBS,1998-10-27,22.04,23.285,21.855,23.1059,3837420,CBS
CBS,1998-10-28,21.717,22.248,21.625,21.9034,3505592,CBS
CBS,1998-10-29,21.695,21.695,21.21,21.6747,3285732,CBS
CBS,1998-10-30,22.086,22.363,21.487,21.4902,2623976,CBS
CBS,1998-11-02,22.086,22.478,22.04,22.2722,1881703,CBS
CBS,1998-11-03,23.423,23.423,22.386,22.3903,5359375,CBS
CBS,1998-11-04,23.146,23.976,22.801,23.7477,4436279,CBS
CBS,1998-11-05,22.709,23.124,22.478,23.1059,2596866,CBS
CBS,1998-11-06,22.593,22.685,22.294,22.4567,3474688,CBS
CBS,1998-11-09,22.386,23.078,22.386,22.5009,1970354,CBS
CBS,1998-11-10,22.478,22.547,22.086,22.4567,2072559,CBS
CBS,1998-11-11,22.617,23.054,22.501,22.8477,2627770,CBS
CBS,1998-11-12,22.478,22.547,22.086,22.478,2072559,CBS
CBS,1998-11-13,23.861,23.976,23.447,23.6075,2286456,CBS
CBS,1998-11-16,23.861,24.161,23.7,23.9543,1855679,CBS
CBS,1998-11-17,24.115,24.322,23.884,23.9321,2402215,CBS
CBS,1998-11-18,24.322,24.322,23.931,24.1166,1315375,CBS
CBS,1998-11-19,24.991,25.083,24.392,24.4412,2204854,CBS
CBS,1998-11-20,24.991,25.222,24.922,25.222,1779771,CBS
CBS,1998-11-23,25.083,25.279,24.968,24.9945,2093432,CBS
CBS,1998-11-24,25.314,25.544,25.037,25.1273,2022675,CBS
CBS,1998-11-25,25.314,25.544,25.037,25.1273,0,CBS
CBS,1998-11-26,25.314,25.544,25.037,25.1273,0,CBS
CBS,1998-11-27,25.175,25.314,25.083,25.2674,249681,CBS
CBS,1998-11-30,24.553,25.475,24.553,25.3633,1682446,CBS
CBS,1998-12-01,24.184,24.53,24.115,24.5297,1666993,CBS
CBS,1998-12-02,24.161,24.437,23.976,24.183,2206482,CBS
CBS,1998-12-03,23.884,24.3,23.585,24.3,2007766,CBS
CBS,1998-12-04,23.954,24.207,23.908,24.0207,1332184,CBS
CBS,1998-12-07,24.161,24.392,23.931,24.0207,1139431,CBS
CBS,1998-12-08,24.161,24.392,23.931,24.0207,0,CBS
CBS,1998-12-09,25.406,25.498,24.714,25.0387,2595782,CBS
CBS,1998-12-10,25.821,25.89,25.06,25.4297,2620994,CBS
CBS,1998-12-11,25.429,25.775,25.014,25.775,2004240,CBS
CBS,1998-12-14,24.553,25.406,23.7,25.406,5928143,CBS
CBS,1998-12-15,24.392,24.53,24.207,24.5297,1919928,CBS
CBS,1998-12-16,24.691,24.922,24.461,24.5076,1965744,CBS
CBS,1998-12-17,24.783,24.899,24.646,24.692,2549423,CBS
CBS,1998-12-18,25.129,25.66,24.646,24.6477,3659850,CBS
CBS,1998-12-21,25.636,25.913,25.129,25.129,2681719,CBS
CBS,1998-12-22,26.121,26.328,25.729,25.9166,2801274,CBS
CBS,1998-12-23,26.743,26.927,26.097,26.1232,2047074,CBS
CBS,1998-12-24,26.72,26.835,26.605,26.765,594249,CBS
CBS,1998-12-25,26.72,26.835,26.605,26.765,0,CBS
CBS,1998-12-28,26.374,26.974,26.097,26.7429,1433034,CBS
CBS,1998-12-29,26.997,27.25,26.421,26.4699,951289,CBS
CBS,1998-12-30,26.674,27.043,26.536,27.043,1139431,CBS
CBS,1998-12-31,27.296,27.388,26.767,26.8167,1570480,CBS
CBS,1999-01-01,27.296,27.388,26.767,26.8167,0,CBS
CBS,1999-01-04,26.628,27.665,26.49,27.2962,3082676,CBS
CBS,1999-01-05,27.712,27.712,26.628,26.6322,2212445,CBS
CBS,1999-01-06,28.15,28.495,27.85,28.2184,2752205,CBS
CBS,1999-01-07,28.08,28.218,27.32,27.9897,1923454,CBS
CBS,1999-01-08,27.55,27.965,27.388,27.9454,1441167,CBS
CBS,1999-01-11,27.296,27.573,27.066,27.1855,1388301,CBS
CBS,1999-01-12,27.02,27.204,26.513,27.204,2651086,CBS
CBS,1999-01-13,27.965,28.058,26.097,26.3298,2868238,CBS
CBS,1999-01-14,28.449,28.726,27.781,27.8938,2746783,CBS
CBS,1999-01-15,29.256,29.256,28.587,28.7495,2324953,CBS
CBS,1999-01-18,29.256,29.256,28.587,28.7495,0,CBS
CBS,1999-01-19,29.441,29.625,28.91,28.9118,1950020,CBS
CBS,1999-01-20,30.201,30.547,29.509,29.5094,3122800,CBS
CBS,1999-01-21,29.902,30.109,29.625,29.6938,2851700,CBS
CBS,1999-01-22,30.455,30.939,29.441,29.9742,2538036,CBS
CBS,1999-01-25,30.616,30.662,30.363,30.3652,2204854,CBS
CBS,1999-01-26,30.201,30.616,30.086,30.616,1735851,CBS
CBS,1999-01-27,30.57,30.755,30.224,30.4316,2334982,CBS
CBS,1999-01-28,31.354,31.354,30.685,30.6898,2956887,CBS
CBS,1999-01-29,31.354,31.354,30.386,31.3537,1998007,CBS
CBS,1999-02-01,31.331,31.354,31.124,31.3095,1138077,CBS
CBS,1999-02-02,31.331,31.354,30.708,31.1472,1316461,CBS
CBS,1999-02-03,31.492,31.538,31.193,31.3316,1961408,CBS
CBS,1999-02-04,30.985,31.492,30.985,31.492,2469721,CBS
CBS,1999-02-05,31.054,31.169,30.824,31.169,1608434,CBS
CBS,1999-02-08,30.501,31.262,30.432,31.125,1335438,CBS
CBS,1999-02-09,30.063,30.57,29.878,30.5053,1872216,CBS
CBS,1999-02-10,30.294,30.294,29.81,29.952,1250854,CBS
CBS,1999-02-11,30.432,30.755,30.155,30.1586,1336251,CBS
CBS,1999-02-12,30.616,30.662,30.294,30.4316,2085842,CBS
CBS,1999-02-15,30.616,30.662,30.294,30.4316,0,CBS
CBS,1999-02-16,30.8,31.146,30.708,30.9849,1808237,CBS
CBS,1999-02-17,30.708,31.031,30.616,30.8004,1056476,CBS
CBS,1999-02-18,30.57,30.708,30.501,30.616,1282031,CBS
CBS,1999-02-19,31.63,31.7,30.524,30.5496,2180184,CBS
CBS,1999-02-22,31.999,32.3,31.538,31.5382,1774349,CBS
CBS,1999-02-23,32.368,32.368,31.723,32.1431,1794139,CBS
CBS,1999-02-24,31.954,33.106,31.63,32.4382,2439086,CBS
CBS,1999-02-25,31.999,32.23,31.354,31.9292,2938452,CBS
CBS,1999-02-26,32.599,32.622,31.999,32.5563,2303265,CBS
CBS,1999-03-01,32.737,32.829,31.907,32.4382,2673857,CBS
CBS,1999-03-02,32.853,33.429,32.761,32.8809,1755372,CBS
CBS,1999-03-03,32.368,32.829,32.046,32.7628,1775162,CBS
CBS,1999-03-04,32.53,32.668,32.345,32.3497,1483457,CBS
CBS,1999-03-05,32.737,33.406,32.437,32.4382,2802631,CBS
CBS,1999-03-08,32.806,33.014,32.46,32.7407,2193739,CBS
CBS,1999-03-09,33.037,33.222,32.761,32.8292,1690579,CBS
CBS,1999-03-10,33.198,33.36,32.899,32.9694,1843208,CBS
CBS,1999-03-11,33.591,33.659,33.198,33.3383,1929147,CBS
CBS,1999-03-12,33.591,33.89,33.36,33.8473,1655336,CBS
CBS,1999-03-15,33.659,33.729,33.222,33.5006,1667805,CBS
CBS,1999-03-16,33.406,33.751,33.337,33.5227,1630394,CBS
CBS,1999-03-17,32.691,33.406,32.46,33.3161,2093703,CBS
CBS,1999-03-18,32.392,32.714,32.046,32.714,1856492,CBS
CBS,1999-03-19,31.423,32.553,31.216,32.5341,3292780,CBS
CBS,1999-03-22,31.677,31.723,31.077,31.4054,2314380,CBS
CBS,1999-03-23,30.616,31.423,30.478,31.3537,2902938,CBS
CBS,1999-03-24,30.363,30.662,30.086,30.5717,2722655,CBS
CBS,1999-03-25,30.824,30.893,30.363,30.3652,2829741,CBS
CBS,1999-03-26,31.4,31.815,30.662,30.8226,3551138,CBS
CBS,1999-03-29,31.4,31.815,30.662,30.8226,0,CBS
CBS,1999-03-30,30.593,30.847,30.455,30.847,1486168,CBS
CBS,1999-03-31,30.962,30.962,30.778,30.8742,1903122,CBS
CBS,1999-04-01,31.492,31.723,30.432,30.5717,1801052,CBS
CBS,1999-04-02,31.492,31.723,30.432,30.5717,0,CBS
CBS,1999-04-05,32.737,32.876,31.723,32.2759,1915863,CBS
CBS,1999-04-06,32.876,33.152,32.46,32.8292,1683122,CBS
CBS,1999-04-07,33.429,34.167,32.737,32.9251,2622756,CBS
CBS,1999-04-08,33.429,34.167,32.737,32.9251,0,CBS
CBS,1999-04-09,33.429,33.429,32.691,33.429,0,CBS
CBS,1999-04-12,33.429,33.429,32.691,33.429,0,CBS
CBS,1999-04-13,33.429,33.429,32.691,33.429,0,CBS
CBS,1999-04-14,33.429,33.429,32.691,33.429,0,CBS
CBS,1999-04-15,31.723,33.659,31.124,33.5669,3571335,CBS
