Symbol,Date,Close,High,Low,Open,Volume,Name
CCL,1998-05-29,33.875,34.688,33.563,34.38,7354800,CCL
CCL,1998-06-01,33.532,33.875,33.094,33.75,1814600,CCL
CCL,1998-06-02,33.719,33.875,33.282,33.875,1570400,CCL
CCL,1998-06-03,33.969,34.219,33.875,33.94,815200,CCL
CCL,1998-06-04,34.375,34.375,33.969,34.0,1055400,CCL
CCL,1998-06-05,34.594,34.657,34.282,34.41,719200,CCL
CCL,1998-06-08,34.907,35.375,34.625,34.69,998400,CCL
CCL,1998-06-09,35.844,36.0,34.938,34.94,945600,CCL
CCL,1998-06-10,35.688,35.844,35.438,35.844,617400,CCL
CCL,1998-06-11,35.625,36.125,35.625,35.94,1045600,CCL
CCL,1998-06-12,35.188,35.719,34.813,35.719,675000,CCL
CCL,1998-06-15,34.063,35.375,34.063,35.0,474500,CCL
CCL,1998-06-16,34.125,34.875,33.625,34.25,795100,CCL
CCL,1998-06-17,34.0625,34.75,34.0,34.625,435800,CCL
CCL,1998-06-18,34.125,34.75,33.75,34.06,559700,CCL
CCL,1998-06-19,34.688,35.563,34.438,34.5,1337000,CCL
CCL,1998-06-22,36.375,36.375,34.563,34.88,3057300,CCL
CCL,1998-06-23,38.0,38.188,36.5,37.0,1322300,CCL
CCL,1998-06-24,40.063,40.063,38.0,38.13,1446000,CCL
CCL,1998-06-25,38.125,40.063,37.813,40.06,1170100,CCL
CCL,1998-06-26,38.75,39.0,37.313,37.56,773600,CCL
CCL,1998-06-29,38.438,39.938,38.375,39.13,747600,CCL
CCL,1998-06-30,39.625,39.625,38.125,38.56,770100,CCL
CCL,1998-07-01,40.0,40.375,39.0,39.94,1454400,CCL
CCL,1998-07-02,38.563,40.188,37.875,40.13,885200,CCL
CCL,1998-07-03,38.563,40.188,37.875,40.13,0,CCL
CCL,1998-07-06,40.313,40.625,39.25,39.5,883700,CCL
CCL,1998-07-07,40.688,40.938,39.875,40.56,496900,CCL
CCL,1998-07-08,42.063,42.125,40.375,40.44,607300,CCL
CCL,1998-07-09,41.625,42.625,40.875,42.0,825700,CCL
CCL,1998-07-10,41.75,41.75,40.313,41.63,552600,CCL
CCL,1998-07-13,41.5625,41.875,40.8125,41.875,319100,CCL
CCL,1998-07-14,41.0,41.625,40.5,41.5,712100,CCL
CCL,1998-07-15,40.5,40.875,39.75,40.875,1128800,CCL
CCL,1998-07-16,41.25,41.438,40.063,40.63,1304400,CCL
CCL,1998-07-17,41.313,41.688,40.75,41.13,659400,CCL
CCL,1998-07-20,41.5,41.75,41.125,41.31,527300,CCL
CCL,1998-07-21,40.625,41.25,39.063,40.0,2013999,CCL
CCL,1998-07-22,39.313,40.25,38.875,40.0,1153800,CCL
CCL,1998-07-23,38.5,39.75,38.063,39.69,739700,CCL
CCL,1998-07-24,37.188,38.438,36.688,38.438,1272800,CCL
CCL,1998-07-27,37.125,37.438,36.75,37.438,1517100,CCL
CCL,1998-07-28,37.5,38.0,37.0,37.06,664900,CCL
CCL,1998-07-29,38.438,38.625,37.313,38.0,1132000,CCL
CCL,1998-07-30,38.125,38.75,37.125,38.25,724600,CCL
CCL,1998-07-31,37.0,38.375,36.938,38.25,730800,CCL
CCL,1998-08-03,36.063,37.0,36.063,36.94,701500,CCL
CCL,1998-08-04,34.0,36.25,33.75,36.19,792900,CCL
CCL,1998-08-05,33.438,34.313,33.188,34.13,1624900,CCL
CCL,1998-08-06,35.375,35.375,33.375,33.38,1222800,CCL
CCL,1998-08-07,35.875,36.938,35.625,35.69,1160100,CCL
CCL,1998-08-10,34.875,36.125,34.875,36.0,519499,CCL
CCL,1998-08-11,32.813,33.938,31.875,33.25,2203900,CCL
