Symbol,Date,Close,High,Low,Open,Volume,Name
CI,1998-05-29,22.8333,23.1667,22.75,22.96,1363800,CI
CI,1998-06-01,22.8127,23.0,22.75,22.75,1261500,CI
CI,1998-06-02,22.9793,23.0833,22.9583,22.96,1845000,CI
CI,1998-06-03,22.771,22.9583,22.7083,22.9583,1304100,CI
CI,1998-06-04,22.646,22.6667,22.4583,22.6667,1030200,CI
CI,1998-06-05,23.1667,23.2083,22.5627,22.6467,1282200,CI
CI,1998-06-08,23.3543,23.6877,23.3543,23.5,1261500,CI
CI,1998-06-09,23.5627,23.75,23.3543,23.3543,1144200,CI
CI,1998-06-10,23.521,23.8333,23.396,23.46,1407000,CI
CI,1998-06-11,23.1667,23.4583,23.125,23.4583,828900,CI
CI,1998-06-12,23.0417,23.2917,22.9793,23.1267,1149300,CI
CI,1998-06-15,22.5,23.2293,22.5,22.96,1608300,CI
CI,1998-06-16,22.625,22.6667,22.271,22.5433,2626200,CI
CI,1998-06-17,23.25,23.375,22.7083,22.75,960300,CI
CI,1998-06-18,22.9377,23.25,22.9377,23.1667,777600,CI
CI,1998-06-19,22.9583,23.0833,22.6667,22.6667,2601300,CI
CI,1998-06-22,23.0627,23.5417,23.0417,23.0433,1458000,CI
CI,1998-06-23,23.25,23.4167,23.1667,23.25,1123500,CI
CI,1998-06-24,23.2917,23.4167,23.125,23.1267,1373400,CI
CI,1998-06-25,23.1667,23.646,23.1667,23.3767,1249500,CI
CI,1998-06-26,23.375,23.5417,23.1667,23.1667,1061400,CI
CI,1998-06-29,23.7293,23.8543,23.4167,23.4167,831000,CI
CI,1998-06-30,23.0,23.8333,23.0,23.6867,1908300,CI
CI,1998-07-01,23.4167,23.6667,23.25,23.25,1577700,CI
CI,1998-07-02,23.6877,23.8333,23.4167,23.5,1347900,CI
CI,1998-07-03,23.6877,23.8333,23.4167,23.5,0,CI
CI,1998-07-06,24.375,24.521,23.7083,23.71,1375200,CI
CI,1998-07-07,24.125,24.5417,24.0833,24.3767,1144200,CI
CI,1998-07-08,24.375,24.5,24.1667,24.21,992700,CI
CI,1998-07-09,24.1043,24.375,24.1043,24.3333,893700,CI
CI,1998-07-10,24.3127,24.4167,23.875,24.0433,801900,CI
CI,1998-07-13,24.021,24.3333,24.0,24.23,651300,CI
CI,1998-07-14,24.75,24.8333,24.021,24.021,1285200,CI
CI,1998-07-15,24.0,24.6667,23.9793,24.6667,1178700,CI
CI,1998-07-16,24.125,24.1667,23.8127,24.0833,1325700,CI
CI,1998-07-17,24.0833,24.1667,24.0,24.0833,777600,CI
CI,1998-07-20,23.8543,24.0627,23.75,24.0,322500,CI
CI,1998-07-21,23.8127,24.0,23.6667,23.9367,1014000,CI
CI,1998-07-22,24.0417,24.25,23.896,23.8967,1020300,CI
CI,1998-07-23,23.271,24.0417,23.0417,23.96,1050300,CI
CI,1998-07-24,22.8333,23.2083,22.7293,23.2083,959400,CI
CI,1998-07-27,23.1043,23.3127,22.7083,22.71,900300,CI
CI,1998-07-28,21.771,23.021,21.771,23.02,3463800,CI
CI,1998-07-29,22.0833,22.5833,22.0417,22.0833,1639800,CI
CI,1998-07-30,21.5833,22.0833,21.2083,22.0,3003000,CI
CI,1998-07-31,22.021,22.8127,21.875,22.4167,2772600,CI
CI,1998-08-03,22.2917,22.396,22.0833,22.0833,1371300,CI
CI,1998-08-04,22.2083,22.625,22.1667,22.3333,4912500,CI
CI,1998-08-05,22.3333,22.5417,21.9377,22.1667,2394300,CI
CI,1998-08-06,21.8543,22.2917,21.4167,22.25,2929500,CI
CI,1998-08-07,21.4583,21.7293,21.4167,21.6667,1722900,CI
CI,1998-08-10,21.646,21.6667,21.3333,21.5,1510800,CI
CI,1998-08-11,21.2917,21.5417,21.2917,21.5,1422600,CI
CI,1998-08-12,21.5417,21.7083,21.3127,21.3133,2307000,CI
CI,1998-08-13,21.3333,21.625,21.2917,21.46,1639500,CI
CI,1998-08-14,20.6667,21.0417,20.4793,21.0,1591800,CI
CI,1998-08-17,21.3127,21.3127,20.6667,20.75,1046999,CI
CI,1998-08-18,21.3333,21.896,21.146,21.23,1608900,CI
CI,1998-08-19,21.9377,22.1667,21.4583,21.46,1208400,CI
CI,1998-08-20,22.271,22.625,21.9793,21.98,1722600,CI
CI,1998-08-21,22.1043,22.2083,21.3543,21.9367,1591800,CI
CI,1998-08-24,22.25,22.4167,22.0627,22.1267,1018200,CI
CI,1998-08-25,22.25,22.646,22.25,22.5,2291700,CI
CI,1998-08-26,22.125,22.5,22.0,22.21,1353900,CI
CI,1998-08-27,21.4583,22.125,21.1877,22.125,1807500,CI
CI,1998-08-28,20.7917,21.7083,20.75,21.4367,1772400,CI
CI,1998-08-31,19.396,21.0,19.375,20.8767,2561100,CI
CI,1998-09-01,20.2083,20.521,19.0627,19.4367,1810500,CI
CI,1998-09-02,20.625,20.8333,20.0,20.1267,2699700,CI
CI,1998-09-03,20.4793,20.7083,20.0833,20.1667,3317100,CI
CI,1998-09-04,20.521,20.75,20.021,20.75,2420700,CI
CI,1998-09-07,20.521,20.75,20.021,20.75,0,CI
CI,1998-09-08,20.646,20.646,20.4583,20.52,1608900,CI
CI,1998-09-09,20.6667,21.125,20.2917,20.5,1412100,CI
CI,1998-09-10,19.8333,20.6043,19.5833,20.5833,2700300,CI
CI,1998-09-11,20.146,20.2083,19.5,19.6667,1483800,CI
CI,1998-09-14,20.5627,20.875,20.521,20.75,2599800,CI
CI,1998-09-15,20.9377,21.1043,20.5,20.5833,2423400,CI
CI,1998-09-16,21.375,21.5,20.9167,20.9167,1501200,CI
CI,1998-09-17,21.625,21.6667,21.0,21.1667,2049000,CI
CI,1998-09-18,21.8333,22.0,21.521,21.5833,2158200,CI
CI,1998-09-21,21.9793,22.0833,21.4377,21.5833,1610100,CI
CI,1998-09-22,22.4377,22.4793,22.271,22.3333,1114800,CI
CI,1998-09-23,22.8333,22.8333,22.25,22.48,1706700,CI
CI,1998-09-24,22.5627,23.125,22.4377,22.7933,1570800,CI
CI,1998-09-25,22.6877,23.125,22.375,22.48,1063500,CI
CI,1998-09-28,22.9583,23.1043,22.521,22.71,985500,CI
CI,1998-09-29,23.1043,23.375,22.9167,22.98,1275300,CI
CI,1998-09-30,22.0417,22.9583,22.0417,22.9583,1250700,CI
CI,1998-10-01,21.521,22.125,21.5,21.8333,2264700,CI
CI,1998-10-02,21.5833,22.125,21.5417,21.5633,2303700,CI
CI,1998-10-05,21.6667,21.6877,21.2293,21.6667,1488900,CI
CI,1998-10-06,22.0417,22.5,22.0,22.0,1179900,CI
CI,1998-10-07,22.125,22.3127,21.9377,22.1467,2033999,CI
CI,1998-10-08,21.6667,21.8333,21.25,21.5,2302800,CI
CI,1998-10-09,21.3333,21.75,21.3333,21.6467,2882700,CI
CI,1998-10-12,20.6667,21.625,20.6667,21.46,1448700,CI
CI,1998-10-13,21.0417,21.0417,20.6877,20.8767,1462800,CI
CI,1998-10-14,21.125,21.5417,20.9583,21.0,2089799,CI
CI,1998-10-15,22.4167,22.5417,20.8333,20.8333,3579600,CI
CI,1998-10-16,22.4377,22.9583,22.375,22.9167,1775700,CI
CI,1998-10-19,22.8127,22.9167,22.25,22.25,1263300,CI
CI,1998-10-20,23.25,23.4167,22.75,22.8133,1245300,CI
CI,1998-10-21,23.396,23.5417,22.5833,23.21,2444100,CI
CI,1998-10-22,23.75,23.75,22.7293,23.3133,1766400,CI
CI,1998-10-23,23.771,24.0,23.125,23.75,1386300,CI
CI,1998-10-26,22.9583,23.8543,22.8333,23.8533,2111400,CI
CI,1998-10-27,23.2083,23.3333,23.021,23.0433,1706400,CI
CI,1998-10-28,22.9583,23.2293,22.6667,23.1667,1361400,CI
CI,1998-10-29,23.0627,23.125,22.4167,22.96,1797300,CI
CI,1998-10-30,24.3127,24.4167,23.2293,23.3333,2299800,CI
CI,1998-11-02,24.875,24.875,24.1667,24.25,1603800,CI
CI,1998-11-03,25.75,25.8333,24.7917,24.8767,2931600,CI
CI,1998-11-04,26.271,26.8543,26.0833,26.0833,4365300,CI
CI,1998-11-05,25.7293,26.0833,25.396,26.0833,1873200,CI
CI,1998-11-06,25.021,25.7083,24.9377,25.6667,1711500,CI
CI,1998-11-09,25.125,25.2293,24.4167,24.4167,1488900,CI
CI,1998-11-10,24.396,25.1043,24.3333,25.1033,1888200,CI
CI,1998-11-11,24.6043,25.0833,24.5833,24.75,783900,CI
CI,1998-11-12,24.8333,24.9167,24.5,24.5625,1078200,CI
CI,1998-11-13,24.771,25.2083,24.5,24.8533,736500,CI
CI,1998-11-16,25.1667,25.2293,24.7083,24.71,1023600,CI
CI,1998-11-17,25.4377,25.625,25.1667,25.25,1213200,CI
CI,1998-11-18,25.6877,25.75,25.271,25.3967,894000,CI
CI,1998-11-19,25.75,25.7917,25.5627,25.71,942900,CI
CI,1998-11-20,26.3333,26.4793,26.0627,26.1267,1318800,CI
CI,1998-11-23,27.396,27.396,26.6043,26.6667,1889700,CI
CI,1998-11-24,27.0417,27.4583,26.9167,27.4583,2189400,CI
CI,1998-11-25,27.0417,27.4583,26.9167,27.4583,0,CI
CI,1998-11-26,27.0417,27.4583,26.9167,27.4583,0,CI
CI,1998-11-27,26.3333,26.5833,26.3333,26.4167,688800,CI
CI,1998-11-30,25.9377,26.646,25.9377,26.1867,1320900,CI
CI,1998-12-01,25.771,25.875,25.5,25.875,1272300,CI
CI,1998-12-02,26.0417,26.125,25.625,25.6867,846900,CI
CI,1998-12-03,25.5417,25.875,25.3543,25.8533,1224900,CI
CI,1998-12-04,26.4377,26.5,25.6667,25.6667,1121100,CI
CI,1998-12-07,26.5417,26.5627,26.0833,26.0833,1189500,CI
CI,1998-12-08,25.9793,26.5627,25.875,26.5627,1522200,CI
CI,1998-12-09,25.4377,25.9377,25.3543,25.9367,1076700,CI
CI,1998-12-10,25.6043,25.646,25.25,25.48,1904100,CI
CI,1998-12-11,25.0833,25.625,25.0627,25.625,1648800,CI
CI,1998-12-14,24.146,25.0,24.0417,24.6667,1487100,CI
CI,1998-12-15,24.2083,24.4167,23.875,24.1467,1591500,CI
CI,1998-12-16,24.6667,25.146,24.3333,24.3333,2279700,CI
CI,1998-12-17,26.1667,26.25,24.6667,24.6667,2592900,CI
CI,1998-12-18,25.3333,25.75,25.2083,25.6667,3041100,CI
CI,1998-12-21,25.875,26.375,25.4167,25.4167,1644600,CI
CI,1998-12-22,26.375,27.25,25.896,25.96,2026800,CI
CI,1998-12-23,26.5417,26.8543,26.2917,26.6667,1969800,CI
CI,1998-12-24,26.2083,26.5833,26.2083,26.46,415800,CI
CI,1998-12-25,26.2083,26.5833,26.2083,26.46,0,CI
CI,1998-12-28,25.8333,26.2293,25.8333,26.1267,1293600,CI
CI,1998-12-29,25.875,26.125,25.5833,25.9167,1280400,CI
