Symbol,Date,Close,High,Low,Open,Volume,Name
CMS,1998-05-29,43.563,43.75,42.563,42.563,216000,CMS
CMS,1998-06-01,44.188,44.5,43.375,43.5,214700,CMS
CMS,1998-06-02,44.063,44.75,44.063,44.69,202200,CMS
CMS,1998-06-03,44.313,44.625,44.063,44.063,389000,CMS
CMS,1998-06-04,44.438,44.563,44.125,44.44,235400,CMS
CMS,1998-06-05,44.375,44.438,44.063,44.438,170600,CMS
CMS,1998-06-08,44.375,44.875,44.25,44.38,445600,CMS
CMS,1998-06-09,44.688,44.938,44.375,44.38,110000,CMS
CMS,1998-06-10,44.5,45.5,44.375,44.63,242900,CMS
CMS,1998-06-11,44.5,44.625,44.125,44.5,167300,CMS
CMS,1998-06-12,44.938,44.938,44.5,44.5,187900,CMS
CMS,1998-06-15,45.063,45.75,44.813,45.0,345200,CMS
CMS,1998-06-16,44.875,45.188,44.813,45.188,363800,CMS
CMS,1998-06-17,44.75,44.875,44.563,44.875,212900,CMS
CMS,1998-06-18,44.688,44.813,44.438,44.69,133600,CMS
CMS,1998-06-19,43.938,44.5,43.813,44.38,373000,CMS
CMS,1998-06-22,43.938,44.188,43.875,44.188,111800,CMS
CMS,1998-06-23,43.0,43.938,43.0,43.938,501900,CMS
CMS,1998-06-24,43.375,43.375,43.063,43.063,1102200,CMS
CMS,1998-06-25,43.188,43.813,43.0,43.5,355700,CMS
CMS,1998-06-26,43.313,43.438,42.875,43.38,616200,CMS
CMS,1998-06-29,44.188,44.313,43.875,44.0,204200,CMS
CMS,1998-06-30,44.0,44.375,44.0,44.13,249600,CMS
CMS,1998-07-01,44.563,44.563,44.125,44.13,125000,CMS
CMS,1998-07-02,44.5,44.75,44.188,44.63,107600,CMS
CMS,1998-07-03,44.5,44.75,44.188,44.63,0,CMS
CMS,1998-07-06,44.688,44.688,44.375,44.688,181200,CMS
CMS,1998-07-07,44.25,44.688,44.188,44.63,128399,CMS
CMS,1998-07-08,44.188,44.313,44.188,44.31,80000,CMS
CMS,1998-07-09,44.063,44.313,44.0,44.31,104200,CMS
CMS,1998-07-10,44.188,44.313,43.25,43.81,282500,CMS
CMS,1998-07-13,43.563,44.188,43.563,44.13,173600,CMS
CMS,1998-07-14,43.938,44.0,43.5,43.56,410700,CMS
CMS,1998-07-15,43.375,43.688,43.188,43.688,178000,CMS
CMS,1998-07-16,43.75,43.875,43.375,43.5,122500,CMS
CMS,1998-07-17,43.875,44.0,43.688,43.94,199900,CMS
CMS,1998-07-20,43.75,44.0,43.625,44.0,95300,CMS
CMS,1998-07-21,43.563,43.813,43.375,43.75,153200,CMS
CMS,1998-07-22,43.625,43.688,43.375,43.5,207900,CMS
CMS,1998-07-23,43.375,43.75,43.125,43.56,209600,CMS
CMS,1998-07-24,43.313,43.5,43.25,43.5,132800,CMS
CMS,1998-07-27,43.5,43.563,43.188,43.25,328500,CMS
CMS,1998-07-28,42.938,43.625,42.938,43.38,225900,CMS
CMS,1998-07-29,42.625,43.188,42.625,43.13,47000,CMS
CMS,1998-07-30,43.125,43.25,42.563,42.563,197000,CMS
CMS,1998-07-31,42.188,43.125,42.188,43.0,1256200,CMS
CMS,1998-08-03,42.75,42.75,41.563,41.63,1056100,CMS
CMS,1998-08-04,41.813,43.0,41.75,42.75,380800,CMS
CMS,1998-08-05,41.938,42.188,41.5,41.75,280200,CMS
CMS,1998-08-06,41.625,41.938,41.5,41.75,69900,CMS
CMS,1998-08-07,42.25,42.25,41.688,41.75,131100,CMS
CMS,1998-08-10,42.313,42.313,41.688,42.0,201300,CMS
CMS,1998-08-11,41.938,42.375,41.5,42.375,211100,CMS
CMS,1998-08-12,43.188,43.313,41.813,41.813,378900,CMS
CMS,1998-08-13,42.5,43.125,42.438,42.94,187600,CMS
CMS,1998-08-14,42.438,43.063,42.188,42.5,374300,CMS
CMS,1998-08-17,42.75,42.875,42.188,42.44,251199,CMS
CMS,1998-08-18,42.813,43.063,42.688,43.0,199900,CMS
CMS,1998-08-19,42.375,42.625,41.75,42.56,686900,CMS
CMS,1998-08-20,42.375,42.563,42.0,42.38,262200,CMS
CMS,1998-08-21,43.25,43.375,41.875,42.38,222900,CMS
CMS,1998-08-24,43.813,43.813,43.0,43.0,284000,CMS
CMS,1998-08-25,44.125,44.125,43.625,43.88,393100,CMS
CMS,1998-08-26,44.125,44.125,43.625,43.63,774400,CMS
CMS,1998-08-27,43.688,43.875,43.563,43.875,393600,CMS
CMS,1998-08-28,43.375,43.75,43.063,43.69,847500,CMS
CMS,1998-08-31,42.313,43.563,42.313,43.5,396500,CMS
CMS,1998-09-01,42.313,42.5,41.625,42.38,517800,CMS
CMS,1998-09-02,42.063,42.438,42.0,42.438,211100,CMS
CMS,1998-09-03,41.625,42.25,41.188,41.63,326200,CMS
CMS,1998-09-04,40.75,41.625,39.813,41.625,503600,CMS
CMS,1998-09-07,40.75,41.625,39.813,41.625,0,CMS
CMS,1998-09-08,41.063,41.25,40.5,40.63,461500,CMS
CMS,1998-09-09,40.438,41.125,40.125,41.06,460500,CMS
CMS,1998-09-10,39.875,40.375,39.5,40.375,591100,CMS
CMS,1998-09-11,39.0,39.938,38.75,39.88,844600,CMS
CMS,1998-09-14,39.25,39.5,39.063,39.5,694300,CMS
CMS,1998-09-15,40.125,40.188,39.375,39.44,386700,CMS
CMS,1998-09-16,40.938,41.125,40.25,40.31,470900,CMS
CMS,1998-09-17,41.813,41.813,40.625,40.75,614100,CMS
CMS,1998-09-18,42.25,42.438,41.938,41.94,255900,CMS
CMS,1998-09-21,42.188,42.375,41.875,42.25,124200,CMS
CMS,1998-09-22,42.375,43.125,41.75,41.75,320800,CMS
CMS,1998-09-23,42.0,42.563,41.625,42.25,192300,CMS
CMS,1998-09-24,42.0,42.188,41.875,42.0,393600,CMS
CMS,1998-09-25,42.125,42.625,41.875,42.0,136800,CMS
CMS,1998-09-28,42.25,42.75,42.25,42.38,235000,CMS
CMS,1998-09-29,43.0,43.0,42.0,42.31,201400,CMS
CMS,1998-09-30,43.563,43.563,42.5,42.81,285700,CMS
CMS,1998-10-01,43.438,44.563,43.188,43.56,258400,CMS
CMS,1998-10-02,44.5,44.563,43.438,43.44,333900,CMS
CMS,1998-10-05,45.5,45.5,44.375,44.63,442000,CMS
CMS,1998-10-06,45.563,46.0,44.938,45.38,470700,CMS
CMS,1998-10-07,46.313,47.0,45.375,45.44,607900,CMS
CMS,1998-10-08,47.313,47.375,46.063,46.063,497500,CMS
CMS,1998-10-09,45.375,47.438,45.125,47.438,327200,CMS
CMS,1998-10-12,44.125,45.25,44.0,45.13,272800,CMS
CMS,1998-10-13,44.625,44.75,44.0,44.0,374600,CMS
CMS,1998-10-14,46.5,46.625,44.625,44.63,717900,CMS
CMS,1998-10-15,47.0,47.188,46.25,46.25,358500,CMS
CMS,1998-10-16,45.438,47.313,45.188,47.25,204600,CMS
CMS,1998-10-19,44.688,45.563,44.688,45.13,130399,CMS
CMS,1998-10-20,44.0,45.375,43.938,44.94,397400,CMS
CMS,1998-10-21,43.313,44.063,43.188,44.0,235700,CMS
CMS,1998-10-22,44.5,44.75,43.375,43.38,415800,CMS
CMS,1998-10-23,43.875,44.375,43.688,44.31,165000,CMS
CMS,1998-10-26,44.563,44.563,43.625,44.13,154700,CMS
CMS,1998-10-27,44.188,44.438,43.938,44.38,229600,CMS
CMS,1998-10-28,44.25,44.625,43.75,44.0,375400,CMS
CMS,1998-10-29,44.063,44.313,43.75,44.31,241300,CMS
CMS,1998-10-30,44.063,44.313,43.688,43.81,167100,CMS
CMS,1998-11-02,46.188,46.25,44.0,44.0,595700,CMS
CMS,1998-11-03,47.688,47.938,46.938,47.5,512399,CMS
CMS,1998-11-04,47.625,48.188,47.313,47.69,423900,CMS
CMS,1998-11-05,47.563,47.75,47.375,47.63,139700,CMS
CMS,1998-11-06,47.813,48.375,47.375,47.38,214600,CMS
CMS,1998-11-09,47.5,47.75,47.313,47.63,160900,CMS
CMS,1998-11-10,46.375,48.0,46.375,47.38,495100,CMS
CMS,1998-11-11,46.375,46.688,46.313,46.38,651900,CMS
CMS,1998-11-12,46.6875,46.875,46.0,46.4375,281100,CMS
CMS,1998-11-13,47.0,47.25,46.688,46.81,171000,CMS
CMS,1998-11-16,46.688,46.938,46.625,46.88,185800,CMS
CMS,1998-11-17,47.25,47.313,46.688,46.69,264900,CMS
CMS,1998-11-18,47.313,47.688,47.125,47.25,233400,CMS
CMS,1998-11-19,47.5,47.625,47.313,47.313,264200,CMS
CMS,1998-11-20,48.063,48.25,47.563,47.63,260100,CMS
CMS,1998-11-23,48.5,49.0,48.3125,48.3125,206500,CMS
CMS,1998-11-24,49.0,49.0,48.5,48.5,168600,CMS
CMS,1998-11-25,49.0,49.0,48.5,48.5,0,CMS
CMS,1998-11-26,49.0,49.0,48.5,48.5,0,CMS
CMS,1998-11-27,49.813,50.0,49.5,49.5,242200,CMS
CMS,1998-11-30,48.75,49.688,48.688,49.63,308000,CMS
CMS,1998-12-01,49.125,49.125,48.5,48.63,350400,CMS
CMS,1998-12-02,49.75,49.75,49.25,49.25,410000,CMS
CMS,1998-12-03,49.938,50.063,49.563,49.75,338400,CMS
CMS,1998-12-04,49.813,50.125,49.688,49.69,515200,CMS
CMS,1998-12-07,49.5,49.813,49.375,49.69,538900,CMS
CMS,1998-12-08,49.125,49.438,49.0,49.38,409500,CMS
CMS,1998-12-09,48.813,49.0,48.313,49.0,442600,CMS
CMS,1998-12-10,48.438,49.0,48.313,48.94,341600,CMS
CMS,1998-12-11,48.688,48.75,47.75,48.25,234300,CMS
CMS,1998-12-14,48.125,48.563,48.0,48.44,135100,CMS
CMS,1998-12-15,48.0,48.188,47.813,48.0,232000,CMS
CMS,1998-12-16,47.75,48.0,47.625,48.0,380000,CMS
CMS,1998-12-17,47.75,48.188,47.688,47.75,1004999,CMS
CMS,1998-12-18,48.375,48.438,47.5,47.75,278900,CMS
CMS,1998-12-21,48.25,48.625,48.125,48.31,123600,CMS
CMS,1998-12-22,47.75,48.313,47.75,48.31,57700,CMS
CMS,1998-12-23,48.125,48.125,47.313,47.94,147100,CMS
CMS,1998-12-24,48.25,48.25,47.875,48.25,57800,CMS
CMS,1998-12-25,48.25,48.25,47.875,48.25,0,CMS
CMS,1998-12-28,47.688,48.25,47.438,48.25,100700,CMS
CMS,1998-12-29,47.688,48.063,47.563,47.94,109500,CMS
CMS,1998-12-30,47.75,47.938,47.5,47.88,194100,CMS
CMS,1998-12-31,48.438,48.5,47.938,48.0,407700,CMS
CMS,1999-01-01,48.438,48.5,47.938,48.0,0,CMS
CMS,1999-01-04,48.063,48.438,47.813,48.438,320700,CMS
CMS,1999-01-05,48.125,48.375,48.063,48.13,266700,CMS
CMS,1999-01-06,47.375,48.188,47.313,48.13,413000,CMS
CMS,1999-01-07,47.25,47.75,47.125,47.38,304000,CMS
CMS,1999-01-08,46.875,47.438,46.375,47.25,566300,CMS
CMS,1999-01-11,45.75,46.75,45.563,46.75,257199,CMS
CMS,1999-01-12,45.875,46.0,45.625,46.0,332700,CMS
CMS,1999-01-13,45.75,45.875,45.5,45.63,364700,CMS
CMS,1999-01-14,45.375,45.75,45.375,45.75,139200,CMS
CMS,1999-01-15,45.375,45.688,45.313,45.63,70700,CMS
CMS,1999-01-18,45.375,45.688,45.313,45.63,0,CMS
CMS,1999-01-19,45.0,45.688,44.813,45.63,317600,CMS
CMS,1999-01-20,44.625,45.438,44.625,45.25,175100,CMS
CMS,1999-01-21,44.875,45.0,44.688,44.88,330700,CMS
CMS,1999-01-22,45.375,45.438,44.875,44.88,266700,CMS
CMS,1999-01-25,44.813,45.313,44.75,45.0,212900,CMS
CMS,1999-01-26,44.938,45.188,44.875,45.0,295400,CMS
CMS,1999-01-27,44.688,45.0,44.625,45.0,230000,CMS
CMS,1999-01-28,44.25,44.875,44.125,44.875,174700,CMS
CMS,1999-01-29,42.813,44.125,42.813,44.125,360100,CMS
