Symbol,Date,Close,High,Low,Open,Volume,Name
CNC,2001-12-13,2.867,2.95,2.3785,2.38,28183800,CNC
CNC,2001-12-14,2.7835,2.882,2.742,2.87,5653800,CNC
CNC,2001-12-17,2.83,2.85,2.767,2.785,878400,CNC
CNC,2001-12-18,2.877,2.895,2.7835,2.815,1792800,CNC
CNC,2001-12-19,3.452,3.55,2.867,2.875,1676400,CNC
CNC,2001-12-20,3.3085,3.8,3.292,3.4,1927800,CNC
CNC,2001-12-21,3.317,3.35,3.3085,3.35,1623000,CNC
CNC,2001-12-24,3.325,3.375,3.2685,3.325,484200,CNC
CNC,2001-12-25,3.325,3.375,3.2685,3.325,0,CNC
CNC,2001-12-26,3.387,3.4335,3.3035,3.315,1057800,CNC
CNC,2001-12-27,3.467,3.482,3.38,3.415,1186200,CNC
CNC,2001-12-28,3.5835,3.6335,3.442,3.442,554400,CNC
CNC,2001-12-31,3.6585,3.85,3.545,3.65,225600,CNC
CNC,2002-01-01,3.6585,3.85,3.545,3.65,0,CNC
CNC,2002-01-02,3.667,3.7785,3.64,3.7785,724200,CNC
CNC,2002-01-03,3.667,3.675,3.6485,3.65,164400,CNC
CNC,2002-01-04,3.625,3.6735,3.565,3.6735,274800,CNC
CNC,2002-01-07,3.4285,3.615,3.4,3.575,394800,CNC
CNC,2002-01-08,3.5333,3.5333,3.435,3.435,592200,CNC
CNC,2002-01-09,3.4535,3.5335,3.4535,3.5335,348600,CNC
CNC,2002-01-10,3.427,3.475,3.307,3.475,276000,CNC
CNC,2002-01-11,3.5335,3.617,3.375,3.375,97200,CNC
CNC,2002-01-14,3.4935,3.567,3.4635,3.565,64800,CNC
CNC,2002-01-15,3.5084,3.5084,3.5,3.5002,47400,CNC
CNC,2002-01-16,3.342,3.51,3.342,3.5,73800,CNC
CNC,2002-01-17,3.2585,3.42,3.0335,3.335,518400,CNC
CNC,2002-01-18,3.25,3.282,3.187,3.22,417000,CNC
CNC,2002-01-21,3.25,3.282,3.187,3.22,0,CNC
CNC,2002-01-22,3.367,3.367,3.2,3.215,235200,CNC
CNC,2002-01-23,3.6183,3.6183,3.31,3.31,115800,CNC
CNC,2002-01-24,3.592,3.64,3.5,3.6,54000,CNC
CNC,2002-01-25,3.6085,3.6085,3.525,3.59,126599,CNC
CNC,2002-01-28,3.387,3.575,3.292,3.575,692400,CNC
CNC,2002-01-29,3.417,3.5,3.3735,3.375,371400,CNC
CNC,2002-01-30,3.3535,3.4185,3.352,3.4185,534000,CNC
CNC,2002-01-31,3.0835,3.3935,3.017,3.345,1555800,CNC
CNC,2002-02-01,3.2335,3.3333,3.167,3.2,909000,CNC
CNC,2002-02-04,3.1335,3.267,3.092,3.235,3652800,CNC
CNC,2002-02-05,3.1867,3.1867,3.135,3.135,22800,CNC
CNC,2002-02-06,3.35,3.362,3.1835,3.185,285600,CNC
CNC,2002-02-07,3.202,3.35,3.202,3.325,49200,CNC
CNC,2002-02-08,3.2017,3.2017,3.2017,3.2017,4200,CNC
CNC,2002-02-11,3.2085,3.307,3.2085,3.265,18000,CNC
CNC,2002-02-12,3.212,3.242,3.172,3.2,24600,CNC
CNC,2002-02-13,3.13,3.2,3.125,3.2,418800,CNC
CNC,2002-02-14,3.2117,3.2117,3.15,3.15,69600,CNC
CNC,2002-02-15,3.167,3.192,3.1,3.19,481800,CNC
CNC,2002-02-18,3.167,3.192,3.1,3.19,0,CNC
CNC,2002-02-19,3.127,3.1835,3.127,3.175,15600,CNC
CNC,2002-02-20,3.1435,3.175,3.127,3.13,181800,CNC
CNC,2002-02-21,3.1585,3.192,3.127,3.165,277200,CNC
CNC,2002-02-22,3.1335,3.18,3.1335,3.16,285600,CNC
CNC,2002-02-25,3.15,3.1785,3.127,3.16,1034999,CNC
CNC,2002-02-26,3.152,3.19,3.135,3.15,112800,CNC
CNC,2002-02-27,3.1385,3.167,3.1285,3.135,664200,CNC
CNC,2002-02-28,3.125,3.142,3.117,3.135,716400,CNC
CNC,2002-03-01,3.13,3.167,3.127,3.15,580200,CNC
CNC,2002-03-04,3.14,3.157,3.092,3.13,332400,CNC
CNC,2002-03-05,3.1485,3.1835,3.1335,3.14,155400,CNC
CNC,2002-03-06,3.15,3.1985,3.125,3.15,134400,CNC
CNC,2002-03-07,3.15,3.2,3.15,3.2,36600,CNC
CNC,2002-03-08,3.1835,3.1835,3.1085,3.145,79200,CNC
CNC,2002-03-11,3.145,3.182,3.0835,3.125,89400,CNC
CNC,2002-03-12,3.25,3.25,3.175,3.175,346800,CNC
CNC,2002-03-13,3.457,3.457,3.25,3.255,363000,CNC
CNC,2002-03-14,3.6784,3.6784,3.425,3.425,748800,CNC
CNC,2002-03-15,3.767,3.8085,3.6585,3.66,437400,CNC
CNC,2002-03-18,3.817,3.927,3.8,3.83,376200,CNC
CNC,2002-03-19,3.85,3.85,3.805,3.85,201600,CNC
CNC,2002-03-20,3.8335,3.8685,3.795,3.825,118200,CNC
CNC,2002-03-21,3.842,3.842,3.775,3.835,486000,CNC
CNC,2002-03-22,3.855,3.855,3.795,3.795,210000,CNC
CNC,2002-03-25,3.825,3.842,3.782,3.84,30600,CNC
CNC,2002-03-26,3.8335,3.842,3.782,3.81,61200,CNC
CNC,2002-03-27,3.825,3.852,3.812,3.845,123600,CNC
CNC,2002-03-28,3.817,3.8735,3.55,3.835,834600,CNC
CNC,2002-03-29,3.817,3.8735,3.55,3.835,0,CNC
CNC,2002-04-01,3.825,3.825,3.7805,3.825,163200,CNC
CNC,2002-04-02,3.825,3.825,3.8167,3.825,54000,CNC
CNC,2002-04-03,3.8333,3.8333,3.8167,3.8167,288000,CNC
CNC,2002-04-04,3.8333,3.8333,3.8167,3.825,31200,CNC
CNC,2002-04-05,3.8167,3.8167,3.8167,3.8167,28200,CNC
CNC,2002-04-08,3.825,3.825,3.8,3.8,112800,CNC
CNC,2002-04-09,4.1835,4.1835,3.792,3.82,525600,CNC
