Symbol,Date,Close,High,Low,Open,Volume,Name
CSRA,2015-11-16,31.9,32.9,30.5,30.5,80700,CSRA
CSRA,2015-11-17,32.975,33.44,32.19,32.19,144688,CSRA
CSRA,2015-11-18,33.02,33.28,33.0,33.0,18900,CSRA
CSRA,2015-11-19,32.5,33.19,32.5,33.19,454126,CSRA
CSRA,2015-11-20,32.2,32.99,32.06,32.99,58398,CSRA
CSRA,2015-11-23,32.45,32.59,32.25,32.5,32783,CSRA
CSRA,2015-11-24,31.98,32.79,31.48,32.78,88519,CSRA
CSRA,2015-11-25,30.39,32.01,30.0,32.01,2005448,CSRA
CSRA,2015-11-26,30.39,30.39,30.39,30.39,0,CSRA
CSRA,2015-11-27,29.21,30.99,29.08,29.11,5199716,CSRA
CSRA,2015-11-30,31.51,32.6,29.05,29.39,8567467,CSRA
CSRA,2015-12-01,30.57,31.52,29.98,31.52,3789529,CSRA
CSRA,2015-12-02,30.76,31.17,30.0,30.07,3214462,CSRA
CSRA,2015-12-03,29.4,30.8,27.51,30.8,8547528,CSRA
CSRA,2015-12-04,29.0,30.04,28.64,28.81,5684525,CSRA
CSRA,2015-12-07,28.63,29.21,28.47,29.0,3102567,CSRA
CSRA,2015-12-08,27.91,28.75,26.72,28.16,3959593,CSRA
CSRA,2015-12-09,28.08,28.75,26.95,27.91,2887338,CSRA
CSRA,2015-12-10,28.54,28.78,27.6016,27.77,4056922,CSRA
CSRA,2015-12-11,28.92,29.21,27.91,28.17,2172278,CSRA
CSRA,2015-12-14,28.42,29.23,28.14,28.94,1354202,CSRA
CSRA,2015-12-15,27.53,28.94,27.45,28.32,2341462,CSRA
CSRA,2015-12-16,27.44,28.06,26.8,27.76,2268447,CSRA
CSRA,2015-12-17,26.67,27.84,26.37,27.42,2308991,CSRA
CSRA,2015-12-18,27.46,27.75,26.26,26.43,2705915,CSRA
CSRA,2015-12-21,27.36,28.13,26.77,27.84,1330391,CSRA
