Symbol,Date,Close,High,Low,Open,Volume,Name
CSX,1998-05-29,7.9583,8.2708,7.9375,8.26,4940400,CSX
CSX,1998-06-01,7.875,8.0417,7.8333,7.9383,3895800,CSX
CSX,1998-06-02,7.7083,7.9167,7.5522,7.9067,9537600,CSX
CSX,1998-06-03,7.7813,7.875,7.6667,7.7183,3351600,CSX
CSX,1998-06-04,7.7292,7.7708,7.6667,7.7183,3015600,CSX
CSX,1998-06-05,7.9063,7.9167,7.7813,7.7917,1320600,CSX
CSX,1998-06-08,7.9583,8.0522,7.9063,7.9067,3564000,CSX
CSX,1998-06-09,8.0938,8.25,8.0,8.0,3552600,CSX
CSX,1998-06-10,8.0833,8.1563,8.0833,8.135,2989200,CSX
CSX,1998-06-11,8.0,8.0833,7.9897,8.0833,2673000,CSX
CSX,1998-06-12,7.9897,8.0313,7.9272,7.99,4512000,CSX
CSX,1998-06-15,7.8647,7.9688,7.8542,7.9483,2223000,CSX
CSX,1998-06-16,7.9272,7.9375,7.8125,7.9167,2329800,CSX
CSX,1998-06-17,7.8438,7.948,7.8333,7.9167,5013600,CSX
CSX,1998-06-18,7.698,7.875,7.6667,7.8333,4478400,CSX
CSX,1998-06-19,7.6772,7.7917,7.6563,7.7183,3421200,CSX
CSX,1998-06-22,7.5417,7.6458,7.4897,7.5833,3750600,CSX
CSX,1998-06-23,7.5313,7.6355,7.5,7.5417,3018600,CSX
CSX,1998-06-24,7.5522,7.5938,7.5,7.5317,2274600,CSX
CSX,1998-06-25,7.4897,7.6458,7.4792,7.5933,3030600,CSX
CSX,1998-06-26,7.5105,7.6042,7.5,7.5317,2523000,CSX
CSX,1998-06-29,7.5522,7.5938,7.4688,7.5317,2616600,CSX
CSX,1998-06-30,7.5833,7.6667,7.573,7.5933,1763400,CSX
CSX,1998-07-01,7.573,7.6355,7.5417,7.5833,1767000,CSX
CSX,1998-07-02,7.6355,7.6667,7.5417,7.5833,1255200,CSX
CSX,1998-07-03,7.6355,7.6667,7.5417,7.5833,0,CSX
CSX,1998-07-06,7.7605,7.8022,7.5833,7.5933,2977800,CSX
CSX,1998-07-07,7.6875,7.823,7.6772,7.75,2122800,CSX
CSX,1998-07-08,7.7083,7.7708,7.6563,7.6883,3906000,CSX
CSX,1998-07-09,7.5833,7.698,7.4272,7.698,2672400,CSX
CSX,1998-07-10,7.573,7.6147,7.5313,7.5933,1432800,CSX
CSX,1998-07-13,7.4272,7.5625,7.4063,7.5317,2060400,CSX
CSX,1998-07-14,7.4272,7.4897,7.3855,7.4267,1834800,CSX
CSX,1998-07-15,7.3542,7.5208,7.3542,7.49,2075400,CSX
CSX,1998-07-16,7.4063,7.4063,7.2083,7.3133,1922400,CSX
CSX,1998-07-17,7.4063,7.4688,7.3542,7.4067,2391000,CSX
CSX,1998-07-20,7.2917,7.5625,7.2708,7.4067,1921200,CSX
CSX,1998-07-21,7.2292,7.2917,7.2083,7.2917,1946400,CSX
CSX,1998-07-22,7.3438,7.3438,7.1772,7.25,1989000,CSX
CSX,1998-07-23,7.1875,7.4167,7.1772,7.4167,2394600,CSX
CSX,1998-07-24,7.0833,7.1772,6.9583,7.1767,1867800,CSX
CSX,1998-07-27,7.1563,7.198,6.948,7.0633,2293800,CSX
CSX,1998-07-28,7.0625,7.2292,7.0105,7.1567,1708800,CSX
CSX,1998-07-29,6.9792,7.1355,6.9688,7.0733,1719600,CSX
CSX,1998-07-30,6.9792,7.0833,6.948,6.9483,2254200,CSX
CSX,1998-07-31,6.7397,6.9375,6.6667,6.9167,2356200,CSX
CSX,1998-08-03,6.7397,6.8125,6.5938,6.73,2871000,CSX
CSX,1998-08-04,6.4792,6.7397,6.4792,6.73,5539800,CSX
CSX,1998-08-05,6.4792,6.5,6.4583,6.4583,2619000,CSX
CSX,1998-08-06,6.6667,6.6667,6.4272,6.4683,2597400,CSX
CSX,1998-08-07,6.9688,7.0313,6.6772,6.7083,4435800,CSX
CSX,1998-08-10,7.0208,7.0833,6.9792,7.0,5292600,CSX
