Symbol,Date,Close,High,Low,Open,Volume,Name
CTL,1998-05-29,29.542,29.917,29.459,29.77,216450,CTL
CTL,1998-06-01,30.0,30.167,29.75,29.77,261450,CTL
CTL,1998-06-02,30.083,30.167,29.833,30.02,274050,CTL
CTL,1998-06-03,29.959,30.5,29.833,30.1,225000,CTL
CTL,1998-06-04,30.75,30.917,29.667,30.1,353550,CTL
CTL,1998-06-05,31.542,31.542,30.583,30.81,263550,CTL
CTL,1998-06-08,32.875,32.917,31.542,31.81,645750,CTL
CTL,1998-06-09,32.167,33.292,32.083,32.85,496800,CTL
CTL,1998-06-10,32.042,32.25,31.75,32.18,487650,CTL
CTL,1998-06-11,31.75,32.667,31.292,32.02,424200,CTL
CTL,1998-06-12,31.292,32.167,31.083,31.94,345300,CTL
CTL,1998-06-15,30.0,31.209,30.0,31.209,268350,CTL
CTL,1998-06-16,30.125,30.459,29.75,30.1,467400,CTL
CTL,1998-06-17,31.375,31.917,30.792,30.81,410250,CTL
CTL,1998-06-18,30.959,31.375,30.709,31.31,251550,CTL
CTL,1998-06-19,30.292,30.833,30.25,30.44,400950,CTL
CTL,1998-06-22,31.5,31.75,30.209,30.22,271200,CTL
CTL,1998-06-23,31.709,31.917,31.167,31.6,296100,CTL
CTL,1998-06-24,31.125,32.209,31.083,31.72,444150,CTL
CTL,1998-06-25,31.125,31.542,31.042,31.06,218100,CTL
CTL,1998-06-26,31.417,31.667,31.333,31.667,187350,CTL
CTL,1998-06-29,31.209,31.459,31.083,31.44,148500,CTL
CTL,1998-06-30,30.583,31.167,30.417,31.02,215550,CTL
CTL,1998-07-01,30.875,31.167,30.875,31.02,198450,CTL
CTL,1998-07-02,31.875,31.917,31.042,31.06,393300,CTL
CTL,1998-07-03,31.875,31.917,31.042,31.06,0,CTL
CTL,1998-07-06,31.875,32.542,31.75,31.85,294000,CTL
CTL,1998-07-07,32.375,32.792,31.833,31.85,263400,CTL
CTL,1998-07-08,32.583,32.833,32.417,32.56,220800,CTL
CTL,1998-07-09,32.333,33.0,32.0,32.56,359850,CTL
CTL,1998-07-10,32.209,32.625,32.167,32.27,248850,CTL
CTL,1998-07-13,32.583,32.667,32.0,32.18,129600,CTL
CTL,1998-07-14,32.667,33.459,32.625,32.72,265950,CTL
CTL,1998-07-15,32.709,33.167,32.542,32.6,188250,CTL
CTL,1998-07-16,32.875,32.959,32.375,32.85,335850,CTL
CTL,1998-07-17,33.625,34.125,32.959,32.98,417750,CTL
CTL,1998-07-20,34.209,34.959,34.125,34.31,452550,CTL
CTL,1998-07-21,34.333,35.125,34.125,34.68,368550,CTL
CTL,1998-07-22,33.917,35.0,33.667,34.18,475350,CTL
CTL,1998-07-23,33.583,34.583,33.583,34.18,252900,CTL
CTL,1998-07-24,33.625,34.0,33.333,33.35,320550,CTL
CTL,1998-07-27,32.417,33.5,32.25,,387750,CTL
CTL,1998-07-28,32.583,32.959,31.75,32.44,753150,CTL
CTL,1998-07-29,33.667,35.0,33.667,,1306800,CTL
CTL,1998-07-30,33.833,34.333,33.5,34.333,668400,CTL
CTL,1998-07-31,33.167,33.792,32.75,33.68,450000,CTL
CTL,1998-08-03,33.333,33.667,33.167,33.6,277050,CTL
CTL,1998-08-04,32.333,33.833,32.333,33.68,735450,CTL
CTL,1998-08-05,32.0,32.833,31.167,32.02,437250,CTL
CTL,1998-08-06,33.167,33.459,31.917,31.94,303150,CTL
CTL,1998-08-07,32.917,33.417,32.875,33.35,329100,CTL
CTL,1998-08-10,32.5,33.083,32.459,33.083,213450,CTL
CTL,1998-08-11,31.75,32.542,31.542,32.542,361950,CTL
CTL,1998-08-12,31.917,32.209,31.459,31.81,222750,CTL
CTL,1998-08-13,31.959,32.167,31.833,32.06,269700,CTL
CTL,1998-08-14,32.375,32.583,31.792,31.85,607050,CTL
CTL,1998-08-17,32.75,33.25,32.5,32.52,471600,CTL
CTL,1998-08-18,33.292,33.5,32.792,32.81,334050,CTL
CTL,1998-08-19,33.0,33.459,32.833,33.31,352350,CTL
CTL,1998-08-20,33.0,33.25,32.5,32.98,334500,CTL
CTL,1998-08-21,31.75,32.959,31.25,32.94,542400,CTL
CTL,1998-08-24,32.792,32.792,32.0,32.02,385200,CTL
CTL,1998-08-25,33.292,33.75,32.959,32.98,341550,CTL
CTL,1998-08-26,33.0,33.333,32.667,33.333,880500,CTL
CTL,1998-08-27,31.792,32.833,31.583,32.833,235800,CTL
CTL,1998-08-28,31.333,31.792,30.5,31.72,341100,CTL
CTL,1998-08-31,30.25,31.625,29.959,31.48,404550,CTL
CTL,1998-09-01,30.5,30.792,28.417,30.1,1146000,CTL
CTL,1998-09-02,30.667,30.75,30.125,30.44,769050,CTL
CTL,1998-09-03,30.292,30.75,30.0,,473850,CTL
CTL,1998-09-04,30.667,31.042,30.042,30.31,228000,CTL
CTL,1998-09-07,30.667,31.042,30.042,30.31,0,CTL
CTL,1998-09-08,32.167,32.209,31.667,31.85,292350,CTL
CTL,1998-09-09,32.417,32.875,32.0,32.1,521400,CTL
CTL,1998-09-10,32.709,32.709,31.5,32.44,383850,CTL
CTL,1998-09-11,32.75,33.0,32.417,32.68,358050,CTL
CTL,1998-09-14,33.792,33.875,33.125,33.35,409200,CTL
CTL,1998-09-15,32.959,33.542,32.833,33.44,316200,CTL
CTL,1998-09-16,32.0,33.125,31.917,33.1,497100,CTL
CTL,1998-09-17,31.959,32.167,30.709,31.52,290700,CTL
CTL,1998-09-18,32.333,32.333,31.583,32.02,495900,CTL
CTL,1998-09-21,31.625,32.042,31.459,32.02,199800,CTL
CTL,1998-09-22,31.709,32.042,31.667,31.85,277950,CTL
CTL,1998-09-23,32.167,32.167,31.792,31.81,315000,CTL
CTL,1998-09-24,31.292,32.083,31.167,32.02,340200,CTL
CTL,1998-09-25,31.25,31.292,30.959,31.18,277950,CTL
CTL,1998-09-28,31.5,31.792,31.333,31.68,444150,CTL
CTL,1998-09-29,31.709,31.709,31.25,31.68,436050,CTL
CTL,1998-09-30,31.5,31.833,31.417,31.64,343500,CTL
CTL,1998-10-01,31.459,31.667,31.292,31.35,254850,CTL
CTL,1998-10-02,32.167,32.25,31.333,31.39,347400,CTL
CTL,1998-10-05,31.875,31.875,31.083,31.35,331350,CTL
CTL,1998-10-06,31.417,32.209,30.833,31.94,358800,CTL
CTL,1998-10-07,31.333,31.75,31.125,31.52,227850,CTL
CTL,1998-10-08,30.375,31.042,30.042,31.02,536550,CTL
CTL,1998-10-09,30.333,30.5,30.167,30.22,592650,CTL
CTL,1998-10-12,31.167,31.25,30.167,30.27,494400,CTL
CTL,1998-10-13,31.75,31.792,31.167,31.18,319800,CTL
CTL,1998-10-14,32.75,32.75,31.667,31.72,417150,CTL
CTL,1998-10-15,33.417,33.667,32.583,32.68,585900,CTL
CTL,1998-10-16,33.0,33.583,32.375,33.583,254249,CTL
CTL,1998-10-19,33.542,33.667,33.0,33.1,351750,CTL
CTL,1998-10-20,33.875,34.125,33.542,33.56,720750,CTL
CTL,1998-10-21,33.292,33.917,32.833,,284850,CTL
CTL,1998-10-22,32.875,33.792,32.875,33.52,189300,CTL
CTL,1998-10-23,32.5,33.25,32.292,32.94,282000,CTL
CTL,1998-10-26,32.459,33.042,32.25,32.52,370650,CTL
CTL,1998-10-27,34.833,35.0,32.625,32.64,1242300,CTL
CTL,1998-10-28,34.5,35.583,34.375,35.18,620700,CTL
CTL,1998-10-29,35.583,35.667,34.792,35.02,601800,CTL
CTL,1998-10-30,37.875,38.333,35.583,35.68,722250,CTL
CTL,1998-11-02,38.083,38.083,37.125,37.35,1212900,CTL
CTL,1998-11-03,37.125,38.292,37.083,38.15,501600,CTL
CTL,1998-11-04,37.917,38.625,37.709,38.44,580650,CTL
CTL,1998-11-05,38.459,38.875,37.333,37.94,562200,CTL
CTL,1998-11-06,37.833,38.667,37.417,,706200,CTL
CTL,1998-11-09,38.209,38.542,37.459,38.19,385200,CTL
CTL,1998-11-10,38.25,38.333,38.042,38.31,282600,CTL
CTL,1998-11-11,37.917,39.292,37.5,38.11,568950,CTL
CTL,1998-11-12,38.25,38.333,38.042,,282600,CTL
CTL,1998-11-13,37.709,37.833,37.5,37.833,168450,CTL
CTL,1998-11-16,38.209,38.417,37.375,37.94,374700,CTL
CTL,1998-11-17,38.167,38.333,37.167,38.27,412200,CTL
CTL,1998-11-18,37.917,38.25,37.583,,215250,CTL
CTL,1998-11-19,37.875,38.0,37.667,37.94,585300,CTL
