Symbol,Date,Close,High,Low,Open,Volume,Name
CTSH,1998-06-19,0.2085,0.2188,0.198,0.2085,61454400,CTSH
CTSH,1998-06-22,0.2085,0.211,0.2058,0.2075,6979200,CTSH
CTSH,1998-06-23,0.2085,0.211,0.2005,0.2075,9638400,CTSH
CTSH,1998-06-24,0.2135,0.2135,0.2058,0.2075,1732800,CTSH
CTSH,1998-06-25,0.2345,0.2448,0.2175,0.2175,18417600,CTSH
CTSH,1998-06-26,0.2527,0.2658,0.2332,0.2375,10267200,CTSH
CTSH,1998-06-29,0.2593,0.2682,0.2527,0.2527,4588800,CTSH
CTSH,1998-06-30,0.2515,0.2645,0.2475,0.2645,4747200,CTSH
CTSH,1998-07-01,0.2475,0.2527,0.2475,0.25,16401599,CTSH
CTSH,1998-07-02,0.25,0.2527,0.2475,0.25,3355200,CTSH
CTSH,1998-07-03,0.25,0.2527,0.2475,0.25,0,CTSH
CTSH,1998-07-06,0.2527,0.2527,0.2475,0.2525,2208000,CTSH
CTSH,1998-07-07,0.2515,0.2527,0.2475,0.2525,3652800,CTSH
CTSH,1998-07-08,0.2527,0.2527,0.2475,0.2525,1286400,CTSH
CTSH,1998-07-09,0.2942,0.3255,0.25,0.25,14769600,CTSH
CTSH,1998-07-10,0.2995,0.3022,0.2942,0.295,1291200,CTSH
CTSH,1998-07-13,0.2878,0.3072,0.2878,0.305,5025600,CTSH
CTSH,1998-07-14,0.3152,0.3178,0.2865,0.2925,5457600,CTSH
CTSH,1998-07-15,0.3335,0.3698,0.3205,0.3225,8016000,CTSH
CTSH,1998-07-16,0.3255,0.3385,0.3125,0.3325,4713600,CTSH
CTSH,1998-07-17,0.336,0.336,0.323,0.3275,974400,CTSH
CTSH,1998-07-20,0.3518,0.366,0.3335,0.335,5347200,CTSH
CTSH,1998-07-21,0.3725,0.3855,0.3647,0.37,10684800,CTSH
CTSH,1998-07-22,0.362,0.383,0.323,0.38,4641600,CTSH
CTSH,1998-07-23,0.3518,0.3725,0.3282,0.3625,2116800,CTSH
CTSH,1998-07-24,0.336,0.3518,0.323,0.3518,1881600,CTSH
CTSH,1998-07-27,0.336,0.3385,0.3205,0.3325,46747200,CTSH
CTSH,1998-07-28,0.3205,0.336,0.31,0.335,3052800,CTSH
CTSH,1998-07-29,0.3335,0.3335,0.3125,0.3275,2534400,CTSH
CTSH,1998-07-30,0.3412,0.3412,0.3205,0.33,3014400,CTSH
CTSH,1998-07-31,0.3335,0.3438,0.3255,0.3425,921600,CTSH
CTSH,1998-08-03,0.3308,0.336,0.3255,0.3275,4032000,CTSH
CTSH,1998-08-04,0.332,0.34,0.3255,0.3325,3633600,CTSH
CTSH,1998-08-05,0.3452,0.3698,0.3308,0.3325,8592000,CTSH
CTSH,1998-08-06,0.3348,0.3412,0.3335,0.3375,211200,CTSH
CTSH,1998-08-07,0.3542,0.3647,0.3478,0.35,3302400,CTSH
CTSH,1998-08-10,0.3555,0.3778,0.3518,0.3775,2184000,CTSH
CTSH,1998-08-11,0.3518,0.362,0.323,0.362,2265600,CTSH
CTSH,1998-08-12,0.3567,0.3698,0.3542,0.36,1320000,CTSH
CTSH,1998-08-13,0.3647,0.3725,0.3595,0.365,1699200,CTSH
CTSH,1998-08-14,0.3725,0.375,0.3647,0.3675,2092800,CTSH
CTSH,1998-08-17,0.362,0.3713,0.3595,0.37,2284800,CTSH
CTSH,1998-08-18,0.396,0.4078,0.3698,0.37,9902400,CTSH
CTSH,1998-08-19,0.3906,0.4089,0.3906,0.3945,6028752,CTSH
CTSH,1998-08-20,0.383,0.4038,0.383,0.395,1041600,CTSH
CTSH,1998-08-21,0.375,0.375,0.3438,0.37,3796800,CTSH
CTSH,1998-08-24,0.3724,0.3932,0.3555,0.3802,2697552,CTSH
CTSH,1998-08-25,0.3933,0.401,0.3815,0.385,4881600,CTSH
CTSH,1998-08-26,0.366,0.3842,0.3647,0.375,6859200,CTSH
CTSH,1998-08-27,0.3282,0.3647,0.3205,0.3475,7881600,CTSH
CTSH,1998-08-28,0.323,0.3385,0.31,0.3275,4603200,CTSH
CTSH,1998-08-31,0.25,0.3282,0.25,0.3275,6499200,CTSH
CTSH,1998-09-01,0.3125,0.3308,0.241,0.2575,5654400,CTSH
CTSH,1998-09-02,0.31,0.3465,0.3022,0.315,4756800,CTSH
CTSH,1998-09-03,0.2969,0.3021,0.2708,0.3021,2174352,CTSH
CTSH,1998-09-04,0.3022,0.3178,0.2865,0.2975,1459200,CTSH
CTSH,1998-09-07,0.3022,0.3178,0.2865,0.2975,0,CTSH
