Symbol,Date,Close,High,Low,Open,Volume,Name
CXO,2007-08-03,12.9,13.39,11.6,11.61,6608700,CXO
CXO,2007-08-06,12.7,13.23,12.07,13.0,796500,CXO
CXO,2007-08-07,12.6,12.9,12.37,12.64,450100,CXO
CXO,2007-08-08,12.88,13.0,12.52,12.65,225500,CXO
CXO,2007-08-09,12.94,13.1,12.27,12.45,131900,CXO
CXO,2007-08-10,12.81,13.2,12.61,12.72,231800,CXO
CXO,2007-08-13,13.07,13.206,12.9,12.91,240400,CXO
CXO,2007-08-14,13.01,13.49,12.81,13.45,45600,CXO
CXO,2007-08-15,12.88,13.1,12.6,12.99,183200,CXO
CXO,2007-08-16,12.7,12.732,12.5,12.6,78900,CXO
CXO,2007-08-17,13.0,13.0,12.49,12.49,297300,CXO
CXO,2007-08-20,12.75,12.89,12.45,12.89,88600,CXO
CXO,2007-08-21,12.9,13.0,12.56,12.7,280800,CXO
CXO,2007-08-22,12.63,12.99,12.5,12.99,158900,CXO
CXO,2007-08-23,12.9,12.99,12.5,12.51,351400,CXO
CXO,2007-08-24,12.99,13.0,12.77,12.83,40200,CXO
CXO,2007-08-27,13.1,13.1,12.6,12.99,104900,CXO
CXO,2007-08-28,12.76,13.2,12.76,13.16,17800,CXO
CXO,2007-08-29,12.77,13.2,12.76,12.76,47400,CXO
CXO,2007-08-30,12.54,12.85,12.54,12.61,38100,CXO
CXO,2007-08-31,12.69,12.82,12.53,12.69,22600,CXO
CXO,2007-09-03,12.69,12.82,12.53,12.69,0,CXO
CXO,2007-09-04,13.75,13.8,12.5,12.68,154200,CXO
CXO,2007-09-05,14.55,15.0,13.1,13.77,451200,CXO
CXO,2007-09-06,14.5,14.78,13.95,14.53,73600,CXO
CXO,2007-09-07,14.5,14.7,14.25,14.5,93800,CXO
CXO,2007-09-10,14.83,15.29,14.5,14.53,358900,CXO
CXO,2007-09-11,15.2,15.95,14.84,14.84,126599,CXO
CXO,2007-09-12,15.22,15.5,15.1,15.29,216000,CXO
CXO,2007-09-13,15.55,15.56,15.22,15.34,459700,CXO
CXO,2007-09-14,15.89,16.0,15.47,15.55,210200,CXO
CXO,2007-09-17,15.7,15.9,15.65,15.84,517599,CXO
CXO,2007-09-18,15.4,15.91,15.25,15.59,391600,CXO
CXO,2007-09-19,15.7,15.7,15.0,15.3,72100,CXO
CXO,2007-09-20,15.85,15.91,15.65,15.74,44200,CXO
CXO,2007-09-21,16.13,16.32,15.75,15.94,489600,CXO
CXO,2007-09-24,16.17,16.44,16.02,16.23,214700,CXO
CXO,2007-09-25,15.65,16.14,15.65,16.14,67900,CXO
CXO,2007-09-26,16.1,16.39,16.0,16.0,301100,CXO
CXO,2007-09-27,15.42,16.38,15.15,16.17,203200,CXO
CXO,2007-09-28,14.81,15.5,14.81,15.3,1450900,CXO
CXO,2007-10-01,15.8,16.21,14.3,14.79,298900,CXO
CXO,2007-10-02,16.03,16.34,15.71,15.71,130600,CXO
CXO,2007-10-03,16.42,16.55,16.0,16.0,220100,CXO
CXO,2007-10-04,16.95,17.24,16.26,16.51,210800,CXO
CXO,2007-10-05,17.25,17.31,16.71,17.15,154600,CXO
CXO,2007-10-08,16.7,17.43,16.7,17.24,160600,CXO
CXO,2007-10-09,17.07,17.18,16.01,16.8,156500,CXO
CXO,2007-10-10,17.54,17.55,16.51,17.0,366300,CXO
CXO,2007-10-11,18.6,18.69,17.44,17.55,713200,CXO
CXO,2007-10-12,18.46,18.83,18.35,18.65,216600,CXO
CXO,2007-10-15,18.03,18.5,17.77,18.46,100000,CXO
CXO,2007-10-16,18.82,18.94,18.1,18.2,409000,CXO
CXO,2007-10-17,18.86,19.37,18.7,19.01,1175200,CXO
CXO,2007-10-18,19.73,19.74,18.945,19.06,117000,CXO
CXO,2007-10-19,19.65,20.07,19.31,19.68,242800,CXO
CXO,2007-10-22,19.56,20.5,19.33,19.58,165300,CXO
CXO,2007-10-23,19.95,20.0,19.11,19.75,374600,CXO
CXO,2007-10-24,20.16,20.18,19.31,20.0,103600,CXO
CXO,2007-10-25,19.74,19.98,19.5,19.51,242200,CXO
CXO,2007-10-26,21.37,21.75,19.71,20.03,149100,CXO
CXO,2007-10-29,21.99,22.3,20.87,21.8,196600,CXO
CXO,2007-10-30,20.46,22.17,20.35,21.65,146900,CXO
CXO,2007-10-31,19.49,20.8,19.23,20.8,201500,CXO
CXO,2007-11-01,19.92,20.08,19.0,19.45,196200,CXO
CXO,2007-11-02,19.94,20.0,19.28,19.98,120300,CXO
CXO,2007-11-05,19.78,20.22,19.74,19.97,274410,CXO
CXO,2007-11-06,19.4,19.78,18.65,19.78,91500,CXO
CXO,2007-11-07,19.01,19.99,18.775,19.25,246700,CXO
CXO,2007-11-08,18.89,19.1,18.67,19.1,140800,CXO
CXO,2007-11-09,18.56,18.82,18.3,18.82,155200,CXO
CXO,2007-11-12,18.12,18.47,17.12,18.43,163100,CXO
CXO,2007-11-13,18.4,18.4,17.31,18.13,122000,CXO
CXO,2007-11-14,17.6,18.95,17.46,18.9,239300,CXO
CXO,2007-11-15,18.5,18.56,17.541,17.56,280200,CXO
CXO,2007-11-16,18.54,18.92,18.0,18.38,190600,CXO
CXO,2007-11-19,18.07,18.78,17.98,18.36,61600,CXO
CXO,2007-11-20,19.65,19.68,17.9,18.01,198200,CXO
CXO,2007-11-21,20.57,21.3,19.66,19.69,293200,CXO
CXO,2007-11-22,20.57,21.3,19.66,19.69,0,CXO
CXO,2007-11-23,21.24,21.8692,20.53,20.53,121870,CXO
CXO,2007-11-26,19.93,21.53,19.82,21.53,152500,CXO
CXO,2007-11-27,19.09,21.45,18.79,20.23,258900,CXO
CXO,2007-11-28,18.76,19.27,18.0,18.52,293046,CXO
CXO,2007-11-29,18.79,19.17,18.73,19.15,53700,CXO
CXO,2007-11-30,18.86,19.19,18.5,19.19,99400,CXO
CXO,2007-12-03,18.55,19.1,18.44,19.1,72100,CXO
CXO,2007-12-04,18.13,18.62,18.1,18.62,85753,CXO
CXO,2007-12-05,17.79,18.6,17.72,18.6,277800,CXO
CXO,2007-12-06,19.27,19.29,17.26,17.61,345909,CXO
CXO,2007-12-07,17.41,18.6,17.34,18.6,212000,CXO
CXO,2007-12-10,17.61,17.63,16.7,17.55,247900,CXO
CXO,2007-12-11,17.88,18.22,17.52,17.6,235900,CXO
CXO,2007-12-12,18.54,18.6,17.79,18.28,272800,CXO
CXO,2007-12-13,18.19,18.42,18.0,18.24,348500,CXO
CXO,2007-12-14,19.0,19.27,18.02,18.05,3688100,CXO
CXO,2007-12-17,18.98,19.4799,18.54,18.81,725400,CXO
CXO,2007-12-18,20.34,20.46,19.03,19.1,370500,CXO
CXO,2007-12-19,20.08,20.57,19.61,20.38,264300,CXO
CXO,2007-12-20,20.41,20.65,20.1,20.25,208300,CXO
CXO,2007-12-21,20.58,20.86,20.3,20.75,844800,CXO
CXO,2007-12-24,20.84,20.86,20.26,20.48,243900,CXO
CXO,2007-12-25,20.84,20.86,20.26,20.48,0,CXO
CXO,2007-12-26,21.25,21.5,20.52,20.7,240570,CXO
CXO,2007-12-27,20.75,21.58,20.64,21.04,158100,CXO
CXO,2007-12-28,20.55,21.28,20.42,21.05,132600,CXO
CXO,2007-12-31,20.61,20.61,19.8,20.38,167000,CXO
CXO,2008-01-01,20.61,20.61,19.8,20.38,0,CXO
CXO,2008-01-02,21.57,21.74,20.44,20.66,363946,CXO
CXO,2008-01-03,22.08,22.25,21.69,21.72,434350,CXO
CXO,2008-01-04,21.06,22.22,20.92,22.0,484400,CXO
CXO,2008-01-07,21.19,21.74,21.14,21.34,282500,CXO
CXO,2008-01-08,22.1,22.11,20.95,21.27,419000,CXO
CXO,2008-01-09,23.27,23.55,21.84,22.1,431100,CXO
CXO,2008-01-10,22.46,23.39,22.45,23.29,660100,CXO
CXO,2008-01-11,21.68,22.7,21.67,22.3,173400,CXO
CXO,2008-01-14,22.22,22.84,20.55,21.87,395200,CXO
CXO,2008-01-15,21.29,22.07,21.16,21.88,402990,CXO
CXO,2008-01-16,20.41,21.36,20.29,21.36,285105,CXO
CXO,2008-01-17,19.33,20.51,18.95,20.51,365900,CXO
CXO,2008-01-18,19.07,19.42,18.745,19.37,372600,CXO
CXO,2008-01-21,19.07,19.42,18.745,19.37,0,CXO
CXO,2008-01-22,19.18,19.59,17.33,18.5,280500,CXO
CXO,2008-01-23,19.09,19.28,18.01,18.78,323400,CXO
CXO,2008-01-24,19.63,20.59,18.92,19.15,207500,CXO
CXO,2008-01-25,19.55,20.28,19.45,19.99,281600,CXO
CXO,2008-01-28,19.98,20.05,19.2,19.48,180886,CXO
CXO,2008-01-29,20.11,20.53,19.49,20.13,168800,CXO
CXO,2008-01-30,20.31,21.26,19.42,20.01,159953,CXO
CXO,2008-01-31,20.17,20.53,19.6,19.95,362300,CXO
CXO,2008-02-01,21.48,22.24,20.0,20.3,184280,CXO
CXO,2008-02-04,20.83,21.66,20.58,21.46,69300,CXO
CXO,2008-02-05,19.82,20.57,19.8,20.42,56200,CXO
CXO,2008-02-06,19.89,20.63,19.63,20.04,158269,CXO
CXO,2008-02-07,20.01,20.45,19.7,19.89,146900,CXO
CXO,2008-02-08,20.09,20.35,19.6,20.0,84900,CXO
CXO,2008-02-11,19.97,20.18,19.86,19.96,181600,CXO
CXO,2008-02-12,21.22,21.65,19.57,20.02,85800,CXO
CXO,2008-02-13,22.98,23.38,21.45,21.45,616697,CXO
CXO,2008-02-14,22.29,22.53,20.66,21.9,1037408,CXO
CXO,2008-02-15,22.2,22.41,21.76,22.12,204100,CXO
CXO,2008-02-18,22.2,22.41,21.76,22.12,0,CXO
CXO,2008-02-19,22.68,23.22,22.26,22.46,187200,CXO
CXO,2008-02-20,22.95,23.0,22.14,22.36,44800,CXO
CXO,2008-02-21,21.81,23.79,21.8,23.27,135060,CXO
CXO,2008-02-22,22.04,22.19,21.11,22.0,174000,CXO
CXO,2008-02-25,22.41,22.78,21.56,22.31,181900,CXO
CXO,2008-02-26,22.12,23.11,21.99,22.31,31000,CXO
CXO,2008-02-27,22.82,23.41,20.26,20.26,481459,CXO
CXO,2008-02-28,24.96,25.26,22.75,23.0,994257,CXO
CXO,2008-02-29,23.3,25.5,23.11,24.75,263700,CXO
CXO,2008-03-03,23.72,24.99,23.15,23.3,277600,CXO
CXO,2008-03-04,23.77,24.0,23.1,23.57,168526,CXO
CXO,2008-03-05,25.1,25.1,24.02,24.36,221273,CXO
CXO,2008-03-06,24.69,25.3,23.95,25.1,138700,CXO
CXO,2008-03-07,23.93,24.73,23.7,24.47,395600,CXO
