Symbol,Date,Close,High,Low,Open,Volume,Name
DFS,2007-06-14,28.75,30.5,28.0,30.5,3279100,DFS
DFS,2007-06-15,29.08,29.8,28.88,29.8,790100,DFS
DFS,2007-06-18,29.93,30.2,29.3,30.2,1591000,DFS
DFS,2007-06-19,29.7,30.3,29.6,30.3,1585100,DFS
DFS,2007-06-20,29.81,30.1,29.57,30.1,855900,DFS
DFS,2007-06-21,31.21,31.95,29.61,31.95,842700,DFS
DFS,2007-06-22,31.7,32.17,31.0,32.17,1490700,DFS
DFS,2007-06-25,31.3,32.0,31.01,32.0,490000,DFS
DFS,2007-06-26,30.41,31.65,30.25,31.65,853900,DFS
DFS,2007-06-27,29.58,30.8,29.57,30.8,1127300,DFS
DFS,2007-06-28,29.5,29.9,29.16,29.9,488900,DFS
DFS,2007-06-29,28.5,30.3,27.93,30.3,3085200,DFS
DFS,2007-07-02,27.5,29.15,27.2,28.55,10877300,DFS
DFS,2007-07-03,26.67,27.5,26.15,27.5,8600100,DFS
DFS,2007-07-04,26.67,27.5,26.15,27.5,0,DFS
DFS,2007-07-05,25.93,26.92,25.74,26.25,8121900,DFS
DFS,2007-07-06,25.64,25.86,25.21,25.64,7211900,DFS
DFS,2007-07-09,25.54,26.54,25.44,25.72,11641150,DFS
DFS,2007-07-10,24.9,25.65,24.8,25.6,8582600,DFS
DFS,2007-07-11,25.21,25.24,24.75,25.02,10247300,DFS
DFS,2007-07-12,26.34,26.59,25.21,25.59,10295738,DFS
DFS,2007-07-13,27.16,27.43,26.02,26.47,6750700,DFS
DFS,2007-07-16,26.84,27.45,26.66,27.21,9885800,DFS
DFS,2007-07-17,26.5,26.99,26.31,26.96,5388130,DFS
DFS,2007-07-18,26.36,26.5,25.7,26.45,4550071,DFS
DFS,2007-07-19,26.71,26.95,26.25,26.25,4838757,DFS
DFS,2007-07-20,26.3,27.12,26.25,26.71,5726600,DFS
DFS,2007-07-23,26.12,26.51,26.1,26.3,4705177,DFS
DFS,2007-07-24,25.0,25.6,24.93,25.54,5455700,DFS
DFS,2007-07-25,24.1,24.84,23.75,24.76,8391500,DFS
DFS,2007-07-26,24.62,24.88,22.75,23.26,8803490,DFS
DFS,2007-07-27,23.33,24.7,23.33,24.26,6622600,DFS
DFS,2007-07-30,23.57,23.93,22.37,23.33,5058500,DFS
DFS,2007-07-31,23.05,24.1,22.83,23.65,4050900,DFS
DFS,2007-08-01,22.88,23.07,22.05,22.68,5583533,DFS
DFS,2007-08-02,23.37,24.05,22.48,22.5,3019200,DFS
DFS,2007-08-03,21.99,23.11,21.53,22.66,5256100,DFS
DFS,2007-08-06,22.15,23.53,21.26,22.24,5995200,DFS
DFS,2007-08-07,22.88,23.53,21.72,22.05,3885123,DFS
DFS,2007-08-08,24.29,24.57,23.0,23.5,5645200,DFS
DFS,2007-08-09,22.16,23.96,22.06,23.55,4532512,DFS
DFS,2007-08-10,20.86,22.16,20.35,21.75,10742900,DFS
DFS,2007-08-13,22.1,22.29,21.26,21.26,7041700,DFS
DFS,2007-08-14,21.96,22.66,21.71,22.29,3754600,DFS
DFS,2007-08-15,21.66,22.4,21.16,21.89,3688600,DFS
DFS,2007-08-16,22.85,23.14,20.47,20.5,5455950,DFS
DFS,2007-08-17,23.18,23.99,22.91,23.89,5668600,DFS
DFS,2007-08-20,23.45,23.5,22.48,23.1,3786500,DFS
DFS,2007-08-21,23.67,23.96,23.07,23.09,2471000,DFS
DFS,2007-08-22,23.73,24.0,23.25,23.66,3602900,DFS
DFS,2007-08-23,23.7,24.03,23.18,23.94,2904000,DFS
