Symbol,Date,Close,High,Low,Open,Volume,Name
DHI,1998-05-29,4.9589,4.9939,4.8559,4.8598,1437393,DHI
DHI,1998-06-01,4.8899,5.0629,4.8899,5.0003,1115069,DHI
DHI,1998-06-02,4.9069,4.9589,4.8739,4.9094,825415,DHI
DHI,1998-06-03,4.9939,4.9939,4.8219,4.8928,732854,DHI
DHI,1998-06-04,5.0109,5.0279,4.9419,4.9755,796737,DHI
DHI,1998-06-05,5.2339,5.2689,5.0109,5.0168,1138303,DHI
DHI,1998-06-08,5.1319,5.2339,5.0959,5.2339,857353,DHI
DHI,1998-06-09,4.9759,5.1489,4.9589,5.0995,813074,DHI
DHI,1998-06-10,5.4239,5.6479,4.9589,4.959,3758282,DHI
DHI,1998-06-11,5.5279,5.5789,5.3719,5.4797,1230497,DHI
DHI,1998-06-12,5.4759,5.5279,5.3899,5.5127,1170970,DHI
DHI,1998-06-15,5.4759,5.4759,5.3899,5.4135,1312532,DHI
DHI,1998-06-16,5.5099,5.5449,5.4589,5.4631,2099469,DHI
DHI,1998-06-17,5.4589,5.5619,5.4069,5.5292,1469338,DHI
DHI,1998-06-18,5.4589,5.4759,5.3899,5.4301,327769,DHI
DHI,1998-06-19,5.3719,5.4929,5.3559,5.4929,669334,DHI
DHI,1998-06-22,5.3719,5.3719,5.3029,5.3392,752451,DHI
DHI,1998-06-23,5.6649,5.6649,5.4069,5.4466,3118351,DHI
DHI,1998-06-24,5.9239,5.9928,5.7169,5.7359,5205483,DHI
DHI,1998-06-25,5.6479,5.9928,5.5449,5.959,1082039,DHI
DHI,1998-06-26,5.5449,5.7509,5.4929,5.7193,603270,DHI
DHI,1998-06-29,5.7509,5.8199,5.6649,5.6863,807989,DHI
DHI,1998-06-30,5.7509,5.7859,5.6479,5.7524,984763,DHI
DHI,1998-07-01,5.7859,5.8549,5.7859,5.7859,2760092,DHI
DHI,1998-07-02,5.9409,6.0948,5.8029,5.8029,1492931,DHI
DHI,1998-07-03,5.9409,6.0948,5.8029,5.8029,0,DHI
DHI,1998-07-06,6.0098,6.0788,5.9928,6.0086,1449375,DHI
DHI,1998-07-07,6.1298,6.1298,6.0258,6.0499,1138665,DHI
DHI,1998-07-08,6.2168,6.6118,6.1638,6.4053,2564081,DHI
DHI,1998-07-09,6.5258,6.5258,6.2848,6.2896,2021064,DHI
DHI,1998-07-10,6.5088,6.5438,6.4748,6.5293,621782,DHI
DHI,1998-07-13,6.5438,6.5778,6.4748,6.5128,1484946,DHI
DHI,1998-07-14,6.7328,6.7328,6.5598,6.5789,1161896,DHI
DHI,1998-07-15,6.6288,6.7498,6.5948,6.7359,2628331,DHI
DHI,1998-07-16,6.6468,6.6978,6.5778,6.6863,500183,DHI
DHI,1998-07-17,6.5778,6.6808,6.5778,6.6808,413070,DHI
DHI,1998-07-20,6.6808,6.7498,6.5948,6.5954,928862,DHI
DHI,1998-07-21,6.7328,6.8708,6.7158,6.7525,1544110,DHI
DHI,1998-07-22,6.3708,6.7848,6.1988,6.7848,1248286,DHI
DHI,1998-07-23,6.0788,6.4398,6.0608,6.4219,888572,DHI
DHI,1998-07-24,5.9928,6.1128,5.7859,6.083,1172059,DHI
DHI,1998-07-27,6.0948,6.0948,5.8549,5.9425,599274,DHI
DHI,1998-07-28,6.0098,6.1298,5.9059,6.1298,724869,DHI
DHI,1998-07-29,5.9059,6.0608,5.7859,6.0499,436663,DHI
DHI,1998-07-30,6.2168,6.2508,5.9569,5.959,782944,DHI
DHI,1998-07-31,5.9569,6.3708,5.8549,6.2152,510709,DHI
DHI,1998-08-03,5.8369,5.9569,5.8029,5.9569,324139,DHI
DHI,1998-08-04,5.4589,5.8029,5.3559,5.802,1070423,DHI
DHI,1998-08-05,5.2869,5.6649,5.2869,5.4962,842475,DHI
DHI,1998-08-06,5.7169,5.7169,5.2689,5.2896,837756,DHI
DHI,1998-08-07,6.0098,6.1298,5.8029,5.8268,870786,DHI
DHI,1998-08-10,6.0608,6.1298,5.9928,6.1298,579311,DHI
DHI,1998-08-11,5.9928,6.0258,5.6829,5.926,588751,DHI
DHI,1998-08-12,6.0258,6.0438,5.9239,5.959,307079,DHI
DHI,1998-08-13,5.9928,6.0098,5.8549,5.959,388385,DHI
DHI,1998-08-14,5.9239,5.9749,5.9059,5.926,244282,DHI
DHI,1998-08-17,5.8199,5.8889,5.7679,5.8889,494013,DHI
