Symbol,Date,Close,High,Low,Open,Volume,Name
DHR,1998-05-29,6.8512,6.8986,6.8156,6.8516,1396460,DHR
DHR,1998-06-01,6.9755,7.0581,6.8686,6.8705,1145245,DHR
DHR,1998-06-02,6.9281,6.9634,6.8686,6.9501,1277185,DHR
DHR,1998-06-03,6.916,7.0107,6.9042,6.9274,1286157,DHR
DHR,1998-06-04,6.8095,6.9281,6.786,6.916,1405432,DHR
DHR,1998-06-05,6.8095,6.8451,6.786,6.7985,374711,DHR
DHR,1998-06-08,6.8095,6.8925,6.8095,6.8212,673953,DHR
DHR,1998-06-09,6.8095,6.8451,6.786,6.8212,543595,DHR
DHR,1998-06-10,6.9634,6.9634,6.7386,6.8099,2098912,DHR
DHR,1998-06-11,6.8451,6.9042,6.8212,6.8705,568928,DHR
DHR,1998-06-12,6.7621,6.8212,6.6791,6.8099,899307,DHR
DHR,1998-06-15,6.7978,6.8807,6.7265,6.7265,1043387,DHR
DHR,1998-06-16,6.8212,6.8212,6.7265,6.8212,1396988,DHR
DHR,1998-06-17,6.8451,6.8686,6.7978,6.8212,987971,DHR
DHR,1998-06-18,6.8925,6.9399,6.8095,6.8554,1176911,DHR
DHR,1998-06-19,6.916,6.916,6.8212,6.916,1109885,DHR
DHR,1998-06-22,7.0229,7.0229,6.9399,6.988,870808,DHR
DHR,1998-06-23,7.0229,7.1411,7.0229,7.0229,594788,DHR
DHR,1998-06-24,7.0463,7.082,7.0107,7.0714,888224,DHR
DHR,1998-06-25,6.9281,7.0463,6.916,7.0448,547290,DHR
DHR,1998-06-26,6.9516,7.0107,6.9281,6.9653,717757,DHR
DHR,1998-06-29,6.8686,6.9634,6.8686,6.9634,914612,DHR
DHR,1998-06-30,6.9516,6.999,6.7978,6.8932,1546872,DHR
DHR,1998-07-01,7.7686,7.8516,7.5439,7.5564,8488536,DHR
DHR,1998-07-02,7.7095,7.7925,7.5792,7.7686,3329127,DHR
DHR,1998-07-03,7.7095,7.7925,7.5792,7.7686,0,DHR
DHR,1998-07-06,7.7095,7.7925,7.6622,7.6625,778450,DHR
DHR,1998-07-07,7.8516,7.9108,7.7213,7.7345,1868808,DHR
DHR,1998-07-08,7.9464,7.9464,7.8103,7.852,958417,DHR
DHR,1998-07-09,8.0176,8.1002,7.9346,7.9468,1428653,DHR
DHR,1998-07-10,8.2071,8.2071,7.9937,8.0074,1203826,DHR
DHR,1998-07-13,8.1715,8.2897,8.1476,8.2537,2250380,DHR
DHR,1998-07-14,8.1476,8.2897,8.1124,8.2082,1451347,DHR
DHR,1998-07-15,8.2423,8.2545,8.1241,8.1249,817504,DHR
DHR,1998-07-16,8.3844,8.3844,8.1476,8.3257,1168466,DHR
DHR,1998-07-17,8.6687,8.8347,8.4674,8.5266,1134162,DHR
DHR,1998-07-20,8.6095,8.6452,8.5739,8.6452,2162771,DHR
DHR,1998-07-21,8.6569,8.7282,8.6095,8.6213,840198,DHR
DHR,1998-07-22,8.4674,8.7043,8.4201,8.6327,893502,DHR
DHR,1998-07-23,8.361,8.5387,8.3253,8.5152,1050247,DHR
DHR,1998-07-24,8.2897,8.4557,8.1832,8.3636,1183771,DHR
DHR,1998-07-27,8.4439,8.4439,8.3136,8.3371,807477,DHR
DHR,1998-07-28,8.0055,8.4318,7.816,8.4204,3456846,DHR
DHR,1998-07-29,7.8043,8.1715,7.7925,8.0415,1432876,DHR
DHR,1998-07-30,7.9229,7.9581,7.8043,7.852,600594,DHR
DHR,1998-07-31,7.7334,7.9702,7.7334,7.9468,558373,DHR
DHR,1998-08-03,7.9464,7.982,7.686,7.7573,686619,DHR
DHR,1998-08-04,7.5557,8.0055,7.5557,8.0055,933084,DHR
DHR,1998-08-05,7.5318,7.6387,7.3662,7.5564,1077163,DHR
DHR,1998-08-06,7.4609,7.5083,7.3897,7.5083,2375988,DHR
DHR,1998-08-07,7.5792,7.7213,7.4253,7.4253,1492513,DHR
DHR,1998-08-10,7.5792,7.6504,7.5439,7.6284,535679,DHR
DHR,1998-08-11,7.3544,7.5318,7.3188,7.5318,1464541,DHR
DHR,1998-08-12,7.2949,7.4844,7.2949,7.4238,804838,DHR
DHR,1998-08-13,7.1885,7.4136,7.1528,7.2495,1296185,DHR
DHR,1998-08-14,7.2714,7.3544,7.1885,7.2002,467597,DHR
DHR,1998-08-17,7.4253,7.4965,7.2476,7.2722,461792,DHR
DHR,1998-08-18,7.6978,7.7451,7.4253,7.4253,1028609,DHR
DHR,1998-08-19,7.5674,7.9108,7.5439,7.8634,810643,DHR
DHR,1998-08-20,7.4844,7.5557,7.2476,7.4731,727784,DHR
DHR,1998-08-21,7.3779,7.4609,7.2002,7.4609,794283,DHR
DHR,1998-08-24,7.4965,7.603,7.3897,7.3897,577900,DHR
DHR,1998-08-25,7.3662,7.5792,7.3306,7.5451,983749,DHR
DHR,1998-08-26,7.4018,7.4018,7.2123,7.3897,1008554,DHR
DHR,1998-08-27,7.4136,7.4253,7.2832,7.3783,1672480,DHR
DHR,1998-08-28,7.3897,7.4492,7.2476,7.4162,2924333,DHR
DHR,1998-08-31,6.8686,7.3423,6.8686,7.3423,1653480,DHR
DHR,1998-09-01,7.0346,7.082,6.5844,6.8212,2861529,DHR
DHR,1998-09-02,6.9755,7.0107,6.8686,6.9653,1218604,DHR
DHR,1998-09-03,7.0107,7.0702,6.8569,6.9425,2099968,DHR
DHR,1998-09-04,6.9399,7.0581,6.8925,7.0107,1155272,DHR
DHR,1998-09-07,6.9399,7.0581,6.8925,7.0107,0,DHR
