Symbol,Date,Close,High,Low,Open,Volume,Name
EQT,1998-05-29,7.125,7.204,7.047,7.17,308000,EQT
EQT,1998-06-01,7.188,7.188,7.0,7.06,416000,EQT
EQT,1998-06-02,7.219,7.313,7.219,7.22,334400,EQT
EQT,1998-06-03,7.282,7.282,7.157,7.19,260000,EQT
EQT,1998-06-04,7.172,7.282,7.094,7.25,130000,EQT
EQT,1998-06-05,7.219,7.219,7.063,7.13,273200,EQT
EQT,1998-06-08,7.329,7.344,7.188,7.22,177200,EQT
EQT,1998-06-09,7.063,7.329,7.0,7.329,404000,EQT
EQT,1998-06-10,7.032,7.094,7.0,7.06,469600,EQT
EQT,1998-06-11,6.969,7.032,6.969,7.01,1079200,EQT
EQT,1998-06-12,6.954,7.0,6.844,6.97,82400,EQT
EQT,1998-06-15,6.766,6.954,6.766,6.95,104400,EQT
EQT,1998-06-16,6.891,6.922,6.766,6.766,114400,EQT
EQT,1998-06-17,6.875,7.0,6.875,6.89,268400,EQT
EQT,1998-06-18,6.797,6.875,6.75,6.875,98000,EQT
EQT,1998-06-19,6.766,6.907,6.735,6.907,158800,EQT
EQT,1998-06-22,6.797,6.875,6.75,6.76,208400,EQT
EQT,1998-06-23,6.875,6.907,6.782,6.782,346400,EQT
EQT,1998-06-24,6.907,6.922,6.813,6.813,187200,EQT
EQT,1998-06-25,6.875,6.985,6.86,6.97,673600,EQT
EQT,1998-06-26,6.969,7.0,6.875,6.88,582000,EQT
EQT,1998-06-29,7.219,7.219,6.969,6.97,436400,EQT
EQT,1998-06-30,7.625,7.625,7.172,7.22,522000,EQT
EQT,1998-07-01,7.313,7.563,7.297,7.56,246800,EQT
EQT,1998-07-02,7.391,7.391,7.282,7.3,134000,EQT
EQT,1998-07-03,7.391,7.391,7.282,7.3,0,EQT
EQT,1998-07-06,7.282,7.469,7.282,7.45,146000,EQT
EQT,1998-07-07,7.125,7.329,7.094,7.31,239200,EQT
EQT,1998-07-08,7.188,7.204,7.094,7.13,323200,EQT
EQT,1998-07-09,7.157,7.219,7.063,7.14,125200,EQT
EQT,1998-07-10,7.11,7.188,7.11,7.13,64000,EQT
EQT,1998-07-13,7.11,7.172,7.11,7.16,265200,EQT
EQT,1998-07-14,7.172,7.172,7.11,7.11,89200,EQT
EQT,1998-07-15,7.11,7.11,6.922,7.11,221600,EQT
EQT,1998-07-16,7.141,7.157,7.094,7.14,91200,EQT
EQT,1998-07-17,7.219,7.219,7.157,7.16,72400,EQT
EQT,1998-07-20,7.079,7.188,7.063,7.16,108800,EQT
EQT,1998-07-21,6.922,7.0,6.829,7.0,220800,EQT
EQT,1998-07-22,6.75,6.907,6.719,6.907,370800,EQT
EQT,1998-07-23,6.657,6.782,6.657,6.78,180800,EQT
EQT,1998-07-24,6.641,6.735,6.5,6.69,238800,EQT
EQT,1998-07-27,6.516,6.625,6.438,6.625,153200,EQT
EQT,1998-07-28,6.36,6.579,6.282,6.5,222400,EQT
EQT,1998-07-29,6.36,6.469,6.297,6.38,174400,EQT
EQT,1998-07-30,6.407,6.469,6.297,6.38,289600,EQT
EQT,1998-07-31,6.157,6.469,6.157,6.469,486800,EQT
EQT,1998-08-03,6.094,6.25,6.094,6.16,611600,EQT
EQT,1998-08-04,5.907,6.125,5.907,6.06,264000,EQT
EQT,1998-08-05,6.063,6.094,5.891,6.0,657200,EQT
EQT,1998-08-06,6.0,6.0,5.922,5.99,228400,EQT
EQT,1998-08-07,6.25,6.297,6.094,6.13,108000,EQT
EQT,1998-08-10,6.063,6.25,6.0,6.2,202000,EQT
EQT,1998-08-11,5.813,5.907,5.75,5.84,189200,EQT
EQT,1998-08-12,6.0,6.141,5.922,5.922,294400,EQT
EQT,1998-08-13,5.938,6.032,5.844,5.94,434400,EQT
EQT,1998-08-14,5.969,6.063,5.954,6.03,313200,EQT
EQT,1998-08-17,5.938,6.0,5.844,5.99,550800,EQT
EQT,1998-08-18,5.907,5.954,5.875,5.91,527200,EQT
EQT,1998-08-19,5.844,5.969,5.844,5.91,198800,EQT
EQT,1998-08-20,5.797,5.891,5.797,5.89,232000,EQT
EQT,1998-08-21,5.829,5.875,5.719,5.78,494000,EQT
EQT,1998-08-24,5.75,5.86,5.75,5.83,276000,EQT
EQT,1998-08-25,5.516,5.813,5.485,5.78,341600,EQT
EQT,1998-08-26,5.594,5.672,5.5,5.56,445600,EQT
EQT,1998-08-27,5.735,5.766,5.594,5.63,1094400,EQT
EQT,1998-08-28,5.563,5.782,5.438,5.74,688800,EQT
EQT,1998-08-31,5.469,5.657,5.375,5.56,503600,EQT
EQT,1998-09-01,5.5,5.547,5.422,5.51,352400,EQT
EQT,1998-09-02,5.375,5.563,5.344,5.56,280000,EQT
