Symbol,Date,Close,High,Low,Open,Volume,Name
ESS,1998-05-29,32.5,32.5,32.063,32.063,32300,ESS
ESS,1998-06-01,32.75,32.813,32.375,32.44,8300,ESS
ESS,1998-06-02,32.813,32.813,32.625,32.69,9100,ESS
ESS,1998-06-03,32.75,32.813,32.438,32.75,21600,ESS
ESS,1998-06-04,32.938,33.0,32.563,32.63,9200,ESS
ESS,1998-06-05,32.375,33.125,32.375,33.0,24500,ESS
ESS,1998-06-08,32.625,32.75,32.438,32.5,21000,ESS
ESS,1998-06-09,32.75,32.75,32.563,32.63,20600,ESS
ESS,1998-06-10,32.188,32.75,32.188,32.63,28600,ESS
ESS,1998-06-11,32.125,32.313,32.125,32.31,17600,ESS
ESS,1998-06-12,31.75,32.0,31.563,31.94,16900,ESS
ESS,1998-06-15,31.0,31.0,30.688,31.0,139300,ESS
ESS,1998-06-16,30.875,31.125,30.813,31.06,10700,ESS
ESS,1998-06-17,31.0,31.0,30.875,30.94,48300,ESS
ESS,1998-06-18,30.875,31.0,30.875,30.94,23000,ESS
ESS,1998-06-19,30.625,31.0,30.563,30.94,30300,ESS
ESS,1998-06-22,30.75,30.813,30.188,30.63,16600,ESS
ESS,1998-06-23,30.688,30.938,30.688,30.938,11200,ESS
ESS,1998-06-24,31.125,31.25,30.75,30.88,64800,ESS
ESS,1998-06-25,31.313,31.438,31.25,31.25,80800,ESS
ESS,1998-06-26,30.938,31.063,30.875,31.0,15500,ESS
ESS,1998-06-29,31.0,31.125,30.813,31.06,20500,ESS
ESS,1998-06-30,31.0,31.125,30.938,31.06,41100,ESS
ESS,1998-07-01,30.875,31.188,30.875,30.88,128300,ESS
ESS,1998-07-02,31.688,31.813,31.0,31.0,122700,ESS
ESS,1998-07-03,31.688,31.813,31.0,31.0,0,ESS
ESS,1998-07-06,31.938,31.938,31.438,31.63,8300,ESS
ESS,1998-07-07,32.688,32.75,32.0,32.0,33200,ESS
ESS,1998-07-08,32.938,33.0,32.375,32.63,75200,ESS
ESS,1998-07-09,33.063,33.063,32.875,33.0,14900,ESS
ESS,1998-07-10,33.25,33.5,33.063,33.063,26800,ESS
ESS,1998-07-13,33.0,33.438,32.75,33.438,103700,ESS
ESS,1998-07-14,33.0,33.25,32.813,32.88,56400,ESS
ESS,1998-07-15,32.938,32.938,32.75,32.81,12300,ESS
ESS,1998-07-16,33.25,33.25,32.625,32.75,137100,ESS
ESS,1998-07-17,32.375,33.375,32.375,33.375,30100,ESS
ESS,1998-07-20,32.688,32.75,32.25,32.44,8500,ESS
ESS,1998-07-21,32.063,32.438,32.0,32.438,14400,ESS
ESS,1998-07-22,32.688,32.688,32.125,32.31,51300,ESS
ESS,1998-07-23,32.5,32.688,32.375,32.688,40900,ESS
ESS,1998-07-24,31.813,32.25,31.813,32.25,13100,ESS
ESS,1998-07-27,31.25,31.625,30.813,31.625,23000,ESS
ESS,1998-07-28,31.0,31.313,30.938,31.31,68600,ESS
