Symbol,Date,Close,High,Low,Open,Volume,Name
ETN,1998-05-29,19.2457,19.3393,19.1785,19.2685,945923,ETN
ETN,1998-06-01,19.2188,19.3393,19.0983,19.2857,1008453,ETN
ETN,1998-06-02,19.2858,19.5672,19.2589,19.3761,1314119,ETN
ETN,1998-06-03,18.857,19.3393,18.8172,19.3393,1178333,ETN
ETN,1998-06-04,19.2054,19.2589,18.8304,18.9888,943121,ETN
ETN,1998-06-05,19.5804,19.5804,19.1922,19.2685,1279120,ETN
ETN,1998-06-08,19.366,19.7679,19.366,19.6601,668256,ETN
ETN,1998-06-09,19.4867,19.4999,19.1249,19.3632,1147065,ETN
ETN,1998-06-10,18.8304,19.5134,18.7499,19.5134,2429923,ETN
ETN,1998-06-11,18.4285,18.9108,18.3349,18.9108,3908331,ETN
ETN,1998-06-12,18.2009,18.4285,17.8394,18.4285,2443923,ETN
ETN,1998-06-15,17.625,18.1608,17.6118,18.1608,896919,ETN
ETN,1998-06-16,18.1743,18.1743,17.6519,17.8571,2197997,ETN
ETN,1998-06-17,18.2813,18.482,18.0804,18.2229,823662,ETN
ETN,1998-06-18,17.7724,18.241,17.5714,18.241,4006789,ETN
ETN,1998-06-19,17.4375,17.866,17.4375,17.8442,1301063,ETN
ETN,1998-06-22,17.491,17.5313,17.3304,17.4269,756452,ETN
ETN,1998-06-23,17.625,17.7589,17.5045,17.6162,926787,ETN
ETN,1998-06-24,16.8884,17.1295,16.8884,17.1295,1592256,ETN
ETN,1998-06-25,16.6606,16.8884,16.2856,16.8884,4887399,ETN
ETN,1998-06-26,16.741,16.9153,16.4868,16.7169,1829787,ETN
ETN,1998-06-29,16.6743,16.982,16.6606,16.8373,1172253,ETN
ETN,1998-06-30,16.6606,16.8618,16.6474,16.7943,1484455,ETN
ETN,1998-07-01,16.9019,16.942,16.6743,16.7556,1655255,ETN
ETN,1998-07-02,16.7545,16.8618,16.6606,16.8618,776062,ETN
ETN,1998-07-03,16.7545,16.8618,16.6606,16.8618,0,ETN
ETN,1998-07-06,16.9957,17.1429,16.7278,16.7943,529198,ETN
ETN,1998-07-07,16.7144,16.9285,16.7144,16.9285,1843331,ETN
ETN,1998-07-08,16.5,16.8618,16.5,16.7943,3819196,ETN
ETN,1998-07-09,16.3795,16.567,16.2458,16.5534,2163922,ETN
ETN,1998-07-10,16.1384,16.366,16.1118,16.366,785865,ETN
ETN,1998-07-13,15.7634,16.0981,15.7231,16.0981,1580589,ETN
ETN,1998-07-14,16.3394,16.3394,15.7099,15.7745,1856862,ETN
ETN,1998-07-15,15.9243,16.3259,15.8571,16.3259,1127920,ETN
ETN,1998-07-16,15.6429,15.8304,15.5356,15.8304,3033331,ETN
ETN,1998-07-17,15.2278,15.6429,15.2144,15.6429,3808454,ETN
ETN,1998-07-20,15.3884,15.3884,15.2679,15.3884,1747197,ETN
ETN,1998-07-21,15.1743,15.2946,15.134,15.2754,2171396,ETN
ETN,1998-07-22,15.0269,15.2545,14.9868,15.1807,1650588,ETN
ETN,1998-07-23,14.625,15.0804,14.625,15.0602,2888662,ETN
ETN,1998-07-24,14.4375,14.7321,14.384,14.7321,1433587,ETN
ETN,1998-07-27,14.2368,14.384,14.1429,14.384,3618063,ETN
ETN,1998-07-28,14.1696,14.2368,13.9286,14.2255,4256921,ETN
ETN,1998-07-29,13.808,14.4375,13.7946,14.1997,1427995,ETN
ETN,1998-07-30,13.875,13.875,13.634,13.7952,3186864,ETN
ETN,1998-07-31,13.9821,14.0625,13.7946,13.92,1622119,ETN
ETN,1998-08-03,13.942,14.0625,13.875,14.0404,1819998,ETN
ETN,1998-08-04,13.7142,13.9821,13.6875,13.9821,2203119,ETN
ETN,1998-08-05,13.875,13.9017,13.6875,13.7435,2467730,ETN
ETN,1998-08-06,14.0625,14.1029,13.8349,13.9028,1699587,ETN
ETN,1998-08-07,14.2368,14.3571,14.0625,14.1179,1629588,ETN
ETN,1998-08-10,14.25,14.384,14.183,14.384,1436864,ETN
ETN,1998-08-11,14.1029,14.1429,13.8481,14.1429,1762121,ETN
ETN,1998-08-12,13.9286,14.1696,13.5,14.1351,3273195,ETN
ETN,1998-08-13,13.8349,13.9821,13.8215,13.9821,1537665,ETN
ETN,1998-08-14,13.7946,13.9017,13.7814,13.8769,3060396,ETN
ETN,1998-08-17,13.7946,13.9555,13.7814,13.9028,2725787,ETN
ETN,1998-08-18,13.7946,13.8481,13.768,13.8481,4212589,ETN
ETN,1998-08-19,13.6474,14.0356,13.634,13.8511,1557730,ETN
ETN,1998-08-20,13.4465,13.6071,13.4465,13.6071,1740662,ETN
ETN,1998-08-21,13.0715,13.4064,12.884,13.4064,2907333,ETN
ETN,1998-08-24,13.0715,13.2724,12.951,13.1799,972528,ETN
ETN,1998-08-25,13.085,13.4064,13.0446,13.1239,1561923,ETN
ETN,1998-08-26,13.0446,13.125,13.0314,13.125,2099064,ETN
ETN,1998-08-27,12.7635,13.0446,12.75,13.0446,2768729,ETN
ETN,1998-08-28,12.7635,12.9375,12.6831,12.8571,1657123,ETN
ETN,1998-08-31,12.5491,12.8571,12.509,12.8571,1979587,ETN
ETN,1998-09-01,12.8036,12.884,12.3215,12.599,2394923,ETN
ETN,1998-09-02,12.7232,12.8571,12.6696,12.8571,1047199,ETN
ETN,1998-09-03,12.75,12.8706,12.643,12.7754,2147120,ETN
ETN,1998-09-04,13.1116,13.2991,12.7635,12.8141,2079454,ETN
ETN,1998-09-07,13.1116,13.2991,12.7635,12.8141,0,ETN
ETN,1998-09-08,13.808,13.8215,13.2189,13.2745,1185788,ETN
ETN,1998-09-09,12.8975,13.7279,12.643,13.7279,5600454,ETN
ETN,1998-09-10,12.8439,13.018,12.7767,12.9518,1468586,ETN
ETN,1998-09-11,12.9375,13.0446,12.8305,12.883,1703789,ETN
ETN,1998-09-14,13.2321,13.393,13.0446,13.0981,2223198,ETN
ETN,1998-09-15,13.3661,13.5,13.1786,13.2874,895999,ETN
ETN,1998-09-16,13.9286,14.143,13.4196,13.5284,2213396,ETN
ETN,1998-09-17,13.2724,13.875,13.1517,13.875,2217588,ETN
ETN,1998-09-18,13.259,13.4331,13.2254,13.3262,1595063,ETN
ETN,1998-09-21,13.3529,13.5,13.2055,13.3133,1147995,ETN
ETN,1998-09-22,13.5404,13.6071,13.259,13.4079,2195199,ETN
ETN,1998-09-23,14.0625,14.0625,13.5805,13.6489,887586,ETN
ETN,1998-09-24,13.875,14.3571,13.7279,14.1179,1252064,ETN
ETN,1998-09-25,13.7814,13.8481,13.567,13.8481,1109254,ETN
ETN,1998-09-28,13.9955,14.0356,13.8215,13.8769,1039255,ETN
ETN,1998-09-29,14.009,14.076,13.9154,14.0534,674331,ETN
ETN,1998-09-30,13.4331,13.9286,13.3125,13.9286,1078921,ETN
ETN,1998-10-01,13.0446,13.5,12.9106,13.4897,2092999,ETN
ETN,1998-10-02,13.0981,13.2991,13.0446,13.0981,1532529,ETN
ETN,1998-10-05,13.3661,13.4196,12.951,13.154,856789,ETN
ETN,1998-10-06,13.2055,13.5536,13.125,13.4768,1554923,ETN
ETN,1998-10-07,14.1161,14.25,13.2055,13.2616,1489586,ETN
ETN,1998-10-08,13.7142,14.009,13.3661,14.009,3234919,ETN
ETN,1998-10-09,13.875,13.9955,13.7142,13.7694,1236665,ETN
ETN,1998-10-12,14.183,14.2767,13.9017,13.9587,1559120,ETN
ETN,1998-10-13,14.3304,14.9731,14.0356,14.1351,2251663,ETN
ETN,1998-10-14,14.3036,14.625,14.25,14.389,1098062,ETN
ETN,1998-10-15,14.25,14.3036,14.0356,14.3036,1967921,ETN
ETN,1998-10-16,14.7856,14.9064,14.2099,14.3072,2465866,ETN
ETN,1998-10-19,14.7054,14.8125,14.4911,14.8125,1036452,ETN
ETN,1998-10-20,14.9868,15.4019,14.7321,14.7935,2044455,ETN
ETN,1998-10-21,14.692,14.9868,14.5715,14.9868,1246454,ETN
ETN,1998-10-22,14.451,14.6385,14.1161,14.6385,1247397,ETN
ETN,1998-10-23,14.25,14.759,14.2099,14.5095,949665,ETN
ETN,1998-10-26,14.1696,14.384,14.1564,14.3072,515198,ETN
ETN,1998-10-27,14.3571,14.5715,14.2231,14.2814,859587,ETN
ETN,1998-10-28,14.5981,14.8125,14.3571,14.4148,852122,ETN
ETN,1998-10-29,14.7724,14.7856,14.5715,14.6558,774663,ETN
ETN,1998-10-30,14.5045,14.7856,14.3571,14.6568,1053729,ETN
ETN,1998-11-02,14.9731,15.0535,14.558,14.617,2114454,ETN
ETN,1998-11-03,14.759,14.9868,14.6785,14.9868,1002396,ETN
ETN,1998-11-04,14.7724,15.0269,14.7724,14.8451,1870866,ETN
ETN,1998-11-05,14.866,14.8929,14.3974,14.7246,3264332,ETN
ETN,1998-11-06,14.9731,15.0,14.8125,14.9269,2633398,ETN
ETN,1998-11-09,14.4911,14.9868,14.451,14.9868,1392996,ETN
ETN,1998-11-10,14.1696,14.625,14.1696,14.5224,1690254,ETN
ETN,1998-11-11,14.2231,14.4911,14.1696,14.2814,1194666,ETN
ETN,1998-11-12,14.751,14.9661,14.3879,14.3879,1432978,ETN
ETN,1998-11-13,14.9196,15.0403,14.6519,14.7117,1085921,ETN
ETN,1998-11-16,14.8795,15.0,14.8125,15.0,988397,ETN
ETN,1998-11-17,14.7455,14.933,14.7054,14.933,905788,ETN
ETN,1998-11-18,14.6118,14.7455,14.4644,14.7455,439119,ETN
ETN,1998-11-19,14.8394,14.9599,14.5715,14.7246,939397,ETN
ETN,1998-11-20,14.9868,15.1606,14.7993,14.9139,938454,ETN
ETN,1998-11-23,14.9731,15.2144,14.8529,15.0344,1615589,ETN
ETN,1998-11-24,14.9465,15.0535,14.8125,15.0215,902999,ETN
ETN,1998-11-25,14.9785,15.114,14.9398,15.0065,0,ETN
