Symbol,Date,Close,High,Low,Open,Volume,Name
F,1998-05-29,31.72,32.407,31.72,32.407,3423078,F
F,1998-06-01,32.331,32.752,32.026,32.752,5907266,F
F,1998-06-02,34.854,34.854,32.217,34.854,9456109,F
F,1998-06-03,34.012,34.777,33.363,34.777,7755771,F
F,1998-06-04,33.707,34.012,32.905,34.012,4951533,F
F,1998-06-05,33.784,34.242,33.593,34.242,4017714,F
F,1998-06-08,34.089,34.242,33.593,34.242,2503812,F
F,1998-06-09,33.707,34.128,33.402,34.128,3324136,F
F,1998-06-10,33.363,33.745,32.982,33.745,3069829,F
F,1998-06-11,32.217,33.172,32.179,33.172,3878377,F
F,1998-06-12,31.949,32.407,31.319,32.407,6192974,F
F,1998-06-15,31.605,32.523,31.032,32.523,4900834,F
F,1998-06-16,31.796,31.988,31.377,31.988,6102863,F
F,1998-06-17,33.134,33.86,32.407,33.86,6551945,F
F,1998-06-18,33.325,33.554,33.058,33.554,2709221,F
F,1998-06-19,33.67,34.242,33.363,34.242,5090216,F
F,1998-06-22,34.166,34.242,33.631,34.242,3545407,F
F,1998-06-23,34.93,35.007,33.975,35.007,6137043,F
F,1998-06-24,35.198,35.542,34.968,35.542,5097574,F
F,1998-06-25,35.542,35.77,35.045,35.77,3912720,F
F,1998-06-26,35.81,36.153,35.542,36.153,2671278,F
F,1998-06-29,35.58,36.153,35.542,36.153,2181963,F
F,1998-06-30,36.077,36.077,35.618,36.077,2928530,F
F,1998-07-01,35.695,36.038,35.465,36.038,2983642,F
F,1998-07-02,35.389,35.618,35.121,35.618,2375596,F
F,1998-07-03,35.389,35.618,35.121,35.618,0,F
F,1998-07-06,36.535,36.573,35.465,36.573,3861368,F
F,1998-07-07,35.924,36.612,35.77,36.612,3337873,F
F,1998-07-08,36.345,36.498,35.924,36.498,3772075,F
F,1998-07-09,36.077,36.382,36.077,36.382,2719524,F
F,1998-07-10,35.389,36.038,34.319,36.038,5116383,F
F,1998-07-13,36.345,36.688,35.695,36.688,5170842,F
F,1998-07-14,36.994,37.223,36.612,37.223,4402199,F
F,1998-07-15,36.382,37.147,35.847,37.147,6398707,F
F,1998-07-16,36.535,36.612,35.886,36.612,3091253,F
F,1998-07-17,36.0,36.688,36.0,36.688,3553257,F
F,1998-07-20,35.312,35.618,34.816,35.618,2902363,F
F,1998-07-21,35.77,36.382,34.892,36.382,4816121,F
F,1998-07-22,36.726,36.956,35.618,36.956,4876630,F
F,1998-07-23,35.695,37.07,35.58,37.07,3045952,F
F,1998-07-24,35.235,35.886,34.854,35.886,3436651,F
F,1998-07-27,35.886,36.115,34.281,36.115,3439105,F
F,1998-07-28,36.268,36.841,35.351,36.841,3582039,F
F,1998-07-29,35.235,36.0,35.007,36.0,3327897,F
F,1998-07-30,37.147,37.3,35.351,37.3,7588143,F
F,1998-07-31,34.854,37.568,34.548,37.568,7870904,F
F,1998-08-03,34.7,34.854,33.86,34.854,5034447,F
F,1998-08-04,32.828,35.121,32.828,35.121,6445972,F
F,1998-08-05,33.172,33.172,31.184,33.172,6580239,F
F,1998-08-06,32.752,33.172,32.102,33.172,3925967,F
F,1998-08-07,31.873,33.172,31.796,33.172,4007901,F
F,1998-08-10,31.796,32.523,31.414,32.523,2786086,F
F,1998-08-11,30.994,31.491,30.573,31.491,3893586,F
F,1998-08-12,31.567,32.37,31.184,32.37,3235495,F
F,1998-08-13,31.224,32.179,31.184,32.179,2563014,F
F,1998-08-14,29.886,31.224,29.389,31.224,4917353,F
F,1998-08-17,29.351,29.962,28.777,29.962,7360494,F
F,1998-08-18,30.689,30.841,29.351,30.841,4639333,F
F,1998-08-19,31.184,31.72,30.956,31.72,3753920,F
F,1998-08-20,29.886,31.261,29.847,31.261,3835365,F
F,1998-08-21,29.389,29.579,28.586,29.579,5854934,F
F,1998-08-24,30.421,30.497,29.351,30.497,5025454,F
F,1998-08-25,30.0,31.377,29.619,31.377,5425148,F
F,1998-08-26,29.579,30.421,29.465,30.421,3184962,F
F,1998-08-27,28.433,29.274,26.598,27.35,10106676,F
F,1998-08-28,29.159,29.503,28.586,29.503,5862946,F
F,1998-08-31,27.286,29.619,26.752,27.71,6694880,F
F,1998-09-01,27.898,28.51,25.682,28.51,7095230,F
F,1998-09-02,27.286,28.549,27.21,28.549,4556416,F
F,1998-09-03,25.988,27.363,25.988,27.363,5799330,F
F,1998-09-04,25.605,26.675,24.841,26.675,5581657,F
F,1998-09-07,25.605,26.675,24.841,26.675,0,F
F,1998-09-08,26.905,27.669,26.484,27.669,4936159,F
F,1998-09-09,28.089,28.204,26.981,28.204,4577513,F
F,1998-09-10,26.446,27.937,26.103,27.937,6038100,F
F,1998-09-11,26.484,26.981,25.758,26.981,4608259,F
F,1998-09-14,28.319,28.356,27.44,28.356,5142221,F
F,1998-09-15,28.891,29.312,27.861,29.312,3057235,F
F,1998-09-16,28.586,29.198,28.281,29.198,3034668,F
F,1998-09-17,27.669,27.861,27.363,27.861,3513680,F
F,1998-09-18,27.478,27.669,26.981,27.669,6059851,F
F,1998-09-21,28.051,28.356,26.714,28.356,3075390,F
F,1998-09-22,27.937,28.816,27.631,28.816,3323972,F
F,1998-09-23,29.695,29.733,28.51,29.733,5812250,F
F,1998-09-24,29.121,30.382,28.51,30.382,4345123,F
F,1998-09-25,29.427,29.771,28.624,29.771,3792354,F
F,1998-09-28,30.077,30.344,29.503,30.344,4080023,F
F,1998-09-29,30.038,30.459,29.733,30.459,3217834,F
F,1998-09-30,28.739,30.077,28.242,30.077,3742145,F
F,1998-10-01,26.981,28.433,26.561,26.6,4936813,F
F,1998-10-02,26.37,27.516,26.293,27.516,6470992,F
F,1998-10-05,24.305,26.026,23.924,24.17,9267872,F
F,1998-10-06,24.841,25.988,24.612,25.988,8013186,F
F,1998-10-07,25.185,26.331,24.993,26.331,5637588,F
F,1998-10-08,25.147,25.682,23.847,25.682,6830294,F
F,1998-10-09,27.058,27.516,25.414,27.516,5553201,F
F,1998-10-12,27.821,28.624,27.745,28.624,5103625,F
F,1998-10-13,26.943,28.549,26.752,28.549,3834221,F
F,1998-10-14,28.013,29.198,26.331,29.198,6519891,F
F,1998-10-15,29.809,29.962,27.669,29.962,5357115,F
F,1998-10-16,31.07,31.338,30.421,31.338,10626573,F
F,1998-10-19,30.956,31.796,30.879,31.796,6359295,F
F,1998-10-20,30.956,31.72,30.917,31.72,7729604,F
F,1998-10-21,30.535,31.184,30.497,31.184,5008281,F
F,1998-10-22,30.573,30.879,30.382,30.879,3842232,F
F,1998-10-23,30.535,30.649,29.045,30.649,2240349,F
F,1998-10-26,30.726,31.567,30.306,31.567,3369927,F
F,1998-10-27,31.032,31.567,30.956,31.567,3295842,F
F,1998-10-28,31.184,31.491,30.497,31.491,4959055,F
F,1998-10-29,31.414,31.796,30.917,31.796,3291753,F
F,1998-10-30,33.172,33.172,31.758,33.172,3913863,F
F,1998-11-02,33.287,33.593,32.828,33.593,5466851,F
F,1998-11-03,32.561,33.325,32.407,33.325,2598013,F
F,1998-11-04,33.019,33.21,32.828,33.21,4657486,F
F,1998-11-05,32.79,33.707,32.217,33.707,4723884,F
F,1998-11-06,32.982,33.44,32.866,33.44,2608315,F
F,1998-11-09,32.407,32.828,32.255,32.828,2628267,F
F,1998-11-10,32.982,33.058,32.293,33.058,2990183,F
F,1998-11-11,32.942,33.249,32.523,33.249,3345885,F
F,1998-11-12,32.982,33.058,32.293,33.058,2990183,F
F,1998-11-13,32.637,32.752,31.835,32.752,3230098,F
F,1998-11-16,33.402,33.554,33.019,33.554,3890477,F
F,1998-11-17,33.517,33.745,33.249,33.745,4825443,F
F,1998-11-18,33.554,33.631,32.905,33.631,3037448,F
F,1998-11-19,33.249,33.631,33.058,33.631,3601500,F
F,1998-11-20,33.86,34.051,33.554,34.051,5637588,F
F,1998-11-23,34.089,34.205,33.631,34.205,3682945,F
F,1998-11-24,33.784,34.357,33.707,34.357,3339018,F
F,1998-11-25,33.5145,33.9364,33.4411,33.7102,0,F
F,1998-11-26,33.5145,33.9364,33.4411,33.7102,0,F
F,1998-11-27,33.707,33.784,33.363,33.784,1920790,F
F,1998-11-30,33.67,34.281,33.67,34.281,3464781,F
F,1998-12-01,35.542,35.695,33.784,35.695,6163046,F
F,1998-12-02,34.51,35.389,34.357,35.389,4312413,F
F,1998-12-03,33.707,34.433,33.707,34.433,3580241,F
F,1998-12-04,34.472,35.121,34.395,35.121,3435834,F
F,1998-12-07,34.548,34.816,34.128,34.816,2163810,F
F,1998-12-08,33.593,34.242,33.402,34.242,2991655,F
F,1998-12-09,33.517,33.745,33.019,33.745,2709712,F
F,1998-12-10,33.058,33.937,33.019,33.937,3197228,F
F,1998-12-11,33.554,33.784,32.752,33.784,2919370,F
F,1998-12-14,32.026,33.517,32.026,33.517,4423132,F
F,1998-12-15,33.249,33.517,32.255,33.517,3274254,F
F,1998-12-16,34.012,34.205,33.249,34.205,3449570,F
