Symbol,Date,Close,High,Low,Open,Volume,Name
FCX,1998-05-29,8.375,8.594,8.344,8.375,1272600,FCX
FCX,1998-06-01,8.0315,8.4375,8.0315,8.375,1091600,FCX
FCX,1998-06-02,8.094,8.3125,8.0315,8.3125,631000,FCX
FCX,1998-06-03,8.125,8.1875,8.0315,8.095,959000,FCX
FCX,1998-06-04,8.25,8.344,8.0625,8.065,1460200,FCX
FCX,1998-06-05,8.469,8.5,8.25,8.25,1419800,FCX
FCX,1998-06-08,8.719,8.844,8.375,8.375,1070400,FCX
FCX,1998-06-09,8.5315,8.8125,8.5315,8.72,814200,FCX
FCX,1998-06-10,8.375,8.625,8.3125,8.5,669400,FCX
FCX,1998-06-11,8.125,8.2815,8.094,8.28,1280800,FCX
FCX,1998-06-12,8.0,8.1565,8.0,8.065,865600,FCX
FCX,1998-06-15,7.844,7.969,7.8125,7.815,673000,FCX
FCX,1998-06-16,8.0315,8.25,7.9065,7.94,633000,FCX
FCX,1998-06-17,8.344,8.5,8.125,8.125,594800,FCX
FCX,1998-06-18,7.719,8.25,7.6875,8.22,1238600,FCX
FCX,1998-06-19,7.625,7.9065,7.594,7.78,2222200,FCX
FCX,1998-06-22,7.4375,7.6875,7.4375,7.625,959600,FCX
FCX,1998-06-23,7.5,7.6565,7.4375,7.5,1546000,FCX
FCX,1998-06-24,7.5,7.625,7.4065,7.5,1193400,FCX
FCX,1998-06-25,7.5625,7.625,7.5,7.53,673000,FCX
FCX,1998-06-26,7.75,7.844,7.5315,7.565,372400,FCX
FCX,1998-06-29,7.594,7.875,7.594,7.875,352000,FCX
FCX,1998-06-30,7.594,7.7815,7.5,7.625,587800,FCX
FCX,1998-07-01,7.5315,7.6565,7.5,7.595,590800,FCX
FCX,1998-07-02,7.5625,7.594,7.469,7.594,634800,FCX
FCX,1998-07-03,7.5625,7.594,7.469,7.594,0,FCX
FCX,1998-07-06,7.6565,7.75,7.5315,7.5315,531200,FCX
FCX,1998-07-07,7.844,7.969,7.6565,7.69,883600,FCX
FCX,1998-07-08,7.719,7.7815,7.625,7.78,278800,FCX
FCX,1998-07-09,7.5315,7.6875,7.5,7.625,606000,FCX
FCX,1998-07-10,7.469,7.5315,7.375,7.53,441400,FCX
FCX,1998-07-13,7.5625,7.6875,7.4375,7.47,623600,FCX
FCX,1998-07-14,7.75,7.7815,7.5625,7.565,775200,FCX
FCX,1998-07-15,7.8125,7.9065,7.719,7.75,660600,FCX
FCX,1998-07-16,8.0315,8.0625,7.7815,7.7815,693200,FCX
FCX,1998-07-17,8.094,8.125,7.969,8.065,784600,FCX
FCX,1998-07-20,8.219,8.219,8.094,8.095,474000,FCX
FCX,1998-07-21,8.0625,8.25,8.0625,8.22,886200,FCX
FCX,1998-07-22,8.0315,8.1565,8.0,8.095,497600,FCX
FCX,1998-07-23,7.969,8.094,7.9375,7.94,1026200,FCX
FCX,1998-07-24,7.875,8.3125,7.875,8.0,1025600,FCX
FCX,1998-07-27,7.594,7.969,7.5315,7.875,491800,FCX
