Symbol,Date,Close,High,Low,Open,Volume,Name
FDX,1998-05-29,32.063,32.5,32.063,32.47,994400,FDX
FDX,1998-06-01,32.032,32.094,31.875,32.094,1297000,FDX
FDX,1998-06-02,31.313,32.375,31.157,32.16,1399200,FDX
FDX,1998-06-03,31.375,31.938,31.313,31.57,769400,FDX
FDX,1998-06-04,31.313,31.313,30.688,31.313,1112200,FDX
FDX,1998-06-05,32.0,32.063,31.25,31.28,699800,FDX
FDX,1998-06-08,31.563,32.032,31.5,32.0,650200,FDX
FDX,1998-06-09,32.0,32.094,31.625,31.69,1160800,FDX
FDX,1998-06-10,31.063,31.875,30.907,31.875,1794000,FDX
FDX,1998-06-11,30.5,31.313,30.5,31.13,1484000,FDX
FDX,1998-06-12,30.75,30.938,29.782,30.6,958200,FDX
FDX,1998-06-15,29.782,30.563,29.75,30.38,1519800,FDX
FDX,1998-06-16,29.969,30.313,29.625,29.94,1133400,FDX
FDX,1998-06-17,30.813,31.188,30.375,30.38,896800,FDX
FDX,1998-06-18,31.5,31.5,30.4375,30.75,567000,FDX
FDX,1998-06-19,31.344,31.5,31.0,31.5,913000,FDX
FDX,1998-06-22,30.907,31.5,30.719,31.0,833000,FDX
FDX,1998-06-23,30.907,31.125,30.532,30.75,660600,FDX
FDX,1998-06-24,31.5,31.5,30.688,30.91,1021400,FDX
FDX,1998-06-25,30.938,31.5,30.875,31.5,1227400,FDX
FDX,1998-06-26,31.032,31.157,30.5,30.97,1791000,FDX
FDX,1998-06-29,31.188,31.438,31.0,31.03,505000,FDX
FDX,1998-06-30,31.375,31.375,30.719,31.19,821800,FDX
FDX,1998-07-01,31.469,31.563,31.0,31.47,935000,FDX
FDX,1998-07-02,31.407,31.5,30.688,30.97,914400,FDX
FDX,1998-07-03,31.407,31.5,30.688,30.97,0,FDX
FDX,1998-07-06,30.563,31.438,30.375,31.438,1975800,FDX
FDX,1998-07-07,31.0,31.188,30.657,30.66,1013600,FDX
FDX,1998-07-08,30.563,31.0,30.375,31.0,849000,FDX
FDX,1998-07-09,33.032,33.25,31.375,31.75,3383600,FDX
FDX,1998-07-10,33.282,33.375,32.563,33.0,1673600,FDX
FDX,1998-07-13,32.5625,33.2812,32.375,33.2812,1144400,FDX
FDX,1998-07-14,33.094,33.344,32.625,32.75,1608800,FDX
FDX,1998-07-15,32.782,33.125,32.532,33.1,982400,FDX
FDX,1998-07-16,33.75,33.844,32.625,32.78,1197000,FDX
FDX,1998-07-17,33.063,33.907,32.907,33.88,756400,FDX
FDX,1998-07-20,33.0,33.625,32.813,32.97,495200,FDX
FDX,1998-07-21,32.657,33.5,32.532,33.5,622400,FDX
FDX,1998-07-22,32.969,33.219,32.688,32.69,631800,FDX
FDX,1998-07-23,32.3125,33.2812,32.3125,33.2812,494400,FDX
FDX,1998-07-24,32.063,32.75,31.75,32.75,685400,FDX
FDX,1998-07-27,31.594,32.094,31.407,32.094,615800,FDX
FDX,1998-07-28,30.625,31.5,30.5,31.5,1353600,FDX
FDX,1998-07-29,30.875,31.375,30.719,30.75,952200,FDX
