Symbol,Date,Close,High,Low,Open,Volume,Name
FE,1998-05-29,29.688,29.688,29.063,29.19,283300,FE
FE,1998-06-01,30.313,30.375,29.813,29.88,575900,FE
FE,1998-06-02,30.5,30.563,30.25,30.38,349700,FE
FE,1998-06-03,30.438,30.938,30.438,30.63,330000,FE
FE,1998-06-04,30.875,30.938,30.5,30.5,455700,FE
FE,1998-06-05,31.063,31.063,30.75,30.88,314400,FE
FE,1998-06-08,30.813,31.063,30.688,31.06,231400,FE
FE,1998-06-09,30.938,31.188,30.75,30.88,274800,FE
FE,1998-06-10,31.438,31.563,31.0,31.06,406800,FE
FE,1998-06-11,31.25,31.438,30.625,31.31,329000,FE
FE,1998-06-12,31.188,31.25,30.688,31.25,316100,FE
FE,1998-06-15,30.25,31.375,30.25,31.06,2090100,FE
FE,1998-06-16,30.688,30.75,30.375,30.56,614100,FE
FE,1998-06-17,30.625,30.688,30.438,30.688,476500,FE
FE,1998-06-18,30.563,30.875,30.438,30.875,275500,FE
FE,1998-06-19,30.438,30.75,30.438,30.75,464600,FE
FE,1998-06-22,30.5,30.875,30.25,30.25,212800,FE
FE,1998-06-23,30.5,30.813,30.375,30.63,307000,FE
FE,1998-06-24,30.313,30.688,30.125,30.688,201700,FE
FE,1998-06-25,30.438,30.813,30.188,30.44,1055000,FE
FE,1998-06-26,30.563,30.563,30.375,30.44,140200,FE
FE,1998-06-29,30.625,30.75,30.438,30.63,538500,FE
FE,1998-06-30,30.75,31.0,30.438,30.69,386800,FE
FE,1998-07-01,30.938,30.938,30.625,30.81,773500,FE
FE,1998-07-02,30.813,30.813,30.375,30.75,398600,FE
FE,1998-07-03,30.813,30.813,30.375,30.75,0,FE
FE,1998-07-06,30.375,30.5,29.0,30.38,655200,FE
FE,1998-07-07,30.125,30.5,30.0,30.44,1207600,FE
FE,1998-07-08,29.938,30.188,29.938,30.0,812600,FE
FE,1998-07-09,29.813,30.063,29.75,30.0,381400,FE
FE,1998-07-10,29.5,29.75,29.125,29.63,1701300,FE
FE,1998-07-13,29.0,29.5,29.0,29.5,386600,FE
FE,1998-07-14,28.25,29.188,27.938,29.0,630200,FE
FE,1998-07-15,28.125,28.313,27.5,27.94,1147700,FE
FE,1998-07-16,28.5,28.563,27.938,28.0,486900,FE
FE,1998-07-17,28.5,28.75,28.313,28.75,140300,FE
FE,1998-07-20,28.313,28.625,28.125,28.25,345700,FE
FE,1998-07-21,28.25,28.375,27.813,28.31,374000,FE
FE,1998-07-22,28.75,28.75,28.25,28.38,628200,FE
FE,1998-07-23,28.0,28.938,28.0,28.81,248300,FE
FE,1998-07-24,28.063,28.25,27.813,28.0,187700,FE
FE,1998-07-27,28.25,28.438,27.75,28.0,479200,FE
FE,1998-07-28,27.875,28.25,27.875,28.25,273800,FE
FE,1998-07-29,27.875,28.063,27.813,27.88,124900,FE
FE,1998-07-30,28.25,28.313,27.875,27.88,276200,FE
FE,1998-07-31,27.563,28.188,27.5,28.188,234300,FE
FE,1998-08-03,28.0,28.375,27.063,27.75,757000,FE
FE,1998-08-04,27.625,28.25,27.625,28.13,457400,FE
FE,1998-08-05,27.563,27.75,27.125,27.5,953700,FE
FE,1998-08-06,27.5,27.563,27.188,27.56,370300,FE
FE,1998-08-07,28.0,28.125,27.125,27.38,245400,FE
FE,1998-08-10,27.875,28.125,27.813,27.88,240600,FE
FE,1998-08-11,27.875,28.0,27.625,27.88,222900,FE
FE,1998-08-12,28.75,28.938,27.813,27.813,609800,FE
FE,1998-08-13,28.75,29.063,28.438,28.88,346500,FE
FE,1998-08-14,28.813,29.125,28.625,28.69,191100,FE
FE,1998-08-17,29.25,29.25,28.75,28.81,374000,FE
FE,1998-08-18,29.125,29.25,29.0,29.25,220400,FE
FE,1998-08-19,28.688,29.125,28.563,29.125,636500,FE
FE,1998-08-20,28.938,29.0,28.563,28.63,272500,FE
FE,1998-08-21,29.313,29.5,28.563,28.75,787200,FE
FE,1998-08-24,29.625,29.813,29.313,29.44,298400,FE
FE,1998-08-25,29.063,29.875,29.063,29.75,319600,FE
FE,1998-08-26,29.188,29.5,28.813,28.813,328000,FE
FE,1998-08-27,29.188,29.563,28.188,29.19,319800,FE
FE,1998-08-28,29.0,29.25,28.813,29.0,353400,FE
FE,1998-08-31,28.875,30.0,28.625,29.0,593900,FE
FE,1998-09-01,29.375,29.563,28.875,29.0,696000,FE
FE,1998-09-02,28.375,29.438,28.313,29.438,563300,FE
FE,1998-09-03,28.438,28.688,27.625,28.25,385700,FE
FE,1998-09-04,28.688,29.0,28.063,28.44,342200,FE
FE,1998-09-07,28.688,29.0,28.063,28.44,0,FE
FE,1998-09-08,29.438,29.5,28.625,28.69,419000,FE
FE,1998-09-09,29.125,29.5,29.0,29.31,408400,FE
FE,1998-09-10,28.625,29.125,28.25,28.25,370800,FE
FE,1998-09-11,29.125,29.313,28.375,28.44,279700,FE
FE,1998-09-14,29.188,29.625,29.0,29.06,212600,FE
FE,1998-09-15,29.688,29.75,28.813,28.94,446100,FE
FE,1998-09-16,29.938,29.938,29.313,29.5,635600,FE
FE,1998-09-17,29.8125,29.875,29.3125,29.4375,366800,FE
FE,1998-09-18,29.75,29.938,29.75,29.81,690200,FE
FE,1998-09-21,30.188,30.188,29.125,29.88,775600,FE
FE,1998-09-22,30.188,30.188,29.938,30.188,736900,FE
FE,1998-09-23,30.25,30.25,30.0,30.1875,1470600,FE
FE,1998-09-24,29.625,30.25,29.5,30.25,367300,FE
FE,1998-09-25,29.75,30.0,29.563,29.63,259400,FE
FE,1998-09-28,30.125,30.125,29.625,29.88,210100,FE
FE,1998-09-29,30.75,30.875,30.188,30.19,2329400,FE
FE,1998-09-30,31.063,31.313,30.625,30.75,1036899,FE
FE,1998-10-01,31.063,31.438,31.0,31.13,651500,FE
FE,1998-10-02,32.625,32.625,31.25,31.25,1129100,FE
FE,1998-10-05,33.0,33.0,32.375,32.5,819000,FE
FE,1998-10-06,32.75,32.938,32.375,32.63,986100,FE
FE,1998-10-07,33.625,33.625,32.625,32.81,1028600,FE
FE,1998-10-08,33.875,34.0,33.313,33.44,1316500,FE
FE,1998-10-09,32.313,34.125,31.875,34.0,1074500,FE
FE,1998-10-12,31.375,32.25,31.25,32.0,425700,FE
FE,1998-10-13,31.813,32.313,31.563,31.88,1744400,FE
FE,1998-10-14,32.0,32.875,31.5,31.81,2104500,FE
FE,1998-10-15,32.688,32.938,31.5,32.0,512900,FE
FE,1998-10-16,31.25,33.0,31.188,33.0,667200,FE
FE,1998-10-19,31.5,32.313,31.375,31.63,644000,FE
FE,1998-10-20,30.188,32.0,29.875,32.0,1455400,FE
FE,1998-10-21,30.188,30.625,29.75,30.5,335800,FE
FE,1998-10-22,30.5,30.75,30.063,30.31,428100,FE
FE,1998-10-23,29.75,30.5,29.625,30.38,341100,FE
FE,1998-10-26,29.438,30.063,29.438,29.81,364900,FE
FE,1998-10-27,29.438,29.75,29.188,29.44,482400,FE
FE,1998-10-28,29.813,30.0,29.563,29.63,781700,FE
FE,1998-10-29,29.625,29.938,29.5,29.938,205700,FE
FE,1998-10-30,30.0,30.063,29.688,30.0,273500,FE
FE,1998-11-02,30.438,30.688,30.063,30.063,398000,FE
FE,1998-11-03,30.813,31.375,30.625,30.63,501800,FE
FE,1998-11-04,30.563,31.125,30.063,30.38,1284600,FE
FE,1998-11-05,30.813,30.813,30.438,30.63,578100,FE
FE,1998-11-06,30.625,31.0,30.5,30.75,2598700,FE
FE,1998-11-09,30.625,31.0,30.438,30.81,1381800,FE
FE,1998-11-10,31.375,31.438,30.75,30.75,299200,FE
FE,1998-11-11,30.938,31.375,30.688,31.31,668900,FE
FE,1998-11-12,31.0,31.0625,30.75,31.0,1295000,FE
FE,1998-11-13,31.25,31.438,30.75,31.19,250500,FE
FE,1998-11-16,31.625,31.625,30.938,31.13,778800,FE
FE,1998-11-17,31.563,32.25,31.0,31.44,377000,FE
FE,1998-11-18,31.313,31.438,30.938,31.38,153800,FE
FE,1998-11-19,31.375,31.625,30.875,31.56,205100,FE
FE,1998-11-20,31.063,31.5,30.75,31.5,260200,FE
FE,1998-11-23,31.313,31.625,30.938,31.25,171600,FE
FE,1998-11-24,31.313,31.5,30.625,31.0,1902000,FE
FE,1998-11-25,31.313,31.5,30.625,31.0,0,FE
FE,1998-11-26,31.313,31.5,30.625,31.0,0,FE
FE,1998-11-27,31.438,31.625,31.125,31.38,76500,FE
FE,1998-11-30,30.938,31.313,30.938,31.25,488500,FE
FE,1998-12-01,31.25,32.25,30.813,31.25,502000,FE
FE,1998-12-02,31.125,31.5,31.063,31.44,245000,FE
FE,1998-12-03,31.188,31.375,30.813,30.94,139200,FE
FE,1998-12-04,31.75,31.875,31.063,31.31,349400,FE
FE,1998-12-07,31.625,31.875,31.375,31.75,279600,FE
FE,1998-12-08,31.938,31.938,31.375,31.63,295400,FE
FE,1998-12-09,31.5,31.875,31.313,31.81,1385500,FE
FE,1998-12-10,31.25,31.5,30.813,31.5,459200,FE
FE,1998-12-11,31.438,31.438,30.875,31.31,166400,FE
FE,1998-12-14,31.063,31.375,31.0,31.375,577500,FE
FE,1998-12-15,31.125,31.25,31.0,31.19,593600,FE
FE,1998-12-16,31.375,31.438,30.938,30.94,1363900,FE
FE,1998-12-17,31.875,31.875,31.063,31.13,370500,FE
FE,1998-12-18,32.1875,32.1875,31.5,31.6875,749000,FE
FE,1998-12-21,31.875,32.25,31.75,32.25,671300,FE
FE,1998-12-22,32.0,32.125,31.75,31.75,359500,FE
FE,1998-12-23,32.063,32.188,31.875,32.13,337600,FE
FE,1998-12-24,32.125,32.25,32.0,32.25,151500,FE
FE,1998-12-25,32.125,32.25,32.0,32.25,0,FE
FE,1998-12-28,32.0,32.125,31.875,32.06,186400,FE
FE,1998-12-29,32.0625,32.1875,31.8125,31.875,181500,FE
FE,1998-12-30,32.25,32.25,32.0,32.06,300400,FE
FE,1998-12-31,32.563,32.625,32.063,32.25,418300,FE
FE,1999-01-01,32.563,32.625,32.063,32.25,0,FE
FE,1999-01-04,32.563,33.0,32.313,32.81,416600,FE
FE,1999-01-05,32.563,32.688,32.313,32.44,370000,FE
FE,1999-01-06,32.875,32.875,32.313,32.38,386200,FE
FE,1999-01-07,33.0,33.063,32.5,32.63,739900,FE
FE,1999-01-08,32.938,33.188,32.75,33.06,603500,FE
FE,1999-01-11,32.75,32.75,32.313,32.69,804600,FE
FE,1999-01-12,32.875,33.125,32.313,32.56,375400,FE
FE,1999-01-13,32.375,33.0,32.25,32.5,444400,FE
FE,1999-01-14,32.063,32.5,31.813,32.38,409400,FE
FE,1999-01-15,32.625,32.625,31.75,32.25,376300,FE
FE,1999-01-18,32.625,32.625,31.75,32.25,0,FE
FE,1999-01-19,32.063,32.375,31.625,32.25,619500,FE
FE,1999-01-20,31.625,32.125,31.563,32.125,1187300,FE
FE,1999-01-21,32.0,32.938,31.625,31.63,309500,FE
FE,1999-01-22,31.75,31.875,31.625,31.75,569500,FE
FE,1999-01-25,31.875,31.938,31.5,31.81,278500,FE
FE,1999-01-26,31.75,31.938,31.563,31.938,340900,FE
FE,1999-01-27,31.313,31.875,31.125,31.81,643900,FE
FE,1999-01-28,31.438,31.5,30.938,31.06,926700,FE
FE,1999-01-29,31.063,31.313,30.688,31.25,998800,FE
FE,1999-02-01,30.438,31.0,30.188,30.75,295600,FE
FE,1999-02-02,30.188,30.188,29.5,30.188,387700,FE
FE,1999-02-03,30.25,30.563,29.813,29.813,9611300,FE
FE,1999-02-04,30.063,30.5,29.75,30.13,470600,FE
FE,1999-02-05,30.375,30.438,30.0,30.31,500800,FE
FE,1999-02-08,30.438,30.563,29.875,30.44,460400,FE
FE,1999-02-09,30.063,30.438,29.813,30.438,600300,FE
FE,1999-02-10,30.125,30.563,29.875,30.25,390400,FE
FE,1999-02-11,29.5,29.938,29.375,29.938,222400,FE
FE,1999-02-12,29.188,29.563,29.0,29.56,288700,FE
FE,1999-02-15,29.188,29.563,29.0,29.56,0,FE
FE,1999-02-16,29.625,29.75,29.063,29.13,522000,FE
FE,1999-02-17,29.875,30.25,29.375,29.63,228900,FE
FE,1999-02-18,30.125,30.563,29.813,29.813,614600,FE
FE,1999-02-19,29.75,30.125,29.625,30.125,311000,FE
FE,1999-02-22,29.875,29.875,29.438,29.44,427500,FE
FE,1999-02-23,29.313,29.688,29.313,29.63,260200,FE
FE,1999-02-24,29.125,29.625,29.063,29.38,360600,FE
FE,1999-02-25,28.813,29.25,28.625,29.0,243100,FE
FE,1999-02-26,29.25,29.438,28.938,29.06,304500,FE
FE,1999-03-01,29.313,29.313,28.813,29.0,351700,FE
FE,1999-03-02,29.875,30.125,29.625,29.75,515900,FE
FE,1999-03-03,29.938,30.188,29.75,29.88,434400,FE
FE,1999-03-04,30.0,30.188,29.875,29.88,549900,FE
FE,1999-03-05,30.625,30.75,30.063,30.063,316500,FE
