Symbol,Date,Close,High,Low,Open,Volume,Name
FL,1998-05-29,19.75,19.938,19.563,19.69,1137200,FL
FL,1998-06-01,19.5,19.75,19.25,19.75,282200,FL
FL,1998-06-02,19.313,19.563,19.0,19.56,387900,FL
FL,1998-06-03,19.375,19.625,19.25,19.25,588700,FL
FL,1998-06-04,19.5,19.5,19.0,19.12,506000,FL
FL,1998-06-05,19.875,20.0,19.5,19.75,1125500,FL
FL,1998-06-08,19.75,20.125,19.688,19.94,445300,FL
FL,1998-06-09,20.375,20.375,19.75,19.75,850700,FL
FL,1998-06-10,20.563,21.063,20.313,20.37,1499000,FL
FL,1998-06-11,19.813,20.563,19.625,20.56,626500,FL
FL,1998-06-12,19.625,20.25,19.563,19.81,512399,FL
FL,1998-06-15,19.0,19.875,19.0,19.62,286100,FL
FL,1998-06-16,19.25,19.438,19.125,19.25,506000,FL
FL,1998-06-17,19.563,19.688,19.313,19.313,431100,FL
FL,1998-06-18,19.3125,19.5625,19.3125,19.5625,152100,FL
FL,1998-06-19,19.625,19.625,19.125,19.31,410600,FL
FL,1998-06-22,19.25,19.625,19.188,19.56,217600,FL
FL,1998-06-23,19.438,19.5,19.063,19.12,368300,FL
FL,1998-06-24,19.25,19.5,19.125,19.44,517599,FL
FL,1998-06-25,19.0,19.375,18.75,19.37,975800,FL
FL,1998-06-26,18.688,18.75,18.5,18.75,465300,FL
FL,1998-06-29,18.75,18.813,18.5,18.81,318800,FL
FL,1998-06-30,19.125,19.313,18.75,18.75,741300,FL
FL,1998-07-01,20.188,20.188,19.25,19.37,876700,FL
FL,1998-07-02,20.875,21.5,20.813,20.813,1920500,FL
FL,1998-07-03,20.875,21.5,20.813,20.813,0,FL
FL,1998-07-06,20.875,21.0,20.625,20.875,511300,FL
FL,1998-07-07,18.25,18.688,17.75,18.0,3276700,FL
FL,1998-07-08,18.0,18.125,17.875,18.12,1201500,FL
FL,1998-07-09,17.5,18.063,17.5,18.0,453500,FL
FL,1998-07-10,17.438,17.5,17.25,17.5,235100,FL
FL,1998-07-13,17.375,17.563,17.25,17.37,442300,FL
FL,1998-07-14,16.938,17.313,16.875,17.19,601800,FL
FL,1998-07-15,17.938,18.125,16.938,16.94,2146400,FL
FL,1998-07-16,17.5,18.0,17.25,17.94,1103200,FL
FL,1998-07-17,17.0,17.563,17.0,17.5,461600,FL
FL,1998-07-20,16.938,17.063,16.813,17.0,299600,FL
FL,1998-07-21,16.813,17.125,16.813,16.94,331700,FL
FL,1998-07-22,16.75,16.875,16.375,16.87,346900,FL
FL,1998-07-23,16.313,16.688,16.25,16.688,373200,FL
FL,1998-07-24,15.813,16.563,15.688,16.44,490800,FL
FL,1998-07-27,15.563,15.688,15.25,15.688,314600,FL
FL,1998-07-28,15.25,16.125,15.188,15.56,1292500,FL
FL,1998-07-29,15.0,15.563,14.938,15.38,305800,FL
FL,1998-07-30,15.0,15.188,14.75,14.88,513800,FL
FL,1998-07-31,14.375,15.0,14.3125,15.0,340800,FL
FL,1998-08-03,13.813,14.375,13.813,14.375,722700,FL
FL,1998-08-04,13.063,14.063,13.063,13.81,432700,FL
FL,1998-08-05,12.938,13.125,12.563,13.06,523400,FL
FL,1998-08-06,14.438,14.438,12.813,12.88,1067900,FL
FL,1998-08-07,14.188,14.438,13.813,14.31,417200,FL
FL,1998-08-10,13.188,14.063,13.063,14.06,502800,FL
FL,1998-08-11,13.438,13.5,12.625,12.94,479400,FL
FL,1998-08-12,13.375,13.813,13.188,13.5,540600,FL
FL,1998-08-13,12.688,13.313,12.5,13.25,531000,FL
FL,1998-08-14,12.625,12.875,12.375,12.75,464300,FL
FL,1998-08-17,12.688,13.0,12.375,12.5,401500,FL
FL,1998-08-18,12.438,12.75,12.438,12.56,348000,FL
FL,1998-08-19,12.188,12.563,12.188,12.56,280300,FL
FL,1998-08-20,12.0,12.375,11.813,12.06,320600,FL
FL,1998-08-21,11.313,11.813,10.75,11.75,1087700,FL
FL,1998-08-24,10.438,11.313,10.438,11.31,662200,FL
FL,1998-08-25,10.938,11.063,10.688,10.69,1306200,FL
FL,1998-08-26,10.563,10.938,10.563,10.75,792700,FL
FL,1998-08-27,9.563,10.5,9.438,10.5,912800,FL
FL,1998-08-28,9.375,9.875,9.188,9.69,425500,FL
FL,1998-08-31,9.063,9.688,8.875,9.63,590500,FL
FL,1998-09-01,9.625,9.688,8.75,9.31,519100,FL
FL,1998-09-02,9.563,10.125,9.375,9.63,733800,FL
FL,1998-09-03,9.125,9.813,9.063,9.31,1720700,FL
