Symbol,Date,Close,High,Low,Open,Volume,Name
FOXA,1998-05-29,9.2234,9.3059,9.2234,9.2798,2152694,FOXA
FOXA,1998-06-01,9.1452,9.1973,9.1192,9.1192,1938070,FOXA
FOXA,1998-06-02,9.2234,9.2234,9.1192,9.1713,1565470,FOXA
FOXA,1998-06-03,9.0627,9.2234,9.0627,9.1973,2544638,FOXA
FOXA,1998-06-04,9.0106,9.0627,9.0106,9.0627,2571351,FOXA
FOXA,1998-06-05,8.9846,8.9846,8.876,8.9585,1686600,FOXA
FOXA,1998-06-08,9.0888,9.0888,8.876,8.9021,2897893,FOXA
FOXA,1998-06-09,8.9846,9.0888,8.9585,9.0367,2952240,FOXA
FOXA,1998-06-10,8.7153,8.8239,8.6328,8.6328,12688187,FOXA
FOXA,1998-06-11,9.0106,9.2538,8.9281,9.0367,13271266,FOXA
FOXA,1998-06-12,9.4926,9.523,9.1452,9.1452,6762980,FOXA
FOXA,1998-06-15,9.2538,9.5751,9.2538,9.5751,5758481,FOXA
FOXA,1998-06-16,9.4926,9.523,9.3059,9.3059,3985294,FOXA
FOXA,1998-06-17,10.1397,10.2222,10.0875,10.2222,5337983,FOXA
FOXA,1998-06-18,10.3003,10.3264,10.0571,10.0875,2213950,FOXA
FOXA,1998-06-19,10.3264,10.4089,10.2482,10.3568,2414297,FOXA
FOXA,1998-06-22,10.1918,10.3003,10.1657,10.2743,410826,FOXA
FOXA,1998-06-23,9.8965,9.9225,9.7923,9.8965,2876707,FOXA
FOXA,1998-06-24,10.2222,10.2743,9.979,10.005,3309641,FOXA
FOXA,1998-06-25,10.8127,10.9734,10.3568,10.3568,6467295,FOXA
FOXA,1998-06-26,11.1905,11.3512,10.7867,10.7867,8964034,FOXA
FOXA,1998-06-29,12.4281,12.4802,10.9734,11.1341,10534571,FOXA
FOXA,1998-06-30,12.1589,12.3196,12.0503,12.3196,7025043,FOXA
FOXA,1998-07-01,12.2371,12.4281,12.211,12.211,6061996,FOXA
FOXA,1998-07-02,12.1024,12.2371,11.9939,12.2371,4706083,FOXA
FOXA,1998-07-03,12.1024,12.2371,11.9939,12.2371,0,FOXA
FOXA,1998-07-06,12.2935,12.3196,12.185,12.185,3683622,FOXA
FOXA,1998-07-07,12.4281,12.4802,12.3717,12.4542,5857964,FOXA
FOXA,1998-07-08,12.3456,12.4281,12.3196,12.4281,1901685,FOXA
FOXA,1998-07-09,12.3717,12.3717,12.2631,12.3717,5683869,FOXA
FOXA,1998-07-10,12.3196,12.3717,12.1589,12.3717,3582758,FOXA
FOXA,1998-07-13,12.185,12.2371,12.1285,12.2371,2122757,FOXA
FOXA,1998-07-14,12.2631,12.2935,11.9418,12.1285,2740379,FOXA
FOXA,1998-07-15,11.9939,12.211,11.9939,12.185,2054133,FOXA
FOXA,1998-07-16,12.3977,12.4802,12.3456,12.3717,3605326,FOXA
FOXA,1998-07-17,12.5584,12.6149,12.4542,12.5324,4556859,FOXA
FOXA,1998-07-20,12.6409,12.693,12.5324,12.5324,2358568,FOXA
FOXA,1998-07-21,12.4802,12.693,12.4802,12.693,2878089,FOXA
FOXA,1998-07-22,12.185,12.2631,12.1285,12.2631,2371925,FOXA
FOXA,1998-07-23,11.6465,11.8897,11.5119,11.8897,1950044,FOXA
FOXA,1998-07-24,11.4033,11.6725,11.4033,11.6725,1399205,FOXA
FOXA,1998-07-27,11.1905,11.1905,10.9734,11.1905,1226953,FOXA
FOXA,1998-07-28,11.108,11.1601,11.0255,11.1341,1486713,FOXA
FOXA,1998-07-29,10.8388,10.9734,10.7867,10.8909,559590,FOXA
FOXA,1998-07-30,11.1601,11.2166,10.9995,10.9995,2324947,FOXA
FOXA,1998-07-31,10.9474,11.0255,10.9213,10.9734,2175723,FOXA
FOXA,1998-08-03,10.8909,10.9474,10.7867,10.8388,1789767,FOXA
FOXA,1998-08-04,10.7042,10.9474,10.6521,10.9474,1629489,FOXA
FOXA,1998-08-05,10.5435,10.7302,10.5174,10.6521,2362253,FOXA
FOXA,1998-08-06,10.2222,10.2743,10.0571,10.0571,2555231,FOXA
FOXA,1998-08-07,10.5435,10.5435,10.0571,10.1136,3804752,FOXA
FOXA,1998-08-10,10.2222,10.3264,10.1657,10.3264,1084177,FOXA
FOXA,1998-08-11,9.979,9.979,9.6837,9.8965,1342095,FOXA
FOXA,1998-08-12,10.1397,10.2222,10.005,10.1657,1774107,FOXA
FOXA,1998-08-13,10.1136,10.2482,10.0875,10.1397,3139692,FOXA
FOXA,1998-08-14,10.3003,10.3264,10.2222,10.2222,1155565,FOXA
FOXA,1998-08-17,10.3828,10.3828,10.1136,10.2482,1938530,FOXA
FOXA,1998-08-18,10.7563,10.7563,10.4089,10.4089,1527243,FOXA
FOXA,1998-08-19,10.9734,11.1341,10.9734,11.1341,2229609,FOXA
FOXA,1998-08-20,10.9734,11.0559,10.9474,11.0255,1039041,FOXA
FOXA,1998-08-21,10.8127,10.8909,10.5435,10.8648,637426,FOXA
FOXA,1998-08-24,10.7302,10.8127,10.6521,10.7042,891659,FOXA
FOXA,1998-08-25,10.7042,10.7563,10.5956,10.6521,698221,FOXA
FOXA,1998-08-26,10.2482,10.4349,10.1136,10.4089,860801,FOXA
FOXA,1998-08-27,9.9529,10.0571,9.7923,10.005,4054840,FOXA
FOXA,1998-08-28,9.5751,9.9529,9.4666,9.9529,3066461,FOXA
FOXA,1998-08-31,9.0367,9.4405,8.9846,9.4145,2244808,FOXA
FOXA,1998-09-01,9.6576,9.6837,9.0888,9.2234,4695951,FOXA
FOXA,1998-09-02,9.7097,9.7358,9.4926,9.5751,1743710,FOXA
FOXA,1998-09-03,9.332,9.4666,9.1713,9.4145,1926555,FOXA
FOXA,1998-09-04,9.0888,9.2798,8.9846,9.2798,2649187,FOXA
FOXA,1998-09-07,9.0888,9.2798,8.9846,9.2798,0,FOXA
FOXA,1998-09-08,9.6707,9.7228,9.345,9.345,1576524,FOXA
FOXA,1998-09-09,9.2929,9.5057,9.2929,9.4535,1124707,FOXA
FOXA,1998-09-10,9.1279,9.2929,9.0757,9.2929,1454473,FOXA
FOXA,1998-09-11,9.5057,9.5057,9.1843,9.1843,868631,FOXA
FOXA,1998-09-14,9.8313,9.8574,9.6707,9.8313,1720682,FOXA
FOXA,1998-09-15,9.8878,9.9138,9.8053,9.8053,2207962,FOXA
FOXA,1998-09-16,9.7228,9.8313,9.6446,9.8313,1273470,FOXA
FOXA,1998-09-17,9.4796,9.5057,9.4014,9.4535,1287287,FOXA
FOXA,1998-09-18,9.5882,9.5882,9.4535,9.4796,736908,FOXA
FOXA,1998-09-21,9.4796,9.5057,9.345,9.345,1725287,FOXA
FOXA,1998-09-22,9.4275,9.4796,9.4014,9.4796,412208,FOXA
FOXA,1998-09-23,9.8313,9.8574,9.5621,9.6142,3641711,FOXA
FOXA,1998-09-24,9.5057,9.8313,9.5057,9.8313,3168707,FOXA
FOXA,1998-09-25,9.5621,9.6142,9.2929,9.345,3984373,FOXA
FOXA,1998-09-28,9.8313,9.8574,9.6967,9.7228,2537729,FOXA
FOXA,1998-09-29,9.8878,9.9138,9.8313,9.8878,1824770,FOXA
FOXA,1998-09-30,9.6707,9.8053,9.5621,9.7792,2629382,FOXA
FOXA,1998-10-01,9.1279,9.5882,9.0757,9.5882,1953729,FOXA
FOXA,1998-10-02,9.0497,9.1018,9.0193,9.1018,2528518,FOXA
FOXA,1998-10-05,8.4287,8.8586,8.4287,8.8586,2102492,FOXA
FOXA,1998-10-06,7.9684,8.4548,7.8859,8.4287,2845389,FOXA
FOXA,1998-10-07,8.4808,8.5633,8.3723,8.4287,5468784,FOXA
FOXA,1998-10-08,8.1291,8.1291,7.8338,8.0509,3196802,FOXA
FOXA,1998-10-09,8.4808,8.5633,8.1291,8.1551,1797596,FOXA
FOXA,1998-10-12,8.9151,9.0193,8.698,8.698,2990468,FOXA
FOXA,1998-10-13,8.8065,8.8847,8.6415,8.698,2807161,FOXA
FOXA,1998-10-14,8.8847,8.9411,8.698,8.7761,862183,FOXA
FOXA,1998-10-15,9.0757,9.0757,8.6719,8.6719,2509635,FOXA
FOXA,1998-10-16,9.0757,9.1279,8.9932,9.0497,1925634,FOXA
FOXA,1998-10-19,9.1583,9.4535,9.0757,9.0757,1058385,FOXA
FOXA,1998-10-20,9.5882,9.7792,9.1279,9.1279,6373339,FOXA
FOXA,1998-10-21,9.5882,9.7792,9.4535,9.7792,2400019,FOXA
FOXA,1998-10-22,10.0485,10.0485,9.2929,9.2929,4261635,FOXA
FOXA,1998-10-23,9.7488,9.992,9.7228,9.9399,5807762,FOXA
FOXA,1998-10-26,10.0485,10.157,9.8053,9.8313,4823989,FOXA
FOXA,1998-10-27,9.8878,10.0224,9.6707,10.0224,4576664,FOXA
FOXA,1998-10-28,9.992,10.0224,9.9138,9.9399,2961452,FOXA
FOXA,1998-10-29,10.2352,10.3177,10.1006,10.1006,4625944,FOXA
FOXA,1998-10-30,10.4523,10.5609,10.4002,10.4784,4065894,FOXA
FOXA,1998-11-02,11.1818,11.1818,10.6955,10.7215,6795220,FOXA
FOXA,1998-11-03,10.9647,11.0212,10.9126,10.9387,4411780,FOXA
FOXA,1998-11-04,11.1297,11.2383,11.0212,11.0212,5712885,FOXA
FOXA,1998-11-05,11.0212,11.0212,10.7519,10.9126,4904588,FOXA
FOXA,1998-11-06,10.9126,11.0212,10.8301,10.9126,4756285,FOXA
