Symbol,Date,Close,High,Low,Open,Volume,Name
FRT,1998-05-29,24.75,25.0,24.375,24.75,42800,FRT
FRT,1998-06-01,24.625,24.813,24.375,24.75,32599,FRT
FRT,1998-06-02,24.688,24.875,24.5,24.63,75100,FRT
FRT,1998-06-03,24.25,24.75,24.125,24.75,37400,FRT
FRT,1998-06-04,24.5,24.5,24.313,24.5,40900,FRT
FRT,1998-06-05,24.5,24.625,24.313,24.625,24900,FRT
FRT,1998-06-08,24.438,24.813,24.375,24.5,39000,FRT
FRT,1998-06-09,24.5,24.5,24.125,24.44,39000,FRT
FRT,1998-06-10,24.375,24.5,24.375,24.44,27700,FRT
FRT,1998-06-11,24.313,24.438,24.188,24.38,27500,FRT
FRT,1998-06-12,24.375,24.5,24.188,24.5,42000,FRT
FRT,1998-06-15,23.75,24.5,23.75,24.5,39300,FRT
FRT,1998-06-16,23.813,24.0,23.625,24.0,60600,FRT
FRT,1998-06-17,24.438,24.438,23.813,23.88,499600,FRT
FRT,1998-06-18,24.063,24.188,24.0,24.188,13800,FRT
FRT,1998-06-19,24.188,24.313,24.063,24.31,98500,FRT
FRT,1998-06-22,24.313,24.563,24.0,24.31,215800,FRT
FRT,1998-06-23,24.0,24.188,23.875,24.0,89400,FRT
FRT,1998-06-24,24.063,24.188,23.75,23.88,52900,FRT
FRT,1998-06-25,24.0,24.125,23.875,24.125,59200,FRT
FRT,1998-06-26,23.625,24.0,23.5,24.0,37400,FRT
FRT,1998-06-29,24.063,24.25,23.563,23.563,68600,FRT
FRT,1998-06-30,24.063,24.375,23.875,24.06,65100,FRT
FRT,1998-07-01,24.188,24.25,24.063,24.063,199300,FRT
FRT,1998-07-02,24.063,24.188,24.0,24.13,31000,FRT
FRT,1998-07-03,24.063,24.188,24.0,24.13,0,FRT
FRT,1998-07-06,24.125,24.25,24.0,24.13,111000,FRT
FRT,1998-07-07,24.375,24.5,24.188,24.19,58200,FRT
FRT,1998-07-08,24.438,24.625,24.25,24.44,86700,FRT
FRT,1998-07-09,24.688,25.125,24.438,24.44,50500,FRT
FRT,1998-07-10,24.438,25.0,24.313,24.81,19600,FRT
FRT,1998-07-13,24.75,24.813,24.25,24.56,32300,FRT
FRT,1998-07-14,24.5,24.75,24.5,24.56,51800,FRT
FRT,1998-07-15,24.75,24.75,24.563,24.63,32599,FRT
FRT,1998-07-16,24.938,24.938,24.625,24.88,42400,FRT
FRT,1998-07-17,24.938,25.063,24.5,25.0,50100,FRT
FRT,1998-07-20,24.938,25.125,24.875,25.0,64199,FRT
FRT,1998-07-21,25.0,25.125,24.938,24.94,51400,FRT
FRT,1998-07-22,24.688,24.938,24.563,24.938,41200,FRT
FRT,1998-07-23,24.375,24.75,24.313,24.63,49400,FRT
FRT,1998-07-24,24.25,24.438,24.188,24.38,43600,FRT
FRT,1998-07-27,23.75,24.188,23.75,24.188,43600,FRT
FRT,1998-07-28,23.5,23.938,23.5,23.69,64600,FRT
FRT,1998-07-29,23.375,23.813,23.125,23.63,42600,FRT
FRT,1998-07-30,23.625,23.688,23.25,23.25,42000,FRT
FRT,1998-07-31,23.375,23.625,23.25,23.5,56000,FRT
FRT,1998-08-03,23.25,23.75,23.25,23.56,80000,FRT
FRT,1998-08-04,22.188,23.438,22.125,23.38,65600,FRT
FRT,1998-08-05,22.5,22.5,22.0,22.19,89400,FRT
FRT,1998-08-06,22.063,22.375,21.75,22.25,69500,FRT
FRT,1998-08-07,23.125,23.375,22.188,22.19,218700,FRT
FRT,1998-08-10,22.75,23.0,22.5,22.88,111400,FRT
FRT,1998-08-11,22.188,22.5,21.75,22.5,267800,FRT
FRT,1998-08-12,22.5,22.5,22.125,22.13,55900,FRT
FRT,1998-08-13,22.313,22.375,22.188,22.375,40400,FRT
FRT,1998-08-14,22.063,22.438,22.063,22.438,74000,FRT
FRT,1998-08-17,21.875,22.125,21.875,22.125,93800,FRT
FRT,1998-08-18,22.188,22.188,21.938,22.0,68900,FRT
FRT,1998-08-19,22.313,22.5,22.125,22.13,27900,FRT
FRT,1998-08-20,22.375,22.438,22.125,22.438,19800,FRT
FRT,1998-08-21,22.25,22.375,21.75,22.25,32200,FRT
FRT,1998-08-24,21.938,22.375,21.875,22.13,62500,FRT
FRT,1998-08-25,21.875,22.063,21.563,22.06,53500,FRT
FRT,1998-08-26,21.875,21.875,21.625,21.81,158600,FRT
FRT,1998-08-27,21.625,21.75,21.313,21.75,85300,FRT
FRT,1998-08-28,21.375,21.75,21.25,21.63,67100,FRT
