Symbol,Date,Close,High,Low,Open,Volume,Name
FTI,2001-06-14,5.2212,5.3161,5.0788,5.1144,26181203,FTI
FTI,2001-06-15,5.1856,5.3351,5.1619,5.1737,5201267,FTI
FTI,2001-06-18,5.1025,5.2212,5.0835,5.1856,3388577,FTI
FTI,2001-06-19,4.9483,5.1381,4.9364,5.1381,4222448,FTI
FTI,2001-06-20,4.9364,4.9364,4.6991,4.9245,5505911,FTI
FTI,2001-06-21,4.7465,4.9127,4.7442,4.9127,4549845,FTI
FTI,2001-06-22,4.7465,4.7703,4.7465,4.7465,1432623,FTI
FTI,2001-06-25,4.7465,4.7489,4.7465,4.7465,137784,FTI
FTI,2001-06-26,4.7489,4.7584,4.7465,4.7465,767717,FTI
FTI,2001-06-27,4.6991,4.7489,4.6516,4.7465,4361918,FTI
FTI,2001-06-28,4.6753,4.7465,4.6753,4.6991,2368885,FTI
FTI,2001-06-29,4.9008,4.9008,4.6753,4.6753,822494,FTI
FTI,2001-07-02,4.6991,4.9008,4.6753,4.9008,400713,FTI
FTI,2001-07-03,4.5353,4.6872,4.5092,4.6872,968285,FTI
FTI,2001-07-04,4.5353,4.6872,4.5092,4.6872,0,FTI
FTI,2001-07-05,4.6279,4.6279,4.5685,4.5685,709148,FTI
FTI,2001-07-06,4.6089,4.6279,4.6041,4.616,412511,FTI
FTI,2001-07-09,4.5448,4.6872,4.5448,4.6208,2164947,FTI
FTI,2001-07-10,4.2719,4.5448,4.26,4.5448,3196436,FTI
FTI,2001-07-11,4.2956,4.3668,4.26,4.2909,2763700,FTI
FTI,2001-07-12,4.2956,4.2956,4.26,4.2956,1521109,FTI
FTI,2001-07-13,4.4356,4.4855,4.3193,4.3193,1783195,FTI
FTI,2001-07-16,4.26,4.3929,4.2315,4.3929,732745,FTI
FTI,2001-07-17,4.1746,4.2909,4.1319,4.2363,1477709,FTI
FTI,2001-07-18,4.2339,4.2837,4.1508,4.1508,578948,FTI
FTI,2001-07-19,4.3075,4.4024,4.2481,4.2576,732323,FTI
FTI,2001-07-20,4.2932,4.3075,4.2481,4.2956,1625185,FTI
FTI,2001-07-23,4.2719,4.3004,4.2481,4.2932,324447,FTI
FTI,2001-07-24,4.2719,4.4855,4.2363,4.2481,896654,FTI
FTI,2001-07-25,4.5567,4.6041,4.2149,4.2837,1242590,FTI
FTI,2001-07-26,4.5329,4.5567,4.4855,4.5329,404926,FTI
FTI,2001-07-27,4.3834,4.4973,4.3787,4.4973,361948,FTI
FTI,2001-07-30,4.3882,4.4072,4.3217,4.3953,112503,FTI
FTI,2001-07-31,4.2885,4.4238,4.2125,4.4,1760442,FTI
FTI,2001-08-01,4.2719,4.3431,4.2695,4.3122,517008,FTI
FTI,2001-08-02,4.3193,4.3312,4.2695,4.2719,728952,FTI
FTI,2001-08-03,4.26,4.3288,4.26,4.3288,289052,FTI
