Symbol,Date,Close,High,Low,Open,Volume,Name
GGP,1998-05-29,9.509,9.5575,9.4935,9.5066,426060,GGP
GGP,1998-06-01,9.4288,9.4288,9.381,9.4141,294935,GGP
GGP,1998-06-02,9.381,9.4935,9.381,9.4604,319448,GGP
GGP,1998-06-03,9.2522,9.3972,9.2198,9.3972,245519,GGP
GGP,1998-06-04,9.1396,9.2684,9.0918,9.2522,1377012,GGP
GGP,1998-06-05,9.0756,9.1558,9.0433,9.1558,1221762,GGP
GGP,1998-06-08,9.0756,9.108,9.0595,9.1057,1296469,GGP
GGP,1998-06-09,9.1234,9.1396,9.0756,9.1057,466526,GGP
GGP,1998-06-10,9.0918,9.2198,9.0918,9.1366,219839,GGP
GGP,1998-06-11,9.0756,9.108,9.0756,9.0903,1348219,GGP
GGP,1998-06-12,8.9153,9.0918,8.8667,9.0286,854066,GGP
GGP,1998-06-15,8.8505,8.9793,8.8505,8.9793,437733,GGP
GGP,1998-06-16,8.8667,8.9307,8.8189,8.8513,165755,GGP
GGP,1998-06-17,9.0595,9.1558,8.9307,8.9307,217504,GGP
GGP,1998-06-18,9.1234,9.1396,9.0433,9.1057,265752,GGP
GGP,1998-06-19,9.0595,9.2198,9.0595,9.1905,281316,GGP
GGP,1998-06-22,8.9631,9.0918,8.9307,9.0749,369252,GGP
GGP,1998-06-23,9.0116,9.1234,8.9307,8.9307,482479,GGP
GGP,1998-06-24,9.108,9.1396,9.0595,9.0595,211668,GGP
GGP,1998-06-25,9.172,9.2198,9.1234,9.1234,203108,GGP
GGP,1998-06-26,9.236,9.2684,9.1882,9.2368,194937,GGP
GGP,1998-06-29,9.4612,9.509,9.2198,9.2214,306218,GGP
GGP,1998-06-30,9.6053,9.7503,9.509,9.509,1196471,GGP
GGP,1998-07-01,9.5575,9.6377,9.4935,9.6223,324895,GGP
GGP,1998-07-02,9.6053,9.6377,9.5737,9.576,277036,GGP
GGP,1998-07-03,9.6053,9.6377,9.5737,9.576,0,GGP
GGP,1998-07-06,9.7665,9.7665,9.5899,9.6223,477810,GGP
GGP,1998-07-07,9.943,10.0232,9.7665,9.7688,1070015,GGP
GGP,1998-07-08,9.9107,10.0872,9.8467,9.9924,844339,GGP
GGP,1998-07-09,9.8945,9.9908,9.8629,9.9461,432675,GGP
GGP,1998-07-10,9.8305,9.879,9.8305,9.8459,308942,GGP
GGP,1998-07-13,9.7981,9.8143,9.7017,9.7148,205832,GGP
GGP,1998-07-14,9.8467,9.8945,9.7665,9.7842,324117,GGP
GGP,1998-07-15,9.7981,9.8629,9.7665,9.7842,263418,GGP
GGP,1998-07-16,9.8629,9.8629,9.7665,9.8305,149023,GGP
GGP,1998-07-17,9.8305,9.9592,9.7981,9.9592,84433,GGP
GGP,1998-07-20,9.8467,9.8629,9.8305,9.8305,135405,GGP
GGP,1998-07-21,9.8143,9.879,9.8143,9.8767,238905,GGP
GGP,1998-07-22,9.8143,9.8467,9.6377,9.815,364194,GGP
GGP,1998-07-23,9.8143,9.8305,9.8143,9.815,82099,GGP
GGP,1998-07-24,9.7503,9.8305,9.7179,9.8305,444737,GGP
GGP,1998-07-27,9.7665,9.7981,9.7179,9.7688,293378,GGP
GGP,1998-07-28,9.6539,9.7341,9.6377,9.6994,219839,GGP
GGP,1998-07-29,9.5413,9.7017,9.5413,9.6531,143576,GGP
GGP,1998-07-30,9.381,9.509,9.3486,9.5066,448239,GGP
GGP,1998-07-31,9.3486,9.445,9.3486,9.3987,541622,GGP
GGP,1998-08-03,9.2522,9.381,9.2522,9.381,140074,GGP
GGP,1998-08-04,9.0918,9.3324,9.0918,9.2985,357579,GGP
GGP,1998-08-05,9.0595,9.108,8.8667,9.1057,588313,GGP
GGP,1998-08-06,9.0271,9.1882,9.0271,9.0749,331510,GGP
GGP,1998-08-07,8.9955,9.3486,8.8991,8.9669,965737,GGP
GGP,1998-08-10,9.0271,9.0595,8.9307,8.9978,565357,GGP
GGP,1998-08-11,9.0271,9.0271,8.9307,8.9307,248632,GGP
GGP,1998-08-12,9.1882,9.2198,9.0116,9.0132,248243,GGP
GGP,1998-08-13,9.1882,9.2044,9.0433,9.1905,266141,GGP
GGP,1998-08-14,9.4126,9.445,9.2198,9.2214,186766,GGP
GGP,1998-08-17,9.4773,9.4935,9.4288,9.4295,150969,GGP
GGP,1998-08-18,9.6377,9.6377,9.509,9.509,265363,GGP
GGP,1998-08-19,9.7017,9.7341,9.5899,9.5915,322560,GGP
GGP,1998-08-20,9.7017,9.7017,9.6377,9.684,173926,GGP
GGP,1998-08-21,9.5899,9.6377,9.509,9.6377,186377,GGP
GGP,1998-08-24,9.7017,9.7341,9.5899,9.5915,333455,GGP
GGP,1998-08-25,9.5899,9.7503,9.5737,9.6686,532283,GGP
GGP,1998-08-26,9.7665,9.7665,9.5899,9.5915,321393,GGP
GGP,1998-08-27,9.6053,9.7665,9.6053,9.7665,273534,GGP
GGP,1998-08-28,9.6053,9.6539,9.4612,9.6223,133460,GGP
GGP,1998-08-31,9.2684,9.5899,9.2684,9.576,194937,GGP
GGP,1998-09-01,9.1882,9.3008,9.1396,9.2676,315168,GGP
GGP,1998-09-02,9.1234,9.172,9.1234,9.172,80542,GGP
GGP,1998-09-03,8.9793,9.0918,8.9793,9.0903,167311,GGP
GGP,1998-09-04,8.9153,9.0271,8.8505,9.0132,70426,GGP
GGP,1998-09-07,8.9153,9.0271,8.8505,9.0132,0,GGP
GGP,1998-09-08,8.9955,9.108,8.9793,8.9823,205053,GGP
GGP,1998-09-09,8.9469,9.0595,8.9469,8.9823,181708,GGP
GGP,1998-09-10,8.6261,8.9469,8.6261,8.9438,115950,GGP
GGP,1998-09-11,8.5298,8.6578,8.4488,8.6277,187933,GGP
GGP,1998-09-14,8.5776,8.6416,8.4488,8.5968,188711,GGP
GGP,1998-09-15,8.5938,8.6416,8.5614,8.6277,450184,GGP
GGP,1998-09-16,8.6901,8.714,8.5776,8.6123,993363,GGP
GGP,1998-09-17,8.5614,8.6739,8.5136,8.6739,184431,GGP
GGP,1998-09-18,8.8027,8.8343,8.6739,8.7742,511661,GGP
GGP,1998-09-21,8.8991,8.9153,8.7703,8.7742,912042,GGP
GGP,1998-09-22,9.1396,9.2198,8.9469,8.9669,749788,GGP
GGP,1998-09-23,9.3486,9.3486,9.1882,9.1905,841226,GGP
GGP,1998-09-24,9.3324,9.3972,9.3324,9.3524,206610,GGP
GGP,1998-09-25,9.236,9.3162,9.2198,9.2985,543178,GGP
GGP,1998-09-28,9.172,9.236,9.172,9.2059,795702,GGP
GGP,1998-09-29,9.108,9.172,9.108,9.172,1350553,GGP
GGP,1998-09-30,9.1558,9.2044,9.108,9.108,595706,GGP
GGP,1998-10-01,8.9307,9.0271,8.8829,9.0271,94161,GGP
GGP,1998-10-02,8.8667,8.8991,8.6416,8.8667,323728,GGP
GGP,1998-10-05,8.7063,8.8667,8.7063,8.8667,87546,GGP
GGP,1998-10-06,8.6099,8.7225,8.5614,8.7048,244741,GGP
GGP,1998-10-07,8.4812,8.6578,8.465,8.6123,144354,GGP
GGP,1998-10-08,8.4488,8.4812,8.3524,8.4812,275091,GGP
GGP,1998-10-09,8.5136,8.5136,8.4334,8.4503,305051,GGP
GGP,1998-10-12,8.6578,8.7379,8.4974,8.4974,387540,GGP
GGP,1998-10-13,8.5776,8.6578,8.5614,8.6578,174315,GGP
GGP,1998-10-14,8.465,8.5136,8.465,8.512,234236,GGP
GGP,1998-10-15,8.5614,8.5614,8.465,8.4658,79375,GGP
GGP,1998-10-16,8.7063,8.7225,8.6099,8.6123,137351,GGP
GGP,1998-10-19,8.8505,8.8667,8.6901,8.7356,179762,GGP
GGP,1998-10-20,9.0271,9.0918,8.8505,8.8513,732279,GGP
GGP,1998-10-21,8.9793,9.0116,8.9307,9.0116,135016,GGP
GGP,1998-10-22,8.9955,9.0116,8.9307,9.0116,235014,GGP
GGP,1998-10-23,8.9955,9.0595,8.9955,9.0286,188322,GGP
GGP,1998-10-26,8.8991,8.9307,8.8505,8.9284,206999,GGP
GGP,1998-10-27,8.8667,8.9955,8.8505,8.913,152525,GGP
GGP,1998-10-28,8.7865,8.9153,8.7379,8.8975,50582,GGP
GGP,1998-10-29,8.8667,8.8667,8.7703,8.805,270032,GGP
GGP,1998-10-30,9.1396,9.1396,8.9153,8.9153,354855,GGP
GGP,1998-11-02,9.2846,9.381,9.172,9.1751,161864,GGP
GGP,1998-11-03,9.4612,9.509,9.2846,9.2985,166922,GGP
GGP,1998-11-04,9.7179,9.9268,9.509,9.509,452908,GGP
GGP,1998-11-05,9.7503,9.7665,9.6539,9.6686,184042,GGP
GGP,1998-11-06,9.6539,9.7503,9.6539,9.7503,81321,GGP
GGP,1998-11-09,9.4612,9.6377,9.3972,9.6377,162642,GGP
GGP,1998-11-10,9.381,9.4935,9.3324,9.4758,241628,GGP
GGP,1998-11-11,9.445,9.4773,9.4288,9.4295,53695,GGP
GGP,1998-11-12,9.381,9.4935,9.3324,9.4758,241628,GGP
GGP,1998-11-13,9.4935,9.5737,9.4773,9.4773,51749,GGP
GGP,1998-11-16,9.5413,9.5899,9.4935,9.5066,75095,GGP
GGP,1998-11-17,9.509,9.5575,9.4935,9.5452,482090,GGP
GGP,1998-11-18,9.4612,9.509,9.3972,9.5066,120230,GGP
GGP,1998-11-19,9.3972,9.445,9.381,9.4141,43578,GGP
GGP,1998-11-20,9.4288,9.4773,9.3162,9.3833,139296,GGP
GGP,1998-11-23,9.445,9.4935,9.3972,9.445,82877,GGP
GGP,1998-11-24,9.4126,9.4612,9.381,9.445,114783,GGP
GGP,1998-11-25,9.4126,9.4612,9.381,9.445,0,GGP
GGP,1998-11-26,9.4126,9.4612,9.381,9.445,0,GGP
GGP,1998-11-27,9.5251,9.5251,9.4773,9.4773,47080,GGP
GGP,1998-11-30,9.7341,9.7503,9.5413,9.5452,319448,GGP
GGP,1998-12-01,9.7665,9.7665,9.5899,9.7534,147078,GGP
GGP,1998-12-02,9.7179,9.7827,9.6539,9.7688,177038,GGP
GGP,1998-12-03,9.6539,9.7341,9.6539,9.7341,49026,GGP
GGP,1998-12-04,9.5737,9.6863,9.5737,9.6686,114394,GGP
GGP,1998-12-07,9.5575,9.6377,9.5413,9.6069,140852,GGP
GGP,1998-12-08,9.4612,9.5575,9.4612,9.5221,121398,GGP
GGP,1998-12-09,9.3648,9.3972,9.3324,9.3972,536953,GGP
GGP,1998-12-10,9.445,9.5413,9.4126,9.4912,232679,GGP
GGP,1998-12-11,9.4612,9.4935,9.3972,9.4758,71982,GGP
GGP,1998-12-14,9.4288,9.4773,9.4288,9.4295,87157,GGP
GGP,1998-12-15,9.5575,9.5575,9.3648,9.3679,147078,GGP
GGP,1998-12-16,9.6215,9.6215,9.5413,9.5452,120619,GGP
GGP,1998-12-17,9.6215,9.6701,9.5413,9.6223,94939,GGP
GGP,1998-12-18,9.6053,9.6701,9.5737,9.6686,163031,GGP
GGP,1998-12-21,9.4612,9.6215,9.4612,9.6215,178206,GGP
GGP,1998-12-22,9.4935,9.5899,9.3486,9.4141,194937,GGP
GGP,1998-12-23,9.4935,9.6377,9.4935,9.4935,582866,GGP
GGP,1998-12-24,9.4612,9.4935,9.4612,9.4912,255247,GGP
GGP,1998-12-25,9.4612,9.4935,9.4612,9.4912,0,GGP
GGP,1998-12-28,9.445,9.4612,9.4288,9.4604,126456,GGP
GGP,1998-12-29,9.4612,9.509,9.4126,9.4295,84433,GGP
GGP,1998-12-30,9.6701,9.6701,9.4126,9.4295,107779,GGP
GGP,1998-12-31,9.7341,9.7341,9.5899,9.6686,672747,GGP
GGP,1999-01-01,9.7341,9.7341,9.5899,9.6686,0,GGP
GGP,1999-01-04,9.8305,9.8305,9.5413,9.576,417889,GGP
GGP,1999-01-05,9.8467,9.8467,9.7981,9.815,240850,GGP
GGP,1999-01-06,9.8305,9.879,9.8143,9.8459,401547,GGP
GGP,1999-01-07,9.7017,9.7981,9.7017,9.7981,124510,GGP
GGP,1999-01-08,9.5737,9.6863,9.4126,9.684,278982,GGP
GGP,1999-01-11,9.445,9.509,9.381,9.5066,363026,GGP
GGP,1999-01-12,9.4126,9.4935,9.4126,9.4604,79764,GGP
GGP,1999-01-13,9.236,9.3486,9.2044,9.3486,330342,GGP
GGP,1999-01-14,9.236,9.2522,9.2044,9.2059,100775,GGP
GGP,1999-01-15,9.1558,9.2198,9.1558,9.1751,200384,GGP
GGP,1999-01-18,9.1558,9.2198,9.1558,9.1751,0,GGP
GGP,1999-01-19,9.236,9.236,9.1234,9.2059,193770,GGP
GGP,1999-01-20,9.2198,9.2684,9.2198,9.2368,188711,GGP
GGP,1999-01-21,9.1234,9.1882,9.0116,9.1882,319837,GGP
GGP,1999-01-22,9.2846,9.3008,9.108,9.108,150580,GGP
GGP,1999-01-25,9.2198,9.381,9.2044,9.3524,174704,GGP
GGP,1999-01-26,9.2044,9.2846,9.1882,9.283,88324,GGP
GGP,1999-01-27,9.1234,9.236,9.1234,9.236,260694,GGP
GGP,1999-01-28,9.0271,9.1396,9.0271,9.1211,79375,GGP
GGP,1999-01-29,8.8991,9.0433,8.8991,9.0433,285596,GGP
GGP,1999-02-01,8.9793,9.0595,8.9307,8.9307,187155,GGP
GGP,1999-02-02,9.0433,9.0433,8.8991,8.9823,121398,GGP
GGP,1999-02-03,9.0918,9.1234,9.0271,9.0286,100386,GGP
GGP,1999-02-04,9.0595,9.0756,9.0116,9.0749,106612,GGP
GGP,1999-02-05,8.9631,9.0595,8.9307,9.0595,226843,GGP
GGP,1999-02-08,9.1234,9.1234,8.9793,9.0903,406216,GGP
GGP,1999-02-09,9.0116,9.1234,8.9793,9.1211,116339,GGP
GGP,1999-02-10,8.9307,9.0271,8.8343,9.0271,392598,GGP
GGP,1999-02-11,8.8667,8.9469,8.8505,8.9284,134627,GGP
GGP,1999-02-12,8.7225,8.8667,8.7063,8.8667,105445,GGP
GGP,1999-02-15,8.7225,8.8667,8.7063,8.8667,0,GGP
GGP,1999-02-16,8.7225,8.8189,8.7225,8.7896,110892,GGP
GGP,1999-02-17,8.6739,8.7379,8.6739,8.7356,155249,GGP
GGP,1999-02-18,8.5614,8.7063,8.5614,8.7048,392598,GGP
GGP,1999-02-19,8.5136,8.5938,8.4812,8.5583,261472,GGP
GGP,1999-02-22,8.6578,8.7063,8.5136,8.5136,171591,GGP
GGP,1999-02-23,8.6416,8.6739,8.5776,8.6585,384427,GGP
GGP,1999-02-24,8.5776,8.6578,8.5776,8.6578,191824,GGP
GGP,1999-02-25,8.6578,8.6739,8.5452,8.5814,544735,GGP
GGP,1999-02-26,8.6739,8.7063,8.6578,8.6894,321004,GGP
GGP,1999-03-01,8.6739,8.7225,8.6578,8.6739,402714,GGP
GGP,1999-03-02,8.5938,8.7063,8.5776,8.6739,562633,GGP
GGP,1999-03-03,8.6261,8.6739,8.5298,8.5968,542400,GGP
GGP,1999-03-04,8.6099,8.6901,8.6099,8.6585,123343,GGP
GGP,1999-03-05,8.5938,8.6901,8.5614,8.6123,494541,GGP
GGP,1999-03-08,8.5614,8.6261,8.5452,8.5968,175482,GGP
GGP,1999-03-09,8.5776,8.5776,8.5614,8.5614,103499,GGP
GGP,1999-03-10,8.5614,8.5776,8.5452,8.5776,196882,GGP
GGP,1999-03-11,8.5452,8.5776,8.5452,8.5776,133070,GGP
GGP,1999-03-12,8.5614,8.5938,8.5452,8.5814,194159,GGP
GGP,1999-03-15,8.5136,8.5776,8.5136,8.5776,35796,GGP
GGP,1999-03-16,8.2884,8.4812,8.2561,8.4812,211279,GGP
GGP,1999-03-17,8.2082,8.2884,8.1921,8.2884,442013,GGP
GGP,1999-03-18,8.1759,8.2406,8.1597,8.2406,135016,GGP
GGP,1999-03-19,8.0795,8.2082,8.0795,8.1574,204275,GGP
GGP,1999-03-22,8.0795,8.0957,8.0795,8.0957,84823,GGP
GGP,1999-03-23,8.1597,8.1759,8.0317,8.0494,649012,GGP
GGP,1999-03-24,8.2244,8.2244,8.1443,8.1443,159918,GGP
GGP,1999-03-25,8.2244,8.2884,8.2244,8.2576,381703,GGP
GGP,1999-03-26,8.2082,8.2406,8.2082,8.2268,218283,GGP
GGP,1999-03-29,8.2561,8.3208,8.2244,8.2422,663409,GGP
GGP,1999-03-30,8.3046,8.3208,8.2406,8.2576,196493,GGP
GGP,1999-03-31,8.337,8.337,8.1921,8.1959,408162,GGP
GGP,1999-04-01,8.2884,8.337,8.2884,8.3039,199995,GGP
GGP,1999-04-02,8.2884,8.337,8.2884,8.3039,0,GGP
GGP,1999-04-05,8.1759,8.2561,8.1759,8.2561,125289,GGP
GGP,1999-04-06,8.1597,8.2244,8.1281,8.2113,139296,GGP
GGP,1999-04-07,8.1119,8.1443,8.0633,8.1111,238516,GGP
GGP,1999-04-08,8.0633,8.0795,7.9993,8.0494,264585,GGP
GGP,1999-04-09,8.1921,8.2244,8.0479,8.0803,160696,GGP
GGP,1999-04-12,8.2406,8.2561,8.1196,8.1959,234236,GGP
GGP,1999-04-13,8.2244,8.2561,8.1597,8.2561,370808,GGP
GGP,1999-04-14,8.2244,8.2561,8.1921,8.2561,246298,GGP
GGP,1999-04-15,8.6261,8.6739,8.2406,8.2422,353299,GGP
GGP,1999-04-16,8.8829,9.0595,8.6099,8.6123,398823,GGP
GGP,1999-04-19,9.3486,9.3486,8.9153,8.9153,396100,GGP
GGP,1999-04-20,9.3162,9.381,9.1882,9.381,331899,GGP
GGP,1999-04-21,9.4773,9.4773,9.3486,9.3524,724886,GGP
GGP,1999-04-22,9.4773,9.509,9.445,9.445,341626,GGP
GGP,1999-04-23,9.509,9.509,9.445,9.445,293378,GGP
GGP,1999-04-26,9.509,9.5413,9.4935,9.4935,127234,GGP
GGP,1999-04-27,9.4773,9.509,9.4773,9.4912,493374,GGP
GGP,1999-04-28,9.3972,9.4612,9.381,9.4604,198439,GGP
GGP,1999-04-29,9.381,9.4288,9.381,9.3987,125678,GGP
GGP,1999-04-30,9.4612,9.4612,9.381,9.3833,198050,GGP
GGP,1999-05-03,9.4288,9.4773,9.3972,9.4758,201941,GGP
GGP,1999-05-04,9.381,9.445,9.381,9.4295,373143,GGP
GGP,1999-05-05,9.4288,9.445,9.381,9.3987,115172,GGP
GGP,1999-05-06,9.5737,9.5737,9.4126,9.445,205832,GGP
GGP,1999-05-07,9.509,9.5899,9.4935,9.576,226843,GGP
GGP,1999-05-10,9.7503,9.7503,9.509,9.509,235014,GGP
GGP,1999-05-11,9.7017,9.7981,9.6863,9.7534,205442,GGP
GGP,1999-05-12,9.8143,9.8305,9.7017,9.7017,132681,GGP
GGP,1999-05-13,9.7341,9.879,9.7341,9.8459,120619,GGP
GGP,1999-05-14,9.6053,9.7665,9.5413,9.6994,280927,GGP
GGP,1999-05-17,9.3972,9.5899,9.236,9.5899,232679,GGP
GGP,1999-05-18,9.5251,9.5413,9.4126,9.4295,129180,GGP
GGP,1999-05-19,9.445,9.4773,9.3972,9.4604,498043,GGP
GGP,1999-05-20,9.6215,9.6701,9.4612,9.4758,194548,GGP
GGP,1999-05-21,9.7017,9.7017,9.6053,9.6377,245908,GGP
GGP,1999-05-24,9.7341,9.7665,9.7341,9.7665,101554,GGP
GGP,1999-05-25,9.7827,9.7981,9.7341,9.7688,110892,GGP
GGP,1999-05-26,9.7665,9.7827,9.7665,9.7827,84823,GGP
GGP,1999-05-27,9.7017,9.7827,9.6701,9.7827,115561,GGP
GGP,1999-05-28,9.8945,9.8945,9.7017,9.7017,223730,GGP
GGP,1999-05-31,9.8945,9.8945,9.7017,9.7017,0,GGP
GGP,1999-06-01,9.9107,9.9268,9.7827,9.8459,103110,GGP
GGP,1999-06-02,9.8467,9.8945,9.7665,9.8921,122954,GGP
GGP,1999-06-03,9.7665,9.8629,9.7341,9.8305,114783,GGP
GGP,1999-06-04,9.7827,9.7981,9.7341,9.7688,67313,GGP
GGP,1999-06-07,9.7503,9.9268,9.7341,9.7688,726832,GGP
GGP,1999-06-08,9.7827,9.7981,9.7503,9.7534,143576,GGP
GGP,1999-06-09,9.7503,9.7827,9.7503,9.7534,85601,GGP
GGP,1999-06-10,9.6778,9.7665,9.6701,9.7665,105445,GGP
GGP,1999-06-11,9.6215,9.6701,9.509,9.6531,143187,GGP
GGP,1999-06-14,9.6539,9.6701,9.6053,9.6223,226843,GGP
GGP,1999-06-15,9.7179,9.7503,9.6215,9.6377,248243,GGP
