Symbol,Date,Close,High,Low,Open,Volume,Name
GIS,1998-05-29,17.0625,17.375,17.016,17.3,3741600,GIS
GIS,1998-06-01,17.3125,17.391,17.0625,17.125,2002400,GIS
GIS,1998-06-02,17.391,17.4845,17.3595,17.375,1627600,GIS
GIS,1998-06-03,17.516,17.641,17.3595,17.36,1686400,GIS
GIS,1998-06-04,17.422,17.6095,17.422,17.515,1728000,GIS
GIS,1998-06-05,17.719,17.7815,17.5,17.625,1934800,GIS
GIS,1998-06-08,17.594,18.0625,17.594,18.0625,1181200,GIS
GIS,1998-06-09,17.766,17.8595,17.5625,17.61,794400,GIS
GIS,1998-06-10,17.625,17.7815,17.5785,17.75,1068800,GIS
GIS,1998-06-11,17.5785,17.6095,17.4375,17.565,1804000,GIS
GIS,1998-06-12,17.625,17.641,17.344,17.625,1793600,GIS
GIS,1998-06-15,17.297,17.4845,17.297,17.375,2372400,GIS
GIS,1998-06-16,17.4065,17.4845,17.2035,17.28,1556400,GIS
GIS,1998-06-17,17.6875,17.719,17.4535,17.5,1801200,GIS
GIS,1998-06-18,17.719,17.75,17.516,17.735,1042800,GIS
GIS,1998-06-19,17.5315,17.766,17.391,17.72,1988800,GIS
GIS,1998-06-22,17.5785,17.625,17.5315,17.5315,752800,GIS
GIS,1998-06-23,17.641,17.672,17.5,17.61,804000,GIS
GIS,1998-06-24,17.594,17.719,17.516,17.655,1008400,GIS
GIS,1998-06-25,17.469,17.625,17.375,17.565,828000,GIS
GIS,1998-06-26,17.5625,17.625,17.469,17.5,1836800,GIS
GIS,1998-06-29,17.1095,17.2815,16.8595,17.28,4784800,GIS
GIS,1998-06-30,17.0625,17.125,16.8595,17.065,3247600,GIS
GIS,1998-07-01,16.922,17.1875,16.8595,17.1875,2287200,GIS
GIS,1998-07-02,16.9845,17.0,16.844,16.985,1687600,GIS
GIS,1998-07-03,16.9845,17.0,16.844,16.985,0,GIS
GIS,1998-07-06,17.125,17.1875,17.0,17.0,1064000,GIS
GIS,1998-07-07,17.2035,17.2345,17.0785,17.19,1759200,GIS
GIS,1998-07-08,17.219,17.266,17.0,17.065,4852000,GIS
GIS,1998-07-09,17.0315,17.125,17.0,17.095,7489200,GIS
GIS,1998-07-10,17.266,17.2815,17.016,17.065,2996000,GIS
GIS,1998-07-13,17.344,17.344,16.422,17.25,3046400,GIS
GIS,1998-07-14,17.2035,17.2345,17.1095,17.155,3336400,GIS
GIS,1998-07-15,16.9535,17.125,16.922,17.125,1735200,GIS
GIS,1998-07-16,16.8595,16.9845,16.8595,16.955,1744400,GIS
GIS,1998-07-17,16.6565,16.875,16.6565,16.86,1708800,GIS
