Symbol,Date,Close,High,Low,Open,Volume,Name
GLW,1998-05-29,13.146,13.271,13.021,13.22,1650900,GLW
GLW,1998-06-01,12.833,13.125,12.792,13.09,1399200,GLW
GLW,1998-06-02,12.583,13.021,12.583,13.01,2406600,GLW
GLW,1998-06-03,12.5,12.646,12.5,12.55,1477200,GLW
GLW,1998-06-04,12.521,12.563,12.417,12.51,3218700,GLW
GLW,1998-06-05,12.625,12.625,12.375,12.59,2142300,GLW
GLW,1998-06-08,12.813,12.958,12.708,12.78,2698800,GLW
GLW,1998-06-09,12.583,12.708,12.563,12.65,1289700,GLW
GLW,1998-06-10,12.271,12.417,12.125,12.22,3712500,GLW
GLW,1998-06-11,11.792,12.313,11.792,12.3,3839700,GLW
GLW,1998-06-12,11.938,12.042,11.583,11.82,3625800,GLW
GLW,1998-06-15,11.563,11.833,11.5,11.66,2552700,GLW
GLW,1998-06-16,11.333,11.688,11.313,11.67,2075699,GLW
GLW,1998-06-17,11.417,11.563,11.333,11.45,1789200,GLW
GLW,1998-06-18,11.625,11.75,11.354,11.354,1557300,GLW
GLW,1998-06-19,11.479,11.646,11.375,11.57,1595100,GLW
GLW,1998-06-22,11.458,11.573,11.417,11.47,1064100,GLW
GLW,1998-06-23,11.417,11.625,11.313,11.49,1785900,GLW
GLW,1998-06-24,11.583,11.646,11.313,11.32,1542600,GLW
GLW,1998-06-25,11.75,11.813,11.604,11.72,2807700,GLW
GLW,1998-06-26,11.75,11.979,11.625,11.95,1498800,GLW
GLW,1998-06-29,11.479,11.833,11.458,11.82,1085400,GLW
GLW,1998-06-30,11.583,11.604,11.396,11.396,1444800,GLW
GLW,1998-07-01,11.625,11.625,11.396,11.55,1364700,GLW
GLW,1998-07-02,11.667,11.688,11.458,11.59,1168800,GLW
GLW,1998-07-03,11.667,11.688,11.458,11.59,0,GLW
GLW,1998-07-06,11.667,11.875,11.521,11.57,1312800,GLW
GLW,1998-07-07,11.75,12.0,11.646,11.9,2081999,GLW
GLW,1998-07-08,11.708,11.958,11.625,11.7,2265900,GLW
GLW,1998-07-09,11.354,11.771,11.25,11.7,2352300,GLW
GLW,1998-07-10,11.375,11.438,11.292,11.43,1039500,GLW
GLW,1998-07-13,11.292,11.396,11.208,11.3,1679700,GLW
GLW,1998-07-14,11.354,11.396,11.25,11.32,1975200,GLW
GLW,1998-07-15,11.229,11.313,11.208,11.24,2012100,GLW
GLW,1998-07-16,11.208,11.292,10.875,11.22,3551100,GLW
GLW,1998-07-17,11.188,11.333,11.146,11.32,1804200,GLW
GLW,1998-07-20,11.0,11.313,10.979,11.18,2298300,GLW
GLW,1998-07-21,10.958,11.125,10.854,11.03,2848200,GLW
GLW,1998-07-22,10.833,10.938,10.75,10.82,1981800,GLW
GLW,1998-07-23,10.667,10.813,10.646,10.74,1507800,GLW
GLW,1998-07-24,10.229,10.667,10.229,10.64,2181000,GLW
GLW,1998-07-27,9.938,10.104,9.917,9.95,3261300,GLW
GLW,1998-07-28,10.0,10.104,9.792,9.84,3185700,GLW
GLW,1998-07-29,10.396,10.563,10.146,10.16,2613000,GLW
GLW,1998-07-30,10.438,10.521,10.396,10.396,1792200,GLW
GLW,1998-07-31,10.229,10.542,10.208,10.43,1566000,GLW
GLW,1998-08-03,10.167,10.5,10.083,10.49,2306700,GLW
GLW,1998-08-04,9.917,10.292,9.875,10.12,3272400,GLW
GLW,1998-08-05,9.938,10.042,9.813,9.87,2501400,GLW
GLW,1998-08-06,9.563,9.958,9.542,9.93,2277300,GLW
GLW,1998-08-07,9.625,9.833,9.542,9.66,3575700,GLW
GLW,1998-08-10,9.667,9.729,9.625,9.64,2644200,GLW
GLW,1998-08-11,9.729,9.75,9.604,9.64,2316300,GLW
GLW,1998-08-12,9.896,9.979,9.729,9.82,1809900,GLW
GLW,1998-08-13,9.938,10.042,9.792,9.792,2146500,GLW
GLW,1998-08-14,9.875,10.104,9.813,10.07,1556400,GLW
GLW,1998-08-17,10.0,10.063,9.938,9.99,1941300,GLW
GLW,1998-08-18,10.25,10.292,10.0,10.03,2312400,GLW
GLW,1998-08-19,10.208,10.396,10.167,10.28,2189700,GLW
GLW,1998-08-20,10.063,10.333,10.063,10.22,1657800,GLW
GLW,1998-08-21,10.021,10.083,9.917,9.99,1588800,GLW
GLW,1998-08-24,10.063,10.313,9.979,9.99,1281900,GLW
GLW,1998-08-25,9.583,10.083,9.542,10.05,1557600,GLW
GLW,1998-08-26,9.208,9.75,9.146,9.59,2127600,GLW
GLW,1998-08-27,8.75,9.188,8.75,9.09,3999300,GLW
GLW,1998-08-28,8.625,8.917,8.583,8.64,3216000,GLW
GLW,1998-08-31,8.208,8.75,8.125,8.7,2894400,GLW
GLW,1998-09-01,8.0,8.417,7.958,8.33,4227300,GLW
GLW,1998-09-02,7.833,8.146,7.833,8.04,6635400,GLW
GLW,1998-09-03,7.854,8.0,7.625,7.74,4674000,GLW
GLW,1998-09-04,8.063,8.125,7.833,7.91,3217800,GLW
GLW,1998-09-07,8.063,8.125,7.833,7.91,0,GLW
GLW,1998-09-08,8.354,8.375,8.083,8.2,2576400,GLW
GLW,1998-09-09,8.25,8.5,8.208,8.34,3062400,GLW
GLW,1998-09-10,8.208,8.375,8.104,8.33,2352300,GLW
GLW,1998-09-11,8.521,8.521,8.208,8.33,2863200,GLW
GLW,1998-09-14,8.625,8.708,8.542,8.66,2462700,GLW
GLW,1998-09-15,9.063,9.125,8.583,8.7,3069000,GLW
GLW,1998-09-16,9.271,9.5,9.146,9.16,2135700,GLW
GLW,1998-09-17,9.229,9.375,8.917,9.05,2183700,GLW
GLW,1998-09-18,8.979,9.167,8.792,9.14,1749900,GLW
GLW,1998-09-21,8.875,9.042,8.563,8.78,941700,GLW
GLW,1998-09-22,9.042,9.042,8.896,8.93,1316700,GLW
GLW,1998-09-23,9.854,9.958,9.0,9.03,3264900,GLW
GLW,1998-09-24,9.604,10.0,9.458,9.78,1773900,GLW
GLW,1998-09-25,9.708,9.792,9.271,9.271,1326900,GLW
GLW,1998-09-28,10.021,10.083,9.813,9.82,1491000,GLW
GLW,1998-09-29,9.875,10.125,9.854,10.07,1416000,GLW
GLW,1998-09-30,9.813,9.813,9.479,9.8,1651500,GLW
GLW,1998-10-01,9.375,9.792,9.354,9.66,1371000,GLW
GLW,1998-10-02,9.438,9.667,9.313,9.34,738900,GLW
GLW,1998-10-05,9.25,9.417,8.979,9.37,1723800,GLW
GLW,1998-10-06,9.292,9.583,9.167,9.32,1102500,GLW
GLW,1998-10-07,9.479,9.583,9.021,9.12,1517400,GLW
GLW,1998-10-08,9.25,9.479,9.0,9.47,1683300,GLW
GLW,1998-10-09,9.479,9.708,9.375,9.41,1822200,GLW
GLW,1998-10-12,9.813,9.938,9.521,9.521,1842600,GLW
GLW,1998-10-13,9.604,9.75,9.583,9.7,918000,GLW
GLW,1998-10-14,9.792,10.0,9.521,9.521,1201200,GLW
GLW,1998-10-15,10.188,10.25,9.604,9.7,1117200,GLW
GLW,1998-10-16,10.542,10.625,10.229,10.32,2714400,GLW
GLW,1998-10-19,10.458,10.5,10.354,10.45,1194300,GLW
GLW,1998-10-20,12.167,12.229,10.458,10.458,10459500,GLW
GLW,1998-10-21,12.229,12.271,11.688,11.86,2863500,GLW
