Symbol,Date,Close,High,Low,Open,Volume,Name
GPN,2001-01-16,3.75,3.75,3.75,3.75,3200,GPN
GPN,2001-01-17,3.75,3.75,3.75,3.75,122800,GPN
GPN,2001-01-18,4.125,4.125,3.875,3.875,167200,GPN
GPN,2001-01-19,4.2812,4.2812,4.1875,4.1875,59600,GPN
GPN,2001-01-22,4.5625,4.625,4.25,4.25,146800,GPN
GPN,2001-01-23,4.6875,4.7812,4.5,4.5,76000,GPN
GPN,2001-01-24,4.5625,4.625,4.5625,4.625,560000,GPN
GPN,2001-01-25,4.6875,4.6875,4.625,4.6562,143200,GPN
GPN,2001-01-26,4.625,4.6408,4.625,4.625,82000,GPN
GPN,2001-01-29,4.675,4.6875,4.6,4.63,262000,GPN
GPN,2001-01-30,4.65,4.675,4.5875,4.675,336000,GPN
GPN,2001-01-31,4.6875,4.7625,4.675,4.675,326000,GPN
GPN,2001-02-01,5.225,5.3,4.69,4.75,2556800,GPN
GPN,2001-02-02,5.2075,5.25,5.15,5.1875,795600,GPN
GPN,2001-02-05,4.9925,5.3625,4.98,5.2125,644800,GPN
GPN,2001-02-06,4.9375,5.005,4.9375,4.975,1338800,GPN
GPN,2001-02-07,5.0,5.0,4.9125,4.925,1350400,GPN
GPN,2001-02-08,4.875,5.04,4.875,5.0,578800,GPN
GPN,2001-02-09,4.9375,4.9375,4.875,4.875,441600,GPN
GPN,2001-02-12,4.825,4.9375,4.825,4.9375,327200,GPN
GPN,2001-02-13,4.8125,4.885,4.8125,4.825,648800,GPN
GPN,2001-02-14,4.77,4.8125,4.7675,4.8125,135600,GPN
GPN,2001-02-15,4.575,4.7875,4.575,4.775,454400,GPN
GPN,2001-02-16,4.5175,4.525,4.35,4.525,424400,GPN
GPN,2001-02-19,4.5175,4.525,4.35,4.525,0,GPN
GPN,2001-02-20,4.5225,4.5375,4.4525,4.525,1000400,GPN
GPN,2001-02-21,4.52,4.5225,4.475,4.5225,443600,GPN
GPN,2001-02-22,4.5075,4.535,4.475,4.52,623600,GPN
GPN,2001-02-23,4.6125,4.675,4.5,4.525,1222800,GPN
GPN,2001-02-26,4.75,4.78,4.625,4.625,1182400,GPN
GPN,2001-02-27,4.725,4.75,4.725,4.75,690000,GPN
GPN,2001-02-28,4.75,4.75,4.7125,4.725,326000,GPN
GPN,2001-03-01,4.675,4.725,4.675,4.725,155200,GPN
GPN,2001-03-02,4.69,4.7025,4.675,4.69,836800,GPN
GPN,2001-03-05,4.7525,4.7625,4.6875,4.69,402800,GPN
GPN,2001-03-06,4.7,4.775,4.7,4.755,610000,GPN
GPN,2001-03-07,4.7475,4.7475,4.7,4.7,89600,GPN
GPN,2001-03-08,4.7,4.745,4.7,4.745,211600,GPN
GPN,2001-03-09,4.695,4.7025,4.675,4.7,269600,GPN
GPN,2001-03-12,4.675,4.725,4.6625,4.695,106400,GPN
GPN,2001-03-13,4.6125,4.7125,4.6125,4.7125,671600,GPN
GPN,2001-03-14,4.475,4.6375,4.4675,4.615,455600,GPN
GPN,2001-03-15,4.3575,4.45,4.2875,4.45,1160400,GPN
GPN,2001-03-16,4.3375,4.45,4.3375,4.385,402800,GPN
GPN,2001-03-19,4.3,4.4375,4.2875,4.2875,1173600,GPN
GPN,2001-03-20,4.275,4.39,4.25,4.315,222000,GPN
GPN,2001-03-21,4.1625,4.3,4.0625,4.275,135200,GPN
GPN,2001-03-22,4.4625,4.4625,4.25,4.315,2105600,GPN
GPN,2001-03-23,4.575,4.575,4.475,4.475,757600,GPN
GPN,2001-03-26,4.625,4.625,4.57,4.615,207600,GPN
GPN,2001-03-27,4.5875,4.6125,4.5325,4.6,435200,GPN
GPN,2001-03-28,4.4625,4.6,4.4625,4.575,420800,GPN
GPN,2001-03-29,4.325,4.425,4.325,4.425,530800,GPN
GPN,2001-03-30,4.625,4.625,4.325,4.325,1302800,GPN
GPN,2001-04-02,4.45,4.6,4.425,4.6,685600,GPN
GPN,2001-04-03,4.5,4.5,4.3625,4.45,192800,GPN
GPN,2001-04-04,4.4975,4.5,4.4375,4.465,606000,GPN
GPN,2001-04-05,4.53,4.53,4.4825,4.5,629200,GPN
GPN,2001-04-06,4.7125,4.735,4.5,4.515,476000,GPN
GPN,2001-04-09,4.6525,4.74,4.6125,4.715,113600,GPN
GPN,2001-04-10,4.7625,4.775,4.6775,4.6775,954400,GPN
GPN,2001-04-11,5.225,5.225,4.875,4.875,1540000,GPN
GPN,2001-04-12,5.5875,5.5875,5.1675,5.17,689200,GPN
GPN,2001-04-13,5.5875,5.5875,5.1675,5.17,0,GPN
GPN,2001-04-16,5.375,5.575,5.365,5.575,368000,GPN
GPN,2001-04-17,5.375,5.4375,5.265,5.35,581200,GPN
GPN,2001-04-18,5.32,5.3525,5.25,5.25,285200,GPN
GPN,2001-04-19,5.31,5.32,5.1625,5.295,121600,GPN
GPN,2001-04-20,5.25,5.45,5.2375,5.35,1139600,GPN
GPN,2001-04-23,5.225,5.275,5.2125,5.275,946400,GPN
GPN,2001-04-24,5.225,5.2325,5.1875,5.22,626000,GPN
GPN,2001-04-25,5.2625,5.2875,5.225,5.225,326000,GPN
GPN,2001-04-26,5.245,5.2875,5.2275,5.265,469200,GPN
GPN,2001-04-27,5.25,5.2525,5.23,5.245,550800,GPN
GPN,2001-04-30,5.2875,5.4,5.1875,5.2,946800,GPN
GPN,2001-05-01,5.965,6.095,5.2875,5.2875,889200,GPN
GPN,2001-05-02,6.115,6.2375,5.8,6.0,547600,GPN
GPN,2001-05-03,6.0,6.1,5.95,6.075,289200,GPN
GPN,2001-05-04,5.995,6.05,5.95,5.965,440400,GPN
GPN,2001-05-07,6.0975,6.125,6.025,6.025,168400,GPN
GPN,2001-05-08,6.2925,6.2925,6.125,6.125,920000,GPN
GPN,2001-05-09,6.0625,6.275,6.0625,6.275,213200,GPN
