Symbol,Date,Close,High,Low,Open,Volume,Name
GT,1998-05-29,71.875,72.125,69.125,69.13,1075100,GT
GT,1998-06-01,72.813,73.25,71.25,71.63,1759300,GT
GT,1998-06-02,70.938,72.875,70.75,72.875,706800,GT
GT,1998-06-03,69.25,70.813,69.25,70.75,411500,GT
GT,1998-06-04,69.438,69.938,69.313,69.5,193300,GT
GT,1998-06-05,69.688,69.75,68.938,69.69,239300,GT
GT,1998-06-08,69.813,70.813,69.813,70.0,247000,GT
GT,1998-06-09,69.75,70.188,68.813,70.0,280500,GT
GT,1998-06-10,68.25,70.0,68.188,70.0,386800,GT
GT,1998-06-11,66.563,68.375,66.5,68.25,514000,GT
GT,1998-06-12,65.5,66.875,65.125,66.81,612600,GT
GT,1998-06-15,64.125,66.563,63.688,65.44,576900,GT
GT,1998-06-16,64.438,65.063,63.625,64.25,616200,GT
GT,1998-06-17,64.813,66.125,64.438,64.75,478600,GT
GT,1998-06-18,64.375,64.875,63.875,64.81,536200,GT
GT,1998-06-19,63.063,65.25,63.063,65.25,1712400,GT
GT,1998-06-22,63.25,63.688,62.875,63.38,402000,GT
GT,1998-06-23,63.188,63.875,63.125,63.25,237800,GT
GT,1998-06-24,63.125,63.625,63.125,63.13,749900,GT
GT,1998-06-25,65.0,65.438,63.5,63.5,832100,GT
GT,1998-06-26,64.813,65.5,64.688,65.13,652700,GT
GT,1998-06-29,64.188,65.5,64.125,64.88,693800,GT
GT,1998-06-30,64.438,65.063,64.063,64.44,670700,GT
GT,1998-07-01,64.813,65.563,64.5,65.06,427100,GT
GT,1998-07-02,64.938,65.125,64.25,64.75,399200,GT
GT,1998-07-03,64.938,65.125,64.25,64.75,0,GT
GT,1998-07-06,65.5,66.438,64.625,65.0,499000,GT
GT,1998-07-07,66.563,66.938,65.438,65.5,479100,GT
GT,1998-07-08,65.625,67.0,65.625,66.75,401500,GT
GT,1998-07-09,65.75,66.0,65.5,65.88,232200,GT
GT,1998-07-10,64.938,65.875,64.75,65.75,378500,GT
GT,1998-07-13,64.0,65.25,63.813,65.0,548500,GT
GT,1998-07-14,63.875,64.188,63.313,64.0,591300,GT
GT,1998-07-15,62.625,64.0,62.5,63.88,638000,GT
GT,1998-07-16,63.0,63.5,61.75,62.38,619100,GT
GT,1998-07-17,62.75,63.0,62.625,62.94,687800,GT
GT,1998-07-20,62.375,62.938,62.063,62.88,488700,GT
GT,1998-07-21,61.813,62.438,61.75,62.0,949100,GT
GT,1998-07-22,61.813,62.25,61.5,62.06,425000,GT
GT,1998-07-23,61.375,61.813,61.375,61.81,435100,GT
GT,1998-07-24,60.75,61.75,60.5,61.44,400400,GT
GT,1998-07-27,61.0,61.313,60.125,60.75,355300,GT
GT,1998-07-28,60.438,61.188,60.0,60.88,481600,GT
GT,1998-07-29,60.875,61.625,60.625,60.63,482200,GT
GT,1998-07-30,61.5,61.875,61.125,61.13,317000,GT
GT,1998-07-31,60.938,61.75,60.75,61.75,328900,GT
GT,1998-08-03,60.688,61.813,60.688,61.19,493000,GT
