Symbol,Date,Close,High,Low,Open,Volume,Name
HCN,1998-05-29,25.75,25.875,25.625,25.63,40800,HCN
HCN,1998-06-01,25.688,25.813,25.5,25.69,35200,HCN
HCN,1998-06-02,26.813,27.375,25.813,25.813,105500,HCN
HCN,1998-06-03,26.625,26.938,26.563,26.81,30200,HCN
HCN,1998-06-04,26.563,26.75,26.438,26.63,30700,HCN
HCN,1998-06-05,26.813,26.938,26.563,26.63,20400,HCN
HCN,1998-06-08,27.125,27.375,26.875,26.88,38800,HCN
HCN,1998-06-09,27.188,27.375,26.813,27.0,56500,HCN
HCN,1998-06-10,27.063,27.438,27.0,27.0,42400,HCN
HCN,1998-06-11,26.938,27.188,26.875,27.06,38000,HCN
HCN,1998-06-12,26.688,27.0,26.375,26.88,25000,HCN
HCN,1998-06-15,26.25,26.5,26.125,26.5,30900,HCN
HCN,1998-06-16,26.688,26.813,26.125,26.13,30600,HCN
HCN,1998-06-17,26.375,26.625,26.125,26.5,41100,HCN
HCN,1998-06-18,26.25,26.313,26.063,26.25,29000,HCN
HCN,1998-06-19,26.125,26.375,25.75,26.13,42200,HCN
HCN,1998-06-22,26.313,26.5,26.125,26.25,26500,HCN
HCN,1998-06-23,25.938,26.5,25.813,26.38,71900,HCN
HCN,1998-06-24,26.0,26.0,25.75,25.75,40800,HCN
HCN,1998-06-25,25.75,26.0,25.625,26.0,34200,HCN
HCN,1998-06-26,25.813,26.0,25.688,25.75,24800,HCN
HCN,1998-06-29,25.813,25.938,25.625,25.75,29300,HCN
HCN,1998-06-30,25.5,25.875,25.5,25.63,68100,HCN
HCN,1998-07-01,25.813,25.813,25.5,25.63,43300,HCN
HCN,1998-07-02,25.688,25.813,25.625,25.75,35700,HCN
HCN,1998-07-03,25.688,25.813,25.625,25.75,0,HCN
HCN,1998-07-06,25.688,26.75,25.563,25.63,45700,HCN
HCN,1998-07-07,25.938,26.0,25.688,25.69,91900,HCN
HCN,1998-07-08,26.063,26.25,25.938,25.94,36300,HCN
HCN,1998-07-09,26.188,26.25,26.0,26.13,34900,HCN
HCN,1998-07-10,25.938,26.188,25.938,26.13,25400,HCN
HCN,1998-07-13,25.875,26.0,25.688,25.88,30900,HCN
HCN,1998-07-14,26.0,26.0,25.75,25.75,35200,HCN
HCN,1998-07-15,26.438,26.438,26.0,26.0,113200,HCN
HCN,1998-07-16,26.938,27.0,26.375,26.38,44800,HCN
HCN,1998-07-17,26.813,27.063,26.75,26.94,42600,HCN
HCN,1998-07-20,27.0,27.063,26.75,26.94,33700,HCN
HCN,1998-07-21,27.25,27.375,27.0,27.0,50400,HCN
HCN,1998-07-22,26.938,27.188,26.75,27.13,38300,HCN
HCN,1998-07-23,26.75,27.0,26.625,26.81,33300,HCN
HCN,1998-07-24,27.0,27.063,26.75,26.75,47600,HCN
HCN,1998-07-27,26.813,27.125,26.625,27.125,35200,HCN
HCN,1998-07-28,26.375,26.938,26.188,26.69,76000,HCN
HCN,1998-07-29,25.438,26.25,25.375,26.13,58000,HCN
HCN,1998-07-30,25.875,26.0,25.5,25.5,36200,HCN
HCN,1998-07-31,24.813,25.438,24.813,25.19,53600,HCN
HCN,1998-08-03,24.75,24.938,24.438,24.56,58900,HCN
HCN,1998-08-04,24.125,25.0,23.75,24.75,78200,HCN
