Symbol,Date,Close,High,Low,Open,Volume,Name
HD,1998-05-29,26.188,26.313,25.792,25.81,9912600,HD
HD,1998-06-01,26.355,26.521,26.125,26.51,8277900,HD
HD,1998-06-02,25.896,26.355,25.855,26.355,10028700,HD
HD,1998-06-03,25.667,25.979,25.605,25.95,7338900,HD
HD,1998-06-04,25.771,25.855,25.355,25.6,5559600,HD
HD,1998-06-05,26.313,26.375,25.709,25.89,5179200,HD
HD,1998-06-08,26.833,26.917,26.333,26.41,8262300,HD
HD,1998-06-09,26.917,27.063,26.605,26.83,5144100,HD
HD,1998-06-10,27.459,27.479,26.855,26.91,6677700,HD
HD,1998-06-11,27.313,27.75,27.0,27.72,7171500,HD
HD,1998-06-12,27.063,27.688,26.792,27.26,4386900,HD
HD,1998-06-15,26.25,26.792,26.229,26.68,4757100,HD
HD,1998-06-16,26.521,26.709,26.321,26.58,5690400,HD
HD,1998-06-17,27.438,27.646,26.667,26.68,7866300,HD
HD,1998-06-18,28.042,28.146,27.5,27.53,6768900,HD
HD,1998-06-19,27.375,28.083,27.0,27.95,7381800,HD
HD,1998-06-22,28.042,28.396,27.542,27.56,6365700,HD
HD,1998-06-23,28.292,28.855,28.063,28.64,10075800,HD
HD,1998-06-24,28.313,28.459,28.083,28.35,6948000,HD
HD,1998-06-25,28.292,28.667,28.209,28.6,5864400,HD
HD,1998-06-26,28.313,28.625,28.105,28.26,3717600,HD
HD,1998-06-29,28.209,28.479,27.979,28.37,5566500,HD
HD,1998-06-30,27.688,28.313,27.667,28.22,6534600,HD
HD,1998-07-01,28.333,28.479,27.75,27.76,6725700,HD
HD,1998-07-02,28.625,28.688,28.271,28.47,5501700,HD
HD,1998-07-03,28.625,28.688,28.271,28.47,0,HD
HD,1998-07-06,30.792,30.792,29.25,29.93,11793450,HD
HD,1998-07-07,30.792,31.5,30.792,31.44,10778700,HD
HD,1998-07-08,31.917,31.917,31.125,31.35,8102850,HD
HD,1998-07-09,31.333,32.0,30.792,32.0,12194550,HD
HD,1998-07-10,32.333,32.333,30.667,31.39,8445600,HD
HD,1998-07-13,31.833,32.25,31.5,32.1,6149550,HD
HD,1998-07-14,32.459,32.583,32.125,32.18,5892600,HD
HD,1998-07-15,31.459,32.667,31.333,32.667,9025650,HD
HD,1998-07-16,31.542,31.625,31.0,31.48,6647550,HD
HD,1998-07-17,31.333,31.75,31.333,31.72,4585800,HD
HD,1998-07-20,31.417,31.709,31.333,31.6,3907650,HD
HD,1998-07-21,30.667,31.667,30.5,31.6,4768050,HD
HD,1998-07-22,30.792,30.959,30.083,30.72,4850700,HD
HD,1998-07-23,29.709,30.459,29.667,30.39,6184800,HD
HD,1998-07-24,30.167,30.375,28.0,29.01,11765850,HD
HD,1998-07-27,29.25,30.25,28.625,29.43,7428300,HD
HD,1998-07-28,28.917,29.667,28.583,29.18,6936750,HD
HD,1998-07-29,28.209,29.417,28.083,29.01,6170100,HD
HD,1998-07-30,28.167,28.959,28.083,28.43,6590250,HD
HD,1998-07-31,27.917,29.0,27.75,29.0,6415500,HD
HD,1998-08-03,27.292,28.25,27.25,27.72,6907500,HD
HD,1998-08-04,26.667,28.333,26.333,28.333,10553100,HD
HD,1998-08-05,27.083,27.167,25.833,27.01,8751450,HD
HD,1998-08-06,28.0,28.167,26.792,26.89,6565350,HD
HD,1998-08-07,29.333,29.417,28.375,28.55,7883100,HD
HD,1998-08-10,28.709,29.5,28.542,29.35,6125400,HD
HD,1998-08-11,27.875,28.0,27.167,27.77,7715400,HD
HD,1998-08-12,29.0,29.25,28.167,28.35,5414100,HD
HD,1998-08-13,29.042,29.583,29.0,29.27,5341350,HD
HD,1998-08-14,28.0,29.583,27.709,29.35,5010450,HD
HD,1998-08-17,28.542,29.333,27.667,27.77,6269400,HD
HD,1998-08-18,29.875,29.875,29.167,29.51,7772550,HD
HD,1998-08-19,29.209,30.333,29.0,30.333,6355950,HD
HD,1998-08-20,28.833,29.583,28.792,28.89,5609250,HD
HD,1998-08-21,28.583,28.709,28.167,28.43,6725400,HD
HD,1998-08-24,29.333,29.459,28.917,29.35,3873150,HD
HD,1998-08-25,30.25,30.417,29.875,30.02,6337950,HD
HD,1998-08-26,30.417,30.625,29.75,29.97,6696150,HD
HD,1998-08-27,29.959,30.5,28.667,30.02,8653200,HD
HD,1998-08-28,28.292,30.167,28.083,29.93,6569700,HD
HD,1998-08-31,25.417,28.459,23.875,28.459,14921250,HD
HD,1998-09-01,27.5,28.417,23.5,25.68,16743300,HD
HD,1998-09-02,26.417,28.333,26.125,28.31,9311550,HD
HD,1998-09-03,25.792,26.417,24.917,25.43,12518550,HD
HD,1998-09-04,25.542,26.25,24.709,26.01,7638000,HD
HD,1998-09-07,25.542,26.25,24.709,26.01,0,HD
HD,1998-09-08,27.792,27.959,26.667,27.959,8627550,HD
HD,1998-09-09,27.333,28.083,27.042,27.85,4850100,HD
HD,1998-09-10,26.292,26.917,25.792,26.6,5792100,HD
HD,1998-09-11,26.833,27.083,25.709,25.85,5548650,HD
HD,1998-09-14,26.917,27.5,26.833,27.35,6198150,HD
HD,1998-09-15,27.583,29.5,27.209,27.43,4917300,HD
HD,1998-09-16,28.25,28.5,27.542,27.68,4496400,HD
HD,1998-09-17,27.583,27.667,26.667,26.72,5578350,HD
HD,1998-09-18,26.917,27.583,26.709,27.43,6051000,HD
HD,1998-09-21,27.083,27.625,26.0,26.1,6269250,HD
HD,1998-09-22,28.042,28.167,26.792,27.47,5167050,HD
HD,1998-09-23,29.709,29.75,27.167,28.39,10092600,HD
HD,1998-09-24,28.333,29.333,27.667,29.01,8883750,HD
HD,1998-09-25,28.667,28.667,27.417,27.68,4694550,HD
HD,1998-09-28,28.25,30.167,28.0,28.89,4770900,HD
HD,1998-09-29,27.583,28.792,27.375,28.68,6228900,HD
HD,1998-09-30,26.333,27.459,25.833,27.43,10480050,HD
HD,1998-10-01,24.083,26.25,23.75,25.35,18968250,HD
HD,1998-10-02,23.75,24.833,23.209,24.35,17319300,HD
HD,1998-10-05,23.417,23.75,21.833,23.01,11027700,HD
HD,1998-10-06,24.583,25.167,23.75,24.35,8412900,HD
HD,1998-10-07,24.0,25.167,23.459,24.68,5687400,HD
HD,1998-10-08,22.75,23.25,21.083,22.76,20465400,HD
HD,1998-10-09,24.167,24.25,22.042,22.8,4514700,HD
HD,1998-10-12,24.75,25.5,24.75,25.5,6631350,HD
HD,1998-10-13,25.167,25.209,24.667,25.1,4592700,HD
HD,1998-10-14,25.833,26.083,24.709,24.77,5310750,HD
HD,1998-10-15,27.583,28.5,25.25,25.35,8223599,HD
HD,1998-10-16,28.167,29.167,27.583,28.51,12842550,HD
HD,1998-10-19,29.417,29.417,28.417,28.6,8160900,HD
HD,1998-10-20,28.417,29.959,28.417,29.64,9418200,HD
HD,1998-10-21,28.917,29.333,28.667,29.01,4868700,HD
HD,1998-10-22,29.125,29.292,28.167,28.51,4278300,HD
HD,1998-10-23,28.459,29.125,28.25,29.125,3300150,HD
HD,1998-10-26,27.833,28.833,27.542,28.43,6323550,HD
HD,1998-10-27,27.25,29.0,27.083,28.6,8151450,HD
HD,1998-10-28,28.125,28.459,27.042,27.31,4401000,HD
HD,1998-10-29,28.333,28.417,27.792,28.01,3812400,HD
