Symbol,Date,Close,High,Low,Open,Volume,Name
HOG,1998-05-29,17.907,17.938,17.407,17.938,1143000,HOG
HOG,1998-06-01,17.407,17.875,17.313,17.875,681800,HOG
HOG,1998-06-02,17.375,17.688,17.313,17.688,321200,HOG
HOG,1998-06-03,17.313,17.688,17.313,17.688,574600,HOG
HOG,1998-06-04,17.125,17.344,16.782,17.344,946600,HOG
HOG,1998-06-05,17.563,17.625,17.219,17.625,421200,HOG
HOG,1998-06-08,18.0,18.125,17.688,18.125,692800,HOG
HOG,1998-06-09,18.407,18.625,18.125,18.625,802400,HOG
HOG,1998-06-10,18.344,18.438,18.125,18.438,387600,HOG
HOG,1998-06-11,18.157,18.375,18.125,18.375,564800,HOG
HOG,1998-06-12,18.375,18.719,17.563,18.719,811000,HOG
HOG,1998-06-15,18.125,18.282,17.875,18.282,562400,HOG
HOG,1998-06-16,18.0,18.125,17.782,18.125,688400,HOG
HOG,1998-06-17,18.188,18.5,18.0,18.5,547600,HOG
HOG,1998-06-18,18.188,18.313,17.907,18.313,689200,HOG
HOG,1998-06-19,18.0,18.157,17.938,18.157,536200,HOG
HOG,1998-06-22,18.157,18.188,17.813,18.188,485400,HOG
HOG,1998-06-23,18.125,18.625,18.125,18.625,591600,HOG
HOG,1998-06-24,18.5,18.625,18.219,18.625,500000,HOG
HOG,1998-06-25,18.875,19.0,18.625,19.0,886400,HOG
HOG,1998-06-26,18.875,18.907,18.563,18.907,964200,HOG
HOG,1998-06-29,19.5,19.719,19.032,19.719,1197400,HOG
HOG,1998-06-30,19.375,19.782,19.375,19.782,1447400,HOG
HOG,1998-07-01,19.782,20.0,19.532,20.0,897800,HOG
HOG,1998-07-02,19.594,19.75,19.532,19.75,557800,HOG
HOG,1998-07-03,19.594,19.75,19.532,19.75,0,HOG
HOG,1998-07-06,19.469,19.625,19.438,,556400,HOG
HOG,1998-07-07,19.344,19.688,19.25,19.688,737200,HOG
HOG,1998-07-08,19.469,19.5,19.25,19.5,1004000,HOG
HOG,1998-07-09,19.375,19.469,19.094,19.469,480600,HOG
HOG,1998-07-10,19.594,19.657,19.313,19.657,930000,HOG
HOG,1998-07-13,20.188,20.25,19.532,20.25,1492400,HOG
HOG,1998-07-14,20.407,20.719,20.25,20.719,2149000,HOG
HOG,1998-07-15,20.657,21.0,20.25,,1318400,HOG
HOG,1998-07-16,20.5,20.938,20.032,20.938,1109600,HOG
HOG,1998-07-17,20.5,20.719,20.125,20.719,552200,HOG
HOG,1998-07-20,20.782,20.907,20.375,20.907,1270400,HOG
HOG,1998-07-21,20.407,20.938,20.407,20.938,541600,HOG
HOG,1998-07-22,19.969,20.469,19.625,20.469,659200,HOG
