Symbol,Date,Close,High,Low,Open,Volume,Name
HOLX,1998-05-29,5.25,5.625,5.219,5.625,2081600,HOLX
HOLX,1998-06-01,5.1565,5.2815,5.1565,5.25,760800,HOLX
HOLX,1998-06-02,5.1875,5.2815,5.125,5.28,170400,HOLX
HOLX,1998-06-03,5.0,5.2815,4.9065,5.28,2952000,HOLX
HOLX,1998-06-04,4.75,5.0,4.6875,4.905,867600,HOLX
HOLX,1998-06-05,4.719,4.75,4.6565,4.69,418800,HOLX
HOLX,1998-06-08,4.6565,4.75,4.625,4.72,224400,HOLX
HOLX,1998-06-09,4.625,4.75,4.625,4.69,626800,HOLX
HOLX,1998-06-10,4.625,4.719,4.5625,4.625,420800,HOLX
HOLX,1998-06-11,4.5315,4.6565,4.4375,4.565,1558000,HOLX
HOLX,1998-06-12,4.5,4.5315,4.3675,4.53,383600,HOLX
HOLX,1998-06-15,4.4375,4.5,4.344,4.345,284400,HOLX
HOLX,1998-06-16,4.5625,4.5625,4.375,4.44,264000,HOLX
HOLX,1998-06-17,4.555,4.6565,4.4845,4.485,578800,HOLX
HOLX,1998-06-18,4.594,4.6095,4.5315,4.55,219200,HOLX
HOLX,1998-06-19,4.5315,4.594,4.5,4.594,217200,HOLX
HOLX,1998-06-22,4.5315,4.5625,4.469,4.5625,136000,HOLX
HOLX,1998-06-23,4.5785,4.625,4.4845,4.53,375600,HOLX
HOLX,1998-06-24,4.625,4.6875,4.5,4.61,963200,HOLX
HOLX,1998-06-25,4.625,4.6565,4.5785,4.655,2354000,HOLX
HOLX,1998-06-26,4.594,4.719,4.5785,4.595,3270400,HOLX
HOLX,1998-06-29,4.5625,4.6565,4.5,4.595,431200,HOLX
HOLX,1998-06-30,4.547,4.594,4.375,4.594,436000,HOLX
HOLX,1998-07-01,4.5625,4.594,4.5,4.53,258400,HOLX
HOLX,1998-07-02,4.4375,4.594,4.375,4.594,210000,HOLX
HOLX,1998-07-03,4.4375,4.594,4.375,4.594,0,HOLX
HOLX,1998-07-06,4.4375,4.5,4.4065,4.47,158400,HOLX
HOLX,1998-07-07,4.5,4.547,4.4065,4.4065,484000,HOLX
HOLX,1998-07-08,4.5625,4.625,4.5,4.565,870800,HOLX
HOLX,1998-07-09,4.4375,4.625,4.4375,4.53,176400,HOLX
HOLX,1998-07-10,4.5,4.5315,4.4065,4.4065,116400,HOLX
HOLX,1998-07-13,4.516,4.5315,4.4375,4.47,179600,HOLX
HOLX,1998-07-14,4.5,4.5315,4.4375,4.53,140000,HOLX
HOLX,1998-07-15,4.5315,4.5625,4.469,4.5625,394000,HOLX
HOLX,1998-07-16,4.5315,4.547,4.469,4.5,607200,HOLX
HOLX,1998-07-17,4.594,4.594,4.469,4.55,217600,HOLX
HOLX,1998-07-20,4.4844,4.7344,4.4688,4.625,271200,HOLX
HOLX,1998-07-21,4.375,4.5625,4.344,4.47,539600,HOLX
HOLX,1998-07-22,4.5,4.5,4.25,4.345,288000,HOLX
HOLX,1998-07-23,4.422,4.5,4.25,4.5,351200,HOLX
HOLX,1998-07-24,4.5,4.5315,4.375,4.375,401200,HOLX
HOLX,1998-07-27,4.625,4.6562,4.375,4.5312,739600,HOLX
HOLX,1998-07-28,4.5625,4.7345,4.5625,4.64,660000,HOLX
HOLX,1998-07-29,4.625,4.719,4.469,4.565,455600,HOLX
HOLX,1998-07-30,4.1875,4.3438,4.0625,4.1875,1229200,HOLX
HOLX,1998-07-31,4.141,4.25,4.094,4.14,419200,HOLX
HOLX,1998-08-03,4.125,4.1875,4.125,4.125,342000,HOLX
HOLX,1998-08-04,4.0625,4.1875,3.969,4.1875,1023200,HOLX
HOLX,1998-08-05,3.9375,4.0,3.6565,3.94,507600,HOLX
HOLX,1998-08-06,3.7815,3.9375,3.7815,3.9375,191200,HOLX
HOLX,1998-08-07,3.9065,3.9375,3.6565,3.785,499200,HOLX
HOLX,1998-08-10,3.9065,3.9375,3.875,3.9375,84000,HOLX
HOLX,1998-08-11,3.75,3.9065,3.6875,3.875,624800,HOLX
HOLX,1998-08-12,3.7345,3.8125,3.6565,3.72,213600,HOLX
HOLX,1998-08-13,4.0625,4.0625,3.6562,3.75,271200,HOLX
HOLX,1998-08-14,4.016,4.094,3.9535,4.03,387600,HOLX
HOLX,1998-08-17,3.9375,4.0315,3.9065,3.91,184400,HOLX
HOLX,1998-08-18,4.0,4.0,3.9065,3.94,107600,HOLX
HOLX,1998-08-19,3.8906,4.0312,3.8438,4.0312,243200,HOLX
HOLX,1998-08-20,3.9065,3.969,3.7815,3.875,182400,HOLX
HOLX,1998-08-21,3.9065,3.969,3.6875,3.94,162800,HOLX
HOLX,1998-08-24,3.875,4.0,3.7815,3.785,87200,HOLX
HOLX,1998-08-25,3.7815,3.875,3.719,3.815,150800,HOLX
HOLX,1998-08-26,3.75,3.75,3.594,3.72,135200,HOLX
HOLX,1998-08-27,3.4375,3.75,3.25,3.75,262400,HOLX
HOLX,1998-08-28,3.5315,3.5315,3.3125,3.375,119200,HOLX
HOLX,1998-08-31,3.3595,3.5,3.3595,3.47,298000,HOLX
HOLX,1998-09-01,3.4375,3.4375,3.25,3.375,234400,HOLX
HOLX,1998-09-02,3.266,3.469,3.219,3.315,220400,HOLX
HOLX,1998-09-03,3.25,3.3125,3.1875,3.285,395200,HOLX
HOLX,1998-09-04,2.75,3.25,2.6565,3.19,2543200,HOLX
HOLX,1998-09-07,2.75,3.25,2.6565,3.19,0,HOLX
HOLX,1998-09-08,2.844,2.969,2.6565,2.94,701600,HOLX
HOLX,1998-09-09,2.547,2.7815,2.516,2.69,1251600,HOLX
HOLX,1998-09-10,2.625,2.6562,2.5625,2.5625,471200,HOLX
HOLX,1998-09-11,2.6565,2.75,2.5625,2.625,2376800,HOLX
HOLX,1998-09-14,2.5625,2.7815,2.469,2.64,745200,HOLX
HOLX,1998-09-15,2.5,2.5625,2.469,2.5625,605200,HOLX
HOLX,1998-09-16,2.5785,2.594,2.5315,2.535,578000,HOLX
HOLX,1998-09-17,2.5625,2.625,2.5,2.545,299600,HOLX
HOLX,1998-09-18,2.6875,2.6875,2.5,2.565,376000,HOLX
HOLX,1998-09-21,2.6875,2.75,2.5312,2.7188,247200,HOLX
HOLX,1998-09-22,3.125,3.125,2.625,2.75,572000,HOLX
HOLX,1998-09-23,3.3285,3.4065,3.219,3.22,529200,HOLX
HOLX,1998-09-24,3.3595,3.4065,3.2815,3.295,350800,HOLX
HOLX,1998-09-25,3.219,3.3125,3.2035,3.25,82000,HOLX
HOLX,1998-09-28,3.297,3.3125,3.25,3.3125,255600,HOLX
HOLX,1998-09-29,3.25,3.344,3.25,3.295,648800,HOLX
HOLX,1998-09-30,3.25,3.297,3.1565,3.25,310400,HOLX
HOLX,1998-10-01,3.094,3.094,2.9845,3.065,213600,HOLX
HOLX,1998-10-02,2.7345,3.094,2.7345,3.094,526000,HOLX
HOLX,1998-10-05,2.5781,2.75,2.5312,2.75,267600,HOLX
HOLX,1998-10-06,2.75,2.9531,2.6875,2.75,493200,HOLX
HOLX,1998-10-07,2.7188,2.8125,2.5,2.7812,321200,HOLX
HOLX,1998-10-08,2.7815,2.7815,2.5,2.72,618400,HOLX
HOLX,1998-10-09,2.75,2.8125,2.5,2.785,559200,HOLX
HOLX,1998-10-12,2.8125,2.875,2.75,2.845,621200,HOLX
HOLX,1998-10-13,2.9065,3.125,2.844,2.875,1176000,HOLX
HOLX,1998-10-14,3.0,3.016,2.9375,2.94,489600,HOLX
HOLX,1998-10-15,3.0,3.125,2.9375,3.035,449200,HOLX
HOLX,1998-10-16,3.1953,3.25,2.9375,3.0312,1204400,HOLX
HOLX,1998-10-19,3.2812,3.3125,3.1094,3.2188,912400,HOLX
