Symbol,Date,Close,High,Low,Open,Volume,Name
HRB,1998-05-29,11.0,11.157,11.0,11.0,669200,HRB
HRB,1998-06-01,10.922,11.016,10.688,11.0,4716000,HRB
HRB,1998-06-02,11.016,11.125,10.969,11.0,1261200,HRB
HRB,1998-06-03,10.813,11.11,10.813,11.0,1642800,HRB
HRB,1998-06-04,10.891,10.907,10.719,10.8,798400,HRB
HRB,1998-06-05,11.063,11.063,10.907,10.92,1025199,HRB
HRB,1998-06-08,10.969,11.032,10.938,11.03,818400,HRB
HRB,1998-06-09,11.032,11.125,10.954,10.97,665600,HRB
HRB,1998-06-10,10.938,11.079,10.907,11.03,574800,HRB
HRB,1998-06-11,10.782,11.0,10.719,11.0,616000,HRB
HRB,1998-06-12,10.844,10.86,10.719,10.85,1403600,HRB
HRB,1998-06-15,10.657,10.782,10.594,10.63,4122400,HRB
HRB,1998-06-16,10.782,10.782,10.672,10.72,1185600,HRB
HRB,1998-06-17,10.891,11.0,10.75,10.8,1320800,HRB
HRB,1998-06-18,10.688,10.922,10.688,10.92,3754400,HRB
HRB,1998-06-19,10.797,10.844,10.625,10.63,1608800,HRB
HRB,1998-06-22,10.641,10.86,10.641,10.8,1012400,HRB
HRB,1998-06-23,10.563,10.719,10.563,10.69,4017200,HRB
HRB,1998-06-24,10.485,10.579,10.329,10.56,3873200,HRB
HRB,1998-06-25,10.532,10.579,10.469,10.5,1078800,HRB
HRB,1998-06-26,10.672,10.735,10.532,10.56,2663200,HRB
HRB,1998-06-29,10.719,10.782,10.672,10.672,835200,HRB
HRB,1998-06-30,10.6406,10.9062,10.6406,10.7812,922800,HRB
HRB,1998-07-01,10.75,10.829,10.594,10.6,1908400,HRB
HRB,1998-07-02,10.735,10.813,10.719,10.81,514800,HRB
HRB,1998-07-03,10.735,10.813,10.719,10.81,0,HRB
HRB,1998-07-06,10.75,10.75,10.672,10.69,2028800,HRB
HRB,1998-07-07,10.766,10.86,10.719,10.72,765200,HRB
HRB,1998-07-08,11.016,11.094,10.844,10.88,1021200,HRB
HRB,1998-07-09,10.969,11.125,10.969,11.0,814000,HRB
HRB,1998-07-10,10.985,11.094,10.938,10.94,634800,HRB
HRB,1998-07-13,11.0,11.0,10.9062,10.9688,1335200,HRB
HRB,1998-07-14,11.094,11.125,10.907,10.91,655200,HRB
HRB,1998-07-15,11.016,11.125,10.969,11.1,946400,HRB
HRB,1998-07-16,10.922,10.969,10.86,10.95,1040000,HRB
HRB,1998-07-17,11.125,11.172,10.875,10.95,832400,HRB
HRB,1998-07-20,11.157,11.235,11.063,11.16,985200,HRB
HRB,1998-07-21,10.922,11.141,10.875,11.13,1524800,HRB
HRB,1998-07-22,10.75,10.969,10.75,10.94,1784800,HRB
HRB,1998-07-23,10.657,10.735,10.657,10.72,2404400,HRB
HRB,1998-07-24,10.625,10.75,10.625,10.66,1529200,HRB
HRB,1998-07-27,10.579,10.657,10.516,10.63,838800,HRB
HRB,1998-07-28,10.469,10.579,10.407,10.53,724000,HRB
HRB,1998-07-29,10.563,10.563,10.375,10.53,1412400,HRB
HRB,1998-07-30,10.829,10.829,10.485,10.55,858400,HRB
HRB,1998-07-31,10.625,10.875,10.61,10.78,925600,HRB
HRB,1998-08-03,10.594,10.813,10.594,10.63,828000,HRB
HRB,1998-08-04,10.204,10.688,10.188,10.63,1116000,HRB
HRB,1998-08-05,10.25,10.485,10.25,10.28,1216400,HRB
