Symbol,Date,Close,High,Low,Open,Volume,Name
HSIC,1998-05-29,9.625,9.8125,9.5785,9.625,571600,HSIC
HSIC,1998-06-01,9.4065,9.6875,9.375,9.565,525600,HSIC
HSIC,1998-06-02,9.6875,9.6875,9.25,9.5,2081999,HSIC
HSIC,1998-06-03,9.6875,9.8125,9.625,9.785,749600,HSIC
HSIC,1998-06-04,9.9375,9.9375,9.7345,9.735,716800,HSIC
HSIC,1998-06-05,10.125,10.125,9.6875,9.94,422000,HSIC
HSIC,1998-06-08,9.969,10.25,9.9375,10.125,328000,HSIC
HSIC,1998-06-09,10.094,10.2345,9.969,9.97,154400,HSIC
HSIC,1998-06-10,10.125,10.375,10.0625,10.095,63200,HSIC
HSIC,1998-06-11,10.172,10.25,10.094,10.095,79600,HSIC
HSIC,1998-06-12,10.3125,10.3125,10.0625,10.125,154800,HSIC
HSIC,1998-06-15,10.0625,10.4065,10.0315,10.065,317600,HSIC
HSIC,1998-06-16,10.0625,10.1565,9.875,10.1565,346400,HSIC
HSIC,1998-06-17,10.2035,10.219,10.0,10.035,122000,HSIC
HSIC,1998-06-18,10.0625,10.1875,10.0315,10.065,148400,HSIC
HSIC,1998-06-19,10.1875,10.1875,10.0,10.0,176000,HSIC
HSIC,1998-06-22,10.375,10.375,10.125,10.19,183200,HSIC
HSIC,1998-06-23,10.7815,10.7815,10.25,10.375,1060800,HSIC
HSIC,1998-06-24,11.219,11.266,10.625,10.625,769600,HSIC
HSIC,1998-06-25,11.0315,11.3125,11.0,11.065,307200,HSIC
HSIC,1998-06-26,11.5,11.5625,11.0,11.125,372000,HSIC
HSIC,1998-06-29,11.5,11.7815,11.1875,11.625,906400,HSIC
HSIC,1998-06-30,11.5315,11.625,11.25,11.25,919600,HSIC
HSIC,1998-07-01,11.125,11.5625,11.125,11.5,450800,HSIC
HSIC,1998-07-02,11.0315,11.25,10.8125,11.25,1769200,HSIC
HSIC,1998-07-03,11.0315,11.25,10.8125,11.25,0,HSIC
HSIC,1998-07-06,11.016,11.125,10.875,10.875,299200,HSIC
HSIC,1998-07-07,11.344,11.391,10.9065,10.97,770800,HSIC
HSIC,1998-07-08,11.25,11.5625,11.219,11.375,236400,HSIC
HSIC,1998-07-09,11.25,11.2815,11.141,11.2815,161200,HSIC
HSIC,1998-07-10,11.4535,11.6565,11.1875,11.19,322800,HSIC
HSIC,1998-07-13,11.75,11.75,11.5,11.5,216800,HSIC
HSIC,1998-07-14,11.6875,11.7815,11.5315,11.535,544400,HSIC
HSIC,1998-07-15,12.0315,12.094,11.6875,11.69,521200,HSIC
HSIC,1998-07-16,12.125,12.1875,12.0315,12.1875,794000,HSIC
HSIC,1998-07-17,12.3125,12.4375,12.0625,12.19,422400,HSIC
HSIC,1998-07-20,12.5625,12.7815,12.1875,12.315,1500800,HSIC
HSIC,1998-07-21,12.375,12.6565,12.2815,12.595,485600,HSIC
HSIC,1998-07-22,12.1875,12.469,12.1875,12.285,418000,HSIC
HSIC,1998-07-23,11.9845,12.3125,11.9375,12.3125,491200,HSIC
HSIC,1998-07-24,11.625,12.0315,11.5,11.97,335600,HSIC
HSIC,1998-07-27,11.469,11.75,11.0315,11.5,602400,HSIC
HSIC,1998-07-28,11.5,11.594,11.219,11.25,761600,HSIC
HSIC,1998-07-29,11.75,11.875,11.5,11.5,1357600,HSIC
HSIC,1998-07-30,12.1565,12.25,11.8125,11.815,760400,HSIC
HSIC,1998-07-31,12.0315,12.375,12.0315,12.25,1203600,HSIC
HSIC,1998-08-03,12.1095,12.1875,11.9375,12.16,2575600,HSIC
HSIC,1998-08-04,11.0,12.4375,10.4375,12.065,3602800,HSIC
HSIC,1998-08-05,10.969,11.594,10.9065,11.0,3404800,HSIC
HSIC,1998-08-06,10.8595,11.0,10.5315,11.0,1886800,HSIC
HSIC,1998-08-07,11.25,11.25,10.875,10.875,1431600,HSIC
HSIC,1998-08-10,11.0,11.25,10.9375,11.25,203600,HSIC
HSIC,1998-08-11,10.8125,10.969,10.5315,10.625,219200,HSIC
HSIC,1998-08-12,11.125,11.25,10.8125,10.815,1178400,HSIC
HSIC,1998-08-13,11.1565,11.25,11.0,11.065,409200,HSIC
HSIC,1998-08-14,11.25,11.344,11.125,11.22,572800,HSIC
HSIC,1998-08-17,11.3125,11.344,11.219,11.285,276400,HSIC
HSIC,1998-08-18,11.5785,11.6565,11.219,11.315,924400,HSIC
HSIC,1998-08-19,11.625,11.844,11.5,11.5,1209200,HSIC
