Symbol,Date,Close,High,Low,Open,Volume,Name
HST,1998-05-29,18.8365,19.0811,18.6535,18.8365,1087253,HST
HST,1998-06-01,18.9588,19.0205,18.7142,18.9588,967889,HST
HST,1998-06-02,18.5919,18.9588,18.3473,18.5919,1235028,HST
HST,1998-06-03,18.4089,18.7142,18.4089,18.4089,809896,HST
HST,1998-06-04,18.1643,18.4696,18.1026,18.1643,231676,HST
HST,1998-06-05,17.7973,18.1643,17.7357,17.7973,755630,HST
HST,1998-06-08,17.9196,18.5312,17.9196,17.9196,440154,HST
HST,1998-06-09,18.3473,18.5919,17.9803,18.3473,841985,HST
HST,1998-06-10,18.2866,18.4696,17.9803,18.2866,253852,HST
HST,1998-06-11,17.9196,18.2866,17.9196,17.9196,104341,HST
HST,1998-06-12,17.0018,17.9196,16.9411,17.0018,919347,HST
HST,1998-06-15,16.7572,17.0634,16.6348,16.7572,285022,HST
HST,1998-06-16,17.0018,17.1241,16.6348,17.0018,968094,HST
HST,1998-06-17,17.0634,17.2464,16.8795,17.0634,1312900,HST
HST,1998-06-18,17.3081,17.3081,16.9411,17.3081,986898,HST
HST,1998-06-19,17.6134,17.9196,16.8795,17.6134,984752,HST
HST,1998-06-22,17.7357,17.9803,17.6134,17.7357,335302,HST
HST,1998-06-23,17.7973,17.858,17.3687,17.7973,516902,HST
HST,1998-06-24,17.675,17.858,17.4911,17.675,617156,HST
HST,1998-06-25,17.675,18.2866,17.6134,17.675,703919,HST
HST,1998-06-26,18.042,18.1026,17.4304,18.042,552364,HST
HST,1998-06-29,17.9803,18.042,17.6134,17.9803,272554,HST
HST,1998-06-30,17.4304,17.9803,17.3687,17.4304,346134,HST
HST,1998-07-01,17.7357,17.7357,17.1241,17.7357,921084,HST
HST,1998-07-02,17.3687,18.042,17.3081,17.3687,871315,HST
HST,1998-07-03,17.3687,18.042,17.3081,17.3687,0,HST
HST,1998-07-06,18.1643,18.3473,17.1858,18.1643,607856,HST
HST,1998-07-07,17.6134,18.2866,17.5527,17.6134,724052,HST
HST,1998-07-08,18.042,18.1026,17.5527,18.042,482565,HST
HST,1998-07-09,18.1026,18.1643,17.7357,18.1026,580979,HST
HST,1998-07-10,18.4696,18.4696,18.042,18.4696,573519,HST
HST,1998-07-13,18.5312,18.5312,18.1643,18.5312,622879,HST
HST,1998-07-14,18.3473,18.5919,18.2249,18.3473,862220,HST
HST,1998-07-15,18.2866,18.3473,18.2866,18.2866,801925,HST
HST,1998-07-16,18.3473,18.3473,18.1026,18.3473,646588,HST
HST,1998-07-17,18.2866,18.2866,17.9803,18.2866,437906,HST
HST,1998-07-20,17.7357,18.2866,17.6134,17.7357,1084188,HST
HST,1998-07-21,17.5527,17.7357,17.4911,17.5527,518435,HST
HST,1998-07-22,17.3687,17.6134,17.3687,17.3687,1302476,HST
HST,1998-07-23,16.8795,17.4911,16.7572,16.8795,478886,HST
HST,1998-07-24,17.0634,17.1241,16.8795,17.0634,641478,HST
HST,1998-07-27,16.9411,17.1241,16.8188,16.9411,987000,HST
HST,1998-07-28,16.5125,17.1241,16.0233,16.5125,1196193,HST
HST,1998-07-29,16.2072,16.8188,16.1456,16.2072,468462,HST
HST,1998-07-30,16.6348,16.7572,16.3295,16.6348,397028,HST
HST,1998-07-31,16.5742,16.7572,16.3902,16.5742,495339,HST
HST,1998-08-03,16.1456,16.6348,16.0849,16.1456,365347,HST
HST,1998-08-04,15.4733,16.2679,15.4117,15.4733,429526,HST
HST,1998-08-05,15.4733,15.4733,15.0447,15.4733,661202,HST
HST,1998-08-06,15.5957,15.5957,15.2287,15.5957,214303,HST
HST,1998-08-07,15.718,15.901,15.4117,15.718,215018,HST
HST,1998-08-10,15.534,15.7786,15.2287,15.534,595082,HST
HST,1998-08-11,15.2894,15.5957,15.2287,15.2894,337141,HST
HST,1998-08-12,15.718,15.7786,15.4117,15.718,153803,HST
HST,1998-08-13,15.718,15.7786,15.534,15.718,418795,HST
HST,1998-08-14,15.718,15.9626,15.6563,15.718,220332,HST
HST,1998-08-17,15.901,16.0849,15.4733,15.901,395699,HST
HST,1998-08-18,15.901,15.9626,15.718,15.901,561459,HST
HST,1998-08-19,15.4117,15.7786,15.2894,15.4117,383640,HST
HST,1998-08-20,15.6563,16.1456,15.5957,15.6563,501471,HST
HST,1998-08-21,15.1671,15.6563,15.1671,15.1671,480930,HST
HST,1998-08-24,16.0233,16.0233,15.0447,16.0233,378837,HST
HST,1998-08-25,15.718,16.0849,15.6563,15.718,855781,HST
HST,1998-08-26,15.4733,15.5957,15.0447,15.4733,639537,HST
HST,1998-08-27,15.2894,15.2894,14.9224,15.2894,945611,HST
HST,1998-08-28,14.9841,15.534,14.9841,14.9841,368004,HST
HST,1998-08-31,13.6993,14.8618,12.3538,13.6993,828598,HST
HST,1998-09-01,13.3323,13.9439,13.027,13.3323,726709,HST
HST,1998-09-02,13.6308,13.6993,13.3323,13.6308,603155,HST
