Symbol,Date,Close,High,Low,Open,Volume,Name
ILMN,2000-07-28,19.578,21.125,14.75,14.94,18615000,ILMN
ILMN,2000-07-31,17.5,19.344,15.75,19.125,2481800,ILMN
ILMN,2000-08-01,17.75,20.0625,16.5,17.405,1216200,ILMN
ILMN,2000-08-02,19.0625,19.5,16.7815,16.815,856400,ILMN
ILMN,2000-08-03,22.125,23.875,18.5,19.065,1367600,ILMN
ILMN,2000-08-04,20.469,22.75,19.875,22.735,1284200,ILMN
ILMN,2000-08-07,21.125,24.125,19.5,21.47,565600,ILMN
ILMN,2000-08-08,20.4845,22.25,20.2815,21.095,329600,ILMN
ILMN,2000-08-09,21.4065,21.4065,20.0,20.845,326800,ILMN
ILMN,2000-08-10,22.5,23.625,20.75,21.315,657800,ILMN
ILMN,2000-08-11,20.9375,22.5,20.9375,22.47,394800,ILMN
ILMN,2000-08-14,20.0,21.375,19.8125,21.315,473400,ILMN
ILMN,2000-08-15,20.0,20.5,19.5,20.22,307000,ILMN
ILMN,2000-08-16,21.3125,21.875,20.875,21.03,554200,ILMN
ILMN,2000-08-17,20.9375,21.9375,20.9375,21.19,487200,ILMN
ILMN,2000-08-18,22.0,23.5,20.9375,20.94,164800,ILMN
ILMN,2000-08-21,22.594,23.875,22.0,22.0,314400,ILMN
ILMN,2000-08-22,21.0625,22.625,21.0625,22.625,362600,ILMN
ILMN,2000-08-23,20.5625,22.0,20.375,21.25,332400,ILMN
ILMN,2000-08-24,20.0155,20.9375,19.9375,20.625,214000,ILMN
ILMN,2000-08-25,20.875,21.1875,20.0315,20.0315,558400,ILMN
ILMN,2000-08-28,20.8125,21.875,20.375,21.815,319200,ILMN
ILMN,2000-08-29,21.25,21.25,20.6875,20.815,172400,ILMN
ILMN,2000-08-30,20.0,21.0,19.719,20.875,842800,ILMN
ILMN,2000-08-31,22.375,23.625,19.9375,19.94,890600,ILMN
ILMN,2000-09-01,23.3125,23.5,21.75,23.0,376200,ILMN
ILMN,2000-09-04,23.3125,23.5,21.75,23.0,0,ILMN
ILMN,2000-09-05,22.875,23.719,21.5,23.565,192000,ILMN
ILMN,2000-09-06,21.0,23.4065,20.875,23.405,443000,ILMN
