Symbol,Date,Close,High,Low,Open,Volume,Name
INCY,1998-05-29,18.36,18.875,18.125,18.13,353600,INCY
INCY,1998-06-01,17.75,18.25,17.657,18.25,339000,INCY
INCY,1998-06-02,17.391,18.0,17.25,17.63,526600,INCY
INCY,1998-06-03,16.313,17.875,16.297,17.13,811400,INCY
INCY,1998-06-04,16.75,17.0,16.5,16.5,289600,INCY
INCY,1998-06-05,16.375,16.875,16.0,16.875,665600,INCY
INCY,1998-06-08,16.063,16.375,15.938,16.375,1442000,INCY
INCY,1998-06-09,16.344,16.5,15.938,16.13,1073800,INCY
INCY,1998-06-10,16.469,16.625,16.0,16.32,958600,INCY
INCY,1998-06-11,16.625,16.8125,16.25,16.25,307200,INCY
INCY,1998-06-12,16.375,16.688,16.157,16.688,243000,INCY
INCY,1998-06-15,16.125,16.5,16.0,16.5,182800,INCY
INCY,1998-06-16,16.75,16.938,16.25,16.38,737400,INCY
INCY,1998-06-17,16.657,16.938,16.438,16.938,689400,INCY
INCY,1998-06-18,16.375,16.938,16.313,16.75,110800,INCY
INCY,1998-06-19,16.0,16.688,15.625,16.44,223200,INCY
INCY,1998-06-22,15.75,16.6875,15.5,16.4375,175200,INCY
INCY,1998-06-23,16.485,16.5,15.813,16.0,298800,INCY
INCY,1998-06-24,16.594,16.938,16.375,16.63,233400,INCY
INCY,1998-06-25,16.375,17.375,16.25,17.25,641000,INCY
INCY,1998-06-26,16.125,16.688,15.688,16.688,192600,INCY
INCY,1998-06-29,16.875,16.875,15.75,16.07,452400,INCY
INCY,1998-06-30,17.063,17.563,16.5,16.5,780200,INCY
INCY,1998-07-01,17.032,17.5,16.625,17.13,276400,INCY
INCY,1998-07-02,17.125,17.375,16.875,16.94,454800,INCY
INCY,1998-07-03,17.125,17.375,16.875,16.94,0,INCY
INCY,1998-07-06,17.125,17.375,16.875,17.25,454800,INCY
INCY,1998-07-07,17.313,17.563,17.25,17.563,380200,INCY
INCY,1998-07-08,19.563,19.563,17.407,17.5,1230600,INCY
INCY,1998-07-09,18.492,19.563,17.875,19.32,1177800,INCY
INCY,1998-07-10,19.0,19.25,18.0,18.5,723800,INCY
INCY,1998-07-13,18.469,19.25,18.0,19.0,231600,INCY
INCY,1998-07-14,18.563,18.625,18.125,18.5,575400,INCY
INCY,1998-07-15,18.5625,18.625,18.125,18.4531,575400,INCY
INCY,1998-07-16,20.25,20.5,18.75,19.25,1268800,INCY
INCY,1998-07-17,21.0,21.625,20.0,20.13,1016400,INCY
INCY,1998-07-20,20.797,21.125,20.75,21.0,735600,INCY
INCY,1998-07-21,19.625,21.125,19.5,20.82,668000,INCY
INCY,1998-07-22,18.5,19.875,18.375,19.875,409600,INCY
INCY,1998-07-23,19.563,19.625,18.688,18.88,633000,INCY
INCY,1998-07-24,18.938,19.875,18.5,19.57,254400,INCY
INCY,1998-07-27,19.12,19.12,19.12,19.12,232000,INCY
INCY,1998-07-28,19.313,19.688,18.25,18.94,273400,INCY
INCY,1998-07-29,19.125,19.5,18.625,19.13,183200,INCY
INCY,1998-07-30,18.813,19.125,17.875,19.0,215800,INCY
INCY,1998-07-31,18.032,18.875,18.0,18.875,307000,INCY
INCY,1998-08-03,16.375,18.125,16.375,18.125,313800,INCY
INCY,1998-08-04,16.407,17.0,16.188,16.38,485200,INCY
INCY,1998-08-05,15.625,16.75,15.0,16.63,521599,INCY
INCY,1998-08-06,15.719,16.094,15.5,15.75,396000,INCY
INCY,1998-08-07,16.125,16.188,15.75,15.88,369600,INCY
INCY,1998-08-10,16.688,16.875,15.844,16.38,452000,INCY
INCY,1998-08-11,16.188,16.438,15.813,16.32,375000,INCY
INCY,1998-08-12,16.688,16.938,16.125,16.38,229600,INCY
INCY,1998-08-13,16.313,16.688,15.75,16.688,283200,INCY
INCY,1998-08-14,16.438,16.438,15.688,16.0,85600,INCY
INCY,1998-08-17,15.313,17.0,15.219,16.25,483800,INCY
INCY,1998-08-18,15.125,16.125,14.9688,15.3281,629200,INCY
INCY,1998-08-19,13.75,15.5,13.75,15.5,778200,INCY
INCY,1998-08-20,11.532,14.125,11.438,14.125,6363000,INCY
INCY,1998-08-21,11.563,11.938,10.063,11.75,5853800,INCY
INCY,1998-08-24,12.063,12.375,11.625,12.07,2032400,INCY
INCY,1998-08-25,12.25,12.625,11.938,12.22,1616200,INCY
INCY,1998-08-26,11.625,12.5625,11.5,12.25,1228400,INCY
INCY,1998-08-27,11.125,11.813,10.782,11.5,612600,INCY
INCY,1998-08-28,10.0,11.375,9.5,11.375,1486200,INCY
INCY,1998-08-31,9.688,11.063,9.5,11.063,860600,INCY
INCY,1998-09-01,9.25,10.188,8.688,10.188,2198600,INCY
INCY,1998-09-02,9.9375,10.125,9.4375,9.4375,702600,INCY
INCY,1998-09-03,9.375,9.875,9.25,9.875,1150600,INCY
INCY,1998-09-04,9.563,9.75,9.5,9.63,592200,INCY
INCY,1998-09-07,9.563,9.75,9.5,9.63,0,INCY
INCY,1998-09-08,10.625,10.625,9.813,9.88,1903800,INCY
INCY,1998-09-09,10.25,10.75,10.25,10.63,790600,INCY
INCY,1998-09-10,10.625,10.75,9.875,10.13,360800,INCY
INCY,1998-09-11,10.938,11.25,10.625,10.75,901800,INCY
INCY,1998-09-14,10.75,11.188,10.625,11.07,403400,INCY
INCY,1998-09-15,10.375,10.938,10.0,10.75,264400,INCY
INCY,1998-09-16,10.907,11.25,10.625,10.82,757600,INCY
INCY,1998-09-17,10.438,11.0,10.0,11.0,280000,INCY
INCY,1998-09-18,10.563,10.563,10.25,10.563,154400,INCY
INCY,1998-09-21,10.75,11.0,10.313,10.32,226600,INCY
INCY,1998-09-22,11.625,11.625,10.75,10.82,796400,INCY
INCY,1998-09-23,12.625,12.875,11.625,11.82,1808200,INCY
INCY,1998-09-24,11.625,12.75,11.375,12.75,429200,INCY
INCY,1998-09-25,11.844,11.938,11.375,11.44,375200,INCY
INCY,1998-09-28,11.875,12.75,11.813,12.5,624600,INCY
INCY,1998-09-29,11.063,12.063,10.625,12.0,723600,INCY
INCY,1998-09-30,10.625,11.188,10.157,10.94,366800,INCY
INCY,1998-10-01,10.4688,11.375,10.0625,10.625,828600,INCY
INCY,1998-10-02,11.5,11.5,10.125,10.75,821600,INCY
INCY,1998-10-05,11.313,11.5,11.0,11.13,371400,INCY
INCY,1998-10-06,11.75,12.0,11.375,11.38,544800,INCY
INCY,1998-10-07,11.75,12.5,11.5,11.75,690000,INCY
INCY,1998-10-08,11.563,11.563,10.625,11.13,720400,INCY
INCY,1998-10-09,12.5,12.5,10.875,11.57,1196800,INCY
INCY,1998-10-12,13.563,13.75,12.0,12.5,1436000,INCY
INCY,1998-10-13,12.8438,13.625,12.4375,13.1875,1111400,INCY
INCY,1998-10-14,12.625,12.907,12.219,12.907,1056000,INCY
INCY,1998-10-15,10.922,11.125,10.0,11.125,2753200,INCY
INCY,1998-10-16,10.75,11.063,10.719,11.063,555200,INCY
INCY,1998-10-19,11.094,11.375,10.625,10.97,1049000,INCY
INCY,1998-10-20,11.563,12.125,11.063,11.22,752800,INCY
INCY,1998-10-21,11.75,11.938,11.563,11.69,429000,INCY
INCY,1998-10-22,11.532,11.813,11.313,11.813,406800,INCY
INCY,1998-10-23,12.438,12.5,11.438,11.57,959200,INCY
INCY,1998-10-26,12.9688,12.9688,12.375,12.5,703600,INCY
INCY,1998-10-27,12.938,13.0,12.438,12.66,647200,INCY
INCY,1998-10-28,13.219,13.25,12.938,13.0,251400,INCY
INCY,1998-10-29,13.2188,13.25,12.9375,13.0,251000,INCY
INCY,1998-10-30,15.25,15.625,15.0,15.07,1821000,INCY
INCY,1998-11-02,15.844,15.844,15.063,15.07,497400,INCY
INCY,1998-11-03,15.875,15.938,15.438,15.938,473000,INCY
INCY,1998-11-04,16.5,17.125,15.875,16.32,703600,INCY
INCY,1998-11-05,16.407,16.563,15.938,16.5,354800,INCY
INCY,1998-11-06,17.125,17.75,16.375,16.38,441000,INCY
INCY,1998-11-09,16.5,17.5,16.5,17.5,224000,INCY
INCY,1998-11-10,16.0,16.688,15.438,16.688,370400,INCY
INCY,1998-11-11,16.0,16.313,15.813,16.0,280000,INCY
INCY,1998-11-12,15.3438,15.9375,15.125,15.9375,167000,INCY
INCY,1998-11-13,15.0,15.375,15.0,15.25,288200,INCY
INCY,1998-11-16,14.25,15.25,13.813,15.0,467800,INCY
INCY,1998-11-17,13.875,14.125,12.938,13.88,596400,INCY
INCY,1998-11-18,14.782,14.813,13.688,13.75,956800,INCY
INCY,1998-11-19,15.313,15.5,14.75,14.97,489000,INCY
INCY,1998-11-20,15.125,15.5,15.125,15.32,140200,INCY
INCY,1998-11-23,15.875,15.969,15.188,15.5,791400,INCY
INCY,1998-11-24,16.125,16.313,15.875,15.88,1073600,INCY
INCY,1998-11-25,16.125,16.313,15.875,15.88,0,INCY
INCY,1998-11-26,16.125,16.313,15.875,15.88,0,INCY
INCY,1998-11-27,16.125,16.125,15.75,15.75,29000,INCY
INCY,1998-11-30,15.625,16.25,14.875,15.94,289400,INCY
INCY,1998-12-01,16.0,16.0,15.25,15.53,437200,INCY
INCY,1998-12-02,16.188,16.25,15.75,15.75,555000,INCY
INCY,1998-12-03,15.938,16.188,15.813,16.16,472200,INCY
INCY,1998-12-04,16.438,16.438,15.688,16.0,369600,INCY
INCY,1998-12-07,16.6875,16.75,16.375,16.375,1117400,INCY
INCY,1998-12-08,18.625,18.625,16.625,16.75,717600,INCY
INCY,1998-12-09,17.9688,19.1875,17.5,18.625,919600,INCY
INCY,1998-12-10,17.719,18.532,17.375,17.94,443000,INCY
INCY,1998-12-11,17.813,18.0,17.375,17.69,189400,INCY
INCY,1998-12-14,17.766,18.125,17.25,17.5,251800,INCY
INCY,1998-12-15,17.938,18.0,17.5,17.82,342400,INCY
INCY,1998-12-16,17.813,18.25,17.75,18.0,239400,INCY
INCY,1998-12-17,17.938,18.125,17.688,17.82,447400,INCY
INCY,1998-12-18,19.563,19.844,17.938,18.0,875800,INCY
INCY,1998-12-21,18.75,20.313,18.688,19.44,931800,INCY
INCY,1998-12-22,18.719,18.875,18.5,18.84,419000,INCY
INCY,1998-12-23,18.875,18.875,17.875,18.78,549200,INCY
INCY,1998-12-24,18.813,18.875,18.375,18.875,237200,INCY
INCY,1998-12-25,18.813,18.875,18.375,18.875,0,INCY
INCY,1998-12-28,18.813,19.25,18.313,19.0,207800,INCY
INCY,1998-12-29,18.782,18.813,18.313,18.69,402800,INCY
INCY,1998-12-30,18.032,18.875,17.25,18.875,460600,INCY
INCY,1998-12-31,18.688,18.782,17.813,18.0,324600,INCY
INCY,1999-01-01,18.688,18.782,17.813,18.0,0,INCY
INCY,1999-01-04,18.5,19.75,18.5,18.88,493600,INCY
INCY,1999-01-05,17.938,18.813,17.875,18.5,462800,INCY
INCY,1999-01-06,18.219,18.938,17.75,18.47,499000,INCY
INCY,1999-01-07,17.688,18.25,17.438,17.94,301800,INCY
INCY,1999-01-08,18.25,18.5,17.5,17.5,445600,INCY
INCY,1999-01-11,18.875,19.125,18.438,18.44,1431600,INCY
INCY,1999-01-12,17.594,19.0,17.5,19.0,774200,INCY
INCY,1999-01-13,16.25,16.875,15.3125,16.0,1030400,INCY
INCY,1999-01-14,15.063,16.438,14.5,16.438,1642200,INCY
INCY,1999-01-15,16.875,16.875,15.0,15.125,736000,INCY
INCY,1999-01-18,16.875,16.875,15.0,15.125,0,INCY
INCY,1999-01-19,16.4062,17.9375,16.2188,16.875,1838400,INCY
INCY,1999-01-20,15.75,16.5,15.75,16.38,517400,INCY
INCY,1999-01-21,14.407,15.938,14.313,15.69,1492600,INCY
INCY,1999-01-22,14.4062,15.0625,13.5,14.375,1575400,INCY
INCY,1999-01-25,13.7812,14.75,13.625,14.25,429800,INCY
INCY,1999-01-26,13.563,13.875,13.125,13.82,633600,INCY
INCY,1999-01-27,14.25,14.25,13.375,13.75,884200,INCY
INCY,1999-01-28,14.875,15.438,14.375,14.5,821800,INCY
INCY,1999-01-29,15.0,15.75,14.875,15.0,484400,INCY
INCY,1999-02-01,13.813,14.75,13.625,14.75,1193600,INCY
INCY,1999-02-02,11.313,14.063,10.75,14.063,3341400,INCY
INCY,1999-02-03,13.875,14.1875,12.5,13.875,3891600,INCY
INCY,1999-02-04,13.532,14.375,13.313,14.13,2593600,INCY
INCY,1999-02-05,13.719,13.75,13.25,13.5,1321200,INCY
INCY,1999-02-08,13.657,13.875,13.532,13.875,674800,INCY
INCY,1999-02-09,13.625,13.688,13.25,13.5,485600,INCY
INCY,1999-02-10,14.375,14.563,13.5,13.57,653400,INCY
INCY,1999-02-11,14.563,14.625,14.125,14.5,756400,INCY
INCY,1999-02-12,13.875,14.563,13.875,14.47,336600,INCY
INCY,1999-02-15,13.875,14.563,13.875,14.47,0,INCY
INCY,1999-02-16,13.75,14.5625,13.625,14.5625,708600,INCY
INCY,1999-02-17,13.625,14.0,13.625,13.69,309600,INCY
INCY,1999-02-18,13.282,13.813,13.219,13.78,733400,INCY
INCY,1999-02-19,13.157,13.375,12.938,13.28,455000,INCY
INCY,1999-02-22,14.938,15.563,12.938,13.19,1561400,INCY
INCY,1999-02-23,15.375,15.875,14.938,15.13,886200,INCY
INCY,1999-02-24,15.032,15.375,14.875,15.25,444800,INCY
INCY,1999-02-25,14.344,15.125,14.032,14.82,248400,INCY
INCY,1999-02-26,14.032,14.375,13.844,14.32,328200,INCY
INCY,1999-03-01,13.875,14.25,13.844,14.25,447400,INCY
INCY,1999-03-02,13.438,14.0,13.375,14.0,476000,INCY
INCY,1999-03-03,13.25,13.438,12.594,13.438,330600,INCY
INCY,1999-03-04,12.532,13.313,12.375,13.22,1057800,INCY
INCY,1999-03-05,12.563,13.094,12.313,12.75,876800,INCY
INCY,1999-03-08,12.094,13.063,11.938,13.0,844000,INCY
INCY,1999-03-09,11.719,12.094,11.594,12.094,967200,INCY
INCY,1999-03-10,11.375,12.125,11.125,11.57,752200,INCY
INCY,1999-03-11,12.438,12.625,11.688,11.69,519400,INCY
INCY,1999-03-12,12.125,12.563,11.938,12.38,323600,INCY
INCY,1999-03-15,12.032,12.5,11.75,12.5,201600,INCY
INCY,1999-03-16,11.532,12.125,11.438,11.88,746800,INCY
INCY,1999-03-17,11.313,11.563,10.688,11.5,1308800,INCY
INCY,1999-03-18,10.75,11.5,10.469,11.35,1040000,INCY
INCY,1999-03-19,10.313,10.75,10.25,10.75,751000,INCY
INCY,1999-03-22,11.313,11.313,10.282,10.282,999800,INCY
INCY,1999-03-23,11.188,11.438,10.813,11.32,674600,INCY
INCY,1999-03-24,10.844,11.282,10.75,11.28,104800,INCY
INCY,1999-03-25,10.907,11.0,10.75,11.0,184000,INCY
