Symbol,Date,Close,High,Low,Open,Volume,Name
IR,1998-05-29,17.9853,18.2591,17.8855,18.1114,851152,IR
IR,1998-06-01,17.6604,18.0348,17.5862,18.0316,950123,IR
IR,1998-06-02,17.4114,17.9103,17.3116,17.7123,830355,IR
IR,1998-06-03,17.3611,17.4609,17.2869,17.3611,972423,IR
IR,1998-06-04,17.2613,17.3611,17.1121,17.3611,644690,IR
IR,1998-06-05,17.5359,17.611,17.0618,17.1616,965908,IR
IR,1998-06-08,17.4609,17.9598,17.4609,17.9598,482578,IR
IR,1998-06-09,17.611,17.7107,17.2118,17.3132,715849,IR
IR,1998-06-10,17.5607,17.9103,17.5607,17.5607,1479306,IR
IR,1998-06-11,17.3611,17.7107,17.3116,17.5607,1835101,IR
IR,1998-06-12,17.5607,17.5607,17.0618,17.3132,1994457,IR
IR,1998-06-15,17.5359,18.1098,17.4361,17.5367,1844372,IR
IR,1998-06-16,17.1616,17.611,16.8375,17.611,1424934,IR
IR,1998-06-17,17.7602,18.0101,17.1121,17.2653,1425185,IR
IR,1998-06-18,17.3364,17.7107,17.1616,17.7107,1261569,IR
IR,1998-06-19,16.6132,17.3364,16.3633,17.3132,2810531,IR
IR,1998-06-22,16.8375,16.962,16.4631,16.515,726122,IR
IR,1998-06-23,16.8127,16.9373,16.6379,16.9373,659473,IR
IR,1998-06-24,17.2366,17.2869,16.3889,16.6188,913541,IR
IR,1998-06-25,16.7625,17.2869,16.5382,17.2653,977685,IR
IR,1998-06-26,16.962,17.2118,16.713,16.7146,719107,IR
IR,1998-06-29,16.713,17.1616,16.6882,16.962,783000,IR
IR,1998-06-30,17.5862,17.6604,16.7377,16.7625,1351019,IR
IR,1998-07-01,17.9103,17.9103,17.4864,17.6644,1485820,IR
IR,1998-07-02,17.1871,17.9853,16.9125,17.9837,1025040,IR
IR,1998-07-03,17.1871,17.9853,16.9125,17.9837,0,IR
IR,1998-07-06,17.3611,17.5359,17.2118,17.2893,544466,IR
IR,1998-07-07,17.2613,17.4609,17.1616,17.4609,412922,IR
IR,1998-07-08,16.4384,17.4114,16.3633,17.3372,2146547,IR
IR,1998-07-09,16.9373,17.2118,16.0145,16.4352,6439642,IR
IR,1998-07-10,17.4114,17.5607,17.1121,17.3611,5578718,IR
IR,1998-07-13,17.4609,17.7602,17.2366,17.7602,1628890,IR
IR,1998-07-14,18.1346,18.2096,17.4864,17.4888,2163585,IR
IR,1998-07-15,18.3589,18.5584,17.7602,18.1593,3156053,IR
IR,1998-07-16,18.5584,18.7332,17.9598,18.2631,4560192,IR
IR,1998-07-17,18.2344,18.5089,18.1098,18.5089,1345006,IR
IR,1998-07-20,17.9853,18.3341,17.9103,18.1354,671500,IR
IR,1998-07-21,17.935,18.1593,17.8352,17.8879,1990448,IR
IR,1998-07-22,17.9853,18.2344,17.8105,18.0316,839125,IR
IR,1998-07-23,18.4587,18.584,17.9598,17.9598,2634137,IR
IR,1998-07-24,18.1593,18.7085,18.1346,18.5584,2156820,IR
IR,1998-07-27,18.2846,18.3094,17.7602,18.1593,1368558,IR
IR,1998-07-28,18.0595,18.7085,17.935,18.5584,1527163,IR
IR,1998-07-29,17.6604,18.0595,17.5607,18.0595,695554,IR
IR,1998-07-30,17.8855,17.9103,17.7602,17.7602,672503,IR
IR,1998-07-31,17.6604,18.0348,17.4114,17.8879,729380,IR
IR,1998-08-03,18.2846,18.3341,17.3116,17.7123,1390357,IR
IR,1998-08-04,17.5112,18.4842,17.5112,18.2631,1551216,IR
IR,1998-08-05,17.7858,17.8105,17.2118,17.5367,1294142,IR
IR,1998-08-06,18.584,18.7085,17.8352,17.8879,1752416,IR
IR,1998-08-07,18.5085,19.0074,18.3339,18.6831,1121005,IR
IR,1998-08-10,18.4587,18.5089,18.3341,18.4626,1103967,IR
IR,1998-08-11,18.0101,18.3094,17.5862,18.3094,1356782,IR
IR,1998-08-12,18.2846,18.5337,18.0101,18.0156,1225238,IR
IR,1998-08-13,17.8855,18.2096,17.7858,18.1833,1642170,IR
IR,1998-08-14,17.2118,18.0101,17.0123,17.9358,2349501,IR
IR,1998-08-17,17.5359,17.6604,16.9875,17.1616,1545203,IR
IR,1998-08-18,17.7355,17.935,17.5359,17.5367,1178634,IR
IR,1998-08-19,17.1616,17.9103,17.1616,17.9103,1261319,IR
IR,1998-08-20,17.3364,17.4864,17.0618,17.1137,855912,IR
IR,1998-08-21,17.2366,17.2366,16.8878,17.2334,1143305,IR
IR,1998-08-24,16.962,17.1616,16.6379,17.1616,1233256,IR
IR,1998-08-25,17.1871,17.3364,16.9875,17.2174,1394867,IR
IR,1998-08-26,16.962,17.1368,16.8622,17.0897,908279,IR
IR,1998-08-27,16.064,16.5629,15.8645,16.5629,1501606,IR
IR,1998-08-28,16.2141,16.6627,16.1143,16.1638,1479306,IR
IR,1998-08-31,15.8645,16.4631,15.8645,16.2197,1591306,IR
IR,1998-09-01,16.1638,16.2388,15.8645,15.8685,1531923,IR
IR,1998-09-02,16.3889,16.7625,16.1143,16.2676,1072146,IR
IR,1998-09-03,15.6402,16.2141,15.2658,16.2141,2025777,IR
IR,1998-09-04,15.9148,16.064,15.6154,15.7647,1371816,IR
IR,1998-09-07,15.9148,16.064,15.6154,15.7647,0,IR
IR,1998-09-08,15.9642,16.4887,15.5651,16.1638,2007486,IR
IR,1998-09-09,16.1893,16.2141,15.6402,15.7647,1803029,IR
IR,1998-09-10,14.8922,15.7399,14.842,15.7168,1045336,IR
IR,1998-09-11,15.2658,15.5651,14.5179,14.719,1497597,IR
IR,1998-09-14,15.7152,16.1143,15.3656,15.3656,1459762,IR
IR,1998-09-15,16.2891,16.3386,15.5907,15.7168,1210204,IR
IR,1998-09-16,16.064,16.4132,15.7148,16.2885,1107224,IR
IR,1998-09-17,15.4159,15.815,15.1413,15.815,974177,IR
