Symbol,Date,Close,High,Low,Open,Volume,Name
IRM,1998-05-29,7.4576,7.6321,7.183,7.4576,166505,IRM
IRM,1998-06-01,7.3176,7.6321,7.183,7.3176,666022,IRM
IRM,1998-06-02,7.4127,7.6321,7.2673,7.4127,230540,IRM
IRM,1998-06-03,7.3624,7.6321,7.2727,7.3625,111375,IRM
IRM,1998-06-04,7.2503,7.5873,7.06,7.2503,340250,IRM
IRM,1998-06-05,7.183,7.4073,7.1382,7.1829,60699,IRM
IRM,1998-06-08,7.0927,7.3624,7.0709,7.0927,338580,IRM
IRM,1998-06-09,7.1382,7.1945,7.0709,7.1382,110255,IRM
IRM,1998-06-10,7.1158,7.183,7.0927,7.1158,302383,IRM
IRM,1998-06-11,6.9697,7.0709,6.9582,6.9697,250588,IRM
IRM,1998-06-12,6.8236,7.2727,6.8236,6.8424,1146605,IRM
IRM,1998-06-15,6.8467,7.003,6.7339,6.8467,280108,IRM
IRM,1998-06-16,6.9582,7.1382,6.7339,6.9582,653765,IRM
IRM,1998-06-17,7.003,7.2727,7.003,7.003,139775,IRM
IRM,1998-06-18,7.183,7.183,6.9697,7.1829,53460,IRM
IRM,1998-06-19,7.3624,7.3624,7.003,7.3624,152578,IRM
IRM,1998-06-22,7.183,7.3624,7.0927,7.1829,150913,IRM
IRM,1998-06-23,7.1606,7.3176,6.9812,7.1606,12808,IRM
IRM,1998-06-24,7.9685,7.9685,7.3624,7.9685,223858,IRM
IRM,1998-06-25,7.8115,8.0806,7.6321,7.8115,470002,IRM
IRM,1998-06-26,7.7218,8.0806,7.5873,7.7217,126410,IRM
IRM,1998-06-29,7.9012,7.9909,7.6321,7.9012,140332,IRM
IRM,1998-06-30,8.0358,8.2606,7.7667,8.0358,374220,IRM
IRM,1998-07-01,7.9685,8.1703,7.9012,7.9685,227761,IRM
IRM,1998-07-02,7.9461,8.1255,7.8224,7.9461,160380,IRM
IRM,1998-07-03,7.9461,8.1255,7.8224,7.9461,0,IRM
IRM,1998-07-06,7.7218,7.9461,7.6321,7.7217,555755,IRM
IRM,1998-07-07,7.7218,7.7218,7.5424,7.7217,106920,IRM
IRM,1998-07-08,7.6321,7.7218,7.5424,7.6321,99680,IRM
IRM,1998-07-09,7.9012,7.9909,7.6321,7.9012,103021,IRM
IRM,1998-07-10,7.9909,7.9909,7.677,7.9909,217175,IRM
IRM,1998-07-13,7.6988,7.9909,7.3176,7.6988,211612,IRM
IRM,1998-07-14,7.6321,7.6545,7.5424,7.6321,306275,IRM
IRM,1998-07-15,7.7667,7.7667,7.5194,7.7667,130865,IRM
IRM,1998-07-16,7.7667,7.7667,7.6545,7.7667,59023,IRM
IRM,1998-07-17,7.7218,7.7667,7.6321,7.7217,44550,IRM
IRM,1998-07-20,7.6545,7.9012,7.6545,7.6545,60699,IRM
IRM,1998-07-21,7.7667,7.8115,7.4527,7.7667,118614,IRM
IRM,1998-07-22,7.4073,7.5533,7.3624,7.4073,79633,IRM
IRM,1998-07-23,7.3739,7.7218,7.3176,7.3739,244468,IRM
