Symbol,Date,Close,High,Low,Open,Volume,Name
IVZ,1998-07-31,23.0,23.5,23.0,23.5,36250,IVZ
IVZ,1998-08-03,22.2,22.65,22.2,22.65,38000,IVZ
IVZ,1998-08-04,21.2,22.25,21.2,22.25,126500,IVZ
IVZ,1998-08-05,19.35,20.15,19.35,20.15,581500,IVZ
IVZ,1998-08-06,19.05,19.505,19.05,19.505,233250,IVZ
IVZ,1998-08-07,18.8,19.5,18.675,19.5,245750,IVZ
IVZ,1998-08-10,18.3,18.7,18.15,18.7,217750,IVZ
IVZ,1998-08-11,18.05,18.35,17.8,18.35,21750,IVZ
IVZ,1998-08-12,18.6,18.6,18.1,18.6,74250,IVZ
IVZ,1998-08-13,17.8,18.5,17.6,18.5,90500,IVZ
IVZ,1998-08-14,18.4,18.725,18.4,18.725,111000,IVZ
IVZ,1998-08-17,19.15,19.15,18.75,19.15,40750,IVZ
IVZ,1998-08-18,20.4,20.4,19.825,20.4,31250,IVZ
IVZ,1998-08-19,20.55,20.8,20.55,20.8,73000,IVZ
IVZ,1998-08-20,19.9,20.0,19.9,20.0,4500,IVZ
IVZ,1998-08-21,19.25,19.7,19.2,19.7,42500,IVZ
IVZ,1998-08-24,19.0,19.25,18.95,19.25,33250,IVZ
IVZ,1998-08-25,19.6,19.825,19.6,19.825,34250,IVZ
IVZ,1998-08-26,19.2,19.3,19.2,19.3,9250,IVZ
IVZ,1998-08-27,17.975,18.4,17.85,18.4,131000,IVZ
IVZ,1998-08-28,15.8,16.3,15.7,16.3,103750,IVZ
IVZ,1998-08-31,15.1,15.9,15.1,15.9,12750,IVZ
IVZ,1998-09-01,14.6,15.2,13.9,15.2,147250,IVZ
IVZ,1998-09-02,14.575,15.5,14.4,15.5,124000,IVZ
IVZ,1998-09-03,14.1,14.5,14.1,14.5,18500,IVZ
IVZ,1998-09-04,14.5,14.8,14.5,14.8,19750,IVZ
IVZ,1998-09-07,14.5,14.8,14.5,14.8,0,IVZ
IVZ,1998-09-08,16.2,16.25,15.0,16.25,53000,IVZ
IVZ,1998-09-09,15.775,16.1,15.75,16.1,104000,IVZ
IVZ,1998-09-10,15.15,15.35,15.125,15.35,3500,IVZ
IVZ,1998-09-11,14.65,14.75,14.0,14.75,46000,IVZ
IVZ,1998-09-14,14.5,15.1,14.2,15.1,304000,IVZ
IVZ,1998-09-15,13.8,14.0,13.65,14.0,71500,IVZ
IVZ,1998-09-16,13.85,13.975,13.85,13.975,15500,IVZ
IVZ,1998-09-17,13.9,13.9,13.6,13.9,16500,IVZ
IVZ,1998-09-18,13.7,13.975,13.7,13.975,20250,IVZ
IVZ,1998-09-21,13.225,13.3,13.2,13.3,8500,IVZ
IVZ,1998-09-22,12.95,13.35,12.95,13.35,54250,IVZ
IVZ,1998-09-23,13.0,13.025,12.875,13.025,135750,IVZ
IVZ,1998-09-24,12.8,13.0,12.8,13.0,231000,IVZ
IVZ,1998-09-25,11.75,11.95,10.9,11.95,331250,IVZ
IVZ,1998-09-28,12.375,12.6,11.825,12.6,46250,IVZ
IVZ,1998-09-29,12.275,12.4,12.25,12.4,44750,IVZ
IVZ,1998-09-30,11.6,11.9,11.4,11.9,84500,IVZ
IVZ,1998-10-01,10.175,10.65,10.0,10.65,47250,IVZ
IVZ,1998-10-02,9.5,10.1,9.2,10.1,102750,IVZ
IVZ,1998-10-05,8.775,9.2,8.65,9.2,122250,IVZ
IVZ,1998-10-06,8.625,9.55,8.625,9.55,298250,IVZ
IVZ,1998-10-07,9.55,9.55,9.1,9.55,399750,IVZ
IVZ,1998-10-08,9.0,9.2,8.6,9.2,71000,IVZ
IVZ,1998-10-09,10.9,10.9,10.4,10.9,46250,IVZ
IVZ,1998-10-12,11.8,12.375,11.8,12.375,113500,IVZ
IVZ,1998-10-13,11.875,11.875,11.7,11.875,13000,IVZ
IVZ,1998-10-14,11.7,11.775,11.2,11.775,11750,IVZ
IVZ,1998-10-15,12.6,12.6,11.6,12.6,32250,IVZ
IVZ,1998-10-16,13.2,13.3,12.8,13.3,66000,IVZ
IVZ,1998-10-19,13.325,13.325,12.9,13.325,22750,IVZ
IVZ,1998-10-20,13.4,13.475,13.25,13.475,10750,IVZ
IVZ,1998-10-21,13.3,13.45,13.2,13.45,4500,IVZ
IVZ,1998-10-22,13.0,13.25,12.8,13.25,48750,IVZ
IVZ,1998-10-23,12.05,12.35,11.75,12.35,33000,IVZ
IVZ,1998-10-26,12.325,12.4,12.3,12.4,17250,IVZ
IVZ,1998-10-27,12.325,12.6,12.25,12.6,72250,IVZ
IVZ,1998-10-28,13.2,13.3,13.05,13.3,65750,IVZ
IVZ,1998-10-29,13.45,14.1,13.45,14.1,101000,IVZ
IVZ,1998-10-30,14.65,15.2,14.65,15.2,132000,IVZ
IVZ,1998-11-02,15.35,15.4,15.2,15.4,27250,IVZ
IVZ,1998-11-03,15.3,15.6,15.3,15.6,23250,IVZ
IVZ,1998-11-04,15.45,15.45,15.2,15.45,19750,IVZ
IVZ,1998-11-05,14.925,15.15,14.85,15.15,17250,IVZ
IVZ,1998-11-06,15.1,15.1,15.0,15.1,18000,IVZ
IVZ,1998-11-09,14.775,14.95,14.725,14.95,4000,IVZ
IVZ,1998-11-10,14.275,14.675,14.1,14.675,13000,IVZ
IVZ,1998-11-11,14.375,14.4,14.325,14.4,20250,IVZ
IVZ,1998-11-12,14.275,14.675,14.1,14.675,13000,IVZ
IVZ,1998-11-13,14.25,14.25,14.15,14.25,2500,IVZ
IVZ,1998-11-16,14.4,14.4,14.25,14.4,12000,IVZ
IVZ,1998-11-17,14.4,14.5,14.2,14.5,29500,IVZ
IVZ,1998-11-18,13.975,14.4,13.775,14.4,35500,IVZ
IVZ,1998-11-19,13.775,13.925,13.5,13.925,108250,IVZ
IVZ,1998-11-20,14.7,14.8,14.25,14.8,34750,IVZ
IVZ,1998-11-23,16.05,16.1,15.45,16.1,29500,IVZ
IVZ,1998-11-24,15.7,16.15,15.65,16.15,56750,IVZ
IVZ,1998-11-25,15.7,15.7,15.7,15.7,25000,IVZ
IVZ,1998-11-26,15.7,15.7,15.7,15.7,0,IVZ
IVZ,1998-11-27,16.4,16.4,16.0,16.4,10250,IVZ
IVZ,1998-11-30,16.05,16.3,15.9,16.3,15250,IVZ
IVZ,1998-12-01,15.2,15.3,15.025,15.3,19000,IVZ
IVZ,1998-12-02,15.175,15.2,15.0,15.2,4500,IVZ
IVZ,1998-12-03,14.65,14.9,14.6,14.9,7000,IVZ
IVZ,1998-12-04,14.8,14.85,14.4,14.85,28000,IVZ
IVZ,1998-12-07,14.475,14.7,14.1,14.7,28000,IVZ
IVZ,1998-12-08,14.6,14.725,14.3,14.725,53000,IVZ
IVZ,1998-12-09,14.25,14.5,14.2,14.5,10250,IVZ
IVZ,1998-12-10,13.95,14.2,13.95,14.2,6750,IVZ
IVZ,1998-12-11,14.35,14.5,14.35,14.5,16750,IVZ
IVZ,1998-12-14,14.75,14.8,14.25,14.8,32500,IVZ
IVZ,1998-12-15,14.675,14.7,14.6,14.7,64000,IVZ
IVZ,1998-12-16,14.2,14.55,14.2,14.55,19750,IVZ
IVZ,1998-12-17,14.3,14.4,14.05,14.4,50250,IVZ
IVZ,1998-12-18,14.8,15.2,14.7,15.2,48000,IVZ
IVZ,1998-12-21,15.5,15.6,14.9,15.6,104000,IVZ
IVZ,1998-12-22,15.525,15.8,15.525,15.8,201750,IVZ
IVZ,1998-12-23,15.25,15.475,15.25,15.475,15250,IVZ
IVZ,1998-12-24,15.2,15.3,15.2,15.3,4250,IVZ
IVZ,1998-12-25,15.2,15.3,15.2,15.3,0,IVZ
IVZ,1998-12-28,15.4,15.45,15.25,15.45,15750,IVZ
