Symbol,Date,Close,High,Low,Open,Volume,Name
JBHT,1998-05-29,7.485,7.516,7.438,7.5,424000,JBHT
JBHT,1998-06-01,7.563,7.594,7.469,7.5,591200,JBHT
JBHT,1998-06-02,7.5,7.641,7.438,7.53,651600,JBHT
JBHT,1998-06-03,7.532,7.579,7.454,7.454,95200,JBHT
JBHT,1998-06-04,7.625,7.625,7.5,7.5,368000,JBHT
JBHT,1998-06-05,7.625,7.657,7.563,7.59,792800,JBHT
JBHT,1998-06-08,7.532,7.625,7.5,7.59,314800,JBHT
JBHT,1998-06-09,7.485,7.563,7.485,7.56,320400,JBHT
JBHT,1998-06-10,7.469,7.532,7.438,7.51,859200,JBHT
JBHT,1998-06-11,7.375,7.469,7.313,7.45,486800,JBHT
JBHT,1998-06-12,7.188,7.344,6.875,7.31,701600,JBHT
JBHT,1998-06-15,7.219,7.5,7.063,7.09,1152000,JBHT
JBHT,1998-06-16,7.344,7.407,7.25,7.28,464000,JBHT
JBHT,1998-06-17,7.344,7.344,7.188,7.34,454800,JBHT
JBHT,1998-06-18,7.282,7.407,7.282,7.34,391600,JBHT
JBHT,1998-06-19,7.032,7.313,7.016,7.31,297600,JBHT
JBHT,1998-06-22,7.4688,7.4688,7.0156,7.2969,414800,JBHT
JBHT,1998-06-23,7.844,7.844,7.375,7.47,826400,JBHT
JBHT,1998-06-24,7.844,7.875,7.657,7.72,3360400,JBHT
JBHT,1998-06-25,8.172,8.188,7.844,7.88,4858000,JBHT
JBHT,1998-06-26,8.86,8.875,8.422,8.47,1857600,JBHT
JBHT,1998-06-29,8.969,8.969,8.813,8.88,1344400,JBHT
JBHT,1998-06-30,8.907,9.032,8.891,8.97,1162400,JBHT
JBHT,1998-07-01,9.375,9.438,8.844,8.88,3092800,JBHT
JBHT,1998-07-02,9.25,9.375,9.25,9.35,782400,JBHT
JBHT,1998-07-03,9.25,9.375,9.25,9.35,0,JBHT
JBHT,1998-07-06,9.344,9.375,9.125,9.25,940000,JBHT
JBHT,1998-07-07,9.344,9.5,9.282,9.38,511600,JBHT
JBHT,1998-07-08,9.532,9.719,9.282,9.282,1208800,JBHT
JBHT,1998-07-09,9.485,9.532,9.407,9.47,800000,JBHT
JBHT,1998-07-10,9.157,9.5,9.157,9.5,732000,JBHT
JBHT,1998-07-13,8.907,9.188,8.875,9.188,1319200,JBHT
JBHT,1998-07-14,8.875,9.0,8.813,8.97,866400,JBHT
JBHT,1998-07-15,8.75,8.875,8.625,8.81,1062800,JBHT
JBHT,1998-07-16,8.711,8.813,8.532,8.72,659200,JBHT
JBHT,1998-07-17,8.641,8.719,8.594,8.66,2181600,JBHT
JBHT,1998-07-20,8.625,8.688,8.594,8.6,380000,JBHT
JBHT,1998-07-21,8.282,8.688,8.219,8.63,846000,JBHT
JBHT,1998-07-22,8.063,8.313,8.016,8.31,1554800,JBHT
JBHT,1998-07-23,7.594,8.25,7.532,8.03,2572000,JBHT
JBHT,1998-07-24,7.454,7.688,7.407,7.64,1170400,JBHT
JBHT,1998-07-27,7.4219,7.4219,7.4219,7.4219,762400,JBHT
JBHT,1998-07-28,7.172,7.422,7.094,7.42,1378000,JBHT
JBHT,1998-07-29,7.204,7.344,7.188,7.25,636000,JBHT
JBHT,1998-07-30,7.438,7.469,7.25,7.34,518400,JBHT
JBHT,1998-07-31,7.414,7.469,7.344,7.344,574400,JBHT
JBHT,1998-08-03,7.329,7.5,7.282,7.38,376800,JBHT
JBHT,1998-08-04,6.969,7.422,6.969,7.34,678800,JBHT
JBHT,1998-08-05,6.5,7.063,6.5,6.94,661600,JBHT
JBHT,1998-08-06,6.594,6.625,6.375,6.44,865600,JBHT
JBHT,1998-08-07,6.625,6.719,6.532,6.63,990400,JBHT
JBHT,1998-08-10,6.532,6.657,6.438,6.56,1212000,JBHT
JBHT,1998-08-11,6.36,6.469,6.313,6.44,1459600,JBHT
JBHT,1998-08-12,6.688,6.813,6.344,6.47,1868000,JBHT
JBHT,1998-08-13,6.579,6.782,6.438,6.78,1623200,JBHT
JBHT,1998-08-14,6.532,6.657,6.5,6.59,572400,JBHT
JBHT,1998-08-17,6.5,6.657,6.469,6.56,606000,JBHT
JBHT,1998-08-18,6.516,6.594,6.5,6.5,231200,JBHT
JBHT,1998-08-19,5.688,6.625,5.688,6.55,5061200,JBHT
JBHT,1998-08-20,5.547,5.797,5.5,5.75,1402800,JBHT
JBHT,1998-08-21,5.485,5.532,4.813,5.53,1390800,JBHT
JBHT,1998-08-24,5.407,5.657,5.157,5.56,672400,JBHT
JBHT,1998-08-25,5.5,5.875,5.438,5.5,1181200,JBHT
JBHT,1998-08-26,5.125,5.375,4.922,5.375,1082400,JBHT
JBHT,1998-08-27,4.766,5.125,4.75,5.09,900800,JBHT
JBHT,1998-08-28,3.922,4.875,3.758,4.875,2116800,JBHT
JBHT,1998-08-31,4.235,4.563,3.875,4.09,2105600,JBHT
JBHT,1998-09-01,4.375,4.469,4.25,4.34,2033999,JBHT
JBHT,1998-09-02,4.688,4.938,4.157,4.38,2533200,JBHT
JBHT,1998-09-03,4.657,4.688,4.532,4.66,1212000,JBHT
JBHT,1998-09-04,4.594,4.907,4.438,4.66,922000,JBHT
JBHT,1998-09-07,4.594,4.907,4.438,4.66,0,JBHT
JBHT,1998-09-08,5.2812,5.3203,4.7812,5.2812,576000,JBHT
JBHT,1998-09-09,5.047,5.563,5.047,5.31,1080800,JBHT
