Symbol,Date,Close,High,Low,Open,Volume,Name
JCI,1998-05-29,8.8747,8.9308,8.6882,8.6897,834034,JCI
JCI,1998-06-01,8.8842,8.8842,8.8001,8.8568,1120985,JCI
JCI,1998-06-02,8.8374,8.9866,8.8097,8.9493,2652954,JCI
JCI,1998-06-03,8.7628,8.8374,8.7443,8.8001,956055,JCI
JCI,1998-06-04,8.8935,8.8935,8.6698,8.7643,522277,JCI
JCI,1998-06-05,8.9588,9.0238,8.8842,8.9224,2226551,JCI
JCI,1998-06-08,9.0238,9.0799,8.9773,8.9791,914488,JCI
JCI,1998-06-09,8.8469,8.9866,8.8469,8.9866,743524,JCI
JCI,1998-06-10,8.6232,8.7816,8.446,8.7816,2093802,JCI
JCI,1998-06-11,8.3342,8.5486,8.2781,8.5316,1328823,JCI
JCI,1998-06-12,8.2688,8.4087,7.9986,8.4087,1404584,JCI
JCI,1998-06-15,8.2688,8.4741,8.2035,8.2691,1324801,JCI
JCI,1998-06-16,8.2969,8.3714,8.185,8.3437,1306028,JCI
JCI,1998-06-17,8.3899,8.418,8.2969,8.299,1134394,JCI
JCI,1998-06-18,8.2876,8.5113,8.2223,8.3914,775035,JCI
JCI,1998-06-19,8.1942,8.2688,8.1197,8.2124,957396,JCI
JCI,1998-06-22,8.2035,8.4833,8.2035,8.2333,787103,JCI
JCI,1998-06-23,8.3061,8.3342,8.2223,8.2244,895715,JCI
JCI,1998-06-24,8.3434,8.3622,8.185,8.2781,720059,JCI
JCI,1998-06-25,8.3434,8.3899,8.2315,8.2423,1086792,JCI
JCI,1998-06-26,8.3342,8.4741,8.3342,8.3526,505516,JCI
JCI,1998-06-29,8.4087,8.6882,8.3899,8.4004,907783,JCI
JCI,1998-06-30,8.5298,8.651,8.446,8.4481,1948986,JCI
JCI,1998-07-01,8.5952,8.6232,8.4926,8.5495,1027123,JCI
JCI,1998-07-02,8.5579,8.651,8.4926,8.6062,383495,JCI
JCI,1998-07-03,8.5579,8.651,8.4926,8.6062,0,JCI
JCI,1998-07-06,8.679,8.6882,8.5671,8.5853,376120,JCI
JCI,1998-07-07,8.5579,8.6882,8.5206,8.6882,876272,JCI
JCI,1998-07-08,8.4833,8.5764,8.4087,8.4272,777717,JCI
JCI,1998-07-09,8.5113,8.5579,8.446,8.5227,870909,JCI
JCI,1998-07-10,8.3995,8.5764,8.3714,8.5495,854818,JCI
JCI,1998-07-13,8.2781,8.3995,8.1942,8.3995,695922,JCI
JCI,1998-07-14,8.213,8.4833,8.2035,8.3169,997623,JCI
JCI,1998-07-15,8.1758,8.213,8.0916,8.2124,1969770,JCI
JCI,1998-07-16,8.0824,8.3154,8.0543,8.2781,2374719,JCI
JCI,1998-07-17,7.9893,8.0824,7.7095,8.0824,3741759,JCI
JCI,1998-07-20,8.1477,8.157,7.9332,8.0275,1086792,JCI
JCI,1998-07-21,7.9332,8.0916,7.9147,8.0752,1525264,JCI
JCI,1998-07-22,7.8867,8.0171,7.7748,7.9052,3523193,JCI
JCI,1998-07-23,7.8867,7.9613,7.8679,7.8783,1217529,JCI
JCI,1998-07-24,7.924,8.0078,7.8959,7.9052,1223563,JCI
JCI,1998-07-27,7.8774,7.8867,7.7656,7.8867,1525935,JCI
JCI,1998-07-28,7.756,7.8306,7.6069,7.8038,1816908,JCI
JCI,1998-07-29,7.952,8.1289,7.9425,7.9798,2613398,JCI
JCI,1998-07-30,7.8959,7.9986,7.8679,7.944,3394468,JCI
JCI,1998-07-31,7.8029,7.8774,7.7748,7.8604,1016396,JCI
JCI,1998-08-03,7.9332,8.0078,7.8306,7.8306,773024,JCI
JCI,1998-08-04,7.8306,7.9613,7.7375,7.8962,1399891,JCI
JCI,1998-08-05,7.7283,7.8306,7.6537,7.8306,998294,JCI
