Symbol,Date,Close,High,Low,Open,Volume,Name
JEC,1998-05-29,8.0315,8.094,7.9065,7.91,609200,JEC
JEC,1998-06-01,8.1875,8.2815,8.141,8.25,341600,JEC
JEC,1998-06-02,7.9845,8.141,7.969,8.14,515200,JEC
JEC,1998-06-03,8.094,8.141,8.0,8.0,102800,JEC
JEC,1998-06-04,8.1565,8.2035,8.0,8.065,252400,JEC
JEC,1998-06-05,8.1875,8.2035,8.1565,8.17,223200,JEC
JEC,1998-06-08,8.0625,8.2035,8.0315,8.2035,167600,JEC
JEC,1998-06-09,8.0785,8.125,7.8125,8.11,41200,JEC
JEC,1998-06-10,8.094,8.141,8.016,8.016,376400,JEC
JEC,1998-06-11,8.016,8.125,8.016,8.125,401600,JEC
JEC,1998-06-12,8.0,8.0,7.9065,7.955,212800,JEC
JEC,1998-06-15,8.0315,8.0785,7.8125,7.86,151200,JEC
JEC,1998-06-16,7.594,7.891,7.594,7.875,865600,JEC
JEC,1998-06-17,7.516,7.6095,7.469,7.6095,566000,JEC
JEC,1998-06-18,7.469,7.547,7.375,7.535,368000,JEC
JEC,1998-06-19,7.422,7.4845,7.422,7.44,256000,JEC
JEC,1998-06-22,7.4845,7.5,7.4065,7.455,104800,JEC
JEC,1998-06-23,7.594,7.6095,7.5,7.5,274000,JEC
JEC,1998-06-24,7.5625,7.625,7.5625,7.595,167200,JEC
JEC,1998-06-25,7.5785,7.625,7.5315,7.565,260400,JEC
JEC,1998-06-26,7.672,7.7035,7.547,7.55,81200,JEC
JEC,1998-06-29,7.7815,7.844,7.6095,7.625,268400,JEC
JEC,1998-06-30,8.0315,8.0315,7.766,7.766,216800,JEC
JEC,1998-07-01,8.0785,8.1565,8.016,8.065,198000,JEC
JEC,1998-07-02,8.219,8.3125,8.0625,8.08,364800,JEC
JEC,1998-07-03,8.219,8.3125,8.0625,8.08,0,JEC
JEC,1998-07-06,7.9065,8.2345,7.891,8.2345,359600,JEC
JEC,1998-07-07,7.719,7.9065,7.7035,7.9065,689200,JEC
