Symbol,Date,Close,High,Low,Open,Volume,Name
LEG,1998-05-29,25.125,25.407,25.125,25.38,188200,LEG
LEG,1998-06-01,24.907,25.188,24.688,25.16,213800,LEG
LEG,1998-06-02,25.094,25.282,25.032,25.25,164400,LEG
LEG,1998-06-03,25.344,25.5,25.094,25.1,178600,LEG
LEG,1998-06-04,25.594,25.688,25.032,25.25,217200,LEG
LEG,1998-06-05,25.594,25.907,25.532,25.6,119000,LEG
LEG,1998-06-08,25.969,26.219,25.625,25.63,144800,LEG
LEG,1998-06-09,26.219,26.375,26.0,26.07,187800,LEG
LEG,1998-06-10,26.157,26.594,26.063,26.22,218800,LEG
LEG,1998-06-11,25.719,26.25,25.532,26.13,224200,LEG
LEG,1998-06-12,26.032,26.125,25.625,25.85,325800,LEG
LEG,1998-06-15,25.907,26.375,25.907,26.16,280600,LEG
LEG,1998-06-16,25.938,26.5,25.688,25.94,159200,LEG
LEG,1998-06-17,25.25,26.125,25.125,26.125,385000,LEG
LEG,1998-06-18,25.625,25.875,25.125,25.5,197300,LEG
LEG,1998-06-19,24.938,25.438,24.75,25.13,216600,LEG
LEG,1998-06-22,25.25,25.75,25.125,25.19,145000,LEG
LEG,1998-06-23,26.063,26.25,25.063,25.25,218500,LEG
LEG,1998-06-24,26.938,27.0,25.938,26.06,334500,LEG
LEG,1998-06-25,26.438,26.75,26.063,26.69,279700,LEG
LEG,1998-06-26,26.563,26.688,26.375,26.38,101200,LEG
LEG,1998-06-29,26.625,26.813,26.0,26.38,256100,LEG
LEG,1998-06-30,25.0,26.625,25.0,26.31,438800,LEG
LEG,1998-07-01,25.563,25.75,24.625,25.13,671800,LEG
LEG,1998-07-02,25.75,26.5,25.5,25.5,356500,LEG
LEG,1998-07-03,25.75,26.5,25.5,25.5,0,LEG
LEG,1998-07-06,26.875,26.875,25.75,25.88,165400,LEG
LEG,1998-07-07,26.813,27.0,26.563,26.88,144200,LEG
LEG,1998-07-08,26.625,26.688,26.125,26.63,143100,LEG
LEG,1998-07-09,26.938,26.938,26.5,26.56,135100,LEG
LEG,1998-07-10,27.313,27.313,26.75,26.75,243000,LEG
LEG,1998-07-13,27.688,27.875,27.5,27.5,290100,LEG
LEG,1998-07-14,28.0,28.125,27.75,27.75,219600,LEG
LEG,1998-07-15,28.438,28.438,27.75,28.0,233100,LEG
LEG,1998-07-16,28.188,28.375,27.688,28.19,270500,LEG
LEG,1998-07-17,28.0,28.188,27.688,28.13,207200,LEG
LEG,1998-07-20,28.313,28.313,27.813,28.0,221600,LEG
LEG,1998-07-21,28.313,28.375,28.0,28.375,190400,LEG
LEG,1998-07-22,28.313,28.75,28.125,28.44,191800,LEG
LEG,1998-07-23,27.438,28.375,27.125,28.375,217800,LEG
LEG,1998-07-24,27.688,27.75,27.063,27.56,130800,LEG
LEG,1998-07-27,27.625,27.625,27.0,27.625,166800,LEG
LEG,1998-07-28,26.5,27.625,26.5,27.5,251199,LEG
LEG,1998-07-29,27.625,27.625,26.5,26.5,241400,LEG
LEG,1998-07-30,27.75,27.938,27.625,27.75,188700,LEG
LEG,1998-07-31,26.813,27.75,26.813,27.63,191700,LEG
LEG,1998-08-03,26.063,27.125,26.0,26.81,211600,LEG
LEG,1998-08-04,25.375,26.563,25.375,26.5,272700,LEG
LEG,1998-08-05,25.063,25.438,24.5,25.38,241300,LEG
LEG,1998-08-06,25.5,25.5,24.813,25.06,195300,LEG
LEG,1998-08-07,25.125,25.688,24.938,25.5,244900,LEG
LEG,1998-08-10,25.125,25.125,24.813,25.0,237100,LEG
LEG,1998-08-11,24.125,25.063,23.938,25.06,258100,LEG
LEG,1998-08-12,24.313,24.563,23.813,24.25,250900,LEG
LEG,1998-08-13,24.875,24.938,24.313,24.44,199300,LEG
LEG,1998-08-14,24.563,25.438,24.5,24.94,118100,LEG
LEG,1998-08-17,24.375,24.813,24.188,24.5,191600,LEG
