Symbol,Date,Close,High,Low,Open,Volume,Name
LMT,1998-05-29,56.125,56.375,55.313,55.75,676400,LMT
LMT,1998-06-01,55.938,56.032,55.5,56.0,517400,LMT
LMT,1998-06-02,55.188,55.875,54.625,55.82,1013400,LMT
LMT,1998-06-03,55.032,55.75,54.875,55.28,1106800,LMT
LMT,1998-06-04,54.75,54.875,54.0,54.0,715400,LMT
LMT,1998-06-05,55.719,55.719,54.688,54.72,559800,LMT
LMT,1998-06-08,55.813,56.0,55.344,55.72,429600,LMT
LMT,1998-06-09,55.282,55.719,55.157,55.69,426200,LMT
LMT,1998-06-10,54.438,55.438,54.032,55.32,632200,LMT
LMT,1998-06-11,54.563,54.688,53.532,54.25,756600,LMT
LMT,1998-06-12,54.657,55.063,53.953,54.5,936000,LMT
LMT,1998-06-15,54.094,54.75,54.032,54.38,772400,LMT
LMT,1998-06-16,53.438,53.875,53.157,53.82,1056200,LMT
LMT,1998-06-17,52.5,54.25,52.407,53.63,1340800,LMT
LMT,1998-06-18,51.907,52.625,51.907,52.5,1280000,LMT
LMT,1998-06-19,51.875,52.063,51.438,51.82,1292600,LMT
LMT,1998-06-22,50.75,51.782,50.532,51.75,605400,LMT
LMT,1998-06-23,50.75,51.188,49.969,50.97,939600,LMT
LMT,1998-06-24,52.0,52.282,50.657,50.75,902000,LMT
LMT,1998-06-25,51.313,52.188,51.094,52.13,923000,LMT
LMT,1998-06-26,51.469,51.875,51.063,51.25,786200,LMT
LMT,1998-06-29,51.5,52.25,51.407,51.63,945400,LMT
LMT,1998-06-30,52.938,52.938,51.219,51.69,1374200,LMT
LMT,1998-07-01,52.0,52.625,52.0,52.57,1268800,LMT
LMT,1998-07-02,52.313,52.938,52.0,52.0,1018999,LMT
LMT,1998-07-03,52.313,52.938,52.0,52.0,0,LMT
LMT,1998-07-06,52.563,52.719,52.0,52.32,700000,LMT
LMT,1998-07-07,53.0,53.5,52.157,52.69,982600,LMT
LMT,1998-07-08,53.688,53.907,53.0,53.13,608000,LMT
