Symbol,Date,Close,High,Low,Open,Volume,Name
LOW,1998-05-29,9.8985,10.016,9.7425,9.875,8969600,LOW
LOW,1998-06-01,9.9925,10.125,9.977,10.03,10836000,LOW
LOW,1998-06-02,9.7425,10.102,9.68,10.045,8084000,LOW
LOW,1998-06-03,9.75,9.836,9.6875,9.735,7918400,LOW
LOW,1998-06-04,9.852,9.875,9.7815,9.875,8471200,LOW
LOW,1998-06-05,10.2035,10.2035,9.8675,9.87,8663200,LOW
LOW,1998-06-08,10.2895,10.4065,10.1875,10.28,7881600,LOW
LOW,1998-06-09,10.4455,10.4845,10.172,10.28,4745600,LOW
LOW,1998-06-10,10.4375,10.602,10.352,10.445,5720000,LOW
LOW,1998-06-11,10.375,10.555,10.375,10.43,3430400,LOW
LOW,1998-06-12,10.25,10.3675,10.086,10.36,5890400,LOW
LOW,1998-06-15,9.9065,10.125,9.9065,10.03,5210400,LOW
LOW,1998-06-16,10.0625,10.0625,9.891,10.0,4448000,LOW
LOW,1998-06-17,10.25,10.25,10.0785,10.08,5151200,LOW
LOW,1998-06-18,10.477,10.5315,10.25,10.3,5568000,LOW
LOW,1998-06-19,10.211,10.516,10.1955,10.495,3639200,LOW
LOW,1998-06-22,10.5315,10.555,10.2345,10.235,4492800,LOW
LOW,1998-06-23,10.461,10.672,10.344,10.595,6656800,LOW
LOW,1998-06-24,10.6565,10.672,10.4145,10.46,6698400,LOW
LOW,1998-06-25,10.461,10.75,10.461,10.705,3862400,LOW
LOW,1998-06-26,10.461,10.5235,10.4375,10.47,3075200,LOW
LOW,1998-06-29,10.4535,10.547,10.375,10.515,3970800,LOW
LOW,1998-06-30,10.141,10.4535,10.0625,10.44,4414000,LOW
LOW,1998-07-01,10.5,10.5,10.1875,10.36,3154000,LOW
LOW,1998-07-02,10.469,10.6875,10.4375,10.675,3941200,LOW
LOW,1998-07-03,10.469,10.6875,10.4375,10.675,0,LOW
LOW,1998-07-06,11.0,11.0315,10.5,10.565,6437600,LOW
LOW,1998-07-07,11.1565,11.547,10.875,11.015,8187600,LOW
LOW,1998-07-08,11.2815,11.344,11.0785,11.315,5973200,LOW
LOW,1998-07-09,10.75,11.2035,10.75,11.2035,8398000,LOW
