Symbol,Date,Close,High,Low,Open,Volume,Name
M,1998-05-29,25.9065,26.344,25.6875,25.6875,878800,M
M,1998-06-01,26.5,26.7815,25.875,25.9062,997600,M
M,1998-06-02,26.1875,26.9065,26.094,26.7812,1028000,M
M,1998-06-03,25.719,26.219,25.594,26.0625,750200,M
M,1998-06-04,25.7815,25.844,25.375,25.7188,898800,M
M,1998-06-05,26.0625,26.1565,25.25,26.1565,963800,M
M,1998-06-08,26.219,26.3125,25.9065,26.2812,1191000,M
M,1998-06-09,26.0625,26.219,25.6875,26.2188,1100400,M
M,1998-06-10,26.4065,26.625,25.6565,26.625,1614800,M
M,1998-06-11,26.6875,27.0,26.3125,26.4688,3236400,M
M,1998-06-12,26.75,26.844,26.469,26.6875,1678000,M
M,1998-06-15,26.1565,26.5,26.0625,26.3438,1271200,M
M,1998-06-16,26.1565,26.5625,25.5,26.3125,1633800,M
M,1998-06-17,26.375,26.6875,26.1565,26.375,1927000,M
M,1998-06-18,26.344,26.469,26.1875,26.3125,1056600,M
M,1998-06-19,26.625,27.1565,26.5315,27.1565,1593000,M
M,1998-06-22,26.344,27.0315,26.2815,26.75,1325400,M
M,1998-06-23,26.3125,26.469,26.094,26.4688,1091600,M
M,1998-06-24,26.5625,26.625,26.0,26.125,1234200,M
M,1998-06-25,25.844,26.5315,25.8125,26.4375,2344800,M
M,1998-06-26,26.3125,26.3125,26.0,26.0312,1118200,M
M,1998-06-29,26.75,27.75,26.4375,26.5,3431800,M
M,1998-06-30,26.9065,27.125,26.6565,26.8125,3283400,M
M,1998-07-01,26.969,27.219,26.8125,27.0312,1423600,M
M,1998-07-02,26.8125,26.969,26.6875,26.9688,2169000,M
M,1998-07-03,26.8125,26.969,26.6875,26.9688,0,M
M,1998-07-06,27.0625,27.3125,26.875,26.875,2561000,M
M,1998-07-07,27.7815,28.094,27.1875,27.1875,1831000,M
M,1998-07-08,27.875,27.875,27.5625,27.75,1514800,M
M,1998-07-09,27.25,27.875,27.094,27.875,1896600,M
M,1998-07-10,27.3125,27.6565,26.9065,27.2188,976800,M
M,1998-07-13,27.594,27.6565,27.1565,27.4375,1756000,M
M,1998-07-14,27.844,27.9375,27.5315,27.5938,1136000,M
M,1998-07-15,27.594,27.875,27.469,27.875,1654000,M
M,1998-07-16,27.6875,27.7815,27.4065,27.5,1131400,M
M,1998-07-17,27.25,27.6875,27.25,27.625,764000,M
M,1998-07-20,27.5,27.8125,27.25,27.25,728600,M
M,1998-07-21,27.219,28.0625,26.969,27.5,1912400,M
M,1998-07-22,26.5,27.469,26.125,27.3438,3520000,M
M,1998-07-23,25.5315,26.5,25.5,26.5,3734400,M
